   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing   Ematch      E0         T
  60 143 Nd  0.0   6.124  8.600E+02  8.000E+01   8   1.556   23   2.005  -0.41815   0.08282  17.03638   0.165   1.00349   3.98035   0.24190   0.53774
  60 144 Nd -3.5   7.817  3.500E+01  5.000E+00   8   2.093   29   2.593   0.34170   0.08263  16.98083   0.245   2.00000   6.30125   0.40409   0.60447
  60 145 Nd  0.0   5.755  4.500E+02  5.000E+01   8   0.937   21   1.339   1.10949   0.08244  17.68870   0.215   0.99655   4.76566  -0.42076   0.54668
  60 146 Nd -3.5   7.565  1.700E+01  3.000E+00   6   1.377   15   1.777   1.67836   0.08225  17.50926   0.330   1.98625   6.38454   0.10782   0.57756
  60 147 Nd  0.0   5.292  2.900E+02  5.000E+01   4   0.215   20   0.957   2.48818   0.08206  18.59356   0.375   0.98974   4.68718  -0.57774   0.50587
  60 148 Nd -2.5   7.333  3.500E+00  1.700E+00   5   1.023   17   1.600   2.86341   0.08188  19.94305   1.085   1.97279   5.79537   0.21105   0.48730
  60 149 Nd  0.0   5.039  1.550E+02  2.000E+01   2   0.138   15   0.404   3.51912   0.08169  19.57034   0.330   0.98308   5.66676  -1.45766   0.53189
  60 151 Nd  0.0   5.335  1.650E+02  1.500E+01   8   0.250   28   0.766   3.40400   0.08133  18.73452   0.205   0.97655   5.18395  -1.03590   0.52088
  61 148 Pm  3.5   5.895  5.200E+00  1.200E+00   8   0.305   18   0.462   2.86178   0.08188  17.62765   0.435   0.00000   3.38617  -1.33483   0.49792
  62 145 Sm  0.0   6.757  6.700E+02  6.000E+01   4   1.436   17   1.877  -0.22344   0.08244  15.86783   0.145   0.99655   4.66278  -0.06532   0.60271
  62 148 Sm -3.5   8.141  5.100E+00  5.000E-01   8   1.465   29   2.205   2.03332   0.08188  17.77394   0.180   1.97279   5.78901   0.42685   0.53364
  62 149 Sm  0.0   5.871  1.000E+02  2.000E+01   7   0.558   19   0.836   2.90239   0.08169  18.40268   0.415   0.98308   5.20661  -0.97354   0.53388
  62 150 Sm -3.5   7.987  2.100E+00  3.000E-01   3   0.773   21   1.765   3.24528   0.08151  18.43744   0.270   1.95959   5.83382   0.21633   0.50867
  62 151 Sm  0.0   5.596  4.600E+01  8.000E+00   5   0.105   16   0.307   3.97282   0.08133  19.63420   0.405   0.97655   5.73441  -1.57080   0.52946
  62 152 Sm -2.5   8.258  1.040E+00  1.500E-01   5   0.810   17   1.310   3.62388   0.08115  18.86444   0.270   1.94666   6.38420  -0.26363   0.52882
  62 153 Sm  0.0   5.868  4.800E+01  5.000E+00   4   0.065   17   0.266   3.67784   0.08097  19.02688   0.235   0.97014   6.23211  -1.88611   0.56936
  62 155 Sm  0.0   5.807  1.140E+02  1.500E+01   7   0.251   15   0.618   2.94129   0.08062  18.46794   0.275   0.96386   4.95729  -0.81538   0.51934
  63 152 Eu  2.5   6.307  7.300E-01  7.000E-02   2   0.065   17   0.149   4.21396   0.08115  18.89625   0.190   0.00000   4.39703  -2.24574   0.51886
  63 153 Eu -3.0   8.550  5.600E-01  1.000E-01   6   0.193   15   0.478   3.88018   0.08097  16.86472   0.295   0.97014   5.68819  -1.33702   0.57785
  63 154 Eu  2.5   6.442  1.100E+00  2.000E-01   8   0.101   19   0.181   3.67151   0.08080  18.50016   0.340   0.00000   4.37466  -2.13729   0.53091
  63 155 Eu -3.0   8.151  9.200E-01  1.200E-01   8   0.307   16   0.627   3.32567   0.08062  17.37942   0.225   0.96386   5.20287  -0.95832   0.54771
  63 156 Eu  2.5   6.340  4.300E+00  1.500E+00   2   0.048   15   0.260   2.82727   0.08045  17.46969   0.640   0.00000   4.05358  -1.74060   0.54208
  64 153 Gd  0.0   6.247  1.400E+01  3.000E+00   6   0.135   19   0.321   3.97879   0.08097  19.75548   0.460   0.97014   5.90391  -1.71471   0.53677
  64 155 Gd  0.0   6.435  1.450E+01  1.500E+00   8   0.214   16   0.326   3.70447   0.08062  19.47968   0.215   0.96386   6.01510  -1.75180   0.55058
  64 156 Gd -1.5   8.536  1.700E+00  2.000E-01   4   0.965   16   1.366   3.26949   0.08045  18.38329   0.215   1.92154   6.60463  -0.38177   0.55516
  64 157 Gd  0.0   6.360  3.000E+01  6.000E+00   5   0.180   15   0.479   3.05149   0.08028  19.13196   0.405   0.95770   5.41664  -1.19948   0.53300
  64 158 Gd -1.5   7.937  4.900E+00  5.000E-01   2   0.261   17   1.372   2.81439   0.08011  18.55214   0.190   1.90934   6.37585  -0.18419   0.54632
  64 159 Gd  0.0   5.943  8.200E+01  6.000E+00   8   0.227   19   0.642   2.62964   0.07994  19.01930   0.155   0.95166   5.11331  -0.93111   0.52405
  64 161 Gd  0.0   5.635  2.000E+02  2.000E+01   8   0.438   23   0.925   2.24450   0.07961  18.76306   0.210   0.94573   4.94119  -0.75798   0.52422
  65 160 Tb  1.5   6.375  4.200E+00  3.000E-01   4   0.079   22   0.279   2.58500   0.07978  18.25099   0.135   0.00000   4.34946  -1.95582   0.54828
  66 157 Dy  0.0   6.969  4.800E+00  1.600E+00   8   0.239   16   0.401   3.60370   0.08028  19.98246   0.680   0.95770   5.45765  -1.34418   0.51501
  66 159 Dy  0.0   6.833  2.200E+01  1.100E+01   6   0.239   27   0.635   3.15765   0.07994  18.37420   1.030   0.95166   5.85901  -1.49023   0.56893
  66 161 Dy  0.0   6.454  2.700E+01  5.000E+00   8   0.201   20   0.508   2.76808   0.07961  19.39495   0.375   0.94573   5.55329  -1.28663   0.54042
  66 162 Dy  2.5   8.197  2.400E+00  2.000E-01   3   0.549   18   1.391   2.46351   0.07945  18.88178   0.155   1.88562   6.43929  -0.23345   0.55014
  66 163 Dy  0.0   6.271  6.200E+01  5.000E+00   3   0.251   16   0.515   2.16632   0.07928  19.10200   0.160   0.93991   6.06510  -1.55794   0.58017
  66 164 Dy -2.5   7.658  6.800E+00  6.000E-01   3   0.501   15   1.261   2.01707   0.07912  18.96383   0.170   1.87409   6.60652  -0.31079   0.56428
  66 165 Dy  0.0   5.716  1.500E+02  1.000E+01   6   0.186   19   0.605   1.90875   0.07896  19.44201   0.145   0.93420   5.49684  -1.14627   0.54865
  67 166 Ho -3.5   6.244  4.200E+00  5.000E-01   2   0.054   16   0.373   1.71872   0.07880  18.62245   0.215   0.00000   3.60713  -1.37057   0.51171
  68 163 Er  0.0   6.903  8.000E+00  2.000E+00   8   0.199   18   0.462   3.04212   0.07928  19.98990   0.495   0.93991   5.33814  -1.20106   0.51651
  68 165 Er  0.0   6.650  2.100E+01  4.000E+00   3   0.077   19   0.467   2.57045   0.07896  19.56088   0.375   0.93420   5.78164  -1.44273   0.55289
  68 167 Er  0.0   6.436  3.800E+01  3.000E+00   6   0.295   28   0.763   1.91820   0.07865  19.80657   0.155   0.92859   5.57937  -1.23047   0.54718
  68 168 Er  3.5   7.771  4.200E+00  3.000E-01   3   0.549   15   1.311   1.84559   0.07849  19.34287   0.135   1.85164   6.44044  -0.22177   0.55260
  68 169 Er  0.0   6.003  1.000E+02  1.000E+01   8   0.285   16   0.599   1.66137   0.07833  19.64098   0.200   0.92308   5.22392  -0.94682   0.53492
  68 171 Er  0.0   5.682  1.470E+02  2.000E+01   8   0.378   19   0.737   1.52258   0.07803  20.10163   0.290   0.91766   5.11448  -0.88740   0.52402
  69 170 Tm  0.5   6.592  8.500E+00  7.000E-01   2   0.115   21   0.440   1.52210   0.07818  18.90709   0.145   0.00000   3.84364  -1.50570   0.52366
  69 171 Tm -1.0   7.486  3.900E+00  1.000E+00   7   0.520   15   0.750   1.64556   0.07803  19.47524   0.460   0.91766   5.22492  -0.93795   0.53822
  70 169 Yb  0.0   6.867  8.000E+00  3.000E+00   8   0.264   25   0.722   2.33088   0.07833  20.90203   0.765   0.92308   4.97634  -0.92555   0.49386
  70 170 Yb  3.5   8.470  1.600E+00  4.000E-01   6   1.139   19   1.438   2.11691   0.07818  18.97045   0.450   1.84072   6.92096  -0.58175   0.58100
  70 171 Yb  0.0   6.614  3.300E+01  6.000E+00   8   0.247   15   0.509   1.88505   0.07803  19.67844   0.350   0.91766   5.32074  -1.04472   0.53677
  70 172 Yb -0.5   8.019  5.800E+00  5.000E-01   5   1.043   16   1.376   1.74775   0.07788  20.31525   0.165   1.82998   6.52565  -0.35262   0.54370
  70 173 Yb  0.0   6.367  7.000E+01  3.000E+00   2   0.179   16   0.659   1.40420   0.07773  19.57108   0.085   0.91234   5.51640  -1.11128   0.55569
  70 174 Yb -2.5   7.465  7.800E+00  9.000E-01   8   1.382   15   1.624   1.45946   0.07758  19.89922   0.225   1.81944   5.95976   0.08034   0.52505
  70 175 Yb  0.0   5.822  1.620E+02  1.800E+01   3   0.268   15   0.742   1.31346   0.07743  19.77834   0.225   0.90711   5.14656  -0.86943   0.53435
  70 177 Yb  0.0   5.566  1.850E+02  2.000E+01   3   0.150   16   0.622   1.38961   0.07714  20.30259   0.230   0.90198   5.33210  -1.03638   0.53510
  71 176 Lu  3.5   6.288  3.000E+00  4.000E-01   7   0.299   20   0.488   1.38417   0.07728  19.60360   0.245   0.00000   3.64397  -1.38817   0.50318
  71 177 Lu -7.0   7.073  2.750E+00  8.500E-01   7   0.458   20   0.817   1.74810   0.07714  19.38951   0.595   0.90198   5.23157  -0.95684   0.53954
  72 175 Hf  0.0   6.709  1.800E+01  5.000E+00   6   0.213   15   0.475   2.02947   0.07743  20.39551   0.550   0.90711   5.43617  -1.19078   0.53031
  72 177 Hf  0.0   6.383  3.000E+01  7.000E+00   3   0.321   23   0.746   1.76194   0.07714  20.72693   0.470   0.90198   5.38114  -1.14160   0.52623
  72 178 Hf -3.5   7.626  2.400E+00  3.000E-01   7   1.199   18   1.434   1.83623   0.07699  20.78055   0.245   1.79888   6.49446  -0.40445   0.53550
  72 179 Hf  0.0   6.099  5.700E+01  6.000E+00   3   0.269   21   0.743   1.61625   0.07685  20.61519   0.215   0.89692   5.27306  -1.04585   0.52453
  72 180 Hf  4.5   7.388  4.600E+00  3.000E-01   6   1.107   19   1.381   1.58017   0.07670  20.40136   0.135   1.78885   6.83901  -0.59673   0.56235
  72 181 Hf  0.0   5.695  9.400E+01  1.500E+01   8   0.329   15   0.762   1.43091   0.07656  21.20701   0.340   0.89195   4.20557  -0.36337   0.46084
  73 181 Ta  1.0   7.577  1.200E+00  2.000E-01   8   0.543   20   1.403   1.42712   0.07656  21.56539   0.305   0.89195   2.78822   0.46097   0.36473
  73 182 Ta  3.5   6.063  4.200E+00  3.000E-01   5   0.163   17   0.396   1.17603   0.07642  19.95812   0.135   0.00000   3.57017  -1.32509   0.49664
  73 183 Ta -3.0   6.934  3.500E+00  7.000E-01   2   0.143   15   1.030   1.51775   0.07628  20.14446   0.380   0.88707   4.07898  -0.24331   0.46702
  74 181 W   0.0   6.681  2.000E+01  7.000E+00   2   0.251   18   0.675   1.42089   0.07656  21.02142   0.700   0.89195   5.33195  -1.08769   0.52440
  74 183 W   0.0   6.191  6.000E+01  6.000E+00   7   0.309   16   0.631   1.11420   0.07628  20.84738   0.200   0.88707   5.14942  -0.92078   0.52194
  74 184 W  -0.5   7.412  1.200E+01  1.000E+00   8   1.130   24   1.502   1.23481   0.07614  21.41216   0.165   1.76930   6.41031  -0.33640   0.53126
  74 185 W   0.0   5.754  7.000E+01  7.000E+00   8   0.302   29   0.921   1.22450   0.07601  21.88602   0.220   0.88226   4.71540  -0.70831   0.48346
  74 187 W   0.0   5.467  8.500E+01  8.000E+00   8   0.366   20   0.852   1.18643   0.07574  22.61733   0.210   0.87753   4.26871  -0.45540   0.45090
  75 186 Re  2.5   6.179  3.100E+00  3.000E-01   2   0.099   26   0.501   0.93195   0.07587  20.87689   0.180   0.00000   3.53650  -1.31908   0.48494
  75 188 Re  2.5   5.872  4.100E+00  3.000E-01   2   0.064   20   0.343   0.83838   0.07560  21.38684   0.145   0.00000   3.80442  -1.49855   0.49390
  76 187 Os  0.0   6.290  2.900E+01  3.000E+00   7   0.191   16   0.460   0.98896   0.07574  22.10693   0.210   0.87753   5.40652  -1.15135   0.51915
  76 188 Os -0.5   7.990  4.000E+00  6.000E-01   8   1.181   29   1.771   0.70475   0.07560  22.33751   0.285   1.75038   5.75453   0.09101   0.49345
  76 189 Os  0.0   5.920  4.700E+01  6.000E+00   8   0.234   25   0.631   0.72029   0.07547  22.75382   0.270   0.87287   5.38787  -1.14106   0.51325
  76 190 Os -1.5   7.792  3.400E+00  4.000E-01   8   1.115   25   1.616   0.30249   0.07533  22.49660   0.225   1.74114   6.06894  -0.08000   0.51308
  76 191 Os  0.0   5.759  7.000E+01  1.000E+01   2   0.084   15   0.437   0.16123   0.07520  23.24738   0.305   0.86829   5.70756  -1.30224   0.52929
  76 193 Os  0.0   5.583  1.150E+02  1.000E+01   8   0.435   15   0.952  -0.61869   0.07494  23.91083   0.190   0.86378   3.73996  -0.04491   0.43232
  77 192 Ir  1.5   6.198  2.500E+00  5.000E-01   5   0.072   25   0.226  -0.03100   0.07507  23.08120   0.380   0.00000   4.79795  -2.10336   0.53213
  77 193 Ir  4.0   7.772  7.000E-01  2.000E-01   5   0.299   17   0.621  -0.50195   0.07494  22.88732   0.515   0.86378   5.67163  -1.15994   0.54158
  77 194 Ir  1.5   6.067  7.000E+00  2.000E+00   8   0.149   27   0.391  -1.00792   0.07481  22.79202   0.540   0.00000   4.44325  -1.71607   0.53310
  78 193 Pt  0.0   6.255  2.200E+01  8.000E+00   8   0.232   19   0.520  -0.34779   0.07494  24.53087   0.780   0.86378   5.44074  -1.12355   0.50770
  78 195 Pt  0.0   6.105  2.000E+02  8.000E+01   8   0.389   20   0.591  -1.45640   0.07468  21.79568   0.875   0.85934   7.14204  -1.81085   0.63447
  78 196 Pt -0.5   7.922  1.800E+01  3.000E+00   3   0.877   16   1.610  -2.15168   0.07456  23.38456   0.295   1.71429   6.39417   0.02098   0.55287
  78 197 Pt  0.0   5.846  3.500E+02  1.000E+02   7   0.299   15   0.529  -2.49622   0.07443  22.92654   0.620   0.85496   6.88772  -1.48907   0.62045
  78 199 Pt  0.0   5.556  3.400E+02  9.000E+01   5   0.133   19   0.979  -3.48835   0.07418  26.02805   0.545   0.85066   5.11533  -0.51351   0.52201
  79 198 Au  1.5   6.512  1.650E+01  9.000E-01   3   0.193   17   0.406  -3.42272   0.07431  23.19007   0.095   0.00000   5.80275  -2.00029   0.62093
  80 199 Hg  0.0   6.664  1.050E+02  3.500E+01   2   0.208   16   0.824  -4.09010   0.07418  25.50019   0.610   0.85066   6.38643  -0.98116   0.58776
  80 200 Hg -0.5   8.028  8.000E+01  3.000E+01   5   1.515   16   1.776  -4.72088   0.07406  23.77685   0.690   1.69706   8.93468  -0.62554   0.67812
  80 201 Hg  0.0   6.230  6.500E+02  1.500E+02   3   0.032   15   1.035  -5.26325   0.07393  24.91222   0.415   0.84641   6.38969  -0.62595   0.61459
  80 202 Hg -1.5   7.754  9.000E+01  3.000E+01   8   1.411   24   1.862  -5.92759   0.07381  24.88244   0.635   1.68863   9.85575  -0.60175   0.70011
  81 204 Tl  0.5   6.656  2.800E+02  5.000E+01   8   0.432   26   1.135  -7.39785   0.07357  25.13950   0.275   0.00000   6.78156  -1.12812   0.67963
  81 206 Tl  0.5   6.504  5.500E+03  1.500E+03   2   0.305   15   1.400  -9.07882   0.07333  21.99888   0.315   0.00000   3.55816  -0.31096   0.83872
  82 205 Pb  0.0   6.732  2.000E+03  5.000E+02   8   0.996   17   1.614  -7.56355   0.07345  24.77993   0.430   0.83812   7.92659  -0.28024   0.69486
  82 207 Pb  0.0   6.738  3.200E+04  6.000E+03   3   1.633   15   3.428  -9.55428   0.07321  22.23025   0.235   0.83406   1.32372   1.48468   0.75279
  82 208 Pb -0.5   7.368  3.800E+04  8.000E+03   2   3.198   15   4.141  -9.96111   0.07310  19.52007   0.445   1.66410  14.33484   1.37076   0.92050
  82 209 Pb  0.0   3.937  4.000E+05  8.000E+04   2   1.423   33   3.557  -8.60729   0.07298  23.33003   0.325   0.83006   1.20371   1.40009   0.62216
  83 210 Bi -4.5   4.605  4.000E+03  7.000E+02   8   0.550   21   1.301  -7.61039   0.07286  22.40423   0.365   0.00000   7.05396  -0.91921   0.73680
  88 227 Ra  0.0   4.561  3.100E+01  6.000E+00   8   0.139   17   0.299   3.81650   0.07100  26.64807   0.560   0.79647   4.45776  -1.00592   0.39616
  90 229 Th  0.0   5.257  5.000E+00  3.000E+00   8   0.097   22   0.237   3.25628   0.07079  27.88418   1.845   0.79298   4.95272  -1.37434   0.41459
  90 230 Th  2.5   6.794  6.200E-01  1.200E-01   3   0.357   15   0.884   3.23933   0.07069  25.46109   0.465   1.58251   5.51509  -0.32115   0.42605
  90 231 Th  0.0   5.118  9.600E+00  1.500E+00   3   0.162   16   0.334   3.31885   0.07058  27.09275   0.420   0.78954   4.67627  -1.14812   0.40807
  90 233 Th  0.0   4.786  1.660E+01  6.000E-01   7   0.107   16   0.326   3.55375   0.07038  27.30948   0.105   0.78615   4.19174  -0.82497   0.38051
  91 233 Pa -2.0   6.529  7.500E-01  1.500E-01   7   0.109   20   0.304   3.17563   0.07038  23.66219   0.435   0.78615   5.26449  -1.42121   0.47241
  92 233 U   0.0   5.762  4.600E+00  7.000E-01   5   0.229   15   0.411   2.46929   0.07038  26.82778   0.370   0.78615   4.51937  -0.95977   0.41138
  92 234 U   2.5   6.845  5.500E-01  5.000E-02   3   0.296   15   1.024   2.55780   0.07028  26.33619   0.220   1.56893   5.15973  -0.06480   0.40787
  92 235 U   0.0   5.297  1.200E+01  8.000E-01   4   0.052   16   0.295   2.62567   0.07018  26.67688   0.175   0.78279   4.69702  -1.09440   0.41998
  92 236 U  -3.5   6.545  4.300E-01  2.000E-02   4   0.522   17   1.051   2.75509   0.07008  27.40139   0.120   1.56227   5.09101  -0.07772   0.39358
  92 237 U   0.0   5.126  1.500E+01  1.000E+00   7   0.205   21   0.545   2.74532   0.06998  26.88953   0.175   0.77948   4.07913  -0.68197   0.38646
  92 238 U   0.5   6.154  3.500E+00  8.000E-01   3   0.307   18   1.056   3.01190   0.06989  27.07969   0.595   1.55569   5.05820  -0.06960   0.39253
  92 239 U   0.0   4.806  2.080E+01  3.000E-01   8   0.226   34   0.898   3.07740   0.06979  27.39080   0.040   0.77622   3.41536  -0.27580   0.34407
  93 237 Np -6.0   6.577  6.000E-01  6.000E-02   8   0.226   18   0.369   2.43677   0.06998  23.50322   0.215   0.77948   5.38536  -1.42662   0.48838
  93 238 Np  2.5   5.488  5.700E-01  3.000E-02   2   0.062   15   0.244   2.27384   0.06989  25.87519   0.125   0.00000   2.80790  -1.07102   0.37363
  93 239 Np  2.0   6.215  4.100E-01  1.000E-01   3   0.075   18   0.359   2.68501   0.06979  26.55916   0.575   0.77622   4.66113  -1.07277   0.41913
  94 239 Pu  0.0   5.646  9.000E+00  1.000E+00   4   0.164   15   0.487   1.84997   0.06979  26.77185   0.270   0.77622   4.24613  -0.72763   0.40534
  94 240 Pu  0.5   6.534  2.200E+00  5.000E-02   6   0.649   23   1.137   2.14352   0.06969  27.46850   0.060   1.54919   5.26176  -0.16649   0.40819
  94 241 Pu  0.0   5.242  1.240E+01  7.000E-01   6   0.175   17   0.404   2.18490   0.06959  27.53218   0.145   0.77299   4.42224  -0.90285   0.40416
  94 242 Pu  2.5   6.310  7.300E-01  8.000E-02   8   0.865   15   1.084   2.45144   0.06950  28.26738   0.285   1.54278   4.89396   0.02890   0.38083
  94 243 Pu  0.0   5.034  1.350E+01  1.500E+00   2   0.125   18   0.626   2.45773   0.06940  28.05924   0.300   0.76980   3.75281  -0.48753   0.36359
  94 245 Pu  0.0   4.771  1.900E+01  3.000E+00   7   0.459   15   0.758   2.79874   0.06921  28.26102   0.445   0.76665   3.06825  -0.07158   0.32142
  95 242 Am -2.5   5.538  5.800E-01  4.000E-02   8   0.150   16   0.274   1.68435   0.06950  26.45732   0.155   0.00000   2.62838  -0.93686   0.36488
  95 243 Am -1.0   6.365  4.000E-01  8.000E-02   7   0.189   18   0.466   2.09846   0.06940  27.78055   0.465   0.76980   4.17293  -0.73643   0.39086
  95 244 Am -2.5   5.366  7.300E-01  6.000E-02   7   0.195   15   0.341   1.97570   0.06931  26.34168   0.190   0.00000   2.27580  -0.73345   0.34211
  96 243 Cm  0.0   5.693  1.400E+01  3.000E+00   8   0.187   24   1.046   1.35762   0.06940  26.32347   0.505   0.76980   3.09256   0.03896   0.35168
  96 244 Cm  2.5   6.801  7.500E-01  1.500E-01   3   0.296   12   1.187   1.53420   0.06931  27.24996   0.470   1.53644   4.61775   0.30185   0.38466
  96 245 Cm  0.0   5.520  1.180E+01  1.200E+00   3   0.197   27   0.672   1.45993   0.06921  27.34837   0.250   0.76665   4.33627  -0.78342   0.40945
  96 246 Cm  3.5   6.458  1.300E+00  2.000E-01   6   0.876   16   1.165   1.73038   0.06912  26.81524   0.370   1.53018   5.18559  -0.07844   0.41557
  96 247 Cm  0.0   5.156  3.000E+01  5.000E+00   5   0.266   18   0.448   1.77894   0.06903  26.58089   0.425   0.76354   4.88170  -1.15428   0.43949
  96 248 Cm -4.5   6.213  1.400E+00  3.000E-01   4   0.505   15   1.235   2.04999   0.06893  27.03848   0.540   1.52400   4.61985   0.25826   0.38187
  96 249 Cm  0.0   4.713  2.800E+01  5.000E+00   8   0.220   21   0.593   2.30495   0.06884  28.39500   0.500   0.76047   3.76217  -0.50109   0.36363
  97 250 Bk  3.5   4.970  1.100E+00  1.000E-01   7   0.104   18   0.180   1.82202   0.06875  26.96035   0.220   0.00000   3.49534  -1.50758   0.40543
  98 250 Cf -4.5   6.625  7.000E-01  1.000E-01   4   0.500   16   1.210   1.02081   0.06875  28.07476   0.345   1.51789   4.82499   0.15692   0.39498
  98 251 Cf  0.0   5.109  1.200E+01  2.000E+00   7   0.178   19   0.442   1.27659   0.06866  29.70256   0.440   0.75743   4.25190  -0.79786   0.38854
