   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing   Ematch      E0         T
  27  60 Co -3.5   7.492  1.250E+03  1.500E+02   7   0.615   15   1.208  -0.60652   0.11063   8.46877   0.130   0.00000   6.59738  -2.10710   1.11751
  28  59 Ni  0.0   8.999  1.340E+04  9.000E+02   2   0.465   23   2.681  -3.08201   0.11125   8.61780   0.085   1.56227  14.63339  -1.96509   1.41692
  28  60 Ni -1.5  11.388  2.000E+03  7.000E+02   7   3.124   32   4.191  -2.24482   0.11063   7.99010   0.435   3.09839  17.83057  -1.90136   1.55462
  28  61 Ni  0.0   7.820  1.380E+04  9.000E+02   8   1.185   15   1.998  -1.25198   0.11002   8.85047   0.080   1.53644   9.68396  -1.13231   1.18307
  28  62 Ni -1.5  10.597  2.100E+03  1.500E+02   6   3.059   18   3.518  -0.76675   0.10942   7.83339   0.095   3.04800  15.78710  -2.20171   1.49908
  28  63 Ni  0.0   6.838  1.600E+04  3.000E+03   8   1.324   18   2.353   0.15765   0.10884   8.96636   0.240   1.51186   7.06890  -0.37721   0.99565
  28  65 Ni  0.0   6.098  1.960E+04  3.000E+03   7   1.418   17   2.325   1.22812   0.10771   9.05226   0.210   1.48842   6.15072  -0.15139   0.89852
  29  64 Cu -1.5   7.916  9.500E+02  9.000E+01   4   0.362   29   1.607  -0.25753   0.10827   8.55015   0.095   0.00000   7.11279  -2.50452   1.13435
  29  66 Cu -1.5   7.066  1.300E+03  1.100E+02   5   0.465   16   1.158   0.91424   0.10717   8.39486   0.095   0.00000   5.68870  -2.03871   1.02779
  30  65 Zn  0.0   7.979  3.590E+03  1.600E+02   7   0.910   18   1.603   0.54034   0.10771   9.27687   0.060   1.48842   9.14766  -1.85752   1.09655
  30  67 Zn  0.0   7.052  4.620E+03  5.500E+02   2   0.185   19   1.643   1.84642   0.10663   9.35013   0.170   1.46603   7.67719  -1.36853   0.97552
  30  68 Zn -2.5  10.198  4.000E+02  6.000E+01   8   2.751   15   3.160   1.95394   0.10611   8.69167   0.175   2.91043   9.44939  -0.03611   1.04124
  30  69 Zn  0.0   6.482  5.560E+03  4.300E+02   2   0.531   25   1.983   2.64270   0.10559   9.46582   0.115   1.44463   6.85604  -1.01966   0.89496
  30  71 Zn  0.0   5.834  7.200E+03  8.000E+02   8   1.078   15   1.857   3.26933   0.10459   9.72987   0.180   1.42414   4.89825   0.17361   0.71436
  31  70 Ga -1.5   7.654  3.500E+02  6.000E+01   4   0.879   29   1.359   2.33109   0.10509   8.65047   0.195   0.00000   6.49505  -2.98933   1.03334
  31  72 Ga -1.5   6.520  3.800E+02  6.000E+01   8   0.229   16   0.408   3.40927   0.10410   9.13107   0.205   0.00000   6.52071  -3.38506   0.98051
  32  71 Ge  0.0   7.416  8.900E+02  2.100E+02   2   0.198   17   1.154   3.21835   0.10459  10.18618   0.340   1.42414   7.24125  -1.56416   0.87255
  32  73 Ge  0.0   6.783  1.500E+03  3.000E+02   6   0.392   20   0.904   3.75953   0.10363  10.09052   0.330   1.40449   8.03253  -2.32507   0.92406
  32  74 Ge  4.5  10.196  6.200E+01  1.500E+01   6   1.725   19   2.697   3.21943   0.10316   9.94250   0.320   2.78994   8.25432   0.15505   0.86018
  32  75 Ge  0.0   6.505  3.000E+03  1.000E+03   6   0.317   24   1.257   3.39318   0.10270   9.87234   0.575   1.38564   7.49688  -1.76080   0.90674
  32  77 Ge  0.0   6.072  4.500E+03  1.500E+03   8   0.629   15   1.189   2.60836   0.10180  10.53069   0.575   1.36753   6.57103  -0.99736   0.82402
  33  76 As -1.5   7.328  7.700E+01  8.000E+00   6   0.204   27   0.505   3.70232   0.10224   9.95430   0.135   0.00000   6.39656  -3.44976   0.91640
  34  75 Se  0.0   8.028  3.400E+02  8.000E+01   8   0.628   25   1.074   3.71190   0.10270  10.40208   0.330   1.38564   8.02914  -2.36341   0.90895
  34  77 Se  0.0   7.419  6.500E+02  1.000E+02   5   0.301   16   0.970   3.76413   0.10180  10.42903   0.225   1.36753   6.98560  -1.53315   0.83596
  34  78 Se -0.5  10.498  1.100E+02  3.000E+01   4   1.503   16   2.546   3.18634   0.10136  10.10718   0.340   2.71746   8.15477   0.13881   0.85024
  34  79 Se  0.0   6.963  2.000E+03  5.000E+02   4   0.365   15   0.819   3.24606   0.10093   9.91140   0.410   1.35011   8.43330  -2.47345   0.97280
  34  81 Se  0.0   6.701  2.000E+03  8.000E+02   7   0.782   19   1.828   2.00050   0.10010  11.17229   0.625   1.33333   5.35386  -0.16488   0.72381
  34  83 Se  0.0   5.818  5.000E+03  2.500E+03   8   1.063   15   1.710   0.80249   0.09929  12.23421   0.895   1.31717   5.19828  -0.00715   0.70044
  35  80 Br -1.5   7.892  4.700E+01  5.000E+00   3   0.256   15   0.386   3.38664   0.10051  10.20345   0.135   0.00000   7.18983  -3.99115   0.96052
  35  82 Br -1.5   7.593  1.050E+02  1.500E+01   6   0.420   29   1.083   2.09413   0.09969  10.41365   0.175   0.00000   4.87364  -1.96037   0.81734
  36  79 Kr  0.0   8.334  2.500E+02  8.000E+01   3   0.149   28   1.039   3.55685   0.10093  10.59270   0.445   1.35011   7.91274  -2.25965   0.89597
  36  81 Kr  0.0   7.873  2.800E+02  6.000E+01   2   0.191   15   0.982   3.30001   0.10010  11.19079   0.305   1.33333   6.85286  -1.45131   0.80241
