   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing
  30  65 Zn  0.0   7.979  3.590E+03  1.600E+02   7   0.910   18   1.603   0.54034   0.10204   7.67852   0.045  -0.59205
  30  67 Zn  0.0   7.052  4.620E+03  5.500E+02   2   0.185   19   1.643   1.84642   0.10102   7.60648   0.125  -0.49758
  30  68 Zn -2.5  10.198  4.000E+02  6.000E+01   8   2.751   15   3.160   1.95394   0.10052   7.65070   0.150   1.44189
  30  69 Zn  0.0   6.482  5.560E+03  4.300E+02   2   0.531   25   1.983   2.64270   0.10003   7.58002   0.090  -0.29612
  30  71 Zn  0.0   5.834  7.200E+03  8.000E+02   8   1.078   15   1.857   3.26933   0.09908   8.87797   0.160   0.67732
  31  70 Ga -1.5   7.654  3.500E+02  6.000E+01   4   0.879   29   1.359   2.33109   0.09955   7.57467   0.165  -1.22360
  31  72 Ga -1.5   6.520  3.800E+02  6.000E+01   8   0.229   16   0.408   3.40927   0.09862   7.83086   0.170  -1.70290
  32  71 Ge  0.0   7.416  8.900E+02  2.100E+02   2   0.198   17   1.154   3.21835   0.09908   8.51156   0.265  -0.48812
  32  73 Ge  0.0   6.783  1.500E+03  3.000E+02   6   0.392   20   0.904   3.75953   0.09817   7.97755   0.225  -0.97937
  32  74 Ge  4.5  10.196  6.200E+01  1.500E+01   6   1.725   19   2.697   3.21943   0.09773   8.62099   0.265   1.21016
  32  75 Ge  0.0   6.505  3.000E+03  1.000E+03   6   0.317   24   1.257   3.39318   0.09729   8.08003   0.400  -0.45406
  32  77 Ge  0.0   6.072  4.500E+03  1.500E+03   8   0.629   15   1.189   2.60836   0.09644   8.73113   0.425  -0.21331
  33  76 As -1.5   7.328  7.700E+01  8.000E+00   6   0.204   27   0.505   3.70232   0.09686   8.87106   0.115  -1.37553
  34  75 Se  0.0   8.028  3.400E+02  8.000E+01   8   0.628   25   1.074   3.71190   0.09729   8.63309   0.260  -0.73119
  34  77 Se  0.0   7.419  6.500E+02  1.000E+02   5   0.301   16   0.970   3.76413   0.09644   8.81318   0.180  -0.38979
  34  78 Se -0.5  10.498  1.100E+02  3.000E+01   4   1.503   16   2.546   3.18634   0.09603   8.93661   0.290   1.17232
  34  79 Se  0.0   6.963  2.000E+03  5.000E+02   4   0.365   15   0.819   3.24606   0.09562   8.07891   0.275  -0.86954
  34  81 Se  0.0   6.701  2.000E+03  8.000E+02   7   0.782   19   1.828   2.00050   0.09483   9.95119   0.550   0.56084
  34  83 Se  0.0   5.818  5.000E+03  2.500E+03   8   1.063   15   1.710   0.80249   0.09406  10.98018   0.785   0.61199
  35  80 Br -1.5   7.892  4.700E+01  5.000E+00   3   0.256   15   0.386   3.38664   0.09522   8.86207   0.115  -1.79227
  35  82 Br -1.5   7.593  1.050E+02  1.500E+01   6   0.420   29   1.083   2.09413   0.09444   9.69223   0.160  -0.85181
  36  79 Kr  0.0   8.334  2.500E+02  8.000E+01   3   0.149   28   1.039   3.55685   0.09562   8.98681   0.350  -0.77193
  36  81 Kr  0.0   7.873  2.800E+02  6.000E+01   2   0.191   15   0.982   3.30001   0.09483   9.61170   0.250  -0.38628
  36  84 Kr  4.5  10.521  2.000E+02  1.000E+02   4   2.095   26   3.476   1.22962   0.09368   8.48479   0.540   1.26420
  36  85 Kr  0.0   7.121  1.000E+03  1.000E+02   7   1.417   19   2.135   0.71307   0.09331  11.53232   0.135   0.63263
  37  86 Rb -2.5   8.651  1.700E+02  3.000E+01   5   0.873   16   1.309   0.00312   0.09295   9.23379   0.175  -0.84927
  37  88 Rb -1.5   6.083  1.800E+03  3.000E+02   8   1.086   15   1.372  -0.44083   0.09224   9.83755   0.195  -0.61485
  38  85 Sr  0.0   8.530  3.200E+02  1.200E+02   7   1.111   22   1.649   1.85920   0.09331   9.97853   0.435  -0.04956
  38  87 Sr  0.0   8.428  2.600E+03  8.000E+02   7   1.770   18   2.536  -0.02788   0.09259   9.57480   0.335   0.65500
  38  88 Sr  4.5  11.113  2.900E+02  8.000E+01   4   3.219   26   4.514  -1.51453   0.09224  10.22221   0.290   2.22316
  38  89 Sr  0.0   6.359  2.370E+04  2.900E+03   7   2.079   15   2.930  -0.95346   0.09190  10.73984   0.170   1.42387
  39  90 Y  -0.5   6.857  3.700E+03  4.000E+02   3   0.777   16   1.815  -1.29039   0.09155   9.79026   0.120  -0.29201
  40  91 Zr  0.0   7.194  6.000E+03  1.400E+03   3   1.882   17   2.578  -1.22782   0.09122  10.44979   0.275   0.40553
  40  92 Zr  2.5   8.635  5.500E+02  1.000E+02   3   1.495   16   2.904  -0.00102   0.09089   9.94803   0.210   1.21538
  40  93 Zr  0.0   6.734  3.500E+03  8.000E+02   8   1.463   18   2.075   0.48211   0.09056  10.72137   0.295   0.50929
  40  94 Zr  2.5   8.221  1.600E+02  1.500E+01   4   1.671   16   2.846   1.41776   0.09024  11.41885   0.125   1.52712
  40  95 Zr  0.0   6.462  3.200E+03  8.000E+02   3   1.140   18   2.317   1.51116   0.08992  10.83310   0.355   0.83535
  41  94 Nb  4.5   7.228  8.000E+01  1.000E+01   8   0.334   19   0.933   0.58504   0.09024  11.28025   0.160  -0.54794
  42  93 Mo  0.0   8.070  2.700E+03  5.000E+02   8   2.146   16   2.425  -1.84327   0.09056  10.37046   0.190  -0.09508
  42  95 Mo  0.0   7.369  1.320E+03  1.800E+02   8   1.074   20   1.660   0.09697   0.08992  10.89221   0.165   0.02168
  42  96 Mo  2.5   9.154  1.050E+02  1.000E+01   6   1.628   15   2.441   1.02534   0.08961  10.70946   0.115   1.14137
  42  97 Mo  0.0   6.821  1.050E+03  2.000E+02   6   0.753   20   1.321   1.69945   0.08930  10.74512   0.245  -0.13095
  42  98 Mo  2.5   8.643  7.500E+01  2.000E+01   4   1.510   18   2.344   2.45331   0.08899  10.81073   0.340   1.02351
  42  99 Mo  0.0   5.925  1.000E+03  2.000E+02   3   0.351   15   0.905   3.37697   0.08869  10.88304   0.290  -0.27265
  42 101 Mo  0.0   5.398  8.000E+02  1.500E+02   2   0.057   22   0.626   4.67338   0.08810  10.56894   0.275  -0.73143
  43 100 Tc  4.5   6.764  1.200E+01  1.300E+00   8   0.300   17   0.457   3.02519   0.08839  12.11345   0.150  -0.97846
  44 100 Ru  2.5   9.673  2.500E+01  4.000E+00   6   1.865   28   2.517   1.29006   0.08839  11.36983   0.185   0.86361
  44 102 Ru  2.5   9.220  1.800E+01  3.000E+00   7   1.603   19   2.303   2.64795   0.08781  11.71412   0.215   1.07734
  44 103 Ru  0.0   6.232  5.500E+02  1.500E+02   7   0.298   16   0.555   3.54210   0.08753  10.58398   0.370  -0.80752
  44 105 Ru  0.0   5.910  3.000E+02  7.500E+01   8   0.246   21   0.671   4.24424   0.08697  11.85939   0.380  -0.36667
  45 104 Rh -0.5   6.999  3.200E+01  4.000E+00   8   0.213   15   0.359   2.97194   0.08725  12.27763   0.170  -0.89944
  46 105 Pd  0.0   7.094  2.400E+02  3.000E+01   4   0.345   17   0.808   2.06640   0.08697  11.57992   0.160  -0.59955
