   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing
  70 169 Yb  0.0   6.867  8.000E+00  3.000E+00   8   0.264   25   0.722   2.33088   0.07421  18.06560   0.650  -0.27632
  70 170 Yb  3.5   8.470  1.600E+00  4.000E-01   6   1.139   19   1.438   2.11691   0.07406  16.19155   0.370   0.32269
  70 171 Yb  0.0   6.614  3.300E+01  6.000E+00   8   0.247   15   0.509   1.88505   0.07392  16.80635   0.290  -0.41260
  70 172 Yb -0.5   8.019  5.800E+00  5.000E-01   5   1.043   16   1.376   1.74775   0.07378  17.29041   0.135   0.37718
  70 173 Yb  0.0   6.367  7.000E+01  3.000E+00   2   0.179   16   0.659   1.40420   0.07363  16.54282   0.070  -0.45063
  70 174 Yb -2.5   7.465  7.800E+00  9.000E-01   8   1.382   15   1.624   1.45946   0.07349  17.50728   0.190   0.78424
  70 175 Yb  0.0   5.822  1.620E+02  1.800E+01   3   0.268   15   0.742   1.31346   0.07335  16.68439   0.190  -0.34541
  70 177 Yb  0.0   5.566  1.850E+02  2.000E+01   3   0.150   16   0.622   1.38961   0.07307  16.71895   0.180  -0.47346
  71 176 Lu  3.5   6.288  3.000E+00  4.000E-01   7   0.299   20   0.488   1.38417   0.07321  18.17412   0.225  -0.65920
  71 177 Lu -7.0   7.073  2.750E+00  8.500E-01   7   0.458   20   0.817   1.74810   0.07307  17.02513   0.510  -0.20647
  72 175 Hf  0.0   6.709  1.800E+01  5.000E+00   6   0.213   15   0.475   2.02947   0.07335  17.38047   0.455  -0.45867
  72 177 Hf  0.0   6.383  3.000E+01  7.000E+00   3   0.321   23   0.746   1.76194   0.07307  17.60093   0.390  -0.37503
  72 178 Hf -3.5   7.626  2.400E+00  3.000E-01   7   1.199   18   1.434   1.83623   0.07294  17.68048   0.205   0.43776
  72 179 Hf  0.0   6.099  5.700E+01  6.000E+00   3   0.269   21   0.743   1.61625   0.07280  17.48036   0.180  -0.37647
  72 180 Hf  4.5   7.388  4.600E+00  3.000E-01   6   1.107   19   1.381   1.58017   0.07267  16.99915   0.105   0.31048
  72 181 Hf  0.0   5.695  9.400E+01  1.500E+01   8   0.329   15   0.762   1.43091   0.07253  18.46728   0.295  -0.08450
  73 181 Ta  1.0   7.577  1.200E+00  2.000E-01   8   0.543   20   1.403   1.42712   0.07253  20.28371   0.285   0.46962
  73 182 Ta  3.5   6.063  4.200E+00  3.000E-01   5   0.163   17   0.396   1.17603   0.07240  18.47592   0.125  -0.64220
  73 183 Ta -3.0   6.934  3.500E+00  7.000E-01   2   0.143   15   1.030   1.51775   0.07227  18.20708   0.335   0.11535
  74 181 W   0.0   6.681  2.000E+01  7.000E+00   2   0.251   18   0.675   1.42089   0.07253  18.71998   0.600  -0.34438
  74 183 W   0.0   6.191  6.000E+01  6.000E+00   7   0.309   16   0.631   1.11420   0.07227  17.90734   0.170  -0.28756
  74 184 W  -0.5   7.412  1.200E+01  1.000E+00   8   1.130   24   1.502   1.23481   0.07214  18.16034   0.135   0.42344
  74 185 W   0.0   5.754  7.000E+01  7.000E+00   8   0.302   29   0.921   1.22450   0.07201  18.89013   0.180  -0.15448
  74 187 W   0.0   5.467  8.500E+01  8.000E+00   8   0.366   20   0.852   1.18643   0.07175  19.85627   0.180   0.01121
  75 186 Re  2.5   6.179  3.100E+00  3.000E-01   2   0.099   26   0.501   0.93195   0.07188  19.16411   0.165  -0.62288
  75 188 Re  2.5   5.872  4.100E+00  3.000E-01   2   0.064   20   0.343   0.83838   0.07162  19.68025   0.135  -0.66685
  76 187 Os  0.0   6.290  2.900E+01  3.000E+00   7   0.191   16   0.460   0.98896   0.07175  18.66535   0.175  -0.44987
  76 188 Os -0.5   7.990  4.000E+00  6.000E-01   8   1.181   29   1.771   0.70475   0.07162  19.69051   0.250   0.70350
  76 189 Os  0.0   5.920  4.700E+01  6.000E+00   8   0.234   25   0.631   0.72029   0.07149  19.29306   0.225  -0.33171
  76 190 Os -1.5   7.792  3.400E+00  4.000E-01   8   1.115   25   1.616   0.30249   0.07137  19.74628   0.195   0.66066
  76 191 Os  0.0   5.759  7.000E+01  1.000E+01   2   0.084   15   0.437   0.16123   0.07124  18.96525   0.245  -0.58931
  76 193 Os  0.0   5.583  1.150E+02  1.000E+01   8   0.435   15   0.952  -0.61869   0.07100  21.41591   0.165   0.15858
  77 192 Ir  1.5   6.198  2.500E+00  5.000E-01   5   0.072   25   0.226  -0.03100   0.07112  20.19966   0.330  -1.12415
  77 193 Ir  4.0   7.772  7.000E-01  2.000E-01   5   0.299   17   0.621  -0.50195   0.07100  19.90597   0.445  -0.37697
  77 194 Ir  1.5   6.067  7.000E+00  2.000E+00   8   0.149   27   0.391  -1.00792   0.07087  20.56918   0.480  -0.79162
  78 193 Pt  0.0   6.255  2.200E+01  8.000E+00   8   0.232   19   0.520  -0.34779   0.07100  20.50398   0.640  -0.48548
  78 195 Pt  0.0   6.105  2.000E+02  8.000E+01   8   0.389   20   0.591  -1.45640   0.07075  17.58291   0.625  -0.82936
  78 196 Pt -0.5   7.922  1.800E+01  3.000E+00   3   0.877   16   1.610  -2.15168   0.07063  20.16272   0.255   0.53291
  78 197 Pt  0.0   5.846  3.500E+02  1.000E+02   7   0.299   15   0.529  -2.49622   0.07051  18.83145   0.450  -0.59022
  78 199 Pt  0.0   5.556  3.400E+02  9.000E+01   5   0.133   19   0.979  -3.48835   0.07028  20.80297   0.445  -0.19503
  79 198 Au  1.5   6.512  1.650E+01  9.000E-01   3   0.193   17   0.406  -3.42272   0.07039  20.56586   0.085  -0.92723
  80 199 Hg  0.0   6.664  1.050E+02  3.500E+01   2   0.208   16   0.824  -4.09010   0.07028  21.42992   0.510  -0.47490
  80 200 Hg -0.5   8.028  8.000E+01  3.000E+01   5   1.515   16   1.776  -4.72088   0.07016  20.06440   0.535   0.35879
  80 201 Hg  0.0   6.230  6.500E+02  1.500E+02   3   0.032   15   1.035  -5.26325   0.07004  19.73736   0.330  -0.45127
  80 202 Hg -1.5   7.754  9.000E+01  3.000E+01   8   1.411   24   1.862  -5.92759   0.06993  20.30437   0.450   0.09278
  81 204 Tl  0.5   6.656  2.800E+02  5.000E+01   8   0.432   26   1.135  -7.39785   0.06970  22.59364   0.240  -0.57830
  81 206 Tl  0.5   6.504  5.500E+03  1.500E+03   2   0.305   15   1.400  -9.07882   0.06947  19.22904   0.310  -0.85122
  82 205 Pb  0.0   6.732  2.000E+03  5.000E+02   8   0.996   17   1.614  -7.56355   0.06958  21.81480   0.335   0.06838
  82 207 Pb  0.0   6.738  3.200E+04  6.000E+03   3   1.633   15   3.428  -9.55428   0.06936  22.80804   0.245   1.30741
  82 208 Pb -0.5   7.368  3.800E+04  8.000E+03   2   3.198   15   4.141  -9.96111   0.06925  21.21166   0.260   1.80137
  82 209 Pb  0.0   3.937  4.000E+05  8.000E+04   2   1.423   33   3.557  -8.60729   0.06914  20.80738   0.335   0.82250
  83 210 Bi -4.5   4.605  4.000E+03  7.000E+02   8   0.550   21   1.301  -7.61039   0.06903  19.11810   0.240  -0.87636
  88 227 Ra  0.0   4.561  3.100E+01  6.000E+00   8   0.139   17   0.299   3.81650   0.06726  21.71407   0.440  -0.40185
  90 229 Th  0.0   5.257  5.000E+00  3.000E+00   8   0.097   22   0.237   3.25628   0.06706  23.05379   1.455  -0.59571
  90 230 Th  2.5   6.794  6.200E-01  1.200E-01   3   0.357   15   0.884   3.23933   0.06696  21.00289   0.370   0.11962
  90 231 Th  0.0   5.118  9.600E+00  1.500E+00   3   0.162   16   0.334   3.31885   0.06687  22.55280   0.340  -0.40814
  90 233 Th  0.0   4.786  1.660E+01  6.000E-01   7   0.107   16   0.326   3.55375   0.06668  22.77752   0.085  -0.31854
  91 233 Pa -2.0   6.529  7.500E-01  1.500E-01   7   0.109   20   0.304   3.17563   0.06668  20.13481   0.360  -0.56376
  92 233 U   0.0   5.762  4.600E+00  7.000E-01   5   0.229   15   0.411   2.46929   0.06668  22.99606   0.315  -0.32531
  92 234 U   2.5   6.845  5.500E-01  5.000E-02   3   0.296   15   1.024   2.55780   0.06658  22.28883   0.180   0.29437
  92 235 U   0.0   5.297  1.200E+01  8.000E-01   4   0.052   16   0.295   2.62567   0.06649  22.01780   0.135  -0.51274
  92 236 U  -3.5   6.545  4.300E-01  2.000E-02   4   0.522   17   1.051   2.75509   0.06639  23.14767   0.100   0.34768
  92 237 U   0.0   5.126  1.500E+01  1.000E+00   7   0.205   21   0.545   2.74532   0.06630  22.98845   0.145  -0.22603
  92 238 U   0.5   6.154  3.500E+00  8.000E-01   3   0.307   18   1.056   3.01190   0.06621  22.60724   0.480   0.31493
  92 239 U   0.0   4.806  2.080E+01  3.000E-01   8   0.226   34   0.898   3.07740   0.06611  24.58598   0.040   0.14661
  93 237 Np -6.0   6.577  6.000E-01  6.000E-02   8   0.226   18   0.369   2.43677   0.06630  19.95338   0.180  -0.56571
  93 238 Np  2.5   5.488  5.700E-01  3.000E-02   2   0.062   15   0.244   2.27384   0.06621  24.32446   0.115  -0.47581
  93 239 Np  2.0   6.215  4.100E-01  1.000E-01   3   0.075   18   0.359   2.68501   0.06611  22.82603   0.480  -0.40948
  94 239 Pu  0.0   5.646  9.000E+00  1.000E+00   4   0.164   15   0.487   1.84997   0.06611  23.17571   0.230  -0.23024
  94 240 Pu  0.5   6.534  2.200E+00  5.000E-02   6   0.649   23   1.137   2.14352   0.06602  23.13066   0.050   0.30801
  94 241 Pu  0.0   5.242  1.240E+01  7.000E-01   6   0.175   17   0.404   2.18490   0.06593  23.25101   0.125  -0.33376
  94 242 Pu  2.5   6.310  7.300E-01  8.000E-02   8   0.865   15   1.084   2.45144   0.06584  23.98803   0.235   0.41273
  94 243 Pu  0.0   5.034  1.350E+01  1.500E+00   2   0.125   18   0.626   2.45773   0.06575  23.98442   0.255  -0.11753
  94 245 Pu  0.0   4.771  1.900E+01  3.000E+00   7   0.459   15   0.758   2.79874   0.06557  25.81935   0.400   0.23884
  95 242 Am -2.5   5.538  5.800E-01  4.000E-02   8   0.150   16   0.274   1.68435   0.06584  24.94291   0.145  -0.44779
  95 243 Am -1.0   6.365  4.000E-01  8.000E-02   7   0.189   18   0.466   2.09846   0.06575  24.35361   0.400  -0.25298
  95 244 Am -2.5   5.366  7.300E-01  6.000E-02   7   0.195   15   0.341   1.97570   0.06566  25.60105   0.185  -0.22324
  96 243 Cm  0.0   5.693  1.400E+01  3.000E+00   8   0.187   24   1.046   1.35762   0.06575  23.48839   0.450   0.16241
  96 244 Cm  2.5   6.801  7.500E-01  1.500E-01   3   0.296   12   1.187   1.53420   0.06566  23.61659   0.400   0.46324
  96 245 Cm  0.0   5.520  1.180E+01  1.200E+00   3   0.197   27   0.672   1.45993   0.06557  23.22161   0.210  -0.28028
  96 246 Cm  3.5   6.458  1.300E+00  2.000E-01   6   0.876   16   1.165   1.73038   0.06548  23.04820   0.315   0.46998
  96 247 Cm  0.0   5.156  3.000E+01  5.000E+00   5   0.266   18   0.448   1.77894   0.06539  21.91275   0.340  -0.49858
  96 248 Cm -4.5   6.213  1.400E+00  3.000E-01   4   0.505   15   1.235   2.04999   0.06530  23.25475   0.450   0.49210
  96 249 Cm  0.0   4.713  2.800E+01  5.000E+00   8   0.220   21   0.593   2.30495   0.06522  24.50871   0.420  -0.07440
  97 250 Bk  3.5   4.970  1.100E+00  1.000E-01   7   0.104   18   0.180   1.82202   0.06513  24.36273   0.200  -0.69981
  98 250 Cf -4.5   6.625  7.000E-01  1.000E-01   4   0.500   16   1.210   1.02081   0.06513  24.35781   0.290   0.51771
  98 251 Cf  0.0   5.109  1.200E+01  2.000E+00   7   0.178   19   0.442   1.27659   0.06504  24.97188   0.365  -0.31775
