 67 ;  7.311000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 68 ;  7.380000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 69 ;  7.438000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 70 ;  7.490000 ;  2.0;  1;           ;  0;  ;    ;           ;     (2+)  ;0;                                                                                                                                                                                                                              0.000000       
 71 ;  7.503000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 72 ;  7.667000 ; -1.0;  0;           ;  0;  ;    ;           ;  (2+,5-)  ;0;                                                                                                                                                                                                                              0.000000       
 73 ;  7.738000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 74 ;  7.830000 ;  0.0;  1;           ;  0;  ;    ;           ;       0+  ;0;                                                                                                                                                                                                                              0.000000       
 75 ;  7.914000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 76 ;  8.382000 ;  7.0; -1;           ;  0;  ;    ;           ;       7-  ;0;                                                                                                                                                                                                                              0.000000       
 77 ;  8.770000 ;  7.0; -1;           ;  0;  ;    ;           ;       7-  ;0;                                                                                                                                                                                                                              0.000000       
 78 ;  9.070000 ;  5.0; -1;           ;  0;  ;    ;           ;       5-  ;0;                                                                                                                                                                                                                              0.000000       
 79 ;  9.680000 ; -1.0;  0;           ;  0;  ;    ;           ; 5-,6+,8+  ;0;                                                                                                                                                                                                                              0.000000       
 80 ; 12.660000 ; -1.0;  0;           ;  0;  ;    ;           ; 6+,8+,7-  ;0;                                                                                                                                                                                                                              0.000000       
 81 ; 13.020000 ;  1.0;  1;  2.200E-17;  0;  ;    ;           ;       1+  ;0;                                                                                                                                                                                                                              0.000000       
 82 ; 13.130000 ; -1.0;  0;           ;  0;  ;    ;           ; 6+,8+,7-  ;0;                                                                                                                                                                                                                              0.000000       
 83 ; 13.895000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 84 ; 14.488000 ;  3.0; -1;           ;  0;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
 85 ; 14.610000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 86 ; 14.795000 ;  5.0; -1;           ;  0;  ;    ;           ;       5-  ;0;                                                                                                                                                                                                                              0.000000       
 87 ; 15.279000 ;  3.0; -1;           ;  0;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
 88 ; 15.847000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 89 ; 16.155000 ;  0.0;  1;           ;  0;  ;    ;           ;     (0+)  ;0;                                                                                                                                                                                                                              0.000000       
 90 ; 16.721000 ;  2.0;  1;           ;  0;  ;    ;           ;     (2+)  ;0;                                                                                                                                                                                                                              0.000000       
 91 ; 17.295000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
