    ;           ;     ;   ;           ;   ;  ;   4;      2.145;  4.565E-01; ; 4.566E-01  3.270E-04
 21 ;  6.685580 ;  2.0; -1;  6.900E-14;  3;  ;    ;           ;     2(-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  12;      1.316;  7.517E-01; ; 7.518E-01  7.300E-05
    ;           ;     ;   ;           ;   ;  ;   6;      2.074;  1.128E-01; ; 1.128E-01  7.050E-04
    ;           ;     ;   ;           ;   ;  ;   5;      2.178;  1.353E-01; ; 1.354E-01  3.800E-04
 22 ;  6.791500 ;  1.0;  0;  6.900E-15;  1;  ;    ;           ;        1  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      6.791;  1.000E+00; ; 1.000E+00  0.000E+00
 23 ;  6.805150 ;  2.0;  1;  8.300E-14;  2;  ;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   4;      2.302;  5.845E-01; ; 5.847E-01  4.780E-04
    ;           ;     ;   ;           ;   ;  ;   2;      2.975;  4.150E-01; ; 4.153E-01  7.300E-04
 24 ;  6.830700 ;  3.0; -1;           ;  1;  ;    ;           ;     (3-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      2.999;  9.988E-01; ; 1.000E+00  1.239E-03
 25 ;  6.895090 ;  2.0; -1;  5.500E-14;  4;  ;    ;           ;     (2-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  12;      1.526;  1.855E-01; ; 1.855E-01  1.030E-04
    ;           ;     ;   ;           ;   ;  ;   6;      2.283;  1.185E-01; ; 1.186E-01  8.430E-04
    ;           ;     ;   ;           ;   ;  ;   5;      2.389;  5.152E-01; ; 5.154E-01  4.280E-04
    ;           ;     ;   ;           ;   ;  ;   2;      3.063;  1.803E-01; ; 1.805E-01  1.271E-03
 26 ;  6.897000 ;  5.0;  1;           ;  1;  ;    ;           ;     (5+)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  12;      1.520;  9.999E-01; ; 1.000E+00  9.200E-05
 27 ;  7.007300 ;  3.0; -1;  6.900E-14;  1;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      3.176;  9.987E-01; ; 1.000E+00  1.330E-03
 28 ;  7.009000 ; -1.0;  0;           ;  0;  ;    ;           ;  (0,1,2)  ;0;                                                                                                                                                                                                                              0.000000       
 29 ;  7.031800 ; -1.0;  0;           ;  2;  ;    ;           ;(3)-&(5)+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   9;      1.763;  0.000E+00; ; 0.000E+00  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   5;      2.525;  1.000E+00; ; 1.000E+00  0.000E+00
 30 ;  7.160000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 31 ;  7.295900 ;  2.0;  1;  6.900E-15;  2;  ;    ;           ;     (2+)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      3.464;  8.255E-01; ; 8.263E-01  9.200E-04
    ;           ;     ;   ;           ;   ;  ;   1;      7.298;  1.734E-01; ; 1.737E-01  2.010E-03
 32 ;  7.298500 ;  1.0; -1;  2.010E-16;  1;  ;    ;           ;     1(-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      7.298;  9.974E-01; ; 1.000E+00  2.580E-03
 33 ;  7.302000 ; -1.0;  0;           ;  3;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  12;      1.932;  4.950E-03; ; 4.950E-03  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   6;      2.689;  4.950E-03; ; 4.950E-03  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   1;      7.301;  9.901E-01; ; 9.901E-01  0.000E+00
 34 ;  7.370600 ;  2.0;  0;           ;  1;  ;    ;           ;   (LE 2)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      7.370;  1.000E+00; ; 1.000E+00  0.000E+00
 35 ;  7.401600 ;  2.0; -1;           ;  6;  ;    ;           ;     (2-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  21;      0.716;  5.881E-02; ; 5.882E-02  1.800E-04
    ;           ;     ;   ;           ;   ;  ;  12;      2.031;  1.284E-01; ; 1.284E-01  3.200E-04
    ;           ;     ;   ;           ;   ;  ;   6;      2.789;  7.172E-01; ; 7.180E-01  1.134E-03
    ;           ;     ;   ;           ;   ;  ;   5;      2.894;  3.801E-02; ; 3.804E-02  6.900E-04
    ;           ;     ;   ;           ;   ;  ;   2;      3.569;  4.733E-02; ; 4.741E-02  1.504E-03
    ;           ;     ;   ;           ;   ;  ;   1;      7.400;  9.323E-03; ; 9.323E-03  0.000E+00
 36 ;  7.407300 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  19;      0.793;  1.000E+00; ; 1.000E+00  0.000E+00
 37 ;  7.440600 ; -1.0;  0;  1.774E-13;  1;  ;    ;           ;     2,3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      7.440;  1.000E+00; ; 1.000E+00  0.000E+00
 38 ;  7.470000 ;  4.0;  1;           ;  0;  ;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000       
 39 ;  7.496970 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  14;      1.768;  1.000E+00; ; 1.000E+00  0.000E+00
 40 ;  7.535600 ; -1.0;  0;           ;  2;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   8;      2.390;  0.000E+00; ; 0.000E+00  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   4;      3.033;  0.000E+00; ; 0.000E+00  0.000E+00
 41 ;  7.568500 ;  4.0;  0;           ;  1;  ;    ;           ;     LE 4  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      3.737;  1.000E+00; ; 1.000E+00  0.000E+00
 42 ;  7.651700 ;  3.0; -1;           ;  3;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      3.140;  0.000E+00; ; 0.000E+00  7.900E-04
    ;           ;     ;   ;           ;   ;  ;   4;      3.140;  0.000E+00; ; 0.000E+00  1.310E-03
    ;           ;     ;   ;           ;   ;  ;   1;      7.651;  0.000E+00; ; 0.000E+00  0.000E+00
 43 ;  7.655660 ;  1.0;  0;  1.870E-15;  1;  ;    ;           ;        1  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      7.655;  1.000E+00; ; 1.000E+00  0.000E+00
 44 ;  7.696000 ; -1.0;  0;           ;  0;  ;    ;           ;  (1+,2+)  ;0;                                                                                                                                                                                                                              0.000000       
 45 ;  7.795300 ;  3.0; -1;           ;  1;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  24;      0.964;  9.999E-01; ; 1.000E+00  8.700E-05
 46 ;  7.800000 ;  4.0;  1;           ;  0;  ;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000       
 47 ;  7.911000 ;  3.0; -1;           ;  0;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
 48 ;  7.915400 ;  2.0;  1;  2.200E-14;  1;  ;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      7.915;  9.979E-01; ; 1.000E+00  2.120E-03
 49 ;  7.953000 ; -1.0;  0;           ;  0;  ;    ;           ;  (2-,6-)  ;0;                                                                                                                                                                                                                              0.000000       
 50 ;  7.956000 ;  4.0;  1;           ;  1;  ;    ;           ;     (4)+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  24;      1.137;  9.999E-01; ; 1.000E+00  5.480E-05
 51 ;  8.001000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 52 ;  8.027600 ;  2.0;  1;  1.140E-14;  3;  ;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      3.529;  0.000E+00; ; 0.000E+00  1.486E-03
    ;           ;     ;   ;           ;   ;  ;   4;      3.529;  0.000E+00; ; 0.000E+00  1.006E-03
    ;           ;     ;   ;           ;   ;  ;   1;      8.027;  0.000E+00; ; 0.000E+00  0.000E+00
 53 ;  8.047000 ; -1.0;  0;           ;  1;  ;    ;           ;  (0-,1+)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      8.040;  1.000E+00; ; 1.000E+00  0.000E+00
 54 ;  8.065000 ;  5.0; -1;           ;  0;  ;    ;           ;       5-  ;0;                                                                                                                                                                                                                              0.000000       
 55 ;  8.116000 ; -1.0;  0;           ;  0;  ;    ;           ; 1+,2+,3+  ;0;                                                                                                                                                                                                                              0.000000       
 56 ;  8.150000 ; -1.0;  0;           ;  0;  ;    ;           ;  (1+,2+)  ;0;                                                                                                                                                                                                                              0.000000       
 57 ;  8.178000 ;  4.0;  1;           ;  0;  ;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000       
 58 ;  8.236000 ; -1.0;  0;           ;  2;  ;    ;           ; 4-,5-,6-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      3.735;  0.000E+00; ; 0.000E+00  0.000E+00
