  1 ;  0.000000 ;  2.5;  1; -1.000E+00;  0; u;    ;           ;     5/2+  ;0;                                                                                                                                                                                                                              0.000000  0    
  2 ;  0.275000 ;  1.5;  1;           ;  0; n;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
  3 ;  0.320000 ;  0.5;  1;           ;  0; c;    ;           ; 1/2:9/2+  ;0;                                                                                                                                                                                                                              0.000000       
  4 ;  0.373000 ;  4.5;  1;           ;  0; c;    ;           ; 1/2:9/2+  ;0;                                                                                                                                                                                                                              0.000000       
  5 ;  0.480910 ;  1.5;  1;  1.290E-11;  1; u;    ;           ;     3/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      0.481;  9.956E-01; ; 1.000E+00  4.440E-03
  6 ;  0.528000 ;  2.5;  1;           ;  0; u;    ;           ;     5/2+  ;0;                                                                                                                                                                                                                              0.000000       
  7 ;  0.576000 ;  0.5; -1;           ;  0; c;    ;           ;1/2:11/2-  ;0;                                                                                                                                                                                                                              0.000000       
  8 ;  0.658130 ;  3.5;  1;  2.000E-12;  1; u;    ;           ;     7/2+  ;0;                                                                                                                                                                                                                              0.000000  1    
    ;           ;     ;   ;           ;   ;  ;   1;      0.658;  9.980E-01; ; 1.000E+00  2.040E-03
  9 ;  0.679590 ;  0.5;  1;  2.890E-11;  1; u;    ;           ;     1/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      0.680;  9.980E-01; ; 1.000E+00  2.000E-03
 10 ;  0.719200 ;  2.5;  1;  1.000E-11;  2; u;    ;           ;     5/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      0.238;  2.573E-01; ; 2.636E-01  2.440E-02
    ;           ;     ;   ;           ;   ;  ;   1;      0.719;  7.352E-01; ; 7.364E-01  1.670E-03
 11 ;  0.720920 ;  1.5;  1;  4.000E-12;  1; u;    ;           ;     3/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      0.721;  9.983E-01; ; 1.000E+00  1.660E-03
 12 ;  0.753000 ;  1.5;  1;           ;  0; c;    ;         (3;/2+,5/2+)  ;0;                                                                                                                                                                                                                              0.000000       
 13 ;  0.787000 ;  5.5; -1;           ;  0; c;    ;           ;1/2:11/2-  ;0;                                                                                                                                                                                                                              0.000000       
 14 ;  0.795000 ;  0.5;  1;           ;  0; u;    ;           ;   (1/2+)  ;0;                                                                                                                                                                                                                              0.000000       
 15 ;  0.824000 ;  2.5;  1;           ;  0; u;    ;           ;     5/2+  ;0;                                                                                                                                                                                                                              0.000000       
 16 ;  0.888000 ;  0.5;  1;  2.700E-12;  2; u;    ;           ;     1/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      0.407;  8.563E-01; ; 8.628E-01  7.600E-03
    ;           ;     ;   ;           ;   ;  ;   1;      0.888;  1.370E-01; ; 1.372E-01  1.020E-03
 17 ;  0.993000 ;  2.5;  1;           ;  0; c;    ;         (3;/2+,5/2+)  ;0;                                                                                                                                                                                                                              0.000000       
 18 ;  1.004000 ;  0.5;  1;           ;  0; c;    ;           ; 1/2:9/2+  ;0;                                                                                                                                                                                                                              0.000000       
 19 ;  1.024450 ;  3.5;  1;  5.500E-13;  3; u;    ;           ;     7/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   8;      0.366;  2.899E-02; ; 2.929E-02  1.030E-02
    ;           ;     ;   ;           ;   ;  ;   5;      0.544;  3.479E-03; ; 3.492E-03  3.710E-03
    ;           ;     ;   ;           ;   ;  ;   1;      1.024;  9.665E-01; ; 9.672E-01  7.550E-04
 20 ;  1.025000 ;  2.5;  1;           ;  0; u;    ;           ;     5/2+  ;0;                                                                                                                                                                                                                              0.000000       
 21 ;  1.092630 ;  1.5;  1;  1.300E-12;  2; u;    ;           ;     3/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      0.612;  9.902E-02; ; 9.927E-02  2.530E-03
    ;           ;     ;   ;           ;   ;  ;   1;      1.093;  9.001E-01; ; 9.007E-01  6.580E-04
 22 ;  1.116000 ;  5.5; -1;           ;  0; u;    ;           ;    11/2-  ;0;                                                                                                                                                                                                                              0.000000       
 23 ;  1.116740 ;  4.5;  1;  1.200E-12;  3; u;    ;           ;     9/2+  ;0;                                                                                                                                                                                                                              0.000000  0    
    ;           ;     ;   ;           ;   ;  ;  10;      0.397;  1.122E-02; ; 1.132E-02  9.610E-03
    ;           ;     ;   ;           ;   ;  ;   8;      0.459;  1.268E-02; ; 1.275E-02  5.500E-03
    ;           ;     ;   ;           ;   ;  ;   1;      1.117;  9.753E-01; ; 9.759E-01  6.040E-04
 24 ;  1.120000 ;  2.5;  1;           ;  0; c;    ;           ;3/2+,5/2+  ;0;                                                                                                                                                                                                                              0.000000       
 25 ;  1.134000 ;  4.5;  1;           ;  0; c;    ;           ;7/2+,9/2+  ;0;                                                                                                                                                                                                                              0.000000       
 26 ;  1.222000 ;  2.5;  1;           ;  0; u;    ;           ;     5/2+  ;0;                                                                                                                                                                                                                              0.000000       
 27 ;  1.264900 ;  1.5;  1;           ;  1; c;    ;           ;3/2+,5/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      1.265;  9.995E-01; ; 1.000E+00  4.920E-04
 28 ;  1.268000 ;  1.5; -1;           ;  0; c;    ;           ; 3/2:7/2-  ;0;                                                                                                                                                                                                                              0.000000       
 29 ;  1.268630 ;  3.5;  1;  5.300E-13;  3; u;    ;           ;     7/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  10;      0.549;  2.056E-01; ; 2.063E-01  3.300E-03
    ;           ;     ;   ;           ;   ;  ;   5;      0.787;  2.056E-01; ; 2.059E-01  1.370E-03
    ;           ;     ;   ;           ;   ;  ;   1;      1.269;  5.875E-01; ; 5.878E-01  4.890E-04
