id,num_round,max_depth,l2,max_bin,objective,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path
1,10,10,0,300,rmse,one_hot,none,0.2011676769191059,0.1098339304403413,0.8274988399583211,0.1114217686673013,0.8274987087691934,0.2016618266580128,0.1098081795826709,0.8272747709869618,0.1116403842803056,0.8272747596455231,0.2018711826671548,0.1102042363771999,0.827366368130473,0.1114155607687206,0.8273637405315895,E:\ML_Models_EXFOR\XGB_B1\XGB10_L0_MB300_none_rmse_B1_v1\xgboost_model.joblib,3.1880199909210205,none
2,10,10,0,10000,rmse,one_hot,none,0.1995272936364837,0.1080257089981928,0.8296792990058037,0.110865523719137,0.829679196956923,0.1999602435335939,0.1079008016919216,0.8295381264243546,0.1108052638343639,0.8295381063719449,0.2002642805423863,0.1087435280704731,0.8287201282987279,0.1112449051301588,0.8287182043437064,E:\ML_Models_EXFOR\XGB_B1\XGB10_L0_MB10000_none_rmse_B1_v1\xgboost_model.joblib,5.774081707000732,none
3,10,10,0,20000,rmse,one_hot,none,0.198836659248017,0.1074954771283613,0.8307362772548558,0.1110082748225431,0.8307362500337663,0.1993330378461119,0.1076296046347462,0.8302928790807731,0.1114015381809294,0.8302928639650043,0.1996032678603558,0.1084695179451657,0.8294029377539529,0.1110566846580792,0.8293993680376776,E:\ML_Models_EXFOR\XGB_B1\XGB10_L0_MB20000_none_rmse_B1_v1\xgboost_model.joblib,7.580338001251221,none
4,10,10,0,30000,rmse,one_hot,none,0.2010199057357901,0.1091384827208861,0.8275883094181212,0.1121970530932712,0.8275882096327217,0.2015675466102101,0.1094236509290387,0.8268162481210739,0.1124227523156455,0.8268161988485268,0.2019169728483403,0.1095844847617993,0.8271230545798072,0.1124986075619044,0.8271190798955426,E:\ML_Models_EXFOR\XGB_B1\XGB10_L0_MB30000_none_rmse_B1_v1\xgboost_model.joblib,8.957123756408691,none
5,10,20,0,300,rmse,one_hot,none,0.1598873314547498,0.0784660619246397,0.8880018249383019,0.0760610667093208,0.8880017460323274,0.1629273054906205,0.0814519877911261,0.8835299521296848,0.0779760307343798,0.8835296404147472,0.163756095488038,0.0819731556759413,0.8831963470703684,0.077971252748067,0.8831940931304898,E:\ML_Models_EXFOR\XGB_B1\XGB20_L0_MB300_none_rmse_B1_v1\xgboost_model.joblib,80.61380887031555,none
6,10,20,0,10000,rmse,one_hot,none,0.1022755793294956,0.0397344638044366,0.945289931130362,0.0436211294014063,0.9452898304842466,0.1200953553067808,0.0562034949210759,0.9225071471716146,0.0511031074100158,0.9225071475991928,0.1211688557336965,0.0568169706908208,0.921871035167492,0.051048497135946,0.921869942061844,E:\ML_Models_EXFOR\XGB_B1\XGB20_L0_MB10000_none_rmse_B1_v1\xgboost_model.joblib,459.9560720920563,none
7,10,20,0,20000,rmse,one_hot,none,0.0987313926169627,0.0371859613331642,0.9488675051799343,0.041899734011165,0.948867446344246,0.1204890153083229,0.0565220972538312,0.922224000041177,0.051129228794992,0.9222240083209452,0.1212480376170866,0.0575473897232596,0.9209803870833688,0.050867573140878,0.9209791966484012,E:\ML_Models_EXFOR\XGB_B1\XGB20_L0_MB20000_none_rmse_B1_v1\xgboost_model.joblib,825.8956382274628,none
8,10,20,0,30000,rmse,one_hot,none,0.096671390704079,0.0356669821836997,0.9509963208283276,0.0408357757176287,0.950996237549464,0.1206542014176664,0.0567616454557525,0.9220102804276912,0.0508703199899931,0.922010271127494,0.121376763238535,0.0572941128377344,0.921361617295193,0.0509730890245246,0.9213602411796932,E:\ML_Models_EXFOR\XGB_B1\XGB20_L0_MB30000_none_rmse_B1_v1\xgboost_model.joblib,1205.4344551563263,none
9,10,30,0,300,rmse,one_hot,none,0.1593197942363738,0.0782905298521804,0.8884766192551654,0.0752752606683984,0.8884765063560595,0.1628540411704688,0.0816660341004431,0.8834705702271751,0.077494245558247,0.8834703250672757,0.1638439706808913,0.0824578785650437,0.8827663943447479,0.0776158147433571,0.88276423403792,E:\ML_Models_EXFOR\XGB_B1\XGB30_L0_MB300_none_rmse_B1_v1\xgboost_model.joblib,206.85745525360107,none
10,10,30,0,10000,rmse,one_hot,none,0.0837052047538211,0.0322839455451539,0.9567413619826528,0.0290607872493989,0.956741278796318,0.1182266363700837,0.0607405546352598,0.9188273410968264,0.0454161801284868,0.9188273378868522,0.1191038406140943,0.0615677537430002,0.9179691094701252,0.0454019160926797,0.917968050210294,E:\ML_Models_EXFOR\XGB_B1\XGB30_L0_MB10000_none_rmse_B1_v1\xgboost_model.joblib,2748.575164794922,none
11,10,30,0,20000,rmse,one_hot,none,0.0718895588272038,0.0266821556019251,0.9644641095627966,0.0212292891356822,0.9644640433052408,0.1195298843034904,0.0633439147963101,0.9160179741102112,0.0446826996727015,0.9160178475694314,0.1206211107415383,0.0652136130911275,0.9137465265006346,0.0444632597511513,0.9137453870906398,E:\ML_Models_EXFOR\XGB_B1\XGB30_L0_MB20000_none_rmse_B1_v1\xgboost_model.joblib,5917.283538103104,none
12,10,30,0,30000,rmse,one_hot,none,0.0655006607955573,0.023716418182863,0.9685109579255284,0.0169283947481626,0.968510898915096,0.1213195839178214,0.0653774536877783,0.9135762489055052,0.0447341104490508,0.9135759667474324,0.1224164668886749,0.0669323690698077,0.911731060176732,0.0447954192970901,0.9117293704505048,E:\ML_Models_EXFOR\XGB_B1\XGB30_L0_MB30000_none_rmse_B1_v1\xgboost_model.joblib,9361.223269462584,none
13,10,10,1,300,rmse,one_hot,none,0.2023166093220929,0.1109236152455278,0.8250315432255793,0.1121722091559246,0.8250314648560242,0.2027349316263466,0.1106137201072941,0.8252803885422112,0.1124429109520425,0.8252801972361062,0.2029738700671524,0.1111378395537909,0.8249030213366622,0.1125003998844666,0.824900375058474,E:\ML_Models_EXFOR\XGB_B1\XGB10_L1_MB300_none_rmse_B1_v1\xgboost_model.joblib,2.357932806015014,none
