S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
3170.72,1.92,22939.47,2.01,-6836.85,24.08,2735.94,12.86,4986.91,1.92,-10211.66,46.86,12Be
3369.63,1.32,14096.74,1.34,,,11472.71,1.32,6885.0,1.32,-5939.1,1.33,12B
18720.71,0.06,15956.68,0.01,,,-1339.8,0.01,-7552.43,0.9,-5702.05,0.08,12C
15036.81,46.16,600.3,1.0,,,12350.2,1.0,-6708.85,2.36,10567.98,1.35,12N
,,-322.08,52.02,,,3825.39,400.72,,,8650.04,24.1,12O
100.0,76.16,,,51635.41,70.0,,,12647.8,116.28,,,13Li
-510.0,10.0,22639.47,31.69,10543.64,13.94,3641.63,10.2,5470.51,16.29,-9891.67,93.4,13Be
4878.77,1.66,15804.78,2.15,,,7095.59,1.03,8818.51,1.0,-10844.28,12.76,13B
4946.31,0.0,17533.36,1.32,,,5168.11,0.01,-4061.55,0.01,-3836.08,0.08,13C
20063.9,1.04,1943.49,0.27,,,5406.89,0.28,-5489.14,0.28,-1058.73,0.27,13N
16870.5,25.82,1511.61,9.58,,,9522.68,47.13,-10820.54,400.11,13063.16,9.53,13O
1775.9,132.64,24315.36,149.63,31946.72,132.25,1655.73,135.61,4090.3,132.25,,,14Be
969.58,21.24,17284.36,23.53,-8300.72,46.27,9296.73,21.3,8350.57,21.21,-11418.17,21.22,14B
8176.43,0.0,20831.02,1.0,,,361.3,1.32,-783.76,0.01,-11510.87,0.24,14C
10553.38,0.27,7550.56,0.0,,,13574.22,0.0,-2921.92,0.06,-157.89,0.01,14N
23178.97,9.53,4626.67,0.27,,,1380.52,1.0,-11431.72,46.15,3004.79,0.06,14O
,,-1560.0,40.0,,,10760.6,47.61,,,13307.24,61.81,14F
-1800.0,100.0,,,46970.21,165.8,3555.73,179.97,5680.3,168.49,,,15Be
2776.76,29.87,18285.23,133.91,12391.49,25.27,6009.97,23.37,8744.54,21.12,-14404.93,36.64,15B
1218.07,0.8,21079.51,21.23,-30342.23,66.69,4022.0,1.28,1367.8,1.54,-9558.21,2.07,15C
10833.3,0.0,10207.42,0.0,,,7687.24,0.0,4965.49,0.0,-7621.56,1.32,15N
13223.49,0.49,7296.78,0.49,,,8220.93,0.56,-9618.41,1.11,8502.01,0.49,15O
23468.97,43.44,-1270.0,14.0,,,4162.13,16.93,-10483.81,27.78,4875.08,14.04,15F
,,-962.0,77.18,,,,,,,13947.16,70.87,15Ne
450.0,141.42,,,62184.13,165.8,,,5330.3,179.97,,,16Be
-82.95,14.6,20002.28,167.61,26432.26,25.94,7868.82,134.51,8317.49,26.59,-14221.98,74.19,16B
4250.33,3.67,22553.08,21.33,-10292.64,20.79,741.25,21.51,1996.24,3.71,-14318.54,10.79,16C
2488.85,2.3,11478.21,2.44,,,13374.82,2.3,7422.95,2.3,-5231.64,2.51,16N
15663.92,0.49,12127.41,0.0,,,3110.39,0.0,-5218.43,0.27,-2215.61,0.0,16O
13957.82,16.29,-535.68,8.33,,,13383.28,8.32,-7571.12,12.65,10981.17,8.32,16F
24299.91,69.76,-131.05,24.81,,,2733.18,45.94,,,6517.75,22.59,16Ne
1467.51,205.58,21019.79,262.96,41764.62,204.1,4601.31,262.96,8625.87,243.2,,,17B
733.55,17.73,23369.58,30.09,4531.45,17.37,2784.46,27.27,2232.27,27.41,-13276.2,133.38,17C
