S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
,,-1371.0,565.0,,,13621.0,565.0,-1046.0,640.0,14636.0,565.0,88Rh
1663.0,565.0,,,42806.0,400.0,6231.0,640.0,5214.0,565.0,,,89Ge
4150.0,357.0,13949.0,499.0,34914.0,298.0,7991.0,423.0,7466.0,530.0,-7072.0,499.0,89As
3179.51,5.01,15562.0,196.0,27216.63,3.73,7336.32,4.77,4833.81,5.08,-3946.07,437.82,89Se
5629.62,4.55,11679.04,4.68,19434.09,3.64,8862.67,3.95,7092.96,4.12,-3665.72,4.74,89Br
4915.82,3.38,13108.8,3.83,8339.78,3.75,8066.7,3.83,3960.52,3.75,-386.22,3.31,89Kr
7174.71,5.43,9310.07,6.02,-1087.18,24.25,9707.94,5.43,6417.33,5.43,-433.73,6.24,89Rb
6358.72,0.09,10888.99,0.18,-11194.08,3.91,9099.58,0.09,1402.03,0.22,2703.05,0.09,89Sr
11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,89Y
9318.01,6.22,7865.51,3.43,-26615.0,298.0,8853.62,3.28,-728.42,14.47,5293.93,3.08,89Zr
12522.94,63.38,4285.31,24.24,-34765.0,361.0,9432.73,23.99,2207.86,23.9,4304.28,27.54,89Nb
10399.71,5.47,6130.32,58.94,,,9570.36,7.85,-1016.83,6.75,8600.48,5.29,89Mo
13784.85,149.09,1997.27,5.4,,,10200.77,4.77,1579.45,5.34,7385.61,6.69,89Tc
11992.0,423.0,3868.0,333.0,,,10141.0,298.0,-1826.0,423.0,11496.0,298.0,89Ru
17072.0,538.0,-1190.0,200.0,,,10370.0,538.0,-1226.0,538.0,11356.0,469.0,89Rh
3563.0,640.0,,,45738.0,500.0,,,4893.0,707.0,,,90Ge
2603.0,499.0,14890.0,565.0,38034.0,400.0,9518.0,565.0,7612.0,500.0,-6434.0,640.0,90As
4879.14,329.77,16291.0,445.0,30147.91,329.76,5630.0,383.0,4681.74,329.76,-6076.0,446.0,90Se
3797.35,4.68,12296.88,5.01,22493.76,3.72,10594.7,4.74,7289.88,4.03,-2735.99,4.49,90Br
6494.78,2.84,13973.96,3.76,13813.29,1.87,6467.51,3.68,3796.48,3.68,-2886.72,2.91,90Kr
5723.33,8.46,10117.59,6.83,3297.12,7.28,11037.69,6.99,6209.17,6.49,173.67,7.22,90Rb
7810.43,2.13,11524.71,5.83,-5775.62,4.06,7371.67,2.13,3513.72,2.12,407.8,2.14,90Sr
6857.03,0.1,7574.02,1.61,-15769.37,1.91,12138.36,1.61,3250.06,1.61,3750.13,1.61,90Y
11968.29,3.08,8353.15,1.61,-23888.74,3.73,6237.29,1.5,-890.1,1.13,1753.93,0.12,90Zr
10107.63,23.86,5074.93,4.53,-30962.0,300.0,11678.16,6.34,1549.67,5.31,6003.26,3.5,90Nb
13228.89,5.22,6836.26,23.88,-40463.0,400.0,6711.89,58.91,-1433.96,7.63,4821.04,5.4,90Mo
11401.16,3.95,2998.72,4.04,,,12672.66,3.95,1024.18,3.04,8796.2,6.88,90Tc
14695.0,298.0,4777.92,5.34,,,7508.33,149.09,-2329.69,5.61,7647.42,4.7,90Ru
13910.0,469.0,728.0,423.0,,,13351.0,424.0,-1315.0,500.0,11637.0,300.0,90Rh
,,1138.0,538.0,,,7861.0,565.0,,,11457.0,565.0,90Pd
3637.0,565.0,14964.0,640.0,40849.0,400.0,7544.0,565.0,8106.0,565.0,,,91As
2851.22,544.38,16539.0,589.0,33071.8,433.18,6929.0,526.0,5004.0,475.0,-4796.0,589.0,91Se
5178.31,4.88,12596.05,329.77,25244.0,3.99,8595.9,5.14,7640.96,4.88,-4741.0,196.0,91Br
4086.03,2.91,14262.64,4.03,16921.6,2.24,8011.1,3.96,4606.05,3.88,-1443.37,4.03,91Kr
6451.95,10.14,10074.76,8.02,8892.96,8.33,9501.55,8.09,6810.3,8.23,-1382.68,8.42,91Rb
5775.12,5.85,11576.49,8.47,-1443.11,8.29,8771.27,7.67,3821.12,5.46,1685.76,6.04,91Sr
7928.55,2.45,7692.14,2.81,-10364.65,3.0,10568.53,1.85,6434.38,1.84,1904.1,1.85,91Y
7194.35,0.15,8690.47,1.61,-19655.74,2.22,10523.59,1.62,1267.51,1.5,5672.45,0.1,91Zr
12047.8,4.42,5154.44,2.93,-28068.0,298.0,8948.37,4.25,1854.92,6.14,3307.42,3.29,91Nb
10107.64,7.13,6836.27,7.07,-36279.0,401.0,9127.19,24.44,-1171.18,59.14,7066.45,8.25,91Mo
13333.28,2.58,3103.11,4.19,,,9739.09,4.57,1563.95,4.49,5833.34,58.86,91Tc
11427.35,4.34,4804.11,2.45,,,9865.83,4.42,-1694.45,149.06,10093.12,4.42,91Ru
14941.0,423.0,975.0,298.0,,,10402.0,422.0,634.0,423.0,8758.0,333.0,91Rh
14292.0,566.0,1519.0,500.0,,,10641.0,539.0,-4206.0,566.0,14056.0,500.0,91Pd
2156.0,640.0,,,43791.0,500.0,8950.0,707.0,7612.0,640.0,,,92As
4215.0,589.0,17116.0,565.0,36144.0,400.0,5317.0,565.0,4939.0,499.0,-7348.0,565.0,92Se
3196.83,7.58,12941.65,433.2,28583.69,11.33,10278.22,329.82,7623.64,7.67,-3788.0,298.0,92Br
5866.67,3.51,14951.0,4.46,19689.71,2.7,5941.78,4.31,4369.0,4.24,-4130.53,4.61,92Kr
5098.72,9.82,11087.44,6.52,11680.85,6.38,10897.62,6.4,6627.4,6.49,-851.77,6.94,92Rb
7286.75,6.36,12411.29,8.51,3941.22,3.43,7207.85,7.33,3709.08,6.42,-685.17,4.04,92Sr
6536.51,9.31,8453.54,10.62,-5890.8,9.64,11842.44,9.37,6256.58,9.13,2542.3,10.62,92Y
8634.78,0.09,9396.7,1.84,-14157.83,2.72,8745.84,1.61,4113.38,1.62,3396.39,0.14,92Zr
7886.61,3.43,5846.7,1.78,-23454.2,4.73,13030.05,1.79,3286.32,3.56,6901.46,2.4,92Nb
12671.07,6.24,7459.55,2.93,-32229.0,300.0,6563.75,3.32,-1319.31,23.63,3713.39,3.09,92Mo
11010.36,3.9,4005.84,6.97,-41795.0,500.0,11957.62,4.65,953.3,4.99,7345.92,23.83,92Tc
14132.7,3.51,5603.53,3.6,,,7134.29,2.9,-2042.3,4.69,6360.14,4.76,92Ru
12501.0,298.0,2048.23,4.91,,,12595.51,5.75,125.0,298.0,10042.16,5.81,92Rh
16721.0,500.0,3299.0,423.0,,,7831.0,424.0,-3855.0,469.0,9327.0,423.0,92Pd
,,-1511.0,641.0,,,13290.0,640.0,,,14377.0,617.0,92Ag
2063.0,565.0,17023.0,640.0,39370.0,400.0,6892.0,565.0,5479.0,565.0,-5848.0,640.0,93Se
4728.74,430.87,13455.0,588.0,31336.93,430.94,8400.7,610.91,7774.04,542.53,-5913.0,588.0,93Br
3437.99,3.69,15192.16,7.16,22986.04,2.56,7682.11,4.35,4728.36,4.19,-2689.38,329.76,93Kr
5918.78,9.93,11139.55,8.28,14592.94,7.97,9064.87,8.14,7203.4,8.05,-2973.2,8.52,93Rb
5289.79,8.29,12602.37,9.72,6721.23,7.56,8370.0,10.75,4142.62,9.96,519.81,7.78,93Sr
7481.98,13.9,8648.77,11.03,-621.05,10.54,10135.58,11.82,6585.03,10.7,783.65,12.33,93Y
6734.32,0.45,9594.51,9.14,-9905.32,2.11,9940.07,1.9,4236.08,1.67,4472.5,2.17,93Zr
8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,93Nb
8069.81,0.09,7642.75,1.79,-27806.0,300.0,10541.74,2.93,718.51,3.32,7611.87,0.22,93Mo
12751.73,3.26,4086.5,1.0,-37339.0,401.0,9313.52,6.32,1430.45,3.61,4701.82,3.47,93Tc
10986.83,3.41,5579.99,3.73,,,9480.74,3.14,-1627.97,2.3,8602.19,4.03,93Ru
14084.03,5.11,1999.57,3.78,,,9938.83,3.44,736.05,4.56,7359.29,2.82,93Rh
12492.0,425.0,3291.0,301.0,,,10279.0,423.0,-2437.0,425.0,11529.0,301.0,93Pd
17208.0,641.0,-1024.0,500.0,,,10374.0,566.0,-1694.0,566.0,11079.0,500.0,93Ag
4159.0,640.0,,,42042.0,500.0,4889.0,707.0,4957.0,640.0,,,94Se
2581.0,525.0,13973.0,500.0,34951.0,300.0,10035.0,500.0,8044.0,527.0,-4857.0,500.0,94Br
5283.09,12.37,15746.51,430.99,25921.55,12.11,5595.84,13.84,4623.58,12.62,-5121.25,433.31,94Kr
4014.2,8.09,11715.76,3.23,17806.28,2.52,10917.34,3.38,7275.23,3.02,-1809.09,4.08,94Rb
6831.19,7.73,13514.78,8.0,9568.35,1.67,6637.53,6.34,3763.38,7.98,-2225.34,2.79,94Sr
6195.62,12.28,9554.59,9.89,1806.85,7.57,11226.7,7.24,6164.52,8.39,1039.98,10.08,94Y
8218.61,0.49,10331.14,10.49,-4685.73,3.15,8257.98,9.13,3946.03,1.85,2029.01,5.46,94Zr
7227.54,0.08,6536.0,1.48,-13461.45,3.69,12800.77,1.49,6390.56,1.49,5628.63,2.37,94Nb
9678.31,0.23,8490.2,1.49,-22311.8,4.28,8750.03,1.79,3087.99,2.93,5127.9,0.18,94Mo
8623.53,4.2,4640.22,4.08,-31749.0,400.0,13361.07,4.07,2914.56,7.45,8126.09,5.01,94Tc
13438.2,3.76,6266.46,3.3,-42444.0,500.0,7052.91,4.42,-1732.89,3.93,5271.63,6.99,94Ru
11967.13,4.28,2979.87,3.96,,,12104.39,4.34,196.26,4.04,8725.43,4.12,94Rh
15173.0,300.0,4379.44,5.03,,,7607.62,6.13,-2669.0,298.0,7783.96,4.83,94Pd
14214.0,566.0,698.0,500.0,,,12881.0,500.0,-1615.0,566.0,11806.0,499.0,94Ag
,,1162.0,641.0,,,7701.0,707.0,,,11437.0,641.0,94Cd
1728.0,707.0,,,44660.0,500.0,,,5386.0,707.0,,,95Se
4442.0,423.0,14257.0,582.0,37438.0,298.0,7656.0,499.0,7817.0,499.0,-7143.0,582.0,95Br
2882.46,22.22,16048.0,301.0,29501.03,18.65,7442.12,431.22,4937.95,19.8,-3789.0,400.0,95Kr
5400.03,20.31,11832.69,23.59,20894.76,20.25,8955.31,20.4,7741.88,20.42,-4012.29,21.33,95Rb
4345.16,6.04,13845.74,6.15,12592.31,5.81,8211.16,9.74,4516.94,8.44,-703.83,6.41,95Sr
6928.7,9.31,9652.11,6.98,4812.49,8.47,9587.8,10.15,6522.57,7.59,-790.01,9.14,95Y
6461.93,0.86,10597.45,6.44,-2202.19,9.54,9278.02,10.52,4020.61,9.17,2853.82,3.53,95Zr
8488.51,1.57,6805.91,0.53,-8445.65,3.92,11046.58,0.68,6536.82,0.52,3676.64,9.14,95Nb
7369.11,0.09,8631.77,1.49,-17745.96,3.03,10211.79,1.49,3605.49,1.79,6393.57,0.16,95Mo
9934.34,6.51,4896.25,5.08,-26424.0,298.0,11496.53,5.08,5651.29,5.08,6078.35,5.38,95Tc
8945.47,10.01,6588.4,10.34,-36827.0,401.0,10859.17,9.56,332.0,10.0,8997.23,9.5,95Ru
13504.31,5.15,3045.99,5.0,,,9586.91,4.4,824.65,4.74,6231.49,4.97,95Rh
11934.95,5.25,4347.26,4.54,,,9756.71,4.01,-2102.76,5.32,9981.7,4.07,95Pd
15259.0,499.0,784.0,298.0,,,10115.0,423.0,-153.0,423.0,9049.0,298.0,95Ag
14562.0,641.0,1510.0,566.0,,,10348.0,566.0,-4636.0,641.0,13596.0,500.0,95Cd
2464.0,422.0,14992.0,582.0,40173.0,298.0,9351.0,582.0,7416.0,499.0,,,96Br
4992.08,27.7,16598.0,299.0,32359.17,20.49,5031.0,301.0,4674.61,431.3,-6718.0,400.0,96Kr
3534.17,20.42,12484.41,18.93,24248.47,3.36,10704.23,12.57,7645.7,4.19,-2817.72,430.83,96Rb
5875.92,10.27,14321.63,21.95,15870.72,8.47,6349.43,8.71,4559.8,11.54,-3141.76,8.84,96Sr
5198.36,9.11,10505.31,8.41,7485.74,7.97,11220.62,6.31,6614.0,9.7,-69.59,9.92,96Y
7850.22,0.88,11518.97,6.78,641.53,0.14,7623.42,6.38,3652.37,10.49,293.39,7.56,96Zr
6887.88,0.51,7231.85,0.88,-5915.1,10.0,12377.31,0.22,6383.27,0.48,4270.74,10.49,96Nb
9154.33,0.05,9297.59,0.5,-12611.47,4.19,8284.99,1.49,3282.02,1.49,3973.56,0.47,96Mo
7871.61,7.23,5398.75,5.15,-21310.0,90.23,13303.24,5.15,5849.49,5.15,7037.61,5.36,96Tc
10693.94,9.5,7348.0,5.08,-30507.0,401.0,8788.75,4.07,2389.79,1.03,6373.1,0.25,96Ru
9418.43,10.73,3518.94,13.79,-41797.0,500.0,13606.68,10.48,2393.05,10.21,9564.79,10.05,96Rh
14288.82,5.17,5131.77,5.72,,,7435.01,5.39,-2307.55,4.95,6679.71,4.67,96Pd
12986.0,311.0,1834.71,90.13,,,12301.44,90.19,-647.0,314.0,10146.57,90.12,96Ag
17014.0,566.0,3265.0,499.0,,,7547.0,566.0,-4442.0,566.0,9074.0,501.0,96Cd
,,-1451.0,641.0,,,12960.0,707.0,,,14023.0,641.0,96In
3963.0,499.0,,,42066.0,401.0,7115.0,641.0,7612.0,641.0,,,97Br
2415.13,132.01,16549.0,325.0,35519.17,130.41,7058.0,325.0,4841.0,327.0,-4974.0,517.0,97Kr
5236.11,3.86,12728.43,20.58,27086.64,4.66,8350.58,18.73,7692.69,12.26,-5473.0,300.0,97Rb
3728.61,9.12,14516.08,4.76,18963.24,3.39,8020.84,20.53,4845.39,3.95,-1587.28,12.57,97Sr
5856.85,9.05,10486.24,10.8,11103.0,7.88,9708.93,8.88,7588.34,6.92,-1912.24,7.02,97Y
5575.13,0.4,11895.74,6.07,3177.89,2.79,8976.99,6.79,4272.86,6.39,1549.45,1.71,97Zr
8074.28,4.25,7455.9,4.25,-3008.22,35.72,10764.97,4.34,6527.6,4.25,2392.09,7.67,97Nb
6821.13,0.16,9230.85,0.19,-9738.85,4.85,9952.37,0.52,3688.43,1.5,5371.03,0.23,97Mo
9474.11,6.59,5718.52,4.12,-16398.58,110.18,11198.24,4.12,6053.7,4.12,4791.04,4.38,97Tc
8111.5,2.76,7587.89,5.84,-25667.0,298.0,10611.6,5.78,2901.82,4.92,7939.91,2.76,97Ru
10981.15,36.85,3806.15,35.46,-35408.0,402.0,11571.0,36.71,4850.09,35.6,7207.17,35.7,97Rh
9693.75,6.41,5407.09,11.11,,,11245.57,6.21,-34.17,5.91,10424.15,5.77,97Pd
14385.52,142.26,1931.41,110.19,,,9850.86,110.15,140.48,110.19,7728.17,110.16,97Ag
12952.0,499.0,3231.0,311.0,,,9854.0,422.0,-3180.0,499.0,11295.0,298.0,97Cd
17370.0,641.0,-1094.0,566.0,,,10152.0,566.0,-2185.0,641.0,10866.0,566.0,97In
2266.0,566.0,,,44044.0,400.0,,,7074.0,640.0,,,98Br
4959.0,325.0,17545.0,499.0,36976.0,298.0,4563.0,422.0,4324.0,422.0,-8205.0,582.0,98Kr
3921.33,16.2,14234.62,131.4,29155.45,16.84,9421.34,26.05,6653.82,24.61,-4952.0,299.0,98Rb
5912.97,4.68,15192.94,3.75,21692.87,3.23,5642.05,4.65,4332.44,20.5,-4617.79,18.91,98Sr
4244.67,10.38,11002.29,8.62,14137.43,8.62,11340.19,11.59,7688.83,9.82,-756.88,21.74,98Y
6415.36,8.44,12454.26,10.78,6938.15,10.64,7759.99,10.4,4786.19,10.83,-520.76,10.25,98Zr
5990.14,6.56,7870.91,5.02,-349.39,12.91,12625.05,5.0,6999.4,5.08,3330.65,8.42,98Nb
8642.6,0.06,9799.17,4.25,-6795.0,4.75,8197.65,0.2,3534.34,0.52,3190.37,0.89,98Mo
7279.1,5.32,6176.49,3.38,-13365.79,33.08,13073.48,3.38,6143.71,3.38,6000.45,3.42,98Tc
10175.62,7.03,8289.4,7.66,-20588.44,52.2,8307.58,8.26,2660.54,8.22,5133.4,6.46,98Ru
8648.97,37.41,4343.62,12.22,-29279.0,298.0,13615.97,11.91,5146.6,15.23,8492.54,12.94,98Rh
11586.45,6.78,6012.39,35.78,,,9077.55,11.07,1883.69,6.13,7783.17,10.62,98Pd
10311.89,114.92,2549.54,33.26,,,13827.8,33.17,1763.54,33.05,10920.59,33.14,98Ag
15254.0,303.0,4099.54,121.68,,,7586.03,103.91,-3175.0,303.0,7975.89,51.89,98Cd
14778.0,499.0,731.0,422.0,,,12387.0,499.0,-2402.0,499.0,11347.0,422.0,98In
2520.0,499.0,17798.0,566.0,38861.0,401.0,6007.0,566.0,4268.0,499.0,,,99Kr
4823.31,16.58,14099.0,298.0,31214.2,12.66,7013.16,130.47,6822.59,20.89,-7311.0,298.0,99Rb
4169.61,5.73,15441.23,16.77,23448.7,4.75,6708.54,5.11,3697.0,5.81,-3795.32,21.03,99Sr
6426.37,10.32,11515.69,7.37,16678.04,6.69,8642.44,7.44,7138.39,10.74,-3649.07,7.43,99Y
4405.23,13.47,12614.81,13.15,10004.76,10.51,9211.61,12.46,5579.33,12.13,949.94,13.49,99Zr
6882.06,13.0,8337.6,14.68,3245.96,13.74,11318.13,12.01,7967.56,12.0,1646.96,13.46,99Nb
5925.44,0.15,9734.47,5.01,-3787.45,4.99,10346.48,4.25,4496.77,0.25,5115.15,0.23,99Mo
8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,99Tc
7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,99Ru
10477.41,13.66,4645.41,9.31,-24205.0,298.0,11250.06,7.24,5363.13,6.7,5886.74,8.45,99Rh
8932.99,6.88,6296.42,12.91,-34239.0,503.0,11125.71,35.81,2369.12,11.17,9544.12,4.98,99Pd
11717.38,33.5,2680.47,7.86,,,11804.18,7.92,4334.99,7.54,8621.65,11.8,99Ag
10366.02,51.82,4153.68,32.95,,,11605.53,110.12,-555.43,90.1,11898.68,4.48,99Cd
15551.0,422.0,1029.0,303.0,,,9789.0,422.0,-939.0,499.0,8782.0,311.0,99In
,,1337.0,585.0,,,9956.0,643.0,-5190.0,709.0,13275.0,643.0,99Sn
4364.0,566.0,,,41325.0,401.0,3909.0,566.0,3867.0,566.0,,,100Kr
3197.24,19.97,14777.0,401.0,33550.34,21.13,8775.0,299.0,6040.48,131.87,-6545.0,401.0,100Rb
5370.82,8.58,15988.73,8.22,26372.12,7.17,5259.05,17.6,3562.29,7.41,-6751.01,130.61,100Sr
4748.89,12.99,12094.97,12.14,18693.55,11.27,9806.51,11.64,6118.11,11.69,-3161.86,11.35,100Y
6828.14,13.29,13016.58,10.49,12849.95,8.16,6628.15,11.36,4608.04,10.55,-2149.58,8.82,100Zr
5533.38,14.42,9465.75,13.19,5793.73,19.81,12200.12,11.62,8009.32,7.98,1970.43,10.42,100Nb
8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,100Mo
6764.4,1.0,7339.82,1.34,-7882.99,5.18,12805.83,1.34,6387.8,1.34,5231.23,4.46,100Tc
9673.32,0.03,9188.5,0.95,-15032.79,1.71,7915.62,3.39,2861.09,4.13,3963.7,0.38,100Ru
8081.14,19.32,5254.72,18.12,-21278.15,183.42,13344.54,19.24,5393.48,18.33,7279.7,18.59,100Rh
11101.44,18.33,6920.45,18.86,-27929.81,302.03,8673.23,21.28,2248.83,39.61,6554.18,17.85,100Pd
9496.8,8.02,3244.28,7.06,,,13893.82,6.89,4531.94,6.96,10105.99,35.81,100Ag
12334.79,2.31,4771.09,6.49,,,9582.62,32.95,1495.3,110.12,9257.65,5.13,100Cd
11008.0,350.0,1670.82,182.53,,,14034.25,189.73,1005.0,350.0,12159.27,213.16,100In
17410.0,586.0,3196.0,424.0,,,7324.0,424.0,-5229.0,501.0,8817.0,424.0,100Sn
2147.0,643.0,,,44038.0,503.0,,,3987.0,642.0,,,101Kr
4669.0,201.0,15082.0,448.0,36047.0,200.0,6625.0,448.0,6330.0,359.0,-8948.0,447.0,101Rb
3575.32,11.1,16366.81,21.32,28195.04,8.49,6507.04,9.39,3908.29,18.18,-5367.0,298.0,101Sr
5804.92,13.23,12529.07,10.07,21283.59,25.03,8171.21,8.52,6226.16,7.79,-5045.45,17.58,101Y
4859.84,11.65,13127.53,13.94,14792.16,8.35,8194.67,10.64,3992.87,11.49,-1096.45,8.94,101Zr
7165.41,8.82,9803.02,8.97,8520.93,6.94,9439.93,11.15,7259.27,9.25,-950.31,8.77,101Nb
5398.24,0.07,11011.52,7.99,1912.18,4.6,9526.2,12.0,4868.7,5.01,3413.16,8.46,101Mo
8394.97,24.04,7440.54,24.0,-5010.22,24.49,10336.31,24.0,6635.43,24.0,2826.41,24.52,101Tc
6802.04,0.24,9226.14,1.4,-12121.66,1.55,10080.55,0.97,3338.15,3.4,5804.26,0.45,101Ru
9892.61,19.04,5474.0,5.85,-18799.0,196.0,10923.77,5.85,5676.5,8.71,4666.19,6.75,101Rh
8290.67,18.22,7129.98,18.7,-25126.51,300.04,10859.97,8.12,2607.13,12.76,8439.13,7.93,101Pd
11267.73,6.96,3410.57,18.29,,,11559.08,6.94,4850.66,6.77,7487.23,12.85,101Ag
9713.18,2.24,4987.47,5.22,,,11586.82,6.44,2094.01,32.94,11130.92,4.97,101Cd
12372.0,268.0,1708.0,196.0,,,12028.0,196.0,3887.0,202.0,10099.0,198.0,101In
11093.97,425.34,3281.62,351.16,,,11781.0,423.0,-1545.0,423.0,12977.19,304.44,101Sn
2933.0,359.0,15868.0,585.0,38598.0,298.0,8056.0,499.0,5917.0,499.0,,,102Rb
4905.71,67.6,16603.0,211.0,31406.76,67.58,4798.57,69.86,3825.89,67.19,-7753.0,406.0,102Sr
4183.49,8.18,13137.24,9.41,23399.7,10.03,9358.53,8.24,6212.28,6.25,-4405.63,5.73,102Y
6493.07,12.09,13815.68,11.26,17518.73,8.78,6450.5,14.2,3926.17,10.97,-3419.9,9.96,102Zr
5484.37,4.53,10427.56,8.7,10478.77,6.9,10783.7,8.52,6180.13,10.8,-8.32,7.07,102Nb
8117.43,8.32,11963.54,9.12,4337.11,8.33,6942.14,11.51,3633.33,14.6,-299.04,13.39,102Mo
6299.6,25.69,8341.9,9.16,-2326.19,12.28,12330.95,9.16,6261.28,9.17,3408.86,15.1,102Tc
9219.64,0.05,10050.81,24.0,-9446.75,1.71,7625.31,1.4,3085.48,0.98,2510.06,0.47,102Ru
7442.22,8.67,6114.17,6.4,-16088.43,7.87,13154.88,6.4,5706.12,6.4,6190.95,6.47,102Rh
10542.36,4.62,7779.73,5.86,-22968.29,100.11,8398.76,18.13,2542.18,6.7,5368.61,0.44,102Pd
8983.63,9.5,4103.53,9.37,,,13676.89,19.44,4800.01,9.57,8981.01,10.56,102Ag
11894.55,2.23,5614.29,5.12,,,9189.07,5.27,1916.84,6.48,8169.36,5.25,102Cd
10152.0,196.0,2147.4,4.81,,,14210.52,4.87,4100.29,4.84,11663.99,7.76,102In
12700.58,316.27,3610.0,220.0,,,10088.89,208.17,1305.0,314.0,10642.64,100.12,102Sn
3973.0,499.0,,,41420.0,401.0,6230.0,643.0,6308.0,566.0,,,103Rb
3334.0,207.0,17004.0,357.0,33538.0,196.0,6133.0,280.0,3689.0,197.0,-6724.0,446.0,103Sr
5355.71,11.87,13587.24,68.0,26146.29,14.89,7578.14,14.05,6227.38,13.3,-6564.11,22.54,103Y
4298.94,12.72,13931.13,10.09,19451.84,9.24,7956.47,11.63,4376.12,14.49,-2348.03,11.67,103Zr
6795.44,4.69,10729.93,9.61,13003.04,4.52,8848.09,9.22,6212.82,9.05,-2054.87,11.86,103Nb
5465.93,12.41,11945.1,9.56,6496.52,9.28,8641.63,9.96,3700.78,12.19,1063.17,12.3,103Mo
8102.31,13.05,8326.78,12.86,198.82,10.63,9626.89,9.81,6453.21,9.81,839.93,12.65,103Tc
6232.05,0.15,9983.26,9.16,-6615.55,1.86,9788.23,24.0,3617.83,1.4,4572.26,0.33,103Ru
9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,103Rh
7625.34,0.77,7962.84,6.45,-20484.6,70.66,10666.03,5.91,2997.99,18.14,7416.6,0.89,103Pd
10627.32,9.14,4188.49,4.14,-28624.0,298.0,11340.25,6.15,5274.14,18.11,6434.84,18.58,103Ag
9063.24,2.46,5693.9,8.37,,,11393.56,5.17,2350.4,5.32,10207.56,17.73,103Cd
12009.02,10.66,2261.87,9.77,,,11914.67,9.74,4426.06,9.77,9151.77,10.85,103In
10109.02,122.53,3566.68,70.81,,,12352.0,208.0,2204.44,195.72,12868.41,70.68,103Sn
,,-1468.0,314.0,,,14838.0,423.0,5969.0,424.0,13781.0,350.0,103Sb
4755.0,357.0,17787.0,499.0,36244.0,298.0,4311.0,422.0,3603.0,359.0,-9332.0,585.0,104Sr
3678.0,401.0,13931.0,446.0,28440.0,401.0,8806.0,406.0,6125.0,401.0,-5573.0,448.0,104Y
5980.04,13.11,14555.46,14.58,22371.65,9.65,6159.92,10.18,4201.0,11.7,-4752.75,12.6,104Zr
4861.66,4.79,11292.65,9.61,15140.34,3.58,10479.5,9.16,6211.0,8.76,-1111.61,7.58,104Nb
7460.62,12.82,12610.27,9.75,9045.14,9.02,6665.38,9.26,3405.58,9.68,-1537.61,12.2,104Mo
5970.89,26.68,8831.74,26.54,2613.01,25.24,11773.42,26.24,5880.56,24.89,2034.45,25.17,104Tc
8899.86,2.49,10780.81,9.49,-4127.33,3.01,7187.97,8.96,3112.94,24.13,1070.64,2.5,104Ru
6998.96,0.08,6981.15,2.26,-10776.68,6.22,12857.9,2.27,5862.82,2.27,5031.65,24.11,104Rh
10009.23,1.64,8652.37,2.66,-17768.06,5.9,8099.02,6.55,2881.37,5.99,4209.41,1.39,104Pd
8385.08,5.88,4948.23,4.32,-25942.83,122.52,13497.53,4.25,5179.74,6.23,7942.37,7.2,104Ag
11388.08,2.46,6454.66,4.43,,,8989.12,8.34,2230.05,5.12,7110.15,4.88,104Cd
9621.39,11.22,2820.02,6.05,,,14187.83,6.01,4517.85,5.96,10798.11,7.53,104In
12725.77,70.89,4283.43,11.21,,,9778.64,7.34,1851.0,196.0,9855.81,5.94,104Sn
11067.0,322.0,-510.0,100.0,,,16472.07,158.16,5996.06,324.03,15087.0,231.0,104Sb
2576.0,585.0,,,38727.0,503.0,5709.0,643.0,3961.0,585.0,,,105Sr
5278.0,1395.0,14453.0,1370.0,31019.73,1337.16,6863.0,1351.0,5753.0,1338.38,-7917.0,1370.0,105Y
3811.99,15.28,14690.0,401.0,24469.76,12.37,7703.65,16.5,4572.5,12.79,-3659.03,68.15,105Zr
6167.86,4.87,11480.46,10.16,17935.69,4.73,8610.59,10.07,6536.21,9.65,-3095.97,5.73,105Nb
5058.49,12.7,12807.1,9.45,11080.75,9.14,8402.34,9.88,3831.46,9.4,-103.03,12.6,105Mo
7857.96,43.14,9229.09,36.37,4780.75,35.56,9381.39,36.45,6140.03,36.23,-339.14,35.35,105Tc
5910.1,0.11,10720.02,24.94,-1600.65,2.86,9380.18,9.49,3502.44,8.96,3277.97,8.68,105Ru
8963.21,3.39,7044.5,2.85,-8210.67,10.55,10126.73,2.52,6119.25,2.52,2368.04,9.31,105Rh
7094.1,0.7,8747.51,2.57,-15079.9,4.13,10324.63,2.56,3229.48,6.51,6334.95,1.21,105Pd
10025.7,6.19,4964.7,4.72,-23055.35,22.29,11097.16,4.64,5696.39,4.58,5358.88,7.86,105Ag
