N,Z,A,EL,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,Element_w_A,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
1,0,1,n,Other,8071.317129999999,0.00045999999999999996,0.0,0.0,782.347,0.0,1008664.9158200001,0.00049,1n,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,-0.0,,,,,,,,0.0004999999999881766,,-0.0,2224.566,,,,,,,-0.0,,,6257.229,,763.755,20577.6194,
0,1,1,H,Other,7288.970609999999,9e-05,0.0,0.0,,,1007825.03224,9e-05,1H,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,-0.0,,,,,,,,,,-0.0,,,,,,,-0.0,2224.566,,,,,5493.4744,,,19813.8649
1,1,2,H,Other,13135.721759999999,0.00011,1112.2830000000001,0.0,,,2014101.7781099998,0.00011999999999999999,2H,,,,,,,,,,,,,2224.57,0.0,2224.57,0.0,,,23846.53,0.0,,,,,-2224.57,-2224.57,-2224.563900000001,0.002099999997881241,,,,,,,-2224.57,-2224.57,-0.00400000000036016,,,5493.476499999997,,-2224.57,-0.00400000000036016,-2224.57,6257.231099999997,,4032.659,3268.9044,,18353.0494,17589.2949
2,1,3,H,Other,14949.809930000001,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00022999999999999998,3H,8481.79,0.0,,,,,-13717.0,2000.0,,,,,6257.23,0.0,,,,,17589.3,0.0,19813.86,0.0,,,,-6257.23,-8481.7939,-6257.227900000002,-0.004899999999906868,,,-8481.79,,-763.7545,,-6257.23,-4032.6639999999998,,0.004899999999906868,-763.7535000000025,,,,-6257.23,0.0010999999976775143,,-0.0009999999992942321,,0.0,14320.3894,
1,2,3,He,Other,14931.21793,0.00021,2572.68,0.0,-13736.0,2000.0,3016029.32265,0.00022,3He,,,7718.04,0.0,,,,,,,,,,,5493.47,0.0,,,18353.05,0.0,,,20577.62,0.0,-5493.47,,-7718.043900000001,-5493.477900000002,,0.0005999999993946403,-7718.04,,,-14518.3465,-5493.47,,,,,-0.0035000000025320332,,-5493.47,-3268.9040000000005,,763.7510999999977,0.0003999999998995918,,0.004399999999805004,-13754.592,,14320.3949
0,3,3,Li,-pp,28667.0,2000.0,-2267.0,667.0,,,3030775.0,2147.0,3Li,,,-6800.0,2000.0,,,,,8242.0,2000.0,,,,,,,,,,,,,,,,,,,,,6800.0,,,,,,,,,,9024.3465,,,,,14518.0404,,,,,
3,1,4,H,-n,24621.127,100.0,1720.4489999999998,25.0,22196.211,100.0,4026431.8680000002,107.354,4H,4657.23,100.0,,,,,-702.06,234.52,,,1618.59,100.0,-1600.0,100.0,,,,,,,21413.86,100.0,,,,1600.0,,,1599.9951,,,-4657.23,,21413.8645,,1600.0,3824.566,836.2434999999999,3824.564900000001,,,,,1600.0,,,7857.229,,22177.619,22177.6194,
2,2,4,He,Other,2424.91561,5.9999999999999995e-05,7073.915,0.0,-22898.272999999997,212.132,4002603.2541300002,5.9999999999999995e-05,4He,,,,,0.0,0.0,,,,,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,,,0.0,-23680.619499999997,-19813.86,-20577.62,-18353.054,-35095.3465,,-18353.0535,,-19813.86,-17589.294,-20577.62,-17589.2989,,-14320.391,-14320.385600000001,-22916.864999999998,-0.0005999999993946403,0.004899999999906868
1,3,4,Li,-p,25323.189,212.132,1153.76,53.033,,,4027185.562,227.733,4Li,,,2390.47,212.13,,,,,3084.41,212.13,,,11415.0,2011.0,-3103.0,212.13,,,,,,,23680.62,212.13,3103.0,-11415.0,,,,3103.0005999999994,-2390.47,,,,3103.0,-11415.0,-9190.434000000001,,,,3866.7565,3103.0,5327.566,-11415.0,,5327.5704000000005,-5157.771,8596.4744,,9162.6194,22916.8649
4,1,5,H,-nn,32892.443999999996,89.443,1336.359,17.889,21661.211,91.652,5035311.493,96.02,5H,-1800.0,89.44,,,,,21213.56,102.47,,,22396.21,89.44,-200.0,134.16,,,,,,,,,,,,200.0,,,,,,1800.0,,20878.8645,,200.0,2424.566,21613.8635,10281.7949,,,,,200.0,,,6457.229,,21642.619,20777.6194,
