   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop    ctable    deltac    ptable 
  32  71 Ge  0.0   7.416  8.900E+02  2.100E+02   2   0.198   17   1.154   0.11903   0.08350  -0.90085
  32  73 Ge  0.0   6.783  1.500E+03  3.000E+02   6   0.392   20   0.904  -0.48829   0.10800  -0.00100
  32  74 Ge  4.5  10.196  6.200E+01  1.500E+01   6   1.725   19   2.697  -0.35282   0.08350   1.37651
  32  75 Ge  0.0   6.505  3.000E+03  1.000E+03   6   0.317   24   1.257  -0.20122   0.13550  -0.09767
  32  77 Ge  0.0   6.072  4.500E+03  1.500E+03   8   0.629   15   1.189   0.00605   0.14000  -0.11675
  33  76 As -1.5   7.328  7.700E+01  8.000E+00   6   0.204   27   0.505  -0.29308   0.04150  -0.71385
  34  75 Se  0.0   8.028  3.400E+02  8.000E+01   8   0.628   25   1.074  -0.00361   0.07850  -1.42002
  34  77 Se  0.0   7.419  6.500E+02  1.000E+02   5   0.301   16   0.970   0.12725   0.05850   0.27677
  34  78 Se -0.5  10.498  1.100E+02  3.000E+01   4   1.503   16   2.546   0.15049   0.08950   0.63901
  34  79 Se  0.0   6.963  2.000E+03  5.000E+02   4   0.365   15   0.819  -0.37297   0.08750  -1.64385
  34  81 Se  0.0   6.701  2.000E+03  8.000E+02   7   0.782   19   1.828   0.70082   0.22600   0.17091
  34  83 Se  0.0   5.818  5.000E+03  2.500E+03   8   1.063   15   1.710   0.62279   0.25050   0.02955
  35  80 Br -1.5   7.892  4.700E+01  5.000E+00   3   0.256   15   0.386   1.75888   0.41650   3.20093
  35  82 Br -1.5   7.593  1.050E+02  1.500E+01   6   0.420   29   1.083   0.14920   0.05100  -0.49914
  36  79 Kr  0.0   8.334  2.500E+02  8.000E+01   3   0.149   28   1.039  -0.14490   0.11200  -0.49817
  36  81 Kr  0.0   7.873  2.800E+02  6.000E+01   2   0.191   15   0.982   0.05092   0.07350  -0.99717
  36  84 Kr  4.5  10.521  2.000E+02  1.000E+02   4   2.095   26   3.476  -0.54098   0.17950   1.14002
  36  85 Kr  0.0   7.121  1.000E+03  1.000E+02   7   1.417   19   2.135   0.84206   0.18200   0.77788
