   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop    ctable    deltac    ptable 
  77 193 Ir  4.0   7.772  7.000E-01  2.000E-01   5   0.299   17   0.621  -0.49411   0.11900  -0.16081
  77 194 Ir  1.5   6.067  7.000E+00  2.000E+00   8   0.149   27   0.391  -0.26699   0.11750  -0.26637
  78 193 Pt  0.0   6.255  2.200E+01  8.000E+00   8   0.232   19   0.520  -0.24849   0.15000  -0.23556
  78 195 Pt  0.0   6.105  2.000E+02  8.000E+01   8   0.389   20   0.591  -0.93636   0.25000  -0.56225
  78 196 Pt -0.5   7.922  1.800E+01  3.000E+00   3   0.877   16   1.610  -0.39122   0.07700   0.48883
  78 197 Pt  0.0   5.846  3.500E+02  1.000E+02   7   0.299   15   0.529  -1.03589   0.26000  -0.43024
  78 199 Pt  0.0   5.556  3.400E+02  9.000E+01   5   0.133   19   0.979  -0.72265   0.18150   0.11350
  79 198 Au  1.5   6.512  1.650E+01  9.000E-01   3   0.193   17   0.406  -0.46243   0.07650  -0.39322
  80 199 Hg  0.0   6.664  1.050E+02  3.500E+01   2   0.208   16   0.824  -0.35474   0.13350  -0.14588
  80 200 Hg -0.5   8.028  8.000E+01  3.000E+01   5   1.515   16   1.776  -0.28559   0.14550   0.64049
  80 201 Hg  0.0   6.230  6.500E+02  1.500E+02   3   0.032   15   1.035  -0.65809   0.15700  -0.01044
  80 202 Hg -1.5   7.754  9.000E+01  3.000E+01   8   1.411   24   1.862  -0.43906   0.12850   0.40836
  81 204 Tl  0.5   6.656  2.800E+02  5.000E+01   8   0.432   26   1.135  -0.31407   0.07250   0.37663
  81 206 Tl  0.5   6.504  5.500E+03  1.500E+03   2   0.305   15   1.400  -0.35561   0.11400   0.43385
  82 205 Pb  0.0   6.732  2.000E+03  5.000E+02   8   0.996   17   1.614   0.20398   0.09950   0.02724
  82 207 Pb  0.0   6.738  3.200E+04  6.000E+03   3   1.633   15   3.428   0.93794   0.23200   1.84147
  82 208 Pb -0.5   7.368  3.800E+04  8.000E+03   2   3.198   15   4.141   0.38251   0.09000   0.09569
  82 209 Pb  0.0   3.937  4.000E+05  8.000E+04   2   1.423   33   3.557   0.07663   0.11100   0.57077
  83 210 Bi -4.5   4.605  4.000E+03  7.000E+02   8   0.550   21   1.301  -0.26281   0.08800   0.51828
  88 227 Ra  0.0   4.561  3.100E+01  6.000E+00   8   0.139   17   0.299   0.60896   0.15300  -0.09176
  90 229 Th  0.0   5.257  5.000E+00  3.000E+00   8   0.097   22   0.237   0.58433   0.29550  -0.26051
  90 230 Th  2.5   6.794  6.200E-01  1.200E-01   3   0.357   15   0.884   0.35464   0.08200   0.48281
  90 231 Th  0.0   5.118  9.600E+00  1.500E+00   3   0.162   16   0.334   0.47282   0.10650  -0.05356
  90 233 Th  0.0   4.786  1.660E+01  6.000E-01   7   0.107   16   0.326   0.64927   0.12150   0.07578
  91 233 Pa -2.0   6.529  7.500E-01  1.500E-01   7   0.109   20   0.304  -0.17320   0.07900  -0.14086
  92 233 U   0.0   5.762  4.600E+00  7.000E-01   5   0.229   15   0.411   0.42245   0.09100   0.07826
  92 234 U   2.5   6.845  5.500E-01  5.000E-02   3   0.296   15   1.024   0.49003   0.09200   0.54588
  92 235 U   0.0   5.297  1.200E+01  8.000E-01   4   0.052   16   0.295   0.12880   0.02950  -0.03590
  92 236 U  -3.5   6.545  4.300E-01  2.000E-02   4   0.522   17   1.051   0.60935   0.11300   0.49825
  92 237 U   0.0   5.126  1.500E+01  1.000E+00   7   0.205   21   0.545   0.25388   0.03100   0.20106
  92 238 U   0.5   6.154  3.500E+00  8.000E-01   3   0.307   18   1.056   0.14962   0.09800   0.48058
  92 239 U   0.0   4.806  2.080E+01  3.000E-01   8   0.226   34   0.898   0.37099   0.04700   0.53868
  93 237 Np -6.0   6.577  6.000E-01  6.000E-02   8   0.226   18   0.369  -0.25104   0.03950  -0.13091
  93 238 Np  2.5   5.488  5.700E-01  3.000E-02   2   0.062   15   0.244   0.35456   0.05100   0.03736
  93 239 Np  2.0   6.215  4.100E-01  1.000E-01   3   0.075   18   0.359   0.18502   0.09950  -0.07434
  94 239 Pu  0.0   5.646  9.000E+00  1.000E+00   4   0.164   15   0.487   0.45059   0.08850   0.18248
  94 240 Pu  0.5   6.534  2.200E+00  5.000E-02   6   0.649   23   1.137   0.63247   0.11350   0.58324
  94 241 Pu  0.0   5.242  1.240E+01  7.000E-01   6   0.175   17   0.404   0.16917   0.02550   0.21279
  94 242 Pu  2.5   6.310  7.300E-01  8.000E-02   8   0.865   15   1.084   1.20641   0.27700   0.66694
  94 243 Pu  0.0   5.034  1.350E+01  1.500E+00   2   0.125   18   0.626   0.97956   0.22250   0.19787
  94 245 Pu  0.0   4.771  1.900E+01  3.000E+00   7   0.459   15   0.758   1.10692   0.26900   0.52595
  95 242 Am -2.5   5.538  5.800E-01  4.000E-02   8   0.150   16   0.274   0.00871   0.03050   0.18281
  95 243 Am -1.0   6.365  4.000E-01  8.000E-02   7   0.189   18   0.466   0.54291   0.13150   0.15795
  95 244 Am -2.5   5.366  7.300E-01  6.000E-02   7   0.195   15   0.341   0.77074   0.16200   0.14758
  96 243 Cm  0.0   5.693  1.400E+01  3.000E+00   8   0.187   24   1.046   0.21844   0.09700   0.60215
  96 244 Cm  2.5   6.801  7.500E-01  1.500E-01   3   0.296   12   1.187   0.44846   0.10750   0.61406
  96 245 Cm  0.0   5.520  1.180E+01  1.200E+00   3   0.197   27   0.672   0.38526   0.07000   0.13524
  96 246 Cm  3.5   6.458  1.300E+00  2.000E-01   6   0.876   16   1.165   0.81978   0.19000   0.60507
  96 247 Cm  0.0   5.156  3.000E+01  5.000E+00   5   0.266   18   0.448  -0.13423   0.07500   0.06442
  96 248 Cm -4.5   6.213  1.400E+00  3.000E-01   4   0.505   15   1.235   0.60567   0.15350   0.69625
  96 249 Cm  0.0   4.713  2.800E+01  5.000E+00   8   0.220   21   0.593   0.04351   0.08650   0.28572
  97 250 Bk  3.5   4.970  1.100E+00  1.000E-01   7   0.104   18   0.180   0.22477   0.04100  -0.06141
  98 250 Cf -4.5   6.625  7.000E-01  1.000E-01   4   0.500   16   1.210   0.52047   0.11250   0.65092
  98 251 Cf  0.0   5.109  1.200E+01  2.000E+00   7   0.178   19   0.442   0.38578   0.08800   0.15803
