#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  39  90 Y   0.5  6.857   0.37000E+01   0.40000E+00  -0.11630E+01  0.0791  5.2156  0.0702  
  40  91 Zr  0.0  7.194   0.60000E+01   0.14000E+01  -0.10460E+01  0.2026  5.6972  0.1560  
  40  92 Zr  2.5  8.635   0.55000E+00   0.10000E+00   0.11500E+00  0.1637  6.1842  0.1335  
  40  93 Zr  0.0  6.733   0.35000E+01   0.80000E+00   0.53400E+00  0.2471  6.5031  0.1875  
  40  94 Zr  2.5  8.220   0.16000E+00   0.15000E-01   0.14120E+01  0.1082  7.7578  0.0968  
  40  95 Zr  0.0  6.463   0.32000E+01   0.80000E+00   0.14470E+01  0.3102  6.8877  0.2302  
  40  97 Zr  0.0  5.579   0.13000E+02   0.30000E+01   0.23310E+01  0.3099  6.2551  0.2342  
  41  94 Nb  4.5  7.227   0.80000E-01   0.10000E-01   0.69200E+00  0.1109  6.9857  0.0977  
  42  93 Mo  0.0  8.070   0.27000E+01   0.50000E+00  -0.15260E+01  0.1491  5.9401  0.1225  
  42  95 Mo  0.0  7.369   0.13200E+01   0.18000E+00   0.26600E+00  0.1347  6.9875  0.1150  
  42  96 Mo  2.5  9.154   0.10500E+00   0.10000E-01   0.11260E+01  0.0922  7.4164  0.0831  
  42  97 Mo  0.0  6.821   0.10500E+01   0.20000E+00   0.17340E+01  0.2432  7.8365  0.1946  
  42  98 Mo  2.5  8.642   0.75000E-01   0.20000E-01   0.24250E+01  0.3524  8.3211  0.2613  
  42  99 Mo  0.0  5.925   0.10000E+01   0.20000E+00   0.32890E+01  0.3293  9.4058  0.2628  
  43 100 Tc  4.5  6.764   0.12000E-01   0.13000E-02   0.29900E+01  0.1413  9.6088  0.1244  
  44 100 Ru  2.5  9.673   0.25000E-01   0.40000E-02   0.13830E+01  0.1735  8.4341  0.1448  
  44 102 Ru  2.5  9.219   0.18000E-01   0.30000E-02   0.26060E+01  0.2133  9.3661  0.1755  
  44 103 Ru  0.0  6.232   0.55000E+00   0.15000E+00   0.34380E+01  0.4693  9.8357  0.3453  
  44 105 Ru  0.0  5.910   0.30000E+00   0.75000E-01   0.40150E+01  0.4766 11.5616  0.3636  
  45 104 Rh  0.5  6.999   0.32000E-01   0.40000E-02   0.29230E+01  0.1594  9.8535  0.1396  
  46 105 Pd  0.0  7.094   0.24000E+00   0.30000E-01   0.20810E+01  0.1706  9.4220  0.1488  
  46 106 Pd  2.5  9.562   0.10300E-01   0.50000E-03   0.22860E+01  0.0577  9.5885  0.0520  
  46 107 Pd  0.0  6.538   0.14400E+00   0.32000E-01   0.30740E+01  0.3803 11.2426  0.2997  
  46 108 Pd  2.5  9.221   0.11000E-01   0.90000E-03   0.30050E+01  0.1051 10.0116  0.0939  
  46 109 Pd  0.0  6.153   0.18200E+00   0.33000E-01   0.35940E+01  0.3243 11.8008  0.2667  
  46 111 Pd  0.0  5.750   0.28000E+00   0.50000E-01   0.37900E+01  0.3399 12.2135  0.2787  
  47 108 Ag  0.5  7.270   0.22400E-01   0.50000E-02   0.24700E+01  0.2958  9.9508  0.2317  
  47 110 Ag  0.5  6.809   0.15100E-01   0.14000E-02   0.32000E+01  0.1294 11.1908  0.1167  
  48 107 Cd  0.0  7.925   0.13500E+00   0.35000E-01   0.51700E+00  0.3309  8.9203  0.2472  
  48 109 Cd  0.0  7.323   0.12000E+00   0.30000E-01   0.15930E+01  0.3726  9.9471  0.2827  
  48 111 Cd  0.0  6.975   0.15500E+00   0.20000E-01   0.22660E+01  0.1893 10.2602  0.1648  
  48 112 Cd  0.5  9.398   0.20000E-01   0.40000E-02   0.22320E+01  0.2699 10.2588  0.2179  
  48 113 Cd  0.0  6.540   0.19000E+00   0.25000E-01   0.26910E+01  0.2088 10.8020  0.1814  
  48 114 Cd  0.5  9.042   0.24800E-01   0.26000E-02   0.24390E+01  0.1423 10.4762  0.1251  
  48 115 Cd  0.0  6.141   0.23500E+00   0.35000E-01   0.27540E+01  0.2554 11.3727  0.2170  
  48 117 Cd  0.0  5.777   0.39000E+00   0.90000E-01   0.24680E+01  0.4305 11.2590  0.3337  
  49 114 In  4.5  7.274   0.13000E-01   0.30000E-02   0.20740E+01  0.2885  8.9421  0.2227  
  49 116 In  4.5  6.784   0.95000E-02   0.50000E-03   0.22930E+01  0.0672  9.8973  0.0635  
  50 113 Sn  0.0  7.742   0.15700E+00   0.52000E-01   0.79100E+00  0.4646  9.0275  0.3179  
  50 115 Sn  0.0  7.546   0.28600E+00   0.10600E+00   0.90100E+00  0.5276  8.5883  0.3458  
  50 117 Sn  0.0  6.944   0.38000E+00   0.13000E+00   0.12050E+01  0.5331  9.0023  0.3622  
  50 118 Sn  0.5  9.326   0.55000E-01   0.50000E-02   0.88200E+00  0.1037  8.9950  0.0918  
  50 119 Sn  0.0  6.485   0.48000E+00   0.90000E-01   0.11080E+01  0.2826  9.3029  0.2282  
  50 120 Sn  0.5  9.107   0.90000E-01   0.20000E-01   0.46700E+00  0.2679  8.6156  0.2086  
  50 121 Sn  0.0  6.171   0.16400E+01   0.20000E+00   0.49700E+00  0.1659  8.0171  0.1428  
  50 125 Sn  0.0  5.733   0.50000E+01   0.12000E+01  -0.21070E+01  0.3087  6.7473  0.2317  
  51 122 Sb  2.5  6.807   0.13000E-01   0.20000E-02   0.12610E+01  0.2031  9.8396  0.1701  
  51 124 Sb  3.5  6.468   0.24000E-01   0.30000E-02   0.23400E+00  0.1565  9.0561  0.1362  
  52 123 Te  0.0  6.929   0.13200E+00   0.15000E-01   0.16350E+01  0.1697 10.5789  0.1485  
  52 124 Te  0.5  9.425   0.17000E-01   0.30000E-02   0.88900E+00  0.2313 10.2401  0.1908  
  52 125 Te  0.0  6.576   0.19000E+00   0.20000E-01   0.77100E+00  0.1591 10.4404  0.1408  
  52 126 Te  0.5  9.113   0.38000E-01   0.50000E-02  -0.16800E+00  0.1608  9.4766  0.1396  
  52 127 Te  0.0  6.291   0.55000E+00   0.10000E+00  -0.48400E+00  0.2709  9.1342  0.2195  
  52 129 Te  0.0  6.083   0.14600E+01   0.30000E+00  -0.21440E+01  0.2775  7.8220  0.2188  
  52 131 Te  0.0  5.929   0.10400E+01   0.10000E+00  -0.41840E+01  0.1220  8.0194  0.1063  
  53 128 I   2.5  6.826   0.15400E-01   0.50000E-03   0.10900E+00  0.0386  9.4830  0.0365  
  53 130 I   3.5  6.500   0.13600E-01   0.30000E-03  -0.12770E+01  0.0253  9.4707  0.0255  
  54 129 Xe  0.0  6.907   0.25000E+00   0.10000E+00   0.49700E+00  0.6760  9.4828  0.4294  
  54 130 Xe  0.5  9.256   0.38000E-01   0.50000E-02  -0.37200E+00  0.1552  9.3027  0.1348  
  54 131 Xe  0.0  6.605   0.23000E+00   0.60000E-01  -0.76700E+00  0.4094  9.8163  0.3074  
  54 132 Xe  1.5  8.935   0.49000E-01   0.15000E-01  -0.17920E+01  0.3748  8.3773  0.2639  
  54 133 Xe  0.0  6.439   0.75000E+00   0.23600E+00  -0.24700E+01  0.4515  8.1843  0.3154  
  54 135 Xe  0.0  6.383   0.16000E+01   0.60000E+00  -0.46700E+01  0.4744  7.0827  0.3031  
  54 137 Xe  0.0  4.026   0.13000E+02   0.60000E+01  -0.47590E+01  0.9182  7.1184  0.5298  
  55 134 Cs  3.5  6.891   0.21000E-01   0.20000E-02  -0.15460E+01  0.1052  8.5842  0.0927  
  55 135 Cs  4.0  8.762   0.16000E-01   0.30000E-02  -0.25810E+01  0.1811  8.0107  0.1462  
  55 136 Cs  3.5  6.828   0.51000E-01   0.16000E-01  -0.36690E+01  0.3355  7.5238  0.2341  
  56 131 Ba  0.0  7.493   0.58000E-01   0.10000E-01   0.13290E+01  0.2555 10.7555  0.2113  
  56 133 Ba  0.0  7.189   0.11000E+00   0.35000E-01   0.33500E+00  0.5111 10.1576  0.3591  
