  ZZ   NN   BETA    GAMMA   SPH2    OCT0    OCT1    OCT2    OCT3 
  44   54   1.322   1.414   0.000   0.000   0.000   0.000   2.435
  44   56   1.130   1.362   0.000   0.000   0.000   0.000   2.167
  44   58   0.944   1.103   0.000   0.000   0.000   0.000   2.044
  44   60   0.988   0.893   0.000   0.000   0.000   0.000   1.970
  44   62   0.990   0.792   0.000
  44   64   0.976   0.708   0.000
  46   50   0.000   0.000   1.415
  46   52   0.000   0.000   0.863
  46   54  -1.588  -1.523   0.000
  46   56   1.593   1.534   0.000   0.000   0.000   0.000   2.343
  46   58   1.334   1.341   0.000 
  46   60   1.134   1.128   0.000   0.000   0.000   0.000   2.084
  46   62   1.053   0.931   0.000   0.000   0.000   0.000   2.047
  46   64   0.947   0.814   0.000   0.000   0.000   0.000   2.038
  46   66   0.890   0.737   0.000
  46   68   0.872   0.694   0.000
  46   70   1.110   0.737   0.000
  48   50   0.000   0.000   1.395
  48   52   0.000   0.000   1.005
  48   58   1.795   1.717   0.000   0.000   0.000   0.000   2.379
  48   60   1.720   1.602   0.000   0.000   0.000   0.000   2.202
  48   62   1.473   1.475   0.000   0.000   0.000   0.000   2.079
  48   64   1.224   1.312   0.000   0.000   0.000   0.000   2.005
  48   66   1.134   1.210   0.000   0.000   0.000   0.000   1.958
  48   68   1.282   1.213   0.000   0.000   0.000   0.000   1.921
  48   70   0.000   0.000   0.488   0.000   0.000   0.000   1.936
  48   72   0.000   0.000   0.506   0.000   0.000   0.000   1.920
  48   74   0.000   0.000   0.569
  48   76   0.000   0.000   0.613
  48   78   0.000   0.000   0.652
  48   80   0.000   0.000   0.645
  48   82   0.000   0.000   0.957
  50   52   0.000   0.000   1.472
  50   54   0.000   0.000   1.260
  50   56   0.000   0.000   1.206
  50   58   0.000   0.000   1.206
  50   60   0.000   0.000   1.212   0.000   0.000   0.000   2.459
  50   62   0.000   0.000   1.257   0.000   0.000   0.000   2.355
  50   64   0.000   0.000   1.300   0.000   0.000   0.000   2.274
  50   66   0.000   0.000   1.294   0.000   0.000   0.000   2.266
  50   68   0.000   0.000   1.230   0.000   0.000   0.000   2.325
  50   70   0.000   0.000   1.171   0.000   0.000   0.000   2.400
  50   72   0.000   0.000   1.141   0.000   0.000   0.000   2.493
  50   74   0.000   0.000   1.132   0.000   0.000   0.000   2.603
  50   76   0.000   0.000   1.141   0.000   0.000   0.000   2.720
  50   78   0.000   0.000   1.169   0.000   0.000   0.000  -2.64 
  50   80   0.000   0.000   1.221   0.000   0.000   0.000  -2.49
  50   82   0.000   0.000   4.041   0.000   0.000   0.000   4.351
  52   62   1.348   1.391   0.000
  52   64  -1.100   1.219   0.000   0.000   0.000   0.000  -2.12 
  52   66   0.957   1.151   0.000   0.000   0.000   0.000   1.944
  52   68   1.103   1.201   0.000   0.000   0.000   0.000   2.083
  52   70   1.357   1.256   0.000   0.000   0.000   0.000   2.200
  52   72   1.657   1.326   0.000   0.000   0.000   0.000   2.294
  52   74   1.873   1.420   0.000   0.000   0.000   0.000   2.386
  52   76   0.000   0.000   0.743   0.000   0.000   0.000   2.440
  52   78   0.000   0.000   0.839   0.000   0.000   0.000   2.527
  52   80   0.000   0.000   0.974   0.000   0.000   0.000   2.280
  52   82   0.000   0.000   1.279   0.000   0.000   0.000  -4.50 
  52   84   0.000   0.000   0.607
  52   86   0.000   0.000   0.443
  54   64   0.830   0.928   0.000   0.000   0.000   0.000  -2.14 
  54   66   0.908   0.875   0.000
  54   68   1.149   0.843   0.000
  54   70   1.269   0.847   0.000
  54   72   1.313   0.880   0.000   0.000   0.000   0.000  -2.00 
  54   74   1.583   0.969   0.000   0.000   0.000   0.000   2.138
  54   76   1.794   1.122   0.000
  54   78   1.850   1.298   0.000   0.000   0.000   0.000   2.469
  54   80   0.000   0.000   0.847   0.000   0.000   0.000  -2.65 
  54   82   0.000   0.000   1.313   0.000   0.000   0.000   3.275
  54   84   0.000   0.000   0.589   0.000   0.000   0.000  -2.01 
  56   68   0.898   0.873   0.000
  56   70   0.983   0.873   0.000   0.000   0.000   0.000   1.742
  56   72   0.942   0.884   0.000   0.000   0.000   0.000  -1.83 
  56   74   1.180   0.908   0.000   0.000   0.000   0.000  -1.94 
  56   76   1.504   1.032   0.000   0.000   0.000   0.000   2.068
  56   78   1.760   1.168   0.000   0.000   0.000   0.000   2.255
  56   80   0.000   0.000   0.819   0.000   0.000   0.000   2.391
  56   82   0.000   0.000   1.436   0.000   0.000   0.000   2.881
  56   84   1.824   1.511   0.000   0.000   0.000   0.000   1.803
  56   86   1.536   1.424   0.000   0.000   0.000   0.000  -1.29 
  56   88   1.020   1.315   0.000  -0.75    0.000   0.000   0.000
  56   90   1.053   1.566   0.000  -0.73    0.000   0.000   0.000
  58   72   1.026   0.834   0.000
  58   74  -1.383   0.822   0.000
  58   76   1.534   0.966
  58   78   1.076   1.092   0.000   0.000   0.000   0.000  -1.8
  58   80   0.000   0.000   0.789   0.000   0.000   0.000   2.394
  58   82   0.000   0.000   1.596   0.000   0.000   0.000   2.464
  58   84   2.031   1.536   0.000   0.000   0.000   0.000   1.652
  58   86           1.489   0.000   0.000   0.000   0.000  -1.24 
  58   88   1.043   1.274   0.000  -0.91    0.000   0.000   0.000
  58   90   0.770   0.990   0.000  -0.75    0.000   0.000   0.000
  60   72           0.823
  60   74           0.754
  60   76           0.862
  60   78           1.014
  60   80   0.000   0.000   0.773   0.000   0.000   0.000   2.124
  60   82   0.000   0.000   1.575   0.000   0.000   0.000   2.085
  60   84   0.000   0.000   0.696   0.000   0.000   0.000   1.511
  60   86   0.916   1.471   0.000   0.000   1.37    0.000   1.190
  60   88   0.917   1.249   0.000   0.000   1.02    0.000   1.000
  60   90   0.676   1.061   0.000  -0.85    1.18    0.000   0.000
  60   92   1.139   0.868   0.000  -1.15    0.000   1.542   0.000
  62   74           0.713
  62   76           0.745
  62   78   0.991   1.599
  62   80   0.000   0.000   0.768   0.000   0.000   0.000   1.784
  62   82   0.000   0.000   1.660   0.000   0.000   0.000   1.810
  62   84   0.000   0.000   0.747   0.000   0.000   0.000   1.380
  62   86   1.424   1.454   0.000   0.000   1.465   0.000   1.162
  62   88   0.740   1.046   0.000  -1.10    0.000   1.658   1.070
  62   90   0.685   1.086   0.000  -0.95    1.510   1.65    2.01
  62   92   1.099   1.178   0.000  -0.92    1.47    1.75    1.92
  62   94   1.068   1.441   0.000  -0.80    1.01    1.75    2.52
  64   76           0.713
  64   78   1.368   0.980   0.000   0.000   0.000   0.000  -1.44 
  64   80   0.000   0.000   0.743   0.000   0.000   0.000   1.702
  64   82   0.000   0.000   1.972   0.000   0.000   0.000   1.579
  64   84   0.000   0.000   0.784   0.000   0.000   0.000   1.273
  64   86   1.207   1.519   0.000   0.000   0.000   0.000   1.134
  64   88   0.615   1.109   0.000  -1.1     1.75    1.64    2.3
  64   90   0.681   0.996   0.000  -1.24    1.414   1.398   2.08
  64   92   1.050   1.154   0.000  -1.35    1.242   1.780   1.94
  64   94   1.196   1.187   0.000  -1.25    0.977   1.793   1.6
  64   96   1.379   0.989   0.000
  64   98   1.427   0.864   0.000
  66   80   0.000   0.000   0.683   0.000   0.000   0.000   1.783
  66   82   0.000   0.000   1.677   0.000   0.000   0.000   1.688
  66   84   0.000   0.000   0.803   0.000   0.000   0.000   1.395
  66   86   0.775   1.199   0.000  -1.2     1.698   0.000   0.000
  66   88   0.661   1.027   0.000  -1.2     1.4     1.6     1.9
  66   90   0.676   0.891   0.000  -1.2     1.5     1.38    1.9
  66   92   0.991   0.946   0.000  -1.4    -1.5    -1.3    -1.5
  66   94   1.280   0.966   0.000  -1.2     1.28    1.26   -1.4
  66   96   1.398   0.888   0.000  -1.26    1.637   1.148   1.571
  66   98   1.655   0.762   0.000  -1.66   -1.8     0.977  -1.9
  66   100  1.149   0.857   0.000                   1.030
  68   80   0.000   0.000   0.647   0.000   0.000   0.000  -2.25
  68   82   0.000   0.000   1.579   0.000   0.000   0.000   1.786
  68   84   0.000   0.000   0.808   0.000   0.000   0.000   1.524
  68   88   0.930   0.930   0.000  -1.2     0.000   1.630  -1.9
  68   90   0.806   0.820   0.000  -1.2     1.418   1.614
  68   92   0.894   0.854   0.000
  68   94   1.087   0.901   0.000  -1.3    -1.5     1.572
  68   96   1.246   0.860   0.000  -1.37    1.577   0.000  -1.57
  68   98   1.460   0.785   0.000  -1.6     1.830   1.458   1.917
  68   100  1.217   0.821   0.000  -1.7     1.359   1.569   1.541
  68   102  0.891   0.960   0.000  -1.3     1.266  -1.5    -1.6
  68   104  1.322   0.961   0.000
  70   82   0.000   0.000   1.531   0.000   0.000   0.000   1.89
  70   84   0.000   0.000   0.821
  70   90   1.086   0.820   0.000   0.000   1.525   0.000   1.255
  70   92   0.606   0.799   0.000
  70   94   0.976   0.864   0.000   0.000   0.000  -1.4    -1.5
  70   96   1.043   0.932   0.000  -1.3    -1.53   -1.5
  70   98   1.154   0.983   0.000  -1.4     0.000   0.000   1.595
  70   100  1.069   1.145   0.000   1.35    1.512   1.425  -1.7
  70   102  1.043   1.466   0.000   1.58    1.155   1.757  -2.0
  70   104  1.487   1.634   0.000   1.70    0.000   1.318   1.851
  70   106  1.780   1.260   0.000
  70   108  1.315   1.221   0.000
  72   82   0.000   0.000   1.513   0.000   0.000   0.000   2.011
  72   84   0.000   0.000   0.858
  72   94   0.695   0.810   0.000
