Energy,Data
6.41E-07,85.685
6.61E-07,83.7943
6.69E-07,83.1091
6.81E-07,82.1803
6.85E-07,81.8438
6.98E-07,80.8801
7.09E-07,80.1252
7.27E-07,79.0066
7.35E-07,78.6567
7.46E-07,78.1458
7.59E-07,77.5314
7.61E-07,77.4579
7.82E-07,76.7579
7.86E-07,76.6555
7.93E-07,76.5279
8.11E-07,76.2142
8.14E-07,76.1661
8.15E-07,76.1597
8.32E-07,76.116
8.37E-07,76.115
8.50E-07,76.2842
8.60E-07,76.4397
8.68E-07,76.6795
8.82E-07,77.1496
8.85E-07,77.2416
8.87E-07,77.3327
8.99E-07,78.0025
9.04E-07,78.2573
9.12E-07,78.8641
9.23E-07,79.7181
9.25E-07,79.9057
9.38E-07,81.259
9.42E-07,81.7671
9.48E-07,82.4496
9.53E-07,83.1355
9.56E-07,83.5381
9.58E-07,83.844
9.68E-07,85.4799
9.69E-07,85.7182
9.78E-07,87.4186
9.83E-07,88.4018
9.88E-07,89.6646
9.97E-07,91.685
9.99E-07,92.2485
1.01E-06,94.2422
1.01E-06,95.7155
1.01E-06,96.3976
1.02E-06,98.8006
1.02E-06,99.3259
1.03E-06,101.511
1.03E-06,103.522
1.03E-06,104.44
1.04E-06,106.527
1.04E-06,107.702
1.04E-06,108.4
1.04E-06,108.615
1.05E-06,111.301
1.05E-06,114.011
1.06E-06,115.22
1.06E-06,117.94
1.06E-06,119.489
1.07E-06,122.652
1.07E-06,124.016
1.08E-06,128.816
1.09E-06,133.805
1.10E-06,139.727
1.10E-06,142.375
1.10E-06,143.069
1.11E-06,146.125
1.11E-06,150.339
1.11E-06,151.108
1.12E-06,152.883
1.12E-06,154.07
1.13E-06,154.993
1.13E-06,155.491
1.13E-06,155.709
1.13E-06,156.04
1.14E-06,155.986
1.14E-06,155.964
1.14E-06,155.473
1.14E-06,155.377
1.15E-06,154.104
1.15E-06,153.784
1.15E-06,151.959
1.15E-06,151.941
1.15E-06,151.261
1.16E-06,149.031
1.16E-06,147.598
1.16E-06,144.094
1.16E-06,143.115
1.17E-06,138.679
1.17E-06,137.741
1.17E-06,136.673
1.18E-06,132.567
1.18E-06,131.511
1.18E-06,124.821
1.19E-06,117.905
1.20E-06,109.636
1.20E-06,106.962
1.20E-06,103.976
1.20E-06,100.469
1.21E-06,93.9414
1.21E-06,90.8639
1.22E-06,87.7748
1.22E-06,83.0206
1.22E-06,82.0475
1.23E-06,78.5149
1.23E-06,77.6844
1.23E-06,75.1924
1.23E-06,74.9246
1.23E-06,73.4185
1.24E-06,72.8697
1.24E-06,72.0601
1.24E-06,69.159
1.24E-06,68.4943
1.25E-06,66.4867
1.25E-06,64.6175
1.25E-06,64.109
1.25E-06,62.2975
1.25E-06,62.0233
1.26E-06,60.118
1.26E-06,59.1788
1.26E-06,58.3714
1.27E-06,56.5075
1.27E-06,56.2473
1.27E-06,54.5066
1.27E-06,54.1983
1.28E-06,53.0171
1.28E-06,52.3253
1.28E-06,51.8692
1.29E-06,50.8909
1.29E-06,50.5757
1.29E-06,50.0326
1.30E-06,49.1538
1.30E-06,48.6294
1.31E-06,47.9654
1.32E-06,46.6677
1.32E-06,46.4293
1.32E-06,46.353
1.33E-06,45.0619
1.33E-06,44.7726
1.34E-06,43.8526
1.34E-06,43.6765
1.35E-06,42.9282
1.35E-06,42.2017
1.35E-06,42.0344
1.36E-06,41.1809
1.37E-06,40.6094
1.37E-06,40.3814
1.37E-06,39.6541
1.38E-06,39.1693
1.38E-06,38.671
1.39E-06,37.9645
1.39E-06,37.8068
1.41E-06,37.0597
1.41E-06,36.9639
1.41E-06,36.6219
1.42E-06,36.1317
1.43E-06,35.844
1.44E-06,35.1665
1.44E-06,35.1023
1.45E-06,34.5419
1.46E-06,34.2942
1.47E-06,33.9923
1.47E-06,33.9749
1.48E-06,33.6162
1.49E-06,33.5084
1.50E-06,33.0882
1.51E-06,32.7835
1.52E-06,32.7315
1.52E-06,32.5818
1.54E-06,32.1408
1.55E-06,32.1123
1.57E-06,31.7653
1.59E-06,31.4108
1.59E-06,31.3878
1.60E-06,31.2508
1.61E-06,31.1093
1.63E-06,30.8257
1.65E-06,30.6728
1.66E-06,30.5708
1.68E-06,30.3499
1.70E-06,30.1458
1.72E-06,30.0405
1.73E-06,29.9845
1.74E-06,29.9061
1.75E-06,29.8532
1.77E-06,29.7755
1.78E-06,29.7475
1.79E-06,29.7346
1.80E-06,29.7336
1.81E-06,29.7496
1.83E-06,29.7868
1.83E-06,29.8047
1.84E-06,29.8719
1.85E-06,29.9637
1.86E-06,30.0802
1.87E-06,30.2126
1.87E-06,30.2303
1.88E-06,30.4453
1.88E-06,30.5142
1.88E-06,30.6171
1.88E-06,30.6185
1.89E-06,30.8007
1.89E-06,30.8111
1.90E-06,31.0628
1.90E-06,31.3525
1.91E-06,31.6436
1.91E-06,31.6595
1.91E-06,32.0078
1.92E-06,32.3157
1.92E-06,32.565
1.92E-06,32.6657
1.93E-06,33.098
1.93E-06,33.4448
1.93E-06,33.7212
1.93E-06,33.8307
1.94E-06,34.2735
1.94E-06,34.6994
1.94E-06,34.9846
1.94E-06,35.3315
1.95E-06,36.0551
1.95E-06,36.4258
1.95E-06,36.5949
1.95E-06,37.2012
1.96E-06,37.8553
1.96E-06,38.0675
1.96E-06,38.35
1.96E-06,38.5732
1.96E-06,39.3764
1.96E-06,39.9846
1.96E-06,40.2568
1.97E-06,41.2368
1.97E-06,41.9788
1.97E-06,42.3108
1.97E-06,43.5048
1.97E-06,44.4073
1.97E-06,44.8106
1.98E-06,46.2573
1.98E-06,47.3469
1.98E-06,47.8326
1.98E-06,49.5674
1.98E-06,50.8665
1.98E-06,51.4434
1.99E-06,53.4909
1.99E-06,55.0119
1.99E-06,55.6841
1.99E-06,58.0486
1.99E-06,58.7936
1.99E-06,59.7888
1.99E-06,60.5537
2.00E-06,64.0439
2.00E-06,64.5823
2.00E-06,65.1472
2.00E-06,68.8938
2.01E-06,76.9059
2.01E-06,81.6326
2.01E-06,82.2261
2.02E-06,85.5918
2.02E-06,86.4104
2.02E-06,89.7884
2.02E-06,90.1518
2.02E-06,92.5236
2.02E-06,92.6176
2.03E-06,94.4862
2.03E-06,95.3756
2.03E-06,95.9191
2.03E-06,96.9684
2.03E-06,96.9757
2.03E-06,97.5496
2.04E-06,97.6844
2.04E-06,97.7664
2.04E-06,97.7714
2.04E-06,97.5755
2.04E-06,97.3064
2.04E-06,97.1558
2.04E-06,96.2295
2.04E-06,95.9817
2.05E-06,94.9075
2.05E-06,94.5779
2.05E-06,92.9627
2.05E-06,91.5908
2.05E-06,90.6309
2.05E-06,87.8868
2.06E-06,87.64
2.06E-06,86.8325
2.06E-06,83.5862
2.06E-06,82.4337
2.06E-06,77.7374
2.07E-06,68.7723
2.07E-06,67.6139
2.07E-06,65.8981
2.08E-06,64.4652
2.08E-06,62.0044
2.08E-06,60.3966
2.08E-06,57.8503
2.08E-06,56.8787
2.08E-06,55.4598
2.09E-06,53.2171
2.09E-06,52.4805
2.09E-06,52.3695
2.09E-06,51.1382
2.09E-06,49.2088
2.09E-06,48.4849
2.09E-06,47.4374
2.10E-06,45.8064
2.10E-06,45.1975
2.10E-06,44.3189
2.10E-06,42.9565
2.10E-06,42.4496
2.10E-06,41.7191
2.10E-06,41.7191
2.11E-06,40.5883
2.11E-06,40.168
2.11E-06,39.5628
2.11E-06,38.6269
2.11E-06,38.279
2.11E-06,37.7779
2.12E-06,37.0024
2.12E-06,36.7136
2.12E-06,36.3009
2.12E-06,35.6614
2.13E-06,35.0651
2.13E-06,34.8457
2.13E-06,34.276
2.13E-06,33.5735
2.13E-06,33.4004
2.14E-06,33.1562
2.14E-06,32.5921
2.14E-06,32.0765
2.14E-06,31.8868
2.15E-06,31.6189
2.15E-06,31.208
2.15E-06,31.0053
2.15E-06,30.8407
2.16E-06,30.5117
2.16E-06,30.1446
2.16E-06,30.0618
2.17E-06,29.7827
2.17E-06,29.6681
2.18E-06,29.3293
2.18E-06,29.0201
2.18E-06,28.917
2.19E-06,28.7455
2.19E-06,28.5001
2.20E-06,28.2013
2.21E-06,27.9917
2.21E-06,27.934
2.22E-06,27.7027
2.22E-06,27.4888
2.23E-06,27.339
2.23E-06,27.2082
2.25E-06,26.9665
2.26E-06,26.7453
2.27E-06,26.5423
2.27E-06,26.5368
2.28E-06,26.4455
2.28E-06,26.3608
2.30E-06,26.1481
2.30E-06,26.0874
2.31E-06,25.9547
2.33E-06,25.7758
2.36E-06,25.5265
2.38E-06,25.2959
2.39E-06,25.2046
2.41E-06,25.0769
2.43E-06,24.8671
2.44E-06,24.8312
2.45E-06,24.6985
2.46E-06,24.6715
2.48E-06,24.4971
2.49E-06,24.4071
2.50E-06,24.2854
2.52E-06,24.1549
2.54E-06,24.0067
2.54E-06,23.9413
2.57E-06,23.7133
2.57E-06,23.6993
2.58E-06,23.5425
2.59E-06,23.4454
2.60E-06,23.3662
2.61E-06,23.1836
2.62E-06,23.1673
2.63E-06,22.9921
2.63E-06,22.9748
2.64E-06,22.8499
2.65E-06,22.7224
2.67E-06,22.6143
2.67E-06,22.5741
2.68E-06,22.5487
2.68E-06,22.5374
2.69E-06,22.55
2.69E-06,22.5516
2.69E-06,22.5578
2.70E-06,22.6359
2.70E-06,22.6633
2.70E-06,22.6664
2.71E-06,22.7492
2.71E-06,22.797
2.71E-06,22.9664
2.72E-06,23.1567
2.72E-06,23.3918
2.73E-06,23.6562
2.73E-06,23.6974
2.74E-06,24.0691
2.74E-06,24.3955
2.74E-06,24.5019
2.75E-06,25.0384
2.75E-06,25.2699
2.75E-06,25.5769
2.76E-06,26.1428
2.76E-06,26.2179
2.77E-06,26.9526
2.77E-06,26.9526
2.78E-06,27.7622
2.78E-06,28.5339
2.78E-06,28.6359
2.80E-06,29.6773
2.80E-06,29.6964
2.80E-06,30.2754
2.81E-06,30.6892
2.81E-06,31.2697
2.82E-06,31.3505
2.82E-06,31.7788
2.83E-06,32.2391
2.84E-06,32.5104
2.84E-06,32.6307
2.85E-06,33.018
2.85E-06,33.12
2.86E-06,33.4421
2.86E-06,33.5141
2.87E-06,33.801
2.88E-06,34.1238
2.88E-06,34.2015
2.89E-06,34.5318
2.90E-06,34.8834
2.91E-06,35.2495
2.91E-06,35.2833
2.93E-06,35.8181
2.93E-06,35.9295
2.94E-06,36.4505
2.94E-06,36.4959
2.94E-06,36.6774
2.94E-06,36.7625
2.95E-06,37.1313
2.96E-06,37.782
2.96E-06,37.8774
2.97E-06,38.7052
2.97E-06,38.7597
2.98E-06,39.5228
2.98E-06,39.8378
2.99E-06,40.3735
2.99E-06,41.2017
2.99E-06,41.3065
3.00E-06,42.3854
3.01E-06,42.8311
3.01E-06,43.5742
3.01E-06,44.0858
3.02E-06,44.9214
3.02E-06,45.4967
3.03E-06,46.4358
3.03E-06,47.0797
3.03E-06,47.6921
3.04E-06,48.8569
3.04E-06,49.0514
3.04E-06,50.5438
3.05E-06,50.8497
3.05E-06,52.1703
3.05E-06,53.0717
