#  Theoretical Giant Dipole Resonance parameters
#  Z   A El    Eta    E1     W1     E2     W2
#                   [MeV]  [MeV]  [MeV]  [MeV] 
#--------------------------------------------------
  50 102 Sn  1.000  16.31   4.04  16.31   4.04
  50 103 Sn  1.000  16.28   4.15  16.28   4.15
  50 104 Sn  1.000  16.25   4.26  16.25   4.26
  50 105 Sn  1.016  16.22   4.36  16.22   4.36
  50 106 Sn  1.000  16.19   4.45  16.19   4.45
  50 107 Sn  1.058  16.16   4.63  16.16   4.63
  50 108 Sn  1.016  16.13   4.86  16.13   4.86
  50 109 Sn  1.041  16.10   5.02  16.10   5.02
  50 110 Sn  1.082  16.06   5.13  16.06   5.13
  50 111 Sn  1.079  16.03   5.29  16.03   5.29
  50 112 Sn  1.118  14.92   3.89  16.53   5.78
  50 113 Sn  1.118  14.89   3.92  16.49   5.86
  50 114 Sn  1.118  14.86   3.93  16.45   5.89
  50 115 Sn  1.118  14.82   3.94  16.42   5.92
  50 116 Sn  1.082  15.85   5.54  15.85   5.54
  50 117 Sn  1.082  15.81   5.52  15.81   5.52
  50 118 Sn  1.000  15.78   5.50  15.78   5.50
  50 119 Sn  1.016  15.74   5.38  15.74   5.38
  50 120 Sn  1.000  15.70   5.24  15.70   5.24
  50 121 Sn  1.044  15.66   5.16  15.66   5.16
  50 122 Sn  1.000  15.63   5.06  15.63   5.06
  50 123 Sn  1.000  15.59   4.93  15.59   4.93
  50 124 Sn  1.000  15.55   4.78  15.55   4.78
  50 125 Sn  1.000  15.51   4.63  15.51   4.63
  50 126 Sn  1.000  15.47   4.47  15.47   4.47
  50 127 Sn  1.012  15.43   4.29  15.43   4.29
  50 128 Sn  1.000  15.39   4.15  15.39   4.15
  50 129 Sn  1.012  15.35   3.99  15.35   3.99
  50 130 Sn  1.000  15.31   3.86  15.31   3.86
  50 131 Sn  1.000  15.27   3.72  15.27   3.72
  50 132 Sn  1.000  15.23   3.60  15.23   3.60
  50 133 Sn  1.011  15.18   3.68  15.18   3.68
  50 134 Sn  1.000  15.14   3.77  15.14   3.77
  50 135 Sn  1.000  15.10   3.86  15.10   3.86
  50 136 Sn  1.000  15.06   3.95  15.06   3.95
  50 137 Sn  1.000  15.02   4.04  15.02   4.04
  50 138 Sn  1.000  14.97   4.13  14.97   4.13
  50 139 Sn  1.000  14.93   4.21  14.93   4.21
  50 140 Sn  1.000  14.89   4.30  14.89   4.30
  50 141 Sn  1.016  14.85   4.51  14.85   4.51
  50 142 Sn  1.000  14.80   4.75  14.80   4.75
  50 143 Sn  1.000  14.76   5.02  14.76   5.02
  50 144 Sn  1.079  14.72   5.39  14.72   5.39
  50 145 Sn  1.088  14.68   5.67  14.68   5.67
  50 146 Sn  1.123  13.61   3.82  15.14   6.02
  50 147 Sn  1.305  12.30   3.25  15.72   5.97
  50 148 Sn  1.305  12.27   3.23  15.67   5.93
  50 149 Sn  1.318  12.15   3.17  15.67   5.90
  50 150 Sn  1.318  12.12   3.15  15.64   5.83
  50 151 Sn  1.310  12.14   3.16  15.57   5.88
  50 152 Sn  1.310  12.10   3.16  15.52   5.87
  50 153 Sn  1.310  12.06   3.15  15.48   5.88
  50 154 Sn  1.310  12.03   3.14  15.43   5.85
  50 155 Sn  1.310  11.99   3.14  15.38   5.88
  50 156 Sn  1.265  12.24   3.27  15.20   5.93
  50 157 Sn  1.265  12.20   3.18  15.15   5.65
  50 158 Sn  1.241  12.32   3.16  15.03   5.39
  50 159 Sn  1.241  12.28   3.09  14.98   5.20
  51 108 Sb  1.128  16.10   4.83  16.10   4.83
  51 109 Sb  1.140  14.81   3.71  16.70   5.47
  51 110 Sb  1.149  14.71   3.75  16.71   5.68
  51 111 Sb  1.140  14.76   3.83  16.64   5.81
  51 112 Sb  1.149  14.65   3.89  16.64   6.06
  51 113 Sb  1.127  14.80   4.03  16.52   6.22
  51 114 Sb  1.169  14.43   3.94  16.65   6.41
  51 115 Sb  1.172  14.38   3.94  16.63   6.47
  51 116 Sb  1.169  14.37   3.96  16.58   6.47
  51 117 Sb  1.169  14.34   3.92  16.54   6.39
  51 118 Sb  1.169  14.31   3.91  16.51   6.37
  51 119 Sb  1.118  14.69   4.08  16.27   6.31
  51 120 Sb  1.118  14.65   4.03  16.23   6.19
  51 121 Sb  1.115  14.65   3.97  16.18   6.02
  51 122 Sb  1.115  14.61   3.88  16.14   5.82
  51 123 Sb  1.082  15.60   5.29  15.60   5.29
  51 124 Sb  1.079  15.56   5.13  15.56   5.13
  51 125 Sb  1.000  15.52   5.15  15.52   5.15
  51 126 Sb  1.071  15.48   4.80  15.48   4.80
  51 127 Sb  1.000  15.45   4.75  15.45   4.75
  51 128 Sb  1.000  15.41   4.55  15.41   4.55
  51 129 Sb  1.000  15.37   4.36  15.37   4.36
  51 130 Sb  1.067  15.33   4.11  15.33   4.11
  51 131 Sb  1.000  15.29   4.01  15.29   4.01
  51 132 Sb  1.000  15.25   3.86  15.25   3.86
  51 133 Sb  1.000  15.21   3.71  15.21   3.71
  51 134 Sb  1.063  15.17   3.79  15.17   3.79
  51 135 Sb  1.067  15.13   3.87  15.13   3.87
  51 136 Sb  1.093  15.08   3.95  15.08   3.95
  51 137 Sb  1.072  15.05   4.06  15.05   4.06
  51 138 Sb  1.077  15.01   4.18  15.01   4.18
  51 139 Sb  1.072  14.97   4.31  14.97   4.31
  51 140 Sb  1.072  14.92   4.46  14.92   4.46
  51 141 Sb  1.093  14.88   4.64  14.88   4.64
  51 142 Sb  1.123  14.84   4.92  14.84   4.92
  51 143 Sb  1.128  14.80   5.22  14.80   5.22
  51 144 Sb  1.153  13.50   3.71  15.38   5.87
  51 145 Sb  1.166  13.37   3.72  15.39   6.04
  51 146 Sb  1.191  13.15   3.65  15.44   6.12
  51 147 Sb  1.296  12.40   3.29  15.74   5.99
  51 148 Sb  1.319  12.21   3.16  15.76   5.79
  51 149 Sb  1.305  12.27   3.15  15.68   5.66
  51 150 Sb  1.305  12.23   3.12  15.63   5.58
  51 151 Sb  1.305  12.20   3.10  15.59   5.51
  51 152 Sb  1.293  12.24   3.13  15.51   5.57
  51 153 Sb  1.293  12.21   3.14  15.46   5.61
  51 154 Sb  1.301  12.13   3.13  15.46   5.71
  51 155 Sb  1.293  12.15   3.22  15.39   5.90
  51 156 Sb  1.265  12.29   3.30  15.26   6.00
  52 108 Te  1.134  14.86   3.65  16.68   5.25
  52 109 Te  1.172  14.53   3.60  16.81   5.46
  52 110 Te  1.172  14.50   3.68  16.78   5.68
  52 111 Te  1.182  14.40   3.73  16.79   5.93
  52 112 Te  1.198  14.25   3.77  16.81   6.18
  52 113 Te  1.208  14.14   3.83  16.82   6.49
  52 114 Te  1.181  14.33   4.01  16.69   6.77
  52 115 Te  1.184  14.27   4.08  16.66   6.99
  52 116 Te  1.181  14.27   4.15  16.62   7.17
  52 117 Te  1.210  14.02   4.04  16.69   7.19
  52 118 Te  1.172  14.28   4.15  16.52   7.09
  52 119 Te  1.206  13.98   4.01  16.61   7.07
  52 120 Te  1.169  14.24   4.13  16.43   6.98
  52 121 Te  1.165  14.24   4.07  16.38   6.81
  52 122 Te  1.165  14.21   3.98  16.35   6.55
  52 123 Te  1.115  14.59   4.07  16.11   6.30
  52 124 Te  1.107  15.57   5.62  15.57   5.62
  52 125 Te  1.075  15.53   5.52  15.53   5.52
  52 126 Te  1.071  15.49   5.31  15.49   5.31
  52 127 Te  1.000  15.46   5.31  15.46   5.31
  52 128 Te  1.000  15.42   5.06  15.42   5.06
  52 129 Te  1.012  15.38   4.79  15.38   4.79
  52 130 Te  1.000  15.35   4.59  15.35   4.59
  52 131 Te  1.012  15.31   4.36  15.31   4.36
  52 132 Te  1.000  15.27   4.18  15.27   4.18
  52 133 Te  1.000  15.23   4.00  15.23   4.00
  52 134 Te  1.000  15.19   3.83  15.19   3.83
  52 135 Te  1.031  15.16   3.93  15.16   3.93
  52 136 Te  1.000  15.12   4.08  15.12   4.08
  52 137 Te  1.072  15.07   4.10  15.07   4.10
  52 138 Te  1.000  15.04   4.36  15.04   4.36
  52 139 Te  1.000  15.00   4.51  15.00   4.51
  52 140 Te  1.000  14.96   4.68  14.96   4.68
  52 141 Te  1.020  14.92   4.83  14.92   4.83
  52 142 Te  1.000  14.88   5.09  14.88   5.09
  52 143 Te  1.000  14.84   5.62  14.84   5.62
  52 144 Te  1.209  13.13   3.52  15.62   5.84
  52 145 Te  1.255  12.76   3.40  15.73   5.92
  52 146 Te  1.255  12.73   3.39  15.69   5.90
  52 147 Te  1.287  12.48   3.20  15.75   5.59
  52 148 Te  1.296  12.40   3.13  15.74   5.47
  52 149 Te  1.296  12.36   3.10  15.70   5.39
  52 150 Te  1.305  12.27   3.06  15.68   5.36
  52 151 Te  1.318  12.15   3.02  15.68   5.36
  52 152 Te  1.318  12.12   2.99  15.63   5.28
  52 153 Te  1.301  12.19   3.03  15.54   5.34
  52 154 Te  1.310  12.10   3.01  15.52   5.39
  52 155 Te  1.310  12.07   3.02  15.48   5.42
  52 156 Te  1.310  12.03   3.03  15.43   5.46
  52 157 Te  1.286  12.15   3.10  15.31   5.57
  52 158 Te  1.265  12.25   3.21  15.21   5.72
  52 159 Te  1.265  12.23   3.28  15.18   5.96
  52 160 Te  1.241  12.35   3.32  15.06   5.89
  52 161 Te  1.241  12.31   3.31  15.02   5.87
  52 162 Te  1.230  12.35   3.27  14.94   5.64
  52 163 Te  1.213  12.43   3.20  14.84   5.31
  52 164 Te  1.206  12.44   3.13  14.77   5.06
  52 165 Te  1.184  12.55   3.10  14.65   4.83
  53 108 I   1.216  14.18   3.41  16.97   5.27
  53 109 I   1.216  14.16   3.46  16.94   5.41
  53 110 I   1.208  14.20   3.56  16.89   5.70
  53 111 I   1.230  14.01   3.60  16.94   5.98
  53 112 I   1.242  13.90   3.66  16.95   6.30
  53 113 I   1.242  13.87   3.76  16.93   6.62
  53 114 I   1.272  13.63   3.79  17.00   6.99
  53 115 I   1.242  13.82   3.95  16.86   7.24
  53 116 I   1.280  13.52   3.81  16.97   7.17
  53 117 I   1.242  13.77   3.95  16.80   7.24
  53 118 I   1.249  13.68   3.91  16.79   7.24
  53 119 I   1.242  13.71   3.94  16.73   7.22
  53 120 I   1.242  13.69   3.92  16.70   7.18
  53 121 I   1.242  13.66   3.89  16.66   7.09
  53 122 I   1.242  13.63   3.85  16.63   6.98
  53 123 I   1.230  13.68   3.85  16.55   6.85
  53 124 I   1.223  13.71   3.80  16.49   6.68
  53 125 I   1.198  13.86   3.82  16.36   6.43
  53 126 I   1.198  13.83   3.70  16.33   6.10
  53 127 I   1.115  14.46   3.86  15.97   5.81
  53 128 I   1.111  15.43   5.22  15.43   5.22
  53 129 I   1.079  15.39   5.10  15.39   5.10
  53 130 I   1.079  15.36   4.87  15.36   4.87
  53 131 I   1.000  15.32   4.84  15.32   4.84
  53 132 I   1.044  15.29   4.49  15.29   4.49
  53 133 I   1.016  15.25   4.32  15.25   4.32
  53 134 I   1.000  15.21   4.14  15.21   4.14
  53 135 I   1.011  15.18   3.95  15.18   3.95
  53 136 I   1.029  15.14   4.04  15.14   4.04
  53 137 I   1.020  15.10   4.22  15.10   4.22
  53 138 I   1.123  15.06   4.18  15.06   4.18
  53 139 I   1.128  15.02   4.31  15.02   4.31
  53 140 I   1.128  14.98   4.50  14.98   4.50
  53 141 I   1.178  13.48   3.28  15.67   4.91
  53 142 I   1.184  13.40   3.38  15.65   5.22
  53 143 I   1.209  13.19   3.47  15.69   5.68
  53 144 I   1.248  12.88   3.42  15.78   5.87
  53 145 I   1.248  12.85   3.45  15.74   5.95
  53 146 I   1.255  12.76   3.35  15.73   5.77
  53 147 I   1.263  12.67   3.26  15.72   5.58
  53 148 I   1.287  12.48   3.14  15.75   5.41
  53 149 I   1.296  12.39   3.09  15.74   5.35
  53 150 I   1.305  12.31   3.06  15.72   5.34
  53 151 I   1.305  12.27   3.04  15.68   5.29
  53 152 I   1.318  12.16   2.99  15.68   5.28
  53 153 I   1.318  12.12   2.97  15.64   5.21
  53 154 I   1.310  12.14   2.98  15.57   5.27
  53 155 I   1.310  12.10   2.98  15.53   5.27
  53 156 I   1.319  12.01   2.96  15.51   5.29
  53 157 I   1.310  12.04   2.98  15.44   5.30
  53 158 I   1.286  12.15   3.04  15.32   5.36
  53 159 I   1.265  12.25   3.12  15.21   5.45
  53 160 I   1.265  12.22   3.16  15.17   5.58
  53 161 I   1.241  12.34   3.29  15.05   5.79
  53 162 I   1.241  12.31   3.33  15.01   5.93
  53 163 I   1.230  12.37   3.36  14.96   5.91
  53 164 I   1.220  12.39   3.31  14.88   5.72
  53 165 I   1.206  12.45   3.23  14.79   5.33
  53 166 I   1.206  12.42   3.13  14.75   5.04
  53 167 I   1.177  12.57   3.11  14.61   4.80
  53 168 I   1.177  12.54   3.05  14.57   4.65
  54 110 Xe  1.230  14.00   3.46  16.94   5.59
  54 111 Xe  1.223  14.04   3.58  16.89   5.90
  54 112 Xe  1.242  13.88   3.64  16.93   6.26
  54 113 Xe  1.249  13.80   3.75  16.93   6.69
  54 114 Xe  1.249  13.77   3.87  16.90   7.09
  54 115 Xe  1.318  13.26   3.67  17.11   7.11
  54 116 Xe  1.293  13.41   3.73  16.99   7.11
  54 117 Xe  1.337  13.09   3.62  17.11   7.22
  54 118 Xe  1.301  13.31   3.73  16.96   7.26
  54 119 Xe  1.301  13.28   3.69  16.93   7.13
  54 120 Xe  1.265  13.51   3.77  16.77   7.05
  54 121 Xe  1.265  13.48   3.76  16.74   7.02
  54 122 Xe  1.257  13.51   3.80  16.68   7.04
  54 123 Xe  1.265  13.43   3.73  16.67   6.97
  54 124 Xe  1.241  13.57   3.77  16.55   6.84
  54 125 Xe  1.241  13.54   3.75  16.52   6.78
  54 126 Xe  1.223  13.65   3.82  16.42   6.76
  54 127 Xe  1.195  13.82   3.82  16.28   6.49
  54 128 Xe  1.182  13.90   3.73  16.20   6.10
  54 129 Xe  1.172  13.94   3.65  16.13   5.76
  54 130 Xe  1.140  14.16   3.63  15.97   5.46
  54 131 Xe  1.140  14.13   3.52  15.93   5.18
  54 132 Xe  1.000  15.30   5.09  15.30   5.09
  54 133 Xe  1.016  15.26   4.76  15.26   4.76
  54 134 Xe  1.000  15.23   4.53  15.23   4.53
  54 135 Xe  1.000  15.19   4.29  15.19   4.29
  54 136 Xe  1.000  15.16   4.08  15.16   4.08
  54 137 Xe  1.038  15.12   4.18  15.12   4.18
  54 138 Xe  1.077  15.08   4.24  15.08   4.24
  54 139 Xe  1.147  15.04   4.28  15.04   4.28
  54 140 Xe  1.134  13.87   3.31  15.57   4.67
  54 141 Xe  1.178  13.51   3.28  15.69   4.90
  54 142 Xe  1.184  13.43   3.36  15.68   5.17
  54 143 Xe  1.184  13.39   3.53  15.64   5.64
  54 144 Xe  1.216  13.13   3.53  15.71   5.92
  54 145 Xe  1.223  13.05   3.55  15.70   6.09
  54 146 Xe  1.255  12.79   3.33  15.76   5.71
  54 147 Xe  1.310  12.39   3.11  15.90   5.46
  54 148 Xe  1.287  12.51   3.14  15.79   5.39
  54 149 Xe  1.319  12.27   3.03  15.84   5.32
  54 150 Xe  1.305  12.34   3.05  15.76   5.31
  54 151 Xe  1.305  12.30   3.04  15.72   5.28
  54 152 Xe  1.305  12.27   3.02  15.68   5.24
  54 153 Xe  1.318  12.16   2.97  15.68   5.22
  54 154 Xe  1.318  12.12   2.95  15.64   5.14
  54 155 Xe  1.310  12.14   2.96  15.57   5.18
  54 156 Xe  1.310  12.11   2.95  15.53   5.18
  54 157 Xe  1.310  12.07   2.95  15.49   5.18
  54 158 Xe  1.310  12.04   2.95  15.45   5.18
  54 159 Xe  1.286  12.16   3.00  15.33   5.22
  54 160 Xe  1.278  12.18   3.04  15.26   5.30
  54 161 Xe  1.265  12.23   3.10  15.18   5.37
  54 162 Xe  1.249  12.30   3.15  15.09   5.45
  54 163 Xe  1.249  12.26   3.22  15.05   5.69
  54 164 Xe  1.241  12.28   3.33  14.98   5.92
  54 165 Xe  1.220  12.39   3.36  14.87   5.85
  54 166 Xe  1.220  12.35   3.27  14.83   5.62
  54 167 Xe  1.208  12.40   3.13  14.74   5.13
  54 168 Xe  1.191  12.50   3.10  14.67   4.88
  54 169 Xe  1.177  12.56   3.09  14.58   4.76
  54 170 Xe  1.168  12.59   3.08  14.51   4.63
  54 171 Xe  1.161  12.60   3.05  14.45   4.52
  54 172 Xe  1.157  12.59   3.02  14.39   4.39
  54 173 Xe  1.095  13.75   4.41  13.75   4.41
  54 174 Xe  1.000  13.72   4.65  13.72   4.65
  54 175 Xe  1.000  13.68   4.42  13.68   4.42
  54 176 Xe  1.000  13.64   4.22  13.64   4.22
  54 177 Xe  1.000  13.60   4.04  13.60   4.04
  55 115 Cs  1.257  13.67   3.84  16.88   7.11
  55 116 Cs  1.318  13.22   3.67  17.05   7.13
  55 117 Cs  1.301  13.31   3.64  16.97   6.95
  55 118 Cs  1.327  13.11   3.52  17.03   6.78
  55 119 Cs  1.301  13.27   3.56  16.91   6.69
  55 120 Cs  1.301  13.24   3.53  16.88   6.62
  55 121 Cs  1.265  13.47   3.61  16.73   6.56
  55 122 Cs  1.265  13.45   3.59  16.69   6.51
  55 123 Cs  1.265  13.42   3.58  16.66   6.47
  55 124 Cs  1.265  13.39   3.60  16.63   6.55
  55 125 Cs  1.241  13.54   3.71  16.51   6.67
  55 126 Cs  1.241  13.51   3.75  16.48   6.78
  55 127 Cs  1.230  13.57   3.77  16.41   6.75
  55 128 Cs  1.206  13.72   3.85  16.29   6.74
  55 129 Cs  1.189  13.82   3.84  16.19   6.49
  55 130 Cs  1.189  13.79   3.67  16.16   6.02
  55 131 Cs  1.155  14.01   3.64  16.00   5.64
  55 132 Cs  1.149  14.03   3.55  15.94   5.35
  55 133 Cs  1.140  14.07   3.47  15.87   5.07
  55 134 Cs  1.117  15.24   4.58  15.24   4.58
  55 135 Cs  1.000  15.20   4.71  15.20   4.71
  55 136 Cs  1.000  15.17   4.44  15.17   4.44
  55 137 Cs  1.016  15.13   4.18  15.13   4.18
  55 138 Cs  1.077  15.10   4.22  15.10   4.22
  55 139 Cs  1.123  15.06   4.27  15.06   4.27
  55 140 Cs  1.147  15.02   4.40  15.02   4.40
  55 141 Cs  1.178  13.52   3.26  15.71   4.83
  55 142 Cs  1.184  13.44   3.34  15.70   5.11
  55 143 Cs  1.191  13.36   3.45  15.69   5.48
  55 144 Cs  1.191  13.33   3.59  15.65   5.87
  55 145 Cs  1.223  13.07   3.54  15.72   6.05
  55 146 Cs  1.223  13.04   3.44  15.69   5.77
  55 147 Cs  1.263  12.73   3.24  15.78   5.52
  55 148 Cs  1.310  12.38   3.08  15.89   5.35
  55 149 Cs  1.296  12.45   3.08  15.81   5.31
  55 150 Cs  1.319  12.27   3.01  15.84   5.25
  55 151 Cs  1.329  12.18   2.98  15.83   5.24
  55 152 Cs  1.305  12.30   3.02  15.72   5.21
  55 153 Cs  1.318  12.19   2.97  15.72   5.19
  55 154 Cs  1.318  12.15   2.95  15.68   5.14
  55 155 Cs  1.318  12.12   2.93  15.64   5.08
  55 156 Cs  1.327  12.03   2.91  15.62   5.11
  55 157 Cs  1.310  12.11   2.93  15.53   5.09
  55 158 Cs  1.319  12.02   2.90  15.52   5.09
  55 159 Cs  1.310  12.04   2.92  15.45   5.08
  55 160 Cs  1.278  12.22   2.99  15.31   5.12
  55 161 Cs  1.278  12.18   3.01  15.27   5.18
  55 162 Cs  1.265  12.23   3.06  15.19   5.24
  55 163 Cs  1.249  12.30   3.10  15.09   5.27
  55 164 Cs  1.249  12.27   3.14  15.05   5.41
  55 165 Cs  1.241  12.29   3.24  14.99   5.66
  55 166 Cs  1.227  12.35   3.32  14.90   5.82
  55 167 Cs  1.220  12.36   3.33  14.84   5.78
  55 168 Cs  1.220  12.33   3.21  14.80   5.43
  55 169 Cs  1.191  12.49   3.14  14.66   5.01
  55 170 Cs  1.191  12.46   3.07  14.62   4.82
  55 171 Cs  1.177  12.51   3.07  14.54   4.69
  55 172 Cs  1.177  12.48   3.02  14.50   4.57
  55 173 Cs  1.134  12.77   3.11  14.33   4.48
  55 174 Cs  1.128  12.78   3.07  14.27   4.34
  55 175 Cs  1.095  13.73   4.36  13.73   4.36
  55 176 Cs  1.095  13.70   4.20  13.70   4.20
  55 177 Cs  1.000  13.66   4.30  13.66   4.30
  55 178 Cs  1.020  13.62   4.04  13.62   4.04
  55 179 Cs  1.000  13.58   3.93  13.58   3.93
  55 180 Cs  1.031  13.54   3.75  13.54   3.75
  55 181 Cs  1.000  13.50   3.65  13.50   3.65
  55 182 Cs  1.000  13.47   3.72  13.47   3.72
  56 113 Ba  1.305  13.35   3.52  17.06   6.45
  56 114 Ba  1.293  13.42   3.68  16.99   6.92
  56 115 Ba  1.385  12.78   3.43  17.26   6.88
  56 116 Ba  1.372  12.84   3.47  17.20   6.96
  56 117 Ba  1.413  12.57   3.27  17.29   6.69
  56 118 Ba  1.388  12.70   3.28  17.19   6.50
  56 119 Ba  1.399  12.61   3.22  17.20   6.40
  56 120 Ba  1.373  12.76   3.27  17.09   6.38
  56 121 Ba  1.373  12.73   3.27  17.06   6.39
  56 122 Ba  1.319  13.06   3.36  16.86   6.23
  56 123 Ba  1.319  13.04   3.34  16.83   6.21
  56 124 Ba  1.286  13.24   3.38  16.69   6.09
  56 125 Ba  1.278  13.27   3.44  16.63   6.18
  56 126 Ba  1.257  13.39   3.49  16.53   6.19
  56 127 Ba  1.249  13.42   3.56  16.47   6.33
  56 128 Ba  1.241  13.45   3.69  16.41   6.62
  56 129 Ba  1.213  13.63   3.79  16.28   6.66
  56 130 Ba  1.206  13.66   3.81  16.22   6.63
  56 131 Ba  1.195  13.71   3.74  16.15   6.30
  56 132 Ba  1.182  13.78   3.62  16.07   5.83
  56 133 Ba  1.155  13.96   3.58  15.93   5.49
  56 134 Ba  1.122  14.19   3.57  15.77   5.19
  56 135 Ba  1.117  15.21   4.68  15.21   4.68
  56 136 Ba  1.000  15.18   4.89  15.18   4.89
  56 137 Ba  1.000  15.14   4.58  15.14   4.58
  56 138 Ba  1.000  15.11   4.32  15.11   4.32
  56 139 Ba  1.077  15.08   4.31  15.08   4.31
  56 140 Ba  1.123  15.04   4.36  15.04   4.36
  56 141 Ba  1.153  13.72   3.29  15.64   4.74
  56 142 Ba  1.160  13.65   3.36  15.63   4.96
  56 143 Ba  1.184  13.43   3.41  15.68   5.31
  56 144 Ba  1.216  13.17   3.47  15.76   5.75
  56 145 Ba  1.198  13.27   3.57  15.66   5.92
  56 146 Ba  1.255  12.83   3.33  15.82   5.70
  56 147 Ba  1.287  12.59   3.17  15.88   5.47
  56 148 Ba  1.310  12.41   3.07  15.91   5.33
  56 149 Ba  1.342  12.18   2.97  15.97   5.26
  56 150 Ba  1.342  12.14   2.95  15.93   5.18
  56 151 Ba  1.329  12.20   2.97  15.86   5.19
  56 152 Ba  1.352  12.03   2.91  15.89   5.18
  56 153 Ba  1.362  11.94   2.88  15.88   5.17
  56 154 Ba  1.338  12.06   2.90  15.77   5.11
  56 155 Ba  1.353  11.94   2.86  15.78   5.10
  56 156 Ba  1.327  12.06   2.88  15.66   5.00
  56 157 Ba  1.337  11.97   2.86  15.65   5.03
  56 158 Ba  1.310  12.11   2.90  15.53   4.99
  56 159 Ba  1.319  12.02   2.87  15.52   4.99
  56 160 Ba  1.319  11.99   2.86  15.48   4.97
  56 161 Ba  1.319  11.96   2.88  15.44   5.05
  56 162 Ba  1.286  12.13   2.94  15.29   5.05
  56 163 Ba  1.278  12.16   2.98  15.23   5.12
  56 164 Ba  1.278  12.12   3.00  15.19   5.17
  56 165 Ba  1.257  12.22   3.05  15.08   5.22
  56 166 Ba  1.249  12.24   3.12  15.02   5.38
  56 167 Ba  1.227  12.35   3.26  14.91   5.62
  56 168 Ba  1.220  12.37   3.32  14.85   5.75
  56 169 Ba  1.215  12.37   3.24  14.79   5.52
  56 170 Ba  1.198  12.45   3.16  14.69   5.12
  56 171 Ba  1.191  12.47   3.11  14.63   4.91
  56 172 Ba  1.184  12.48   3.07  14.57   4.75
  56 173 Ba  1.177  12.49   3.04  14.51   4.62
  56 174 Ba  1.134  12.76   3.13  14.32   4.54
  56 175 Ba  1.153  12.59   3.06  14.35   4.47
  56 176 Ba  1.098  13.73   4.43  13.73   4.43
  56 177 Ba  1.095  13.71   4.28  13.71   4.28
  56 178 Ba  1.000  13.68   4.36  13.68   4.36
  56 179 Ba  1.020  13.64   4.09  13.64   4.09
  56 180 Ba  1.000  13.60   3.98  13.60   3.98
  56 181 Ba  1.031  13.56   3.79  13.56   3.79
  56 182 Ba  1.000  13.53   3.68  13.53   3.68
  56 183 Ba  1.000  13.49   3.75  13.49   3.75
  57 119 La  1.424  12.44   3.11  17.25   6.21
  57 120 La  1.424  12.42   3.10  17.22   6.14
  57 121 La  1.424  12.40   3.07  17.19   6.07
  57 122 La  1.410  12.47   3.10  17.12   6.11
  57 123 La  1.347  12.85   3.24  16.90   6.10
  57 124 La  1.319  13.00   3.30  16.79   6.06
  57 125 La  1.319  12.98   3.28  16.76   6.01
  57 126 La  1.295  13.12   3.33  16.64   6.01
  57 127 La  1.286  13.16   3.38  16.59   6.10
  57 128 La  1.286  13.13   3.39  16.56   6.16
  57 129 La  1.265  13.25   3.52  16.45   6.33
  57 130 La  1.257  13.28   3.71  16.40   6.84
  57 131 La  1.230  13.45   3.78  16.27   6.82
  57 132 La  1.195  13.68   3.88  16.11   6.71
  57 133 La  1.168  13.86   3.78  15.98   6.17
  57 134 La  1.161  13.88   3.64  15.92   5.74
  57 135 La  1.128  14.12   3.61  15.76   5.37
  57 136 La  1.122  14.13   3.52  15.71   5.07
  57 137 La  1.117  15.15   4.58  15.15   4.58
  57 138 La  1.056  15.12   4.47  15.12   4.47
  57 139 La  1.012  15.09   4.38  15.09   4.38
  57 140 La  1.103  15.05   4.38  15.05   4.38
  57 141 La  1.108  15.02   4.52  15.02   4.52
  57 142 La  1.160  13.66   3.34  15.65   4.92
  57 143 La  1.166  13.58   3.42  15.63   5.20
  57 144 La  1.216  13.19   3.45  15.78   5.68
  57 145 La  1.223  13.10   3.49  15.77   5.91
  57 146 La  1.263  12.80   3.39  15.87   5.95
  57 147 La  1.263  12.76   3.26  15.83   5.54
  57 148 La  1.310  12.42   3.08  15.94   5.34
  57 149 La  1.319  12.34   3.02  15.93   5.27
  57 150 La  1.364  12.03   2.89  16.02   5.11
  57 151 La  1.329  12.22   2.95  15.89   5.13
  57 152 La  1.375  11.91   2.84  15.98   5.07
  57 153 La  1.338  12.11   2.91  15.84   5.12
  57 154 La  1.362  11.93   2.85  15.87   5.07
  57 155 La  1.338  12.05   2.88  15.76   5.04
  57 156 La  1.353  11.93   2.83  15.77   5.01
  57 157 La  1.327  12.06   2.86  15.66   4.95
  57 158 La  1.337  11.97   2.84  15.64   4.97
  57 159 La  1.310  12.10   2.89  15.53   4.95
  57 160 La  1.319  12.02   2.86  15.51   4.94
  57 161 La  1.319  11.99   2.85  15.48   4.92
  57 162 La  1.319  11.96   2.87  15.44   5.00
  57 163 La  1.319  11.93   2.88  15.40   5.07
  57 164 La  1.278  12.16   2.98  15.23   5.11
  57 165 La  1.286  12.07   2.97  15.22   5.15
  57 166 La  1.278  12.09   3.01  15.15   5.24
  57 167 La  1.257  12.20   3.07  15.05   5.30
  57 168 La  1.249  12.22   3.16  14.99   5.51
  57 169 La  1.249  12.18   3.28  14.95   5.89
  57 170 La  1.215  12.37   3.28  14.80   5.63
  57 171 La  1.198  12.46   3.26  14.70   5.42
  57 172 La  1.198  12.43   3.14  14.66   5.09
  57 173 La  1.191  12.44   3.10  14.60   4.90
  57 174 La  1.161  12.61   3.10  14.46   4.69
