#  Theoretical Giant Dipole Resonance parameters
#  Z   A El    Eta    E1     W1     E2     W2
#                   [MeV]  [MeV]  [MeV]  [MeV] 
#--------------------------------------------------
  20  35 Ca  1.000  21.07   7.78  21.07   7.78
  20  36 Ca  1.000  21.02   7.55  21.02   7.55
  20  37 Ca  1.062  20.95   7.78  20.95   7.78
  20  38 Ca  1.008  20.88   7.93  20.88   7.93
  20  39 Ca  1.041  20.79   7.84  20.79   7.84
  20  40 Ca  1.000  20.68   7.63  20.68   7.63
  20  41 Ca  1.000  20.59   8.22  20.59   8.22
  20  42 Ca  1.000  20.49   8.54  20.49   8.54
  20  43 Ca  1.000  20.38   8.68  20.38   8.68
  20  44 Ca  1.000  20.27   8.63  20.27   8.63
  20  45 Ca  1.172  18.25   5.40  21.11   9.21
  20  46 Ca  1.000  20.05   7.18  20.05   7.18
  20  47 Ca  1.090  19.93   6.41  19.93   6.41
  20  48 Ca  1.000  19.82   5.82  19.82   5.82
  20  49 Ca  1.062  19.70   5.92  19.70   5.92
  20  50 Ca  1.000  19.58   6.01  19.58   6.01
  20  51 Ca  1.062  19.45   5.98  19.45   5.98
  20  52 Ca  1.000  19.33   5.95  19.33   5.95
  20  53 Ca  1.000  19.21   6.15  19.21   6.15
  20  54 Ca  1.000  19.08   6.33  19.08   6.33
  20  55 Ca  1.000  18.96   6.90  18.96   6.90
  20  56 Ca  1.000  18.83   7.27  18.83   7.27
  20  57 Ca  1.000  18.70   7.39  18.70   7.39
  20  58 Ca  1.000  18.57   7.41  18.57   7.41
  20  59 Ca  1.031  18.44   7.28  18.44   7.28
  20  60 Ca  1.000  18.32   6.99  18.32   6.99
  20  61 Ca  1.000  18.19   6.85  18.19   6.85
  21  40 Sc  1.000  20.62   8.56  20.62   8.56
  21  41 Sc  1.000  20.54   8.18  20.54   8.18
  21  42 Sc  1.000  20.46   8.70  20.46   8.70
  21  43 Sc  1.000  20.37   9.05  20.37   9.05
  21  44 Sc  1.000  20.26   9.18  20.26   9.18
  21  45 Sc  1.000  20.16   9.13  20.16   9.13
  21  46 Sc  1.000  20.06   8.58  20.06   8.58
  21  47 Sc  1.000  19.96   7.66  19.96   7.66
  21  48 Sc  1.000  19.85   6.84  19.85   6.84
  21  49 Sc  1.000  19.74   6.12  19.74   6.12
  21  50 Sc  1.000  19.63   6.27  19.63   6.27
  21  51 Sc  1.000  19.52   6.36  19.52   6.36
  21  52 Sc  1.000  19.41   6.39  19.41   6.39
  21  53 Sc  1.000  19.29   6.36  19.29   6.36
  21  54 Sc  1.000  19.17   6.62  19.17   6.62
  21  55 Sc  1.000  19.06   6.88  19.06   6.88
  21  56 Sc  1.000  18.94   7.55  18.94   7.55
  21  57 Sc  1.000  18.82   7.79  18.82   7.79
  21  58 Sc  1.000  18.70   7.91  18.70   7.91
  21  59 Sc  1.071  18.58   7.67  18.58   7.67
  21  60 Sc  1.066  18.46   7.67  18.46   7.67
  21  61 Sc  1.044  18.34   7.22  18.34   7.22
  21  62 Sc  1.054  18.22   7.03  18.22   7.03
  21  63 Sc  1.128  18.09   6.89  18.09   6.89
  21  64 Sc  1.168  16.29   4.70  18.79   7.75
  21  65 Sc  1.178  16.10   4.61  18.71   7.70
  21  66 Sc  1.198  15.81   4.57  18.66   7.81
  21  67 Sc  1.166  15.99   4.72  18.41   7.96
  21  68 Sc  1.172  15.83   4.63  18.32   7.84
  22  39 Ti  1.182  18.50   5.71  21.57  10.18
  22  40 Ti  1.166  18.62   5.81  21.43  10.08
  22  41 Ti  1.079  20.45   8.60  20.45   8.60
