Energy,dEnergy,Data,dData
192411736.2,724880.601,0.028230865,0.00503927
177409270.9,762475.228,0.024976561,0.003896584
163860155.1,802809.166,0.022746526,0.0035729
149492340.4,852989.112,0.023058326,0.0035465
135008912.7,913586.283,0.025675662,0.004037937
121258490.1,983517.726,0.020656386,0.003193141
106111709.6,1080876.737,0.017173203,0.002774715
