 Z=  97 A= 208  Bk beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   8.882942E-09   1.076127E-07
  15.000   7.529682E-09   9.804665E-08
  15.100   6.382583E-09   8.933092E-08
  15.200   5.410237E-09   8.138996E-08
  15.300   4.586022E-09   7.415491E-08
  15.400   3.887370E-09   6.756300E-08
  15.500   3.295154E-09   6.155707E-08
  15.600   2.793158E-09   5.608504E-08
  15.700   2.367638E-09   5.109943E-08
  15.800   2.006944E-09   4.655701E-08
  15.900   1.713016E-09   4.264868E-08
  16.000   1.493661E-09   3.972577E-08
  16.100   1.302395E-09   3.700318E-08
  16.200   1.135621E-09   3.446718E-08
  16.300   9.902031E-10   3.210499E-08
  16.400   8.634059E-10   2.990469E-08
  16.500   7.528453E-10   2.785518E-08
  16.600   6.564422E-10   2.594614E-08
  16.700   5.723836E-10   2.416793E-08
  16.800   4.990889E-10   2.251159E-08
  16.900   4.351797E-10   2.096877E-08
  17.000   3.794542E-10   1.953168E-08
  17.100   3.602026E-10   1.822463E-08
  17.200   3.433313E-10   1.700646E-08
  17.300   3.272502E-10   1.586972E-08
  17.400   3.119224E-10   1.480896E-08
  17.500   2.973124E-10   1.381910E-08
  17.600   2.833868E-10   1.289540E-08
  17.700   2.701134E-10   1.203345E-08
  17.800   2.574617E-10   1.122911E-08
  17.900   2.454027E-10   1.047854E-08
  18.000   2.339084E-10   9.778134E-09
  18.100   2.229525E-10   9.124546E-09
  18.200   2.146430E-10   8.542530E-09
  18.300   2.096599E-10   8.035671E-09
  18.400   2.047925E-10   7.558886E-09
  18.500   2.000381E-10   7.110391E-09
  18.600   1.953941E-10   6.688506E-09
  18.700   1.908579E-10   6.291653E-09
  18.800   1.864270E-10   5.918347E-09
  18.900   1.820990E-10   5.567190E-09
  19.000   1.778714E-10   5.236869E-09
  19.100   1.737420E-10   4.926147E-09
  19.200   1.697084E-10   4.633861E-09
  19.300   1.657685E-10   4.358917E-09
  19.400   1.707526E-10   4.101825E-09
  19.500   1.847246E-10   3.861234E-09
  19.600   1.998399E-10   3.634754E-09
  19.700   2.161920E-10   3.421558E-09
  19.800   2.338821E-10   3.220867E-09
  19.900   2.530198E-10   3.031948E-09
 Z=  97 A= 209  Bk beta2= 0.37 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.761737E-02   6.519196E-02
   0.100   7.753609E-02   6.502699E-02
   0.200   7.745490E-02   6.486245E-02
   0.300   7.737380E-02   6.469832E-02
   0.400   7.725074E-02   6.444892E-02
   0.500   7.709787E-02   6.413951E-02
   0.600   7.690720E-02   6.375458E-02
   0.700   7.670449E-02   6.334675E-02
   0.800   7.649790E-02   6.293148E-02
   0.900   7.627880E-02   6.248913E-02
   1.000   7.607337E-02   6.206970E-02
   1.100   7.588650E-02   6.168025E-02
   1.200   7.570008E-02   6.129324E-02
   1.300   7.558907E-02   6.102565E-02
   1.400   7.549625E-02   6.078661E-02
   1.500   7.552183E-02   6.072539E-02
   1.600   7.554743E-02   6.066424E-02
   1.700   7.566268E-02   6.072926E-02
