 Z=  25 A=  40  Mn beta2= 0.34 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   3.234804E-12   6.467039E-07
  15.000   3.963630E-12   5.798773E-07
  15.100   4.856667E-12   5.199562E-07
  15.200   5.950911E-12   4.662270E-07
  15.300   7.291697E-12   4.180498E-07
  15.400   8.934573E-12   3.748510E-07
  15.500   1.094760E-11   3.361161E-07
  15.600   1.341418E-11   3.013839E-07
  15.700   1.338201E-11   2.438017E-07
  15.800   1.316666E-11   1.958606E-07
  15.900   1.295476E-11   1.573466E-07
  16.000   1.274628E-11   1.264060E-07
  16.100   1.254115E-11   1.015495E-07
  16.200   1.233933E-11   8.158086E-08
  16.300   1.214075E-11   6.553882E-08
  16.400   1.194537E-11   5.265128E-08
  16.500   1.175313E-11   4.229794E-08
  16.600   1.137927E-11   3.370503E-08
  16.700   8.705578E-12   2.384364E-08
  16.800   6.660103E-12   1.686749E-08
  16.900   5.095235E-12   1.193242E-08
  17.000   3.898052E-12   8.441240E-09
  17.100   2.982160E-12   5.971510E-09
  17.200   2.281467E-12   4.224371E-09
  17.300   1.745411E-12   2.988408E-09
  17.400   1.335306E-12   2.114063E-09
  17.500   1.021561E-12   1.495532E-09
  17.600   7.815335E-13   1.057971E-09
  17.700   5.510971E-13   7.040747E-10
  17.800   3.552515E-13   4.380821E-10
  17.900   2.290043E-13   2.725789E-10
  18.000   1.476221E-13   1.696012E-10
  18.100   9.516102E-14   1.055275E-10
  18.200   6.134326E-14   6.566025E-11
  18.300   3.954345E-14   4.085444E-11
  18.400   2.549073E-14   2.542003E-11
  18.500   1.643199E-14   1.581659E-11
  18.600   1.059248E-14   9.841234E-12
  18.700   6.828189E-15   6.123311E-12
  18.800   4.401627E-15   3.809983E-12
  18.900   2.532495E-15   2.147393E-12
  19.000   1.400608E-15   1.169409E-12
  19.100   7.746125E-16   6.368272E-13
  19.200   4.284030E-16   3.467980E-13
  19.300   2.369303E-16   1.888564E-13
  19.400   1.310354E-16   1.028458E-13
  19.500   7.246971E-17   5.600692E-14
  19.600   4.007971E-17   3.049978E-14
  19.700   2.216627E-17   1.660932E-14
  19.800   1.225916E-17   9.044963E-15
  19.900   6.779983E-18   4.925630E-15
 Z=  25 A=  41  Mn beta2= 0.34 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.479622E-02   9.104159E-02
   0.100   7.474981E-02   9.093492E-02
   0.200   7.467554E-02   9.076364E-02
   0.300   7.454849E-02   9.046888E-02
   0.400   7.438168E-02   9.007854E-02
   0.500   7.418191E-02   8.960342E-02
   0.600   7.395707E-02   8.905965E-02
   0.700   7.372028E-02   8.848130E-02
   0.800   7.347750E-02   8.788318E-02
   0.900   7.323647E-02   8.729159E-02
   1.000   7.300349E-02   8.673254E-02
   1.100   7.277931E-02   8.622168E-02
