 Z= 106 A= 234  Sg beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  15.200   2.693917E-07   3.111457E-09
  15.300   2.329950E-07   2.540989E-09
  15.400   2.015158E-07   2.075113E-09
  15.500   1.742896E-07   1.694653E-09
  15.600   1.530572E-07   1.454677E-09
  15.700   1.371212E-07   1.332901E-09
  15.800   1.228444E-07   1.221320E-09
  15.900   1.100541E-07   1.119079E-09
  16.000   9.859544E-08   1.025398E-09
  16.100   8.832987E-08   9.395583E-10
  16.200   7.913313E-08   8.609048E-10
  16.300   7.089394E-08   7.888357E-10
  16.400   6.351260E-08   7.227997E-10
  16.500   5.689979E-08   6.622919E-10
  16.600   5.097549E-08   6.068493E-10
  16.700   4.566802E-08   5.560480E-10
  16.800   4.171256E-08   5.164265E-10
  16.900   3.827415E-08   4.811599E-10
  17.000   3.511917E-08   4.483017E-10
  17.100   3.222426E-08   4.176873E-10
  17.200   2.956798E-08   3.891636E-10
  17.300   2.713066E-08   3.625878E-10
  17.400   2.489425E-08   3.378268E-10
  17.500   2.284219E-08   3.147567E-10
  17.600   2.095929E-08   2.932621E-10
  17.700   1.923159E-08   2.732353E-10
  17.800   1.764631E-08   2.545762E-10
  17.900   1.619171E-08   2.371912E-10
  18.000   1.552622E-08   2.425861E-10
  18.100   1.489606E-08   2.483848E-10
  18.200   1.429148E-08   2.543221E-10
  18.300   1.371143E-08   2.604012E-10
  18.400   1.315492E-08   2.666258E-10
  18.500   1.262101E-08   2.729990E-10
  18.600   1.210876E-08   2.795247E-10
  18.700   1.161730E-08   2.862063E-10
  18.800   1.114579E-08   2.930477E-10
  18.900   1.069342E-08   3.000525E-10
  19.000   1.025940E-08   3.072248E-10
  19.100   9.843005E-09   3.145686E-10
  19.200   9.424990E-09   3.078952E-10
  19.300   9.022737E-09   2.998414E-10
  19.400   8.637652E-09   2.919983E-10
  19.500   8.269002E-09   2.843604E-10
  19.600   7.916086E-09   2.769222E-10
  19.700   7.578233E-09   2.696786E-10
  19.800   7.254798E-09   2.626245E-10
  19.900   6.945168E-09   2.557549E-10
 Z= 106 A= 275  Sg beta2= 0.24 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.645542E-02   5.298373E-02
   0.100   7.666270E-02   5.285321E-02
   0.200   7.687053E-02   5.272302E-02
   0.300   7.707893E-02   5.259315E-02
   0.400   7.730849E-02   5.245021E-02
   0.500   7.769182E-02   5.220887E-02
   0.600   7.808111E-02   5.196574E-02
   0.700   7.857275E-02   5.165232E-02
   0.800   7.906748E-02   5.134080E-02
   0.900   7.957124E-02   5.102717E-02
   1.000   8.010249E-02   5.069937E-02
   1.100   8.063161E-02   5.038009E-02
   1.200   8.112147E-02   5.011046E-02
   1.300   8.161432E-02   4.984227E-02
   1.400   8.208279E-02   4.960975E-02
   1.500   8.248179E-02   4.946782E-02
   1.600   8.285915E-02   4.936199E-02
   1.700   8.314110E-02   4.940280E-02
   1.800   8.342401E-02   4.944364E-02
   1.900   8.367071E-02   4.955532E-02
   2.000   8.385045E-02   4.979645E-02
   2.100   8.401530E-02   5.008530E-02
   2.200   8.414013E-02   5.049949E-02
   2.300   8.426516E-02   5.091710E-02
   2.400   8.439143E-02   5.138505E-02
   2.500   8.451930E-02   5.191907E-02
   2.600   8.466736E-02   5.246654E-02
   2.700   8.485228E-02   5.303432E-02
   2.800   8.503760E-02   5.360825E-02
   2.900   8.526528E-02   5.416239E-02
   3.000   8.553353E-02   5.469734E-02
   3.100   8.583565E-02   5.519119E-02
   3.200   8.618225E-02   5.562827E-02
   3.300   8.653026E-02   5.606881E-02
   3.400   8.690351E-02   5.643393E-02
   3.500   8.729495E-02   5.674652E-02
   3.600   8.767707E-02   5.699497E-02
   3.700   8.805023E-02   5.718127E-02
   3.800   8.842498E-02   5.736818E-02
   3.900   8.874664E-02   5.749081E-02
   4.000   8.904244E-02   5.758170E-02
   4.100   8.926099E-02   5.765178E-02
   4.200   8.942562E-02   5.770737E-02
   4.300   8.959055E-02   5.776302E-02
   4.400   8.964712E-02   5.784103E-02
   4.500   8.966732E-02   5.792664E-02
   4.600   8.960633E-02   5.806674E-02
   4.700   8.950528E-02   5.823416E-02
   4.800   8.940435E-02   5.840207E-02
   4.900   8.923713E-02   5.864062E-02
   5.000   8.905647E-02   5.889478E-02
   5.100   8.883708E-02   5.916564E-02
   5.200   8.860510E-02   5.944304E-02
   5.300   8.837372E-02   5.972174E-02
   5.400   8.809313E-02   5.994510E-02
   5.500   8.777728E-02   6.011368E-02
   5.600   8.741107E-02   6.020212E-02
   5.700   8.696370E-02   6.016565E-02
   5.800   8.644066E-02   6.002068E-02
   5.900   8.582023E-02   5.973938E-02
   6.000   8.501889E-02   5.923049E-02
   6.100   8.408544E-02   5.856479E-02
   6.200   8.293510E-02   5.765585E-02
   6.300   8.161945E-02   5.657430E-02
   6.400   8.010081E-02   5.528538E-02
   6.500   7.824984E-02   5.367842E-02
   6.600   7.619588E-02   5.189088E-02
   6.700   7.382012E-02   4.982166E-02
   6.800   7.124497E-02   4.759678E-02
   6.900   6.843331E-02   4.519063E-02
   7.000   6.524950E-02   4.250111E-02
   7.100   6.190717E-02   3.972160E-02
   7.200   5.829210E-02   3.676844E-02
   7.300   5.459146E-02   3.380337E-02
   7.400   5.078620E-02   3.081773E-02
   7.500   4.678443E-02   2.775055E-02
   7.600   4.282826E-02   2.479164E-02
   7.700   3.884051E-02   2.188704E-02
   7.800   3.500262E-02   1.916860E-02
   7.900   3.130295E-02   1.662494E-02
   8.000   2.769773E-02   1.422353E-02
   8.100   2.435094E-02   1.206827E-02
   8.200   2.121095E-02   1.011652E-02
   8.300   1.836957E-02   8.416254E-03
   8.400   1.579952E-02   6.938275E-03
   8.500   1.347186E-02   5.653319E-03
   8.600   1.143289E-02   4.576477E-03
   8.700   9.639918E-03   3.672004E-03
   8.800   8.100558E-03   2.932196E-03
   8.900   6.780343E-03   2.328451E-03
   9.000   5.652769E-03   1.838412E-03
   9.100   4.704996E-03   1.447956E-03
   9.200   3.909290E-03   1.137268E-03
   9.300   3.247026E-03   8.926462E-04
   9.400   2.696207E-03   7.001828E-04
   9.500   2.240185E-03   5.493781E-04
   9.600   1.862712E-03   4.313309E-04
   9.700   1.550896E-03   3.389887E-04
   9.800   1.292557E-03   2.665621E-04
   9.900   1.078508E-03   2.097257E-04
  10.000   9.012421E-04   1.650257E-04
  10.100   7.537452E-04   1.298134E-04
  10.200   6.310261E-04   1.020125E-04
  10.300   5.285526E-04   8.008809E-05
  10.400   4.429714E-04   6.279922E-05
  10.500   3.715021E-04   4.916551E-05
  10.600   3.117284E-04   3.847586E-05
  10.700   2.617847E-04   3.010782E-05
  10.800   2.200215E-04   2.358737E-05
  10.900   1.851111E-04   1.851183E-05
  11.000   1.560432E-04   1.460141E-05
  11.100   1.317487E-04   1.156726E-05
  11.200   1.115156E-04   9.230701E-06
  11.300   9.456545E-05   7.407143E-06
  11.400   8.037237E-05   5.983687E-06
  11.500   6.852417E-05   4.875756E-06
  11.600   5.853000E-05   3.989981E-06
  11.700   5.011354E-05   3.280644E-06
  11.800   4.295674E-05   2.699539E-06
  11.900   3.686834E-05   2.222118E-06
  12.000   3.167154E-05   1.822728E-06
  12.100   2.721228E-05   1.489431E-06
  12.200   2.337713E-05   1.208556E-06
  12.300   2.007377E-05   9.753860E-07
  12.400   1.723193E-05   7.835078E-07
  12.500   1.479798E-05   6.301724E-07
  12.600   1.270781E-05   5.068453E-07
  12.700   1.091288E-05   4.076538E-07
  12.800   9.371471E-06   3.278744E-07
  12.900   8.047782E-06   2.637081E-07
  13.000   6.911059E-06   2.120995E-07
  13.100   5.934895E-06   1.705908E-07
  13.200   5.096611E-06   1.372055E-07
  13.300   4.386941E-06   1.109610E-07
  13.400   3.829619E-06   9.276083E-08
  13.500   3.343100E-06   7.754594E-08
  13.600   2.918389E-06   6.482664E-08
  13.700   2.547634E-06   5.419359E-08
  13.800   2.223979E-06   4.530460E-08
  13.900   1.941443E-06   3.787362E-08
  14.000   1.694800E-06   3.166148E-08
  14.100   1.479490E-06   2.646827E-08
  14.200   1.291534E-06   2.212687E-08
  14.300   1.127456E-06   1.849756E-08
  14.400   9.842231E-07   1.546354E-08
  14.500   8.584217E-07   1.266850E-08
  14.600   7.485405E-07   1.032861E-08
  14.700   6.527245E-07   8.420903E-09
  14.800   5.691733E-07   6.865552E-09
  14.900   4.963170E-07   5.597476E-09
  15.000   4.327866E-07   4.563615E-09
  15.100   3.773883E-07   3.720710E-09
  15.200   3.290812E-07   3.033490E-09
  15.300   2.869575E-07   2.473200E-09
  15.400   2.502259E-07   2.016397E-09
  15.500   2.181961E-07   1.643966E-09
  15.600   1.928900E-07   1.392699E-09
  15.700   1.754621E-07   1.278071E-09
  15.800   1.596089E-07   1.172878E-09
  15.900   1.451880E-07   1.076343E-09
  16.000   1.320700E-07   9.877540E-10
  16.100   1.201373E-07   9.064560E-10
  16.200   1.092827E-07   8.318493E-10
  16.300   9.940882E-08   7.633831E-10
  16.400   9.042708E-08   7.005522E-10
  16.500   8.225685E-08   6.428925E-10
  16.600   7.482482E-08   5.899787E-10
  16.700   6.806428E-08   5.414199E-10
  16.800   6.330138E-08   5.023834E-10
  16.900   5.945233E-08   4.684509E-10
  17.000   5.583733E-08   4.368103E-10
  17.100   5.244213E-08   4.073068E-10
  17.200   4.925338E-08   3.797961E-10
  17.300   4.625853E-08   3.541435E-10
  17.400   4.344577E-08   3.302236E-10
  17.500   4.080405E-08   3.079193E-10
  17.600   3.832295E-08   2.871215E-10
  17.700   3.599272E-08   2.677284E-10
  17.800   3.380418E-08   2.496453E-10
  17.900   3.174871E-08   2.327835E-10
  18.000   3.040588E-08   2.353550E-10
  18.100   2.920944E-08   2.410051E-10
  18.200   2.806008E-08   2.467909E-10
  18.300   2.695594E-08   2.527156E-10
  18.400   2.589525E-08   2.587826E-10
  18.500   2.487629E-08   2.649951E-10
  18.600   2.389744E-08   2.713569E-10
  18.700   2.295709E-08   2.778713E-10
  18.800   2.205375E-08   2.845422E-10
  18.900   2.118596E-08   2.913732E-10
  19.000   2.035231E-08   2.983682E-10
  19.100   1.955147E-08   3.055311E-10
  19.200   1.873771E-08   3.011773E-10
  19.300   1.794504E-08   2.935093E-10
  19.400   1.718591E-08   2.860365E-10
  19.500   1.645889E-08   2.787540E-10
  19.600   1.576263E-08   2.716569E-10
  19.700   1.509582E-08   2.647405E-10
  19.800   1.445722E-08   2.580002E-10
  19.900   1.384563E-08   2.514315E-10
 Z= 106 A= 276  Sg beta2= 0.19 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.634459E-02   5.279664E-02
   0.100   7.655706E-02   5.266742E-02
   0.200   7.677012E-02   5.253851E-02
   0.300   7.698378E-02   5.240992E-02
   0.400   7.721787E-02   5.226899E-02
   0.500   7.761067E-02   5.202848E-02
   0.600   7.800857E-02   5.178695E-02
   0.700   7.851268E-02   5.147572E-02
   0.800   7.902005E-02   5.116636E-02
   0.900   7.953628E-02   5.085510E-02
   1.000   8.008101E-02   5.052901E-02
   1.100   8.062463E-02   5.021037E-02
   1.200   8.112766E-02   4.994215E-02
   1.300   8.163383E-02   4.967536E-02
   1.400   8.211725E-02   4.944120E-02
   1.500   8.252665E-02   4.929994E-02
   1.600   8.291711E-02   4.918998E-02
   1.700   8.320658E-02   4.923107E-02
   1.800   8.349706E-02   4.927218E-02
   1.900   8.375361E-02   4.937760E-02
   2.000   8.393788E-02   4.961786E-02
   2.100   8.410876E-02   4.990019E-02
   2.200   8.423653E-02   5.031387E-02
   2.300   8.436449E-02   5.073097E-02
   2.400   8.449311E-02   5.119412E-02
   2.500   8.462264E-02   5.172736E-02
   2.600   8.477041E-02   5.227315E-02
   2.700   8.495849E-02   5.284035E-02
   2.800   8.514698E-02   5.341371E-02
   2.900   8.537558E-02   5.397037E-02
   3.000   8.565060E-02   5.450620E-02
   3.100   8.595654E-02   5.500654E-02
   3.200   8.631239E-02   5.544491E-02
   3.300   8.666970E-02   5.588678E-02
   3.400   8.705127E-02   5.626125E-02
   3.500   8.745433E-02   5.657650E-02
   3.600   8.784994E-02   5.683542E-02
   3.700   8.823600E-02   5.702486E-02
   3.800   8.862376E-02   5.721494E-02
   3.900   8.896243E-02   5.734695E-02
   4.000   8.926927E-02   5.744106E-02
   4.100   8.950603E-02   5.751702E-02
   4.200   8.967842E-02   5.757638E-02
   4.300   8.985114E-02   5.763579E-02
   4.400   8.992260E-02   5.771474E-02
   4.500   8.994564E-02   5.780309E-02
   4.600   8.989356E-02   5.793989E-02
   4.700   8.979022E-02   5.811014E-02
   4.800   8.968699E-02   5.828089E-02
   4.900   8.952046E-02   5.851404E-02
   5.000   8.933292E-02   5.876906E-02
   5.100   8.910924E-02   5.903791E-02
   5.200   8.886768E-02   5.931446E-02
   5.300   8.862677E-02   5.959229E-02
   5.400   8.834073E-02   5.981773E-02
   5.500   8.801962E-02   5.999066E-02
   5.600   8.765221E-02   6.008866E-02
   5.700   8.719494E-02   6.004627E-02
   5.800   8.667597E-02   5.991431E-02
   5.900   8.605868E-02   5.964216E-02
   6.000   8.526432E-02   5.914340E-02
   6.100   8.434898E-02   5.849939E-02
   6.200   8.319122E-02   5.758211E-02
   6.300   8.189982E-02   5.652463E-02
   6.400   8.039820E-02   5.525117E-02
   6.500   7.856718E-02   5.366177E-02
   6.600   7.654978E-02   5.190485E-02
   6.700   7.416231E-02   4.982499E-02
   6.800   7.162335E-02   4.763084E-02
   6.900   6.883328E-02   4.524172E-02
   7.000   6.567038E-02   4.256997E-02
   7.100   6.236360E-02   3.982008E-02
   7.200   5.872331E-02   3.684929E-02
   7.300   5.504963E-02   3.390825E-02
   7.400   5.125157E-02   3.093118E-02
   7.500   4.725333E-02   2.787095E-02
   7.600   4.330882E-02   2.492540E-02
   7.700   3.927953E-02   2.199715E-02
   7.800   3.544090E-02   1.928524E-02
   7.900   3.172391E-02   1.673704E-02
   8.000   2.809787E-02   1.432889E-02
   8.100   2.473345E-02   1.216975E-02
   8.200   2.154719E-02   1.019695E-02
   8.300   1.868324E-02   8.490679E-03
   8.400   1.608441E-02   7.002957E-03
   8.500   1.372777E-02   5.708916E-03
   8.600   1.166192E-02   4.624175E-03
   8.700   9.834927E-03   3.708199E-03
   8.800   8.271330E-03   2.962005E-03
   8.900   6.927861E-03   2.352175E-03
   9.000   5.779677E-03   1.857229E-03
   9.100   4.813156E-03   1.462494E-03
   9.200   4.000028E-03   1.147988E-03
   9.300   3.323461E-03   9.006492E-04
   9.400   2.760561E-03   7.061319E-04
   9.500   2.294430E-03   5.538464E-04
   9.600   1.908090E-03   4.345594E-04
   9.700   1.588987E-03   3.412992E-04
   9.800   1.324385E-03   2.681916E-04
   9.900   1.105295E-03   2.109033E-04
  10.000   9.238799E-04   1.658917E-04
  10.100   7.727743E-04   1.304262E-04
  10.200   6.470395E-04   1.024189E-04
  10.300   5.420097E-04   8.036409E-05
  10.400   4.543462E-04   6.298473E-05
  10.500   3.811512E-04   4.928860E-05
  10.600   3.198483E-04   3.854275E-05
  10.700   2.686246E-04   3.013221E-05
  10.800   2.257574E-04   2.358118E-05
  10.900   1.899416E-04   1.848794E-05
  11.000   1.601343E-04   1.456758E-05
  11.100   1.351696E-04   1.152148E-05
  11.200   1.144066E-04   9.186453E-06
  11.300   9.698430E-05   7.359089E-06
  11.400   8.241412E-05   5.937778E-06
  11.500   7.025901E-05   4.833779E-06
  11.600   5.999525E-05   3.951315E-06
  11.700   5.136400E-05   3.246829E-06
  11.800   4.401829E-05   2.669770E-06
  11.900   3.777847E-05   2.196844E-06
  12.000   3.245639E-05   1.801750E-06
  12.100   2.788683E-05   1.472318E-06
  12.200   2.395488E-05   1.193413E-06
  12.300   2.057085E-05   9.629909E-07
  12.400   1.765813E-05   7.725268E-07
  12.500   1.516207E-05   6.206067E-07
  12.600   1.301884E-05   4.985622E-07
  12.700   1.117856E-05   4.005182E-07
  12.800   9.598415E-06   3.217549E-07
  12.900   8.241632E-06   2.584806E-07
  13.000   7.076637E-06   2.076495E-07
  13.100   6.076319E-06   1.668145E-07
  13.200   5.217402E-06   1.340098E-07
  13.300   4.483403E-06   1.078571E-07
  13.400   3.914276E-06   9.014967E-08
  13.500   3.417394E-06   7.534938E-08
  13.600   2.983587E-06   6.297893E-08
  13.700   2.604848E-06   5.263939E-08
  13.800   2.274186E-06   4.399734E-08
  13.900   1.985499E-06   3.677409E-08
  14.000   1.733458E-06   3.073672E-08
  14.100   1.513411E-06   2.569053E-08
  14.200   1.321298E-06   2.147280E-08
  14.300   1.153571E-06   1.794751E-08
  14.400   1.007136E-06   1.500098E-08
  14.500   8.787612E-07   1.231129E-08
  14.600   7.665574E-07   1.002694E-08
  14.700   6.686803E-07   8.166447E-09
  14.800   5.833005E-07   6.651169E-09
  14.900   5.088223E-07   5.417049E-09
  15.000   4.438538E-07   4.411920E-09
  15.100   3.871807E-07   3.593291E-09
  15.200   3.377439E-07   2.926559E-09
  15.300   2.946194E-07   2.383538E-09
  15.400   2.570012E-07   1.941274E-09
  15.500   2.241862E-07   1.581072E-09
  15.600   1.974021E-07   1.321939E-09
  15.700   1.798671E-07   1.216399E-09
  15.800   1.638897E-07   1.119285E-09
  15.900   1.493315E-07   1.029925E-09
  16.000   1.360665E-07   9.476986E-10
  16.100   1.239798E-07   8.720370E-10
  16.200   1.129668E-07   8.024161E-10
  16.300   1.029321E-07   7.383535E-10
  16.400   9.378871E-08   6.794055E-10
  16.500   8.545754E-08   6.251637E-10
  16.600   7.786642E-08   5.752524E-10
  16.700   7.094962E-08   5.293259E-10
  16.800   6.581087E-08   4.916491E-10
  16.900   6.184793E-08   4.598003E-10
  17.000   5.812362E-08   4.300146E-10
  17.100   5.462357E-08   4.021584E-10
  17.200   5.133430E-08   3.761068E-10
  17.300   4.824309E-08   3.517427E-10
  17.400   4.533802E-08   3.289570E-10
  17.500   4.260789E-08   3.076473E-10
  17.600   4.004217E-08   2.877180E-10
  17.700   3.763094E-08   2.690797E-10
  17.800   3.536491E-08   2.516488E-10
  17.900   3.323533E-08   2.353471E-10
  18.000   3.175408E-08   2.353228E-10
  18.100   3.051447E-08   2.408629E-10
  18.200   2.932325E-08   2.465335E-10
  18.300   2.817853E-08   2.523375E-10
  18.400   2.707850E-08   2.582781E-10
  18.500   2.602142E-08   2.643586E-10
  18.600   2.500560E-08   2.705823E-10
  18.700   2.402943E-08   2.769525E-10
  18.800   2.309138E-08   2.834727E-10
  18.900   2.218994E-08   2.901463E-10
  19.000   2.132369E-08   2.969771E-10
  19.100   2.049126E-08   3.039687E-10
  19.200   1.964132E-08   3.017580E-10
  19.300   1.879949E-08   2.944122E-10
  19.400   1.799373E-08   2.872453E-10
  19.500   1.722252E-08   2.802529E-10
  19.600   1.648436E-08   2.734307E-10
  19.700   1.577783E-08   2.667745E-10
  19.800   1.510159E-08   2.602804E-10
  19.900   1.445433E-08   2.539444E-10
 Z= 106 A= 277  Sg beta2= 0.45 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.779281E-02   5.295779E-02
   0.100   7.797611E-02   5.282951E-02
   0.200   7.815984E-02   5.270153E-02
   0.300   7.834399E-02   5.257387E-02
   0.400   7.854511E-02   5.243464E-02
   0.500   7.888658E-02   5.219603E-02
   0.600   7.923144E-02   5.195711E-02
   0.700   7.967708E-02   5.164783E-02
   0.800   8.012522E-02   5.134039E-02
   0.900   8.058235E-02   5.103117E-02
   1.000   8.107427E-02   5.070600E-02
   1.100   8.156673E-02   5.038718E-02
   1.200   8.203394E-02   5.011861E-02
   1.300   8.250383E-02   4.985146E-02
   1.400   8.295791E-02   4.961370E-02
   1.500   8.335263E-02   4.946983E-02
   1.600   8.373368E-02   4.935210E-02
   1.700   8.402367E-02   4.938750E-02
   1.800   8.431466E-02   4.942293E-02
   1.900   8.457662E-02   4.951553E-02
   2.000   8.476674E-02   4.974669E-02
   2.100   8.494397E-02   5.001339E-02
   2.200   8.507015E-02   5.041527E-02
   2.300   8.519652E-02   5.082039E-02
   2.400   8.531804E-02   5.126647E-02
   2.500   8.543061E-02   5.178537E-02
   2.600   8.555376E-02   5.231553E-02
   2.700   8.570546E-02   5.286764E-02
   2.800   8.585743E-02   5.342557E-02
   2.900   8.603853E-02   5.396878E-02
   3.000   8.626031E-02   5.448851E-02
   3.100   8.650660E-02   5.497863E-02
   3.200   8.680214E-02   5.540265E-02
   3.300   8.709869E-02   5.582994E-02
   3.400   8.741865E-02   5.619758E-02
   3.500   8.776403E-02   5.649934E-02
   3.600   8.810797E-02   5.675307E-02
   3.700   8.844890E-02   5.693131E-02
   3.800   8.879115E-02   5.711010E-02
   3.900   8.909880E-02   5.723800E-02
   4.000   8.937719E-02   5.732281E-02
   4.100   8.960260E-02   5.739249E-02
   4.200   8.976422E-02   5.744405E-02
   4.300   8.992613E-02   5.749566E-02
   4.400   9.000481E-02   5.756589E-02
   4.500   9.002924E-02   5.764831E-02
   4.600   8.998978E-02   5.777328E-02
   4.700   8.989118E-02   5.793794E-02
   4.800   8.979268E-02   5.810307E-02
   4.900   8.963531E-02   5.832394E-02
   5.000   8.944896E-02   5.857323E-02
   5.100   8.922626E-02   5.883451E-02
   5.200   8.897769E-02   5.910486E-02
   5.300   8.872981E-02   5.937646E-02
   5.400   8.843586E-02   5.960213E-02
   5.500   8.810366E-02   5.977780E-02
   5.600   8.772629E-02   5.988319E-02
   5.700   8.724901E-02   5.983436E-02
   5.800   8.672300E-02   5.971492E-02
   5.900   8.609550E-02   5.945156E-02
   6.000   8.529489E-02   5.896378E-02
   6.100   8.438727E-02   5.834362E-02
   6.200   8.321392E-02   5.742200E-02
   6.300   8.194039E-02   5.639340E-02
   6.400   8.045214E-02   5.514019E-02
   6.500   7.864028E-02   5.357123E-02
   6.600   7.666225E-02   5.185129E-02
   6.700   7.427600E-02   4.976853E-02
   6.800   7.178686E-02   4.761383E-02
   6.900   6.903280E-02   4.525002E-02
   7.000   6.590669E-02   4.260055E-02
   7.100   6.265829E-02   3.988938E-02
   7.200   5.902309E-02   3.691291E-02
   7.300   5.540474E-02   3.400673E-02
   7.400   5.163876E-02   3.104614E-02
   7.500   4.766548E-02   2.799668E-02
   7.600   4.375985E-02   2.507294E-02
   7.700   3.971911E-02   2.213073E-02
   7.800   3.590509E-02   1.943181E-02
   7.900   3.218956E-02   1.688117E-02
   8.000   2.855503E-02   1.446602E-02
   8.100   2.518829E-02   1.230534E-02
   8.200   2.197042E-02   1.031338E-02
   8.300   1.909294E-02   8.601105E-03
   8.400   1.646822E-02   7.101190E-03
   8.500   1.408073E-02   5.793562E-03
   8.600   1.198793E-02   4.698521E-03
   8.700   1.012681E-02   3.768986E-03
   8.800   8.535965E-03   3.013842E-03
   8.900   7.163361E-03   2.394704E-03
   9.000   5.986772E-03   1.891231E-03
   9.100   4.995327E-03   1.489900E-03
   9.200   4.159173E-03   1.169655E-03
   9.300   3.462228E-03   9.178004E-04
   9.400   2.880855E-03   7.194862E-04
   9.500   2.398212E-03   5.640679E-04
   9.600   1.997667E-03   4.424457E-04
   9.700   1.666704E-03   3.474537E-04
   9.800   1.391479E-03   2.729500E-04
   9.900   1.163239E-03   2.145680E-04
  10.000   9.739296E-04   1.686861E-04
  10.100   8.160731E-04   1.325978E-04
  10.200   6.847056E-04   1.041046E-04
  10.300   5.746834E-04   8.168060E-05
  10.400   4.826760E-04   6.400089E-05
  10.500   4.056843E-04   5.006105E-05
  10.600   3.411389E-04   3.913356E-05
  10.700   2.871606E-04   3.058635E-05
  10.800   2.418482E-04   2.392338E-05
  10.900   2.039015E-04   1.874070E-05
  11.000   1.722175E-04   1.474868E-05
  11.100   1.456499E-04   1.164774E-05
  11.200   1.235368E-04   9.281856E-06
  11.300   1.049043E-04   7.423403E-06
  11.400   8.929522E-05   5.980980E-06
  11.500   7.623671E-05   4.861632E-06
  11.600   6.519757E-05   3.968973E-06
  11.700   5.591800E-05   3.259480E-06
  11.800   4.799502E-05   2.678260E-06
  11.900   4.125644E-05   2.202878E-06
  12.000   3.550052E-05   1.806126E-06
  12.100   3.055797E-05   1.476469E-06
  12.200   2.630238E-05   1.196490E-06
  12.300   2.263428E-05   9.660971E-07
  12.400   1.946941E-05   7.745566E-07
  12.500   1.675635E-05   6.216422E-07
  12.600   1.442135E-05   4.989165E-07
  12.700   1.241174E-05   4.004196E-07
  12.800   1.068217E-05   3.213680E-07
  12.900   9.193609E-06   2.579230E-07
  13.000   7.912481E-06   2.070034E-07
  13.100   6.809878E-06   1.661364E-07
  13.200   5.860923E-06   1.333375E-07
  13.300   5.044204E-06   1.070137E-07
  13.400   4.411685E-06   8.924528E-08
  13.500   3.861611E-06   7.457116E-08
  13.600   3.380123E-06   6.230982E-08
  13.700   2.958670E-06   5.206455E-08
  13.800   2.589766E-06   4.350386E-08
  13.900   2.266859E-06   3.635075E-08
  14.000   1.984214E-06   3.037379E-08
  14.100   1.736811E-06   2.537959E-08
  14.200   1.520255E-06   2.120656E-08
  14.300   1.330701E-06   1.771968E-08
  14.400   1.164782E-06   1.480613E-08
  14.500   1.023229E-06   1.217029E-08
  14.600   9.010140E-07   9.896200E-09
  14.700   7.933960E-07   8.047038E-09
  14.800   6.986321E-07   6.543403E-09
  14.900   6.151868E-07   5.320731E-09
  15.000   5.417083E-07   4.326522E-09
  15.100   4.770062E-07   3.518086E-09
  15.200   4.200321E-07   2.860712E-09
  15.300   3.698631E-07   2.326171E-09
  15.400   3.256863E-07   1.891513E-09
  15.500   2.867860E-07   1.538073E-09
  15.600   2.537888E-07   1.267354E-09
  15.700   2.341909E-07   1.167731E-09
  15.800   2.161064E-07   1.075939E-09
  15.900   1.994184E-07   9.913622E-10
  16.000   1.840191E-07   9.134340E-10
  16.100   1.698089E-07   8.416315E-10
  16.200   1.566961E-07   7.754732E-10
  16.300   1.445958E-07   7.145154E-10
  16.400   1.334299E-07   6.583494E-10
  16.500   1.231263E-07   6.065984E-10
  16.600   1.136184E-07   5.589154E-10
  16.700   1.048446E-07   5.149806E-10
  16.800   9.812360E-08   4.779028E-10
  16.900   9.336148E-08   4.472159E-10
  17.000   8.883048E-08   4.184995E-10
  17.100   8.451937E-08   3.916271E-10
  17.200   8.041749E-08   3.664801E-10
  17.300   7.651468E-08   3.429479E-10
  17.400   7.280129E-08   3.209267E-10
  17.500   6.926811E-08   3.003195E-10
  17.600   6.590640E-08   2.810355E-10
  17.700   6.270784E-08   2.629898E-10
  17.800   5.966451E-08   2.461029E-10
  17.900   5.676889E-08   2.303002E-10
  18.000   5.434587E-08   2.278168E-10
  18.100   5.222292E-08   2.331951E-10
  18.200   5.018291E-08   2.387003E-10
  18.300   4.822258E-08   2.443355E-10
  18.400   4.633883E-08   2.501038E-10
  18.500   4.452867E-08   2.560082E-10
  18.600   4.278922E-08   2.620520E-10
  18.700   4.111771E-08   2.682385E-10
  18.800   3.951151E-08   2.745710E-10
  18.900   3.796804E-08   2.810531E-10
  19.000   3.648487E-08   2.876882E-10
  19.100   3.505964E-08   2.944799E-10
  19.200   3.362217E-08   2.942695E-10
  19.300   3.218069E-08   2.872897E-10
  19.400   3.080101E-08   2.804754E-10
  19.500   2.948048E-08   2.738228E-10
  19.600   2.821656E-08   2.673279E-10
  19.700   2.700684E-08   2.609871E-10
  19.800   2.584897E-08   2.547967E-10
  19.900   2.474075E-08   2.487531E-10
 Z= 106 A= 278  Sg beta2= 0.17 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.769062E-02   5.278245E-02
   0.100   7.787949E-02   5.265474E-02
   0.200   7.806882E-02   5.252734E-02
   0.300   7.825861E-02   5.240025E-02
