 Z= 106 A= 234  Sg beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   2.295647E-08   6.310256E-08
  15.000   1.908875E-08   5.525826E-08
  15.100   1.592920E-08   4.842881E-08
  15.200   1.433446E-08   4.318916E-08
  15.300   1.289937E-08   3.851639E-08
  15.400   1.160795E-08   3.434919E-08
  15.500   1.044582E-08   3.063285E-08
  15.600   9.400043E-09   2.731859E-08
  15.700   8.458961E-09   2.436291E-08
  15.800   7.612094E-09   2.172701E-08
  15.900   6.850012E-09   1.937630E-08
  16.000   6.164225E-09   1.727992E-08
  16.100   5.547095E-09   1.541035E-08
  16.200   4.991749E-09   1.374306E-08
  16.300   4.326428E-09   1.229346E-08
  16.400   3.696215E-09   1.100957E-08
  16.500   3.157803E-09   9.859762E-09
  16.600   2.697819E-09   8.830038E-09
  16.700   2.304839E-09   7.907856E-09
  16.800   1.969102E-09   7.081984E-09
  16.900   1.682271E-09   6.342363E-09
  17.000   1.437222E-09   5.679986E-09
  17.100   1.227868E-09   5.086786E-09
  17.200   1.049009E-09   4.555537E-09
  17.300   8.962045E-10   4.079771E-09
  17.400   7.890984E-10   3.685778E-09
  17.500   7.787904E-10   3.441867E-09
  17.600   7.686170E-10   3.214096E-09
  17.700   7.585765E-10   3.001399E-09
  17.800   7.486671E-10   2.802777E-09
  17.900   7.388872E-10   2.617300E-09
  18.000   7.292351E-10   2.444096E-09
  18.100   7.197090E-10   2.282355E-09
  18.200   7.103074E-10   2.131317E-09
  18.300   7.010286E-10   1.990274E-09
  18.400   6.918710E-10   1.858565E-09
  18.500   6.828331E-10   1.735572E-09
  18.600   6.683371E-10   1.590922E-09
  18.700   6.470991E-10   1.423463E-09
  18.800   6.265359E-10   1.273630E-09
  18.900   6.066262E-10   1.139569E-09
  19.000   5.873492E-10   1.019619E-09
  19.100   5.686847E-10   9.122942E-10
  19.200   5.506134E-10   8.162668E-10
  19.300   5.331163E-10   7.303471E-10
