 Z=  59 A= 116  Pr beta2= 0.45 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   4.993928E-10   2.395797E-08
  15.000   4.431223E-10   2.444461E-08
  15.100   3.931922E-10   2.494113E-08
  15.200   3.488881E-10   2.544774E-08
  15.300   3.095761E-10   2.596464E-08
  15.400   2.493121E-10   2.730414E-08
  15.500   1.950484E-10   2.897289E-08
  15.600   1.525954E-10   3.074362E-08
  15.700   1.193824E-10   3.262258E-08
  15.800   9.339840E-11   3.461637E-08
  15.900   7.306989E-11   3.673201E-08
  16.000   5.716595E-11   3.897696E-08
  16.100   4.472357E-11   4.135911E-08
  16.200   3.498932E-11   4.388686E-08
  16.300   2.737376E-11   4.656909E-08
  16.400   2.336262E-11   4.866544E-08
  16.500   2.454798E-11   4.903143E-08
  16.600   2.579347E-11   4.940017E-08
  16.700   2.710217E-11   4.977168E-08
  16.800   2.847726E-11   5.014599E-08
  16.900   2.992212E-11   5.052311E-08
  17.000   3.144028E-11   5.090307E-08
  17.100   3.303548E-11   5.128588E-08
  17.200   3.471161E-11   5.167158E-08
  17.300   3.647278E-11   5.206017E-08
  17.400   3.832331E-11   5.245169E-08
  17.500   3.997412E-11   5.120639E-08
  17.600   4.140272E-11   4.849351E-08
  17.700   4.288238E-11   4.592437E-08
  17.800   4.441492E-11   4.349133E-08
  17.900   4.600223E-11   4.118720E-08
  18.000   4.764627E-11   3.900513E-08
  18.100   4.934906E-11   3.693867E-08
  18.200   5.111270E-11   3.498169E-08
  18.300   5.293938E-11   3.312839E-08
  18.400   5.483134E-11   3.137327E-08
  18.500   5.679091E-11   2.971114E-08
  18.600   5.913511E-11   2.728574E-08
  18.700   6.233628E-11   2.334848E-08
  18.800   6.571075E-11   1.997935E-08
  18.900   6.926788E-11   1.709638E-08
  19.000   7.301758E-11   1.462941E-08
  19.100   7.697026E-11   1.251842E-08
  19.200   8.113691E-11   1.071205E-08
  19.300   8.552911E-11   9.166323E-09
  19.400   9.015908E-11   7.843645E-09
  19.500   9.503968E-11   6.711826E-09
  19.600   1.001845E-10   5.743326E-09
  19.700   1.056078E-10   4.914578E-09
  19.800   9.925004E-11   3.964669E-09
  19.900   8.360685E-11   3.023608E-09
