 Z=  16 A=  24  S  beta2=-0.09 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   6.032286E-13   5.138103E-08
  15.000   5.176680E-13   3.754540E-08
  15.100   4.442432E-13   2.743536E-08
  15.200   3.812328E-13   2.004770E-08
  15.300   3.271597E-13   1.464936E-08
  15.400   2.552654E-13   1.008531E-08
  15.500   1.771295E-13   6.451619E-09
  15.600   1.229107E-13   4.127128E-09
  15.700   8.528809E-14   2.640142E-09
  15.800   5.918167E-14   1.688910E-09
  15.900   4.106634E-14   1.080403E-09
  16.000   2.849606E-14   6.911384E-10
  16.100   1.977351E-14   4.421242E-10
  16.200   1.372090E-14   2.828288E-10
  16.300   9.520972E-15   1.809268E-10
  16.400   5.857105E-15   1.052346E-10
  16.500   3.442294E-15   5.903908E-11
  16.600   2.023079E-15   3.312232E-11
  16.700   1.188989E-15   1.858240E-11
  16.800   6.987835E-16   1.042517E-11
  16.900   4.106838E-16   5.848764E-12
  17.000   2.413640E-16   3.281295E-12
  17.100   1.418526E-16   1.840884E-12
  17.200   8.336855E-17   1.032779E-12
  17.300   4.899673E-17   5.794135E-13
  17.400   2.879599E-17   3.250647E-13
  17.500   1.460025E-17   1.602305E-13
  17.600   7.342949E-18   7.842190E-14
  17.700   3.693012E-18   3.838218E-14
  17.800   1.857338E-18   1.878547E-14
  17.900   9.341168E-19   9.194207E-15
  18.000   4.697983E-19   4.499938E-15
  18.100   2.362771E-19   2.202414E-15
  18.200   1.188316E-19   1.077931E-15
  18.300   5.976433E-20   5.275741E-16
  18.400   3.005746E-20   2.582116E-16
  18.500   1.511689E-20   1.263770E-16
  18.600   7.602785E-21   6.185294E-17
  18.700   3.823692E-21   3.027280E-17
  18.800   1.923061E-21   1.481648E-17
  18.900   9.671713E-22   7.251657E-18
  19.000   4.864225E-22   3.549193E-18
  19.100   2.446380E-22   1.737088E-18
  19.200   1.230365E-22   8.501864E-19
  19.300   6.187914E-23   4.161084E-19
  19.400   3.112107E-23   2.036567E-19
  19.500   1.565182E-23   9.967611E-20
  19.600   7.871816E-24   4.878467E-20
  19.700   3.958997E-24   2.387677E-20
  19.800   1.991111E-24   1.168606E-20
  19.900   1.001395E-24   5.719529E-21
 Z=  16 A=  25  S  beta2=-0.12 nrho= 200
