 Z=  75 A= 156  Re beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   5.177118E-10   2.522929E-08
  15.000   3.997039E-10   2.209587E-08
  15.100   3.308597E-10   1.964618E-08
  15.200   3.117005E-10   1.796509E-08
  15.300   2.936508E-10   1.642785E-08
  15.400   2.766463E-10   1.502215E-08
  15.500   2.606265E-10   1.373673E-08
  15.600   2.455344E-10   1.256131E-08
  15.700   2.313162E-10   1.148646E-08
  15.800   2.179213E-10   1.050358E-08
  15.900   2.053021E-10   9.604811E-09
  16.000   1.934136E-10   8.782945E-09
  16.100   1.822136E-10   8.031404E-09
  16.200   1.599874E-10   7.391356E-09
  16.300   1.337081E-10   6.832907E-09
  16.400   1.117454E-10   6.316652E-09
  16.500   9.339030E-11   5.839402E-09
  16.600   7.805016E-11   5.398210E-09
  16.700   6.522976E-11   4.990352E-09
  16.800   5.451523E-11   4.613310E-09
  16.900   4.556064E-11   4.264755E-09
  17.000   3.807693E-11   3.942534E-09
  17.100   3.182247E-11   3.644659E-09
  17.200   2.659536E-11   3.369289E-09
  17.300   2.488785E-11   3.174864E-09
  17.400   2.525195E-11   3.032862E-09
  17.500   2.562139E-11   2.897210E-09
  17.600   2.599623E-11   2.767626E-09
  17.700   2.637655E-11   2.643838E-09
  17.800   2.676244E-11   2.525587E-09
  17.900   2.715397E-11   2.412625E-09
  18.000   2.755123E-11   2.304715E-09
  18.100   2.795431E-11   2.201632E-09
  18.200   2.836328E-11   2.103159E-09
  18.300   2.877823E-11   2.009091E-09
  18.400   3.000781E-11   1.891351E-09
  18.500   3.394712E-11   1.704437E-09
  18.600   3.840357E-11   1.535995E-09
  18.700   4.344505E-11   1.384200E-09
  18.800   4.914835E-11   1.247405E-09
  18.900   5.560036E-11   1.124130E-09
  19.000   6.289937E-11   1.013037E-09
  19.100   7.115656E-11   9.129232E-10
  19.200   8.049773E-11   8.227031E-10
  19.300   9.106517E-11   7.413990E-10
  19.400   1.030199E-10   6.681299E-10
  19.500   1.165439E-10   6.021016E-10
  19.600   1.248486E-10   5.551347E-10
  19.700   1.259853E-10   5.248115E-10
  19.800   1.271324E-10   4.961446E-10
  19.900   1.282899E-10   4.690436E-10
 Z=  75 A= 157  Re beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.891041E-02   6.993214E-02
   0.100   8.867909E-02   6.986547E-02
   0.200   8.844837E-02   6.979887E-02
   0.300   8.821300E-02   6.973099E-02
   0.400   8.777416E-02   6.961055E-02
   0.500   8.726800E-02   6.947950E-02
   0.600   8.667323E-02   6.933436E-02
   0.700   8.605882E-02   6.919215E-02
   0.800   8.537895E-02   6.905796E-02
   0.900   8.470392E-02   6.895886E-02
   1.000   8.403395E-02   6.887806E-02
   1.100   8.341038E-02   6.883810E-02
   1.200   8.283582E-02   6.884249E-02
   1.300   8.240965E-02   6.893920E-02
   1.400   8.200437E-02   6.904807E-02
   1.500   8.174089E-02   6.922829E-02
   1.600   8.155735E-02   6.944705E-02
   1.700   8.154266E-02   6.973391E-02
   1.800   8.152797E-02   7.002195E-02
   1.900   8.164932E-02   7.034737E-02
   2.000   8.180588E-02   7.067535E-02
   2.100   8.201236E-02   7.100188E-02
   2.200   8.222068E-02   7.132363E-02
   2.300   8.243641E-02   7.161393E-02
   2.400   8.262253E-02   7.186750E-02
   2.500   8.278598E-02   7.209292E-02
   2.600   8.291476E-02   7.228849E-02
   2.700   8.298875E-02   7.243648E-02
   2.800   8.297884E-02   7.252201E-02
   2.900   8.294716E-02   7.259135E-02
   3.000   8.285499E-02   7.262070E-02
   3.100   8.272381E-02   7.262421E-02
   3.200   8.252474E-02   7.258655E-02
   3.300   8.232614E-02   7.254891E-02
   3.400   8.209964E-02   7.249909E-02
   3.500   8.186859E-02   7.244891E-02
   3.600   8.163845E-02   7.240438E-02
   3.700   8.140995E-02   7.236063E-02
   3.800   8.119527E-02   7.232675E-02
   3.900   8.097763E-02   7.228604E-02
   4.000   8.075672E-02   7.223783E-02
   4.100   8.052225E-02   7.217379E-02
   4.200   8.024291E-02   7.206060E-02
   4.300   7.989679E-02   7.188178E-02
   4.400   7.941861E-02   7.157831E-02
   4.500   7.888643E-02   7.122363E-02
   4.600   7.817115E-02   7.070022E-02
   4.700   7.727346E-02   7.000917E-02
   4.800   7.617449E-02   6.913429E-02
   4.900   7.477067E-02   6.798286E-02
   5.000   7.327192E-02   6.674216E-02
   5.100   7.144385E-02   6.520110E-02
   5.200   6.934709E-02   6.341248E-02
   5.300   6.698352E-02   6.137581E-02
   5.400   6.424373E-02   5.899126E-02
   5.500   6.145245E-02   5.655092E-02
