 Z=  73 A= 144  Ta beta2= 0.46 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   3.074702E-10   2.774611E-08
  15.000   2.914273E-10   2.458955E-08
  15.100   2.762214E-10   2.179211E-08
  15.200   2.618089E-10   1.931291E-08
  15.300   2.481484E-10   1.711576E-08
  15.400   2.352007E-10   1.516858E-08
  15.500   2.229285E-10   1.344291E-08
  15.600   2.112967E-10   1.191357E-08
  15.700   2.002718E-10   1.055821E-08
  15.800   1.898222E-10   9.357050E-09
  15.900   1.799177E-10   8.292538E-09
  16.000   1.528141E-10   8.715530E-09
  16.100   1.276277E-10   9.402877E-09
  16.200   1.065925E-10   1.014443E-08
  16.300   8.902423E-11   1.094447E-08
  16.400   7.435151E-11   1.180760E-08
  16.500   6.209712E-11   1.273880E-08
  16.600   5.186245E-11   1.374344E-08
  16.700   4.331463E-11   1.482732E-08
  16.800   3.617564E-11   1.599667E-08
  16.900   3.021328E-11   1.725824E-08
  17.000   2.527424E-11   1.861309E-08
  17.100   2.581036E-11   1.926015E-08
  17.200   2.635784E-11   1.992970E-08
  17.300   2.691694E-11   2.062252E-08
  17.400   2.748790E-11   2.133944E-08
  17.500   2.807097E-11   2.208127E-08
  17.600   2.866641E-11   2.284890E-08
  17.700   2.927448E-11   2.364321E-08
  17.800   2.989545E-11   2.446513E-08
  17.900   3.052959E-11   2.531563E-08
  18.000   3.117718E-11   2.619569E-08
  18.100   3.183850E-11   2.710634E-08
  18.200   3.479734E-11   2.677264E-08
  18.300   3.857883E-11   2.618497E-08
  18.400   4.277126E-11   2.561019E-08
  18.500   4.741929E-11   2.504803E-08
  18.600   5.257243E-11   2.449821E-08
  18.700   5.828557E-11   2.396045E-08
  18.800   6.461957E-11   2.343451E-08
  18.900   7.164189E-11   2.292010E-08
  19.000   7.942734E-11   2.241699E-08
  19.100   8.805885E-11   2.192492E-08
  19.200   9.762836E-11   2.144366E-08
  19.300   1.064591E-10   2.051474E-08
  19.400   1.089904E-10   1.804282E-08
  19.500   1.115820E-10   1.586874E-08
  19.600   1.142352E-10   1.395664E-08
  19.700   1.169514E-10   1.227493E-08
  19.800   1.197322E-10   1.079586E-08
  19.900   1.225792E-10   9.495011E-09
 Z=  73 A= 145  Ta beta2= 0.48 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
