 Z=  95 A= 204  Am beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   8.748241E-09   1.041430E-07
  15.000   7.376878E-09   9.509858E-08
  15.100   6.220489E-09   8.683963E-08
  15.200   5.245373E-09   7.929793E-08
  15.300   4.423116E-09   7.241120E-08
  15.400   3.729754E-09   6.612256E-08
  15.500   3.145083E-09   6.038007E-08
  15.600   2.652064E-09   5.513628E-08
  15.700   2.236330E-09   5.034790E-08
  15.800   1.885766E-09   4.597538E-08
  15.900   1.640965E-09   4.281817E-08
  16.000   1.438243E-09   4.005776E-08
  16.100   1.260565E-09   3.747531E-08
  16.200   1.104837E-09   3.505934E-08
  16.300   9.683471E-10   3.279913E-08
  16.400   8.487191E-10   3.068462E-08
  16.500   7.438697E-10   2.870644E-08
  16.600   6.519733E-10   2.685579E-08
  16.700   5.714296E-10   2.512444E-08
  16.800   5.008361E-10   2.350471E-08
  16.900   4.389637E-10   2.198941E-08
  17.000   3.995588E-10   2.056035E-08
  17.100   3.746569E-10   1.921578E-08
  17.200   3.513070E-10   1.795913E-08
  17.300   3.294123E-10   1.678467E-08
  17.400   3.088821E-10   1.568701E-08
  17.500   2.896315E-10   1.466113E-08
  17.600   2.715806E-10   1.370235E-08
  17.700   2.546547E-10   1.280626E-08
  17.800   2.387838E-10   1.196878E-08
  17.900   2.239019E-10   1.118606E-08
  18.000   2.099475E-10   1.045453E-08
  18.100   1.972502E-10   9.776346E-09
  18.200   1.922236E-10   9.238507E-09
  18.300   1.873252E-10   8.730257E-09
  18.400   1.825516E-10   8.249968E-09
  18.500   1.778996E-10   7.796102E-09
  18.600   1.733662E-10   7.367205E-09
  18.700   1.689483E-10   6.961904E-09
  18.800   1.646430E-10   6.578899E-09
  18.900   1.604474E-10   6.216966E-09
  19.000   1.563587E-10   5.874944E-09
  19.100   1.523742E-10   5.551738E-09
  19.200   1.484912E-10   5.246313E-09
  19.300   1.477635E-10   4.948448E-09
  19.400   1.597772E-10   4.633000E-09
  19.500   1.727677E-10   4.337660E-09
  19.600   1.868144E-10   4.061147E-09
  19.700   2.020031E-10   3.802262E-09
  19.800   2.184268E-10   3.559879E-09
  19.900   2.361857E-10   3.332948E-09
 Z=  95 A= 205  Am beta2= 0.36 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.839103E-02   6.597508E-02
   0.100   7.829398E-02   6.580853E-02
   0.200   7.819705E-02   6.564240E-02
   0.300   7.810024E-02   6.547669E-02
   0.400   7.795069E-02   6.522032E-02
   0.500   7.776840E-02   6.490824E-02
   0.600   7.753909E-02   6.451363E-02
   0.700   7.729861E-02   6.410056E-02
   0.800   7.705218E-02   6.367585E-02
   0.900   7.679246E-02   6.322409E-02
   1.000   7.655176E-02   6.279781E-02
   1.100   7.632935E-02   6.239585E-02
   1.200   7.611024E-02   6.200002E-02
   1.300   7.598061E-02   6.172558E-02
   1.400   7.588195E-02   6.149319E-02
   1.500   7.589567E-02   6.141040E-02
   1.600   7.590939E-02   6.132773E-02
   1.700   7.604359E-02   6.140010E-02
   1.800   7.622113E-02   6.152801E-02
   1.900   7.653760E-02   6.182559E-02
   2.000   7.686715E-02   6.213904E-02
   2.100   7.724556E-02   6.250911E-02
   2.200   7.768556E-02   6.295079E-02
   2.300   7.815134E-02   6.342196E-02
   2.400   7.863366E-02   6.391226E-02
   2.500   7.911476E-02   6.440192E-02
   2.600   7.957523E-02   6.487047E-02
   2.700   8.000879E-02   6.531394E-02
   2.800   8.038620E-02   6.570405E-02
   2.900   8.076539E-02   6.609648E-02
   3.000   8.103839E-02   6.639443E-02
   3.100   8.128809E-02   6.667260E-02
   3.200   8.140133E-02   6.684173E-02
   3.300   8.151474E-02   6.701128E-02
   3.400   8.155121E-02   6.712865E-02
   3.500   8.152860E-02   6.720584E-02
   3.600   8.142941E-02   6.724896E-02
   3.700   8.130512E-02   6.728085E-02
   3.800   8.116616E-02   6.731456E-02
   3.900   8.098814E-02   6.735313E-02
   4.000   8.081199E-02   6.741691E-02
   4.100   8.063796E-02   6.751050E-02
   4.200   8.046430E-02   6.760422E-02
   4.300   8.032516E-02   6.776645E-02
   4.400   8.019130E-02   6.793645E-02
   4.500   8.007943E-02   6.813708E-02
   4.600   7.996771E-02   6.833830E-02
   4.700   7.984237E-02   6.852279E-02
   4.800   7.968498E-02   6.867093E-02
   4.900   7.947749E-02   6.876369E-02
   5.000   7.916133E-02   6.873839E-02
   5.100   7.876490E-02   6.862820E-02
   5.200   7.824241E-02   6.838555E-02
   5.300   7.749752E-02   6.791861E-02
   5.400   7.660508E-02   6.730093E-02
   5.500   7.542521E-02   6.639887E-02
   5.600   7.408955E-02   6.534252E-02
   5.700   7.251440E-02   6.405105E-02
   5.800   7.057936E-02   6.241160E-02
   5.900   6.844667E-02   6.058056E-02
   6.000   6.593290E-02   5.838667E-02
   6.100   6.327116E-02   5.604913E-02
   6.200   6.036433E-02   5.347809E-02
   6.300   5.709992E-02   5.057302E-02
   6.400   5.371880E-02   4.755754E-02
   6.500   5.004242E-02   4.426942E-02
   6.600   4.636976E-02   4.098450E-02
   6.700   4.261841E-02   3.762878E-02
   6.800   3.872730E-02   3.414908E-02
   6.900   3.494563E-02   3.077167E-02
   7.000   3.114979E-02   2.738697E-02
   7.100   2.759316E-02   2.422152E-02
   7.200   2.421212E-02   2.121854E-02
   7.300   2.098346E-02   1.835803E-02
   7.400   1.805351E-02   1.576846E-02
   7.500   1.534543E-02   1.338267E-02
   7.600   1.296959E-02   1.129423E-02
   7.700   1.086866E-02   9.452099E-03
   7.800   9.017480E-03   7.834293E-03
   7.900   7.440997E-03   6.459509E-03
   8.000   6.089904E-03   5.284857E-03
   8.100   4.967819E-03   4.310913E-03
   8.200   4.033205E-03   3.501309E-03
   8.300   3.260646E-03   2.833825E-03
   8.400   2.630963E-03   2.290224E-03
   8.500   2.118494E-03   1.848627E-03
   8.600   1.705164E-03   1.492296E-03
   8.700   1.371835E-03   1.204978E-03
   8.800   1.104324E-03   9.745429E-04
   8.900   8.893314E-04   7.888762E-04
   9.000   7.168368E-04   6.398089E-04
   9.100   5.779846E-04   5.193338E-04
   9.200   4.662687E-04   4.220789E-04
   9.300   3.763737E-04   3.435792E-04
   9.400   3.037982E-04   2.798300E-04
   9.500   2.451831E-04   2.281244E-04
   9.600   1.978468E-04   1.860446E-04
   9.700   1.596231E-04   1.518320E-04
   9.800   1.288299E-04   1.241265E-04
   9.900   1.040092E-04   1.015867E-04
  10.000   8.406897E-05   8.337638E-05
  10.100   6.802042E-05   6.856331E-05
  10.200   5.512779E-05   5.655750E-05
  10.300   4.483082E-05   4.691426E-05
  10.400   3.653060E-05   3.904806E-05
  10.500   2.988041E-05   3.270771E-05
  10.600   2.448237E-05   2.748123E-05
  10.700   2.011090E-05   2.319801E-05
  10.800   1.656438E-05   1.969482E-05
  10.900   1.365400E-05   1.676492E-05
  11.000   1.126126E-05   1.432451E-05
  11.100   9.282623E-06   1.225258E-05
  11.200   7.644771E-06   1.049689E-05
  11.300   6.283441E-06   9.002602E-06
  11.400   5.156357E-06   7.721563E-06
  11.500   4.220689E-06   6.622173E-06
  11.600   3.451653E-06   5.678494E-06
  11.700   2.824074E-06   4.871149E-06
  11.800   2.336941E-06   4.194754E-06
  11.900   1.933836E-06   3.612281E-06
  12.000   1.600263E-06   3.110689E-06
  12.100   1.324229E-06   2.678747E-06
  12.200   1.095809E-06   2.306783E-06
  12.300   9.067899E-07   1.986469E-06
  12.400   7.503751E-07   1.710633E-06
  12.500   6.209408E-07   1.473099E-06
  12.600   5.160351E-07   1.270425E-06
  12.700   4.308929E-07   1.097434E-06
  12.800   3.597985E-07   9.479995E-07
  12.900   3.004343E-07   8.189128E-07
  13.000   2.508647E-07   7.074035E-07
  13.100   2.094737E-07   6.110781E-07
  13.200   1.749120E-07   5.278692E-07
  13.300   1.460528E-07   4.559905E-07
  13.400   1.219551E-07   3.938994E-07
  13.500   1.018333E-07   3.402631E-07
  13.600   8.503153E-08   2.939304E-07
  13.700   7.146202E-08   2.563732E-07
  13.800   6.024080E-08   2.246345E-07
  13.900   5.078157E-08   1.968250E-07
  14.000   4.280767E-08   1.724583E-07
  14.100   3.608585E-08   1.511082E-07
  14.200   3.041952E-08   1.324012E-07
  14.300   2.564294E-08   1.160101E-07
  14.400   2.161639E-08   1.016482E-07
  14.500   1.822211E-08   8.906430E-08
  14.600   1.536081E-08   7.803826E-08
  14.700   1.294880E-08   6.837722E-08
  14.800   1.092841E-08   6.023360E-08
  14.900   9.226960E-09   5.315662E-08
  15.000   7.790411E-09   4.691112E-08
  15.100   6.577519E-09   4.139943E-08
  15.200   5.553462E-09   3.653531E-08
  15.300   4.688841E-09   3.224270E-08
  15.400   3.958833E-09   2.845443E-08
  15.500   3.342481E-09   2.511125E-08
  15.600   2.822089E-09   2.216087E-08
  15.700   2.382716E-09   1.955714E-08
  15.800   2.011750E-09   1.725933E-08
  15.900   1.739672E-09   1.616970E-08
  16.000   1.522144E-09   1.559942E-08
  16.100   1.331815E-09   1.504925E-08
  16.200   1.165286E-09   1.451848E-08
  16.300   1.019579E-09   1.400644E-08
  16.400   8.920910E-10   1.351245E-08
  16.500   7.805442E-10   1.303589E-08
  16.600   6.829452E-10   1.257613E-08
  16.700   5.975500E-10   1.213259E-08
  16.800   5.228325E-10   1.170469E-08
  16.900   4.574577E-10   1.129188E-08
  17.000   4.119336E-10   1.102484E-08
  17.100   3.868105E-10   1.095354E-08
  17.200   3.632196E-10   1.088269E-08
  17.300   3.410675E-10   1.081230E-08
  17.400   3.202664E-10   1.074236E-08
