 Z= 110 A= 250  10 beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.474596E-02   5.941640E-02
   0.100   7.503143E-02   5.928535E-02
   0.200   7.531799E-02   5.915458E-02
   0.300   7.560565E-02   5.902411E-02
   0.400   7.595830E-02   5.886176E-02
   0.500   7.647389E-02   5.861946E-02
   0.600   7.702387E-02   5.835674E-02
   0.700   7.765258E-02   5.804403E-02
   0.800   7.828642E-02   5.773299E-02
   0.900   7.891425E-02   5.741275E-02
   1.000   7.953875E-02   5.708627E-02
   1.100   8.008710E-02   5.679282E-02
   1.200   8.058111E-02   5.652298E-02
   1.300   8.107816E-02   5.625442E-02
   1.400   8.140367E-02   5.609153E-02
   1.500   8.170292E-02   5.594552E-02
   1.600   8.182340E-02   5.595523E-02
   1.700   8.191788E-02   5.598758E-02
   1.800   8.198877E-02   5.605023E-02
   1.900   8.192845E-02   5.628106E-02
   2.000   8.185771E-02   5.654115E-02
   2.100   8.173331E-02   5.694866E-02
   2.200   8.160910E-02   5.735910E-02
   2.300   8.149412E-02   5.782494E-02
   2.400   8.139065E-02   5.836109E-02
   2.500   8.132802E-02   5.891780E-02
   2.600   8.131478E-02   5.949890E-02
   2.700   8.130155E-02   6.008575E-02
   2.800   8.137298E-02   6.065067E-02
   2.900   8.147552E-02   6.121068E-02
   3.000   8.165113E-02   6.170095E-02
   3.100   8.185254E-02   6.216890E-02
   3.200   8.205557E-02   6.263752E-02
   3.300   8.230935E-02   6.298018E-02
   3.400   8.256329E-02   6.332047E-02
   3.500   8.279876E-02   6.352945E-02
   3.600   8.303491E-02   6.373913E-02
   3.700   8.324668E-02   6.391397E-02
   3.800   8.340341E-02   6.401042E-02
   3.900   8.352215E-02   6.408697E-02
   4.000   8.356001E-02   6.412115E-02
   4.100   8.359788E-02   6.415535E-02
   4.200   8.356648E-02   6.418892E-02
   4.300   8.348914E-02   6.422207E-02
   4.400   8.336598E-02   6.429143E-02
   4.500   8.321370E-02   6.438404E-02
   4.600   8.306170E-02   6.447679E-02
   4.700   8.288380E-02   6.464196E-02
   4.800   8.270305E-02   6.481652E-02
   4.900   8.251524E-02   6.503225E-02
   5.000   8.232702E-02   6.525323E-02
   5.100   8.213394E-02   6.547046E-02
   5.200   8.191726E-02   6.566778E-02
   5.300   8.165764E-02   6.580979E-02
   5.400   8.133478E-02   6.587069E-02
   5.500   8.096487E-02   6.587010E-02
   5.600   8.046565E-02   6.571418E-02
   5.700   7.987095E-02   6.544474E-02
   5.800   7.907437E-02   6.495202E-02
   5.900   7.809337E-02   6.426316E-02
   6.000   7.698273E-02   6.343467E-02
   6.100   7.558377E-02   6.231488E-02
   6.200   7.400507E-02   6.101536E-02
   6.300   7.207778E-02   5.937912E-02
   6.400   6.988294E-02   5.749122E-02
   6.500   6.752788E-02   5.545325E-02
   6.600   6.480810E-02   5.308281E-02
   6.700   6.191689E-02   5.055992E-02
   6.800   5.866508E-02   4.771985E-02
   6.900   5.520711E-02   4.470617E-02
   7.000   5.169381E-02   4.165503E-02
   7.100   4.793875E-02   3.840747E-02
   7.200   4.418090E-02   3.517478E-02
   7.300   4.027115E-02   3.183191E-02
   7.400   3.639416E-02   2.854152E-02
   7.500   3.268552E-02   2.541929E-02
   7.600   2.902232E-02   2.236173E-02
   7.700   2.558820E-02   1.952254E-02
   7.800   2.229142E-02   1.682454E-02
   7.900   1.925043E-02   1.436371E-02
   8.000   1.651976E-02   1.217996E-02
   8.100   1.402731E-02   1.021191E-02
   8.200   1.183693E-02   8.504963E-03
   8.300   9.891145E-03   7.009269E-03
   8.400   8.212653E-03   5.737776E-03
   8.500   6.788236E-03   4.674618E-03
   8.600   5.575270E-03   3.783458E-03
   8.700   4.563982E-03   3.051910E-03
   8.800   3.719626E-03   2.451209E-03
   8.900   3.025292E-03   1.965195E-03
   9.000   2.457284E-03   1.573738E-03
   9.100   1.994488E-03   1.260029E-03
   9.200   1.618973E-03   1.009239E-03
   9.300   1.314932E-03   8.093585E-04
   9.400   1.068862E-03   6.498575E-04
   9.500   8.694001E-04   5.222695E-04
   9.600   7.081315E-04   4.204764E-04
   9.700   5.772401E-04   3.388538E-04
   9.800   4.709035E-04   2.733275E-04
   9.900   3.842048E-04   2.205086E-04
  10.000   3.134872E-04   1.779109E-04
  10.100   2.557730E-04   1.435543E-04
