 Z=  69 A= 136  Tm beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   3.732575E-10   2.457173E-08
  15.000   3.480999E-10   2.149676E-08
  15.100   3.246379E-10   1.880659E-08
  15.200   3.027573E-10   1.645308E-08
  15.300   2.823514E-10   1.439410E-08
  15.400   2.633208E-10   1.259278E-08
  15.500   2.455730E-10   1.101689E-08
  15.600   2.290213E-10   9.638202E-09
  15.700   2.135852E-10   8.432050E-09
  15.800   1.870684E-10   8.212782E-09
  15.900   1.523370E-10   9.059797E-09
  16.000   1.240539E-10   9.994168E-09
  16.100   1.010219E-10   1.102490E-08
  16.200   8.226599E-11   1.216194E-08
  16.300   6.699237E-11   1.341625E-08
  16.400   5.455447E-11   1.479992E-08
  16.500   4.442581E-11   1.632629E-08
  16.600   3.617765E-11   1.801008E-08
  16.700   2.946086E-11   1.986753E-08
  16.800   2.399111E-11   2.191654E-08
  16.900   2.317889E-11   2.315438E-08
  17.000   2.403813E-11   2.402794E-08
  17.100   2.492922E-11   2.493446E-08
  17.200   2.585335E-11   2.587518E-08
  17.300   2.681173E-11   2.685139E-08
  17.400   2.780565E-11   2.786444E-08
  17.500   2.883640E-11   2.891570E-08
  17.600   2.990537E-11   3.000663E-08
  17.700   3.101396E-11   3.113871E-08
  17.800   3.216365E-11   3.231350E-08
  17.900   3.335596E-11   3.353262E-08
  18.000   3.575972E-11   3.347186E-08
  18.100   3.908797E-11   3.266074E-08
  18.200   4.272598E-11   3.186929E-08
  18.300   4.670259E-11   3.109701E-08
  18.400   5.104932E-11   3.034345E-08
  18.500   5.580060E-11   2.960815E-08
  18.600   6.099410E-11   2.889067E-08
  18.700   6.667098E-11   2.819057E-08
  18.800   7.287621E-11   2.750744E-08
  18.900   7.965898E-11   2.684086E-08
  19.000   8.707303E-11   2.619044E-08
  19.100   9.445070E-11   2.522169E-08
  19.200   9.700668E-11   2.211353E-08
  19.300   9.963183E-11   1.938841E-08
  19.400   1.023280E-10   1.699911E-08
  19.500   1.050972E-10   1.490425E-08
  19.600   1.079413E-10   1.306755E-08
  19.700   1.108623E-10   1.145719E-08
  19.800   1.138624E-10   1.004528E-08
  19.900   1.169437E-10   8.807368E-09
 Z=  69 A= 137  Tm beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.806956E-02   7.049703E-02
   0.100   7.808626E-02   7.053189E-02
   0.200   7.810297E-02   7.056678E-02
   0.300   7.812471E-02   7.061009E-02
   0.400   7.816434E-02   7.068330E-02
   0.500   7.822921E-02   7.079055E-02
   0.600   7.830342E-02   7.091050E-02
   0.700   7.840863E-02   7.106787E-02
   0.800   7.853817E-02   7.125356E-02
   0.900   7.870915E-02   7.148489E-02
   1.000   7.888902E-02   7.172593E-02
   1.100   7.911045E-02   7.201108E-02
   1.200   7.935689E-02   7.232319E-02
   1.300   7.961551E-02   7.264873E-02
   1.400   7.988230E-02   7.298733E-02
   1.500   8.015048E-02   7.333180E-02
   1.600   8.040081E-02   7.366688E-02
   1.700   8.064531E-02   7.399855E-02
   1.800   8.084324E-02   7.429639E-02
   1.900   8.098840E-02   7.455498E-02
   2.000   8.110292E-02   7.479093E-02
   2.100   8.115663E-02   7.497989E-02
   2.200   8.115744E-02   7.512765E-02
   2.300   8.106058E-02   7.519790E-02
   2.400   8.095597E-02   7.526196E-02
   2.500   8.075320E-02   7.524786E-02
   2.600   8.049895E-02   7.519174E-02
   2.700   8.020860E-02   7.510575E-02
   2.800   7.988440E-02   7.498987E-02
   2.900   7.953113E-02   7.484792E-02
   3.000   7.915094E-02   7.468018E-02
   3.100   7.877257E-02   7.451273E-02
   3.200   7.839634E-02   7.434218E-02
   3.300   7.803489E-02   7.418002E-02
   3.400   7.768634E-02   7.402515E-02
   3.500   7.735330E-02   7.388069E-02
   3.600   7.703555E-02   7.374654E-02
   3.700   7.672287E-02   7.361374E-02
   3.800   7.641146E-02   7.348118E-02
   3.900   7.606875E-02   7.331978E-02
