 Z= 109 A= 248  Mt beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   5.400   8.314374E-02   6.434069E-02
   5.500   8.280314E-02   6.435735E-02
   5.600   8.241880E-02   6.431875E-02
   5.700   8.192183E-02   6.414075E-02
   5.800   8.125142E-02   6.376210E-02
   5.900   8.045647E-02   6.324455E-02
   6.000   7.937075E-02   6.242379E-02
   6.100   7.819044E-02   6.150534E-02
   6.200   7.675984E-02   6.033599E-02
   6.300   7.500637E-02   5.885752E-02
   6.400   7.305915E-02   5.719690E-02
   6.500   7.067652E-02   5.513901E-02
   6.600   6.820839E-02   5.300882E-02
   6.700   6.543803E-02   5.061481E-02
   6.800   6.231672E-02   4.792297E-02
   6.900   5.905034E-02   4.511786E-02
   7.000   5.538798E-02   4.199207E-02
   7.100   5.177693E-02   3.893382E-02
   7.200   4.799899E-02   3.576035E-02
   7.300   4.405565E-02   3.248105E-02
   7.400   4.017417E-02   2.928790E-02
   7.500   3.617185E-02   2.603470E-02
   7.600   3.243771E-02   2.303896E-02
   7.700   2.880472E-02   2.016484E-02
   7.800   2.529812E-02   1.743201E-02
   7.900   2.206437E-02   1.495237E-02
   8.000   1.899900E-02   1.264177E-02
   8.100   1.629805E-02   1.064314E-02
   8.200   1.385426E-02   8.869237E-03
   8.300   1.166923E-02   7.314334E-03
   8.400   9.773089E-03   5.994101E-03
   8.500   8.111066E-03   4.862206E-03
   8.600   6.716141E-03   3.933923E-03
   8.700   5.530762E-03   3.163591E-03
   8.800   4.534528E-03   2.532059E-03
   8.900   3.708938E-03   2.021424E-03
   9.000   3.025520E-03   1.609506E-03
   9.100   2.467246E-03   1.281276E-03
   9.200   2.010772E-03   1.019710E-03
   9.300   1.639677E-03   8.122523E-04
   9.400   1.337570E-03   6.474540E-04
   9.500   1.092593E-03   5.169958E-04
   9.600   8.929382E-04   4.130617E-04
   9.700   7.306965E-04   3.304890E-04
   9.800   5.986359E-04   2.646985E-04
   9.900   4.906219E-04   2.120366E-04
  10.000   4.022361E-04   1.698132E-04
  10.100   3.297903E-04   1.359815E-04
  10.200   2.704219E-04   1.088565E-04
  10.300   2.217449E-04   8.712565E-05
  10.400   1.818051E-04   6.972110E-05
  10.500   1.491149E-04   5.585218E-05
  10.600   1.223521E-04   4.478395E-05
  10.700   1.005015E-04   3.599849E-05
  10.800   8.273757E-05   2.907456E-05
  10.900   6.821824E-05   2.356263E-05
  11.000   5.646530E-05   1.925275E-05
  11.100   4.680433E-05   1.577632E-05
  11.200   3.893539E-05   1.301967E-05
  11.300   3.251770E-05   1.082529E-05
  11.400   2.721680E-05   9.036855E-06
  11.500   2.285226E-05   7.585817E-06
  11.600   1.919991E-05   6.373688E-06
  11.700   1.615467E-05   5.365978E-06
  11.800   1.359492E-05   4.515309E-06
  11.900   1.143403E-05   3.794290E-06
  12.000   9.597249E-06   3.174722E-06
  12.100   8.049453E-06   2.652253E-06
  12.200   6.738564E-06   2.207348E-06
  12.300   5.651388E-06   1.839116E-06
  12.400   4.739952E-06   1.532379E-06
  12.500   3.975509E-06   1.276802E-06
  12.600   3.334353E-06   1.063851E-06
  12.700   2.796600E-06   8.864171E-07
  12.800   2.345574E-06   7.385763E-07
  12.900   1.967288E-06   6.153931E-07
  13.000   1.650011E-06   5.127550E-07
  13.100   1.383903E-06   4.272353E-07
  13.200   1.193038E-06   3.637289E-07
  13.300   1.028696E-06   3.097094E-07
  13.400   8.869924E-07   2.637127E-07
  13.500   7.648085E-07   2.245472E-07
  13.600   6.594556E-07   1.911984E-07
  13.700   5.686150E-07   1.628024E-07
  13.800   4.902879E-07   1.386237E-07
  13.900   4.227503E-07   1.180359E-07
  14.000   3.645162E-07   1.005057E-07
  14.100   3.143038E-07   8.557903E-08
  14.200   2.710082E-07   7.286920E-08
  14.300   2.314090E-07   6.199360E-08
  14.400   1.970936E-07   5.272933E-08
  14.500   1.678668E-07   4.484950E-08
  14.600   1.429740E-07   3.814722E-08
  14.700   1.217726E-07   3.244653E-08
  14.800   1.037150E-07   2.759775E-08
  14.900   8.833525E-08   2.347356E-08
  15.000   7.523611E-08   1.996569E-08
  15.100   6.407943E-08   1.698203E-08
  15.200   5.457716E-08   1.444425E-08
  15.300   4.648397E-08   1.228571E-08
  15.400   4.039593E-08   1.066784E-08
  15.500   3.599407E-08   9.503781E-09
  15.600   3.207187E-08   8.466738E-09
  15.700   2.857706E-08   7.542856E-09
  15.800   2.546308E-08   6.719788E-09
  15.900   2.268842E-08   5.986531E-09
  16.000   2.021611E-08   5.333287E-09
  16.100   1.801320E-08   4.751324E-09
  16.200   1.605034E-08   4.232865E-09
  16.300   1.430137E-08   3.770979E-09
  16.400   1.274298E-08   3.359494E-09
  16.500   1.135440E-08   2.992909E-09
  16.600   9.816861E-09   2.631586E-09
  16.700   8.474921E-09   2.312388E-09
  16.800   7.316420E-09   2.031907E-09
  16.900   6.316283E-09   1.785447E-09
  17.000   5.452863E-09   1.568881E-09
  17.100   4.707470E-09   1.378584E-09
  17.200   4.063971E-09   1.211369E-09
  17.300   3.508436E-09   1.064436E-09
  17.400   3.028841E-09   9.353252E-10
  17.500   2.614806E-09   8.218750E-10
  17.600   2.257369E-09   7.221858E-10
  17.700   1.996974E-09   6.551558E-10
  17.800   1.890436E-09   6.493240E-10
  17.900   1.789581E-09   6.435441E-10
  18.000   1.694107E-09   6.378157E-10
  18.100   1.603726E-09   6.321382E-10
  18.200   1.518167E-09   6.265113E-10
  18.300   1.437173E-09   6.209345E-10
  18.400   1.360500E-09   6.154073E-10
  18.500   1.287917E-09   6.099293E-10
  18.600   1.219207E-09   6.045001E-10
  18.700   1.154162E-09   5.991192E-10
  18.800   1.092587E-09   5.937862E-10
  18.900   1.032017E-09   5.745646E-10
  19.000   9.700926E-10   5.274763E-10
  19.100   9.118840E-10   4.842471E-10
  19.200   8.571680E-10   4.445607E-10
  19.300   8.057351E-10   4.081268E-10
  19.400   7.573884E-10   3.746789E-10
  19.500   7.119427E-10   3.439721E-10
  19.600   6.692238E-10   3.157820E-10
  19.700   6.290682E-10   2.899021E-10
  19.800   5.913221E-10   2.661432E-10
  19.900   5.558409E-10   2.443315E-10
 Z= 109 A= 257  Mt beta2= 0.29 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.363560E-02   5.697729E-02
   0.100   7.392171E-02   5.684605E-02
   0.200   7.420892E-02   5.671511E-02
   0.300   7.449725E-02   5.658447E-02
   0.400   7.484045E-02   5.642753E-02
   0.500   7.535931E-02   5.618568E-02
   0.600   7.590585E-02   5.592917E-02
   0.700   7.654191E-02   5.561879E-02
   0.800   7.718330E-02   5.531012E-02
   0.900   7.782430E-02   5.499553E-02
   1.000   7.846395E-02   5.467403E-02
   1.100   7.905184E-02   5.438118E-02
   1.200   7.957396E-02   5.412249E-02
   1.300   8.009954E-02   5.386503E-02
   1.400   8.049777E-02   5.369818E-02
   1.500   8.084063E-02   5.357082E-02
   1.600   8.105828E-02   5.357039E-02
   1.700   8.121653E-02   5.362992E-02
   1.800   8.137510E-02   5.368953E-02
   1.900   8.140855E-02   5.393869E-02
   2.000   8.143186E-02   5.420448E-02
   2.100   8.141553E-02   5.463246E-02
   2.200   8.139520E-02   5.508028E-02
   2.300   8.138082E-02   5.554927E-02
   2.400   8.139917E-02   5.611934E-02
   2.500   8.143138E-02   5.669890E-02
   2.600   8.155108E-02   5.730770E-02
   2.700   8.167095E-02   5.792304E-02
   2.800   8.183541E-02   5.852593E-02
   2.900   8.207193E-02   5.910408E-02
   3.000   8.234133E-02   5.964665E-02
   3.100   8.266735E-02   6.012238E-02
   3.200   8.299466E-02   6.060191E-02
   3.300   8.334233E-02   6.099734E-02
   3.400   8.370360E-02   6.133930E-02
   3.500   8.403852E-02   6.159721E-02
   3.600   8.435579E-02   6.179776E-02
   3.700   8.467425E-02   6.199895E-02
   3.800   8.490204E-02   6.210186E-02
   3.900   8.511302E-02   6.218622E-02
   4.000   8.520566E-02   6.222195E-02
   4.100   8.527317E-02   6.224736E-02
   4.200   8.533131E-02   6.227329E-02
   4.300   8.526432E-02   6.230602E-02
   4.400   8.519283E-02   6.234253E-02
   4.500   8.504161E-02   6.244512E-02
   4.600   8.489066E-02   6.254787E-02
   4.700   8.473091E-02   6.267769E-02
   4.800   8.455028E-02   6.287102E-02
   4.900   8.436948E-02   6.307862E-02
   5.000   8.418770E-02   6.332171E-02
   5.100   8.400630E-02   6.356574E-02
   5.200   8.381400E-02   6.379631E-02
   5.300   8.360404E-02   6.400259E-02
   5.400   8.335617E-02   6.415072E-02
   5.500   8.302256E-02   6.418075E-02
   5.600   8.265110E-02   6.416053E-02
   5.700   8.215346E-02   6.398158E-02
   5.800   8.151082E-02   6.363510E-02
   5.900   8.071667E-02   6.311792E-02
   6.000   7.966135E-02   6.232698E-02
   6.100   7.851681E-02   6.144244E-02
   6.200   7.708415E-02   6.027007E-02
   6.300   7.538521E-02   5.884092E-02
   6.400   7.343393E-02   5.717507E-02
   6.500   7.109413E-02   5.515683E-02
   6.600   6.867113E-02   5.306784E-02
   6.700   6.588697E-02   5.066228E-02
   6.800   6.282539E-02   4.802382E-02
   6.900   5.953936E-02   4.520507E-02
   7.000   5.591167E-02   4.211364E-02
   7.100   5.233140E-02   3.908688E-02
   7.200   4.851725E-02   3.588998E-02
   7.300   4.460693E-02   3.264657E-02
   7.400   4.068397E-02   2.942837E-02
   7.500   3.668585E-02   2.618954E-02
   7.600   3.294842E-02   2.320248E-02
   7.700   2.926087E-02   2.029816E-02
   7.800   2.574853E-02   1.757473E-02
   7.900   2.246220E-02   1.506750E-02
   8.000   1.937241E-02   1.275256E-02
   8.100   1.664339E-02   1.074651E-02
   8.200   1.414992E-02   8.949748E-03
   8.300   1.193779E-02   7.388393E-03
   8.400   1.000120E-02   6.051416E-03
   8.500   8.311074E-03   4.911236E-03
   8.600   6.889176E-03   3.974630E-03
   8.700   5.674178E-03   3.193791E-03
   8.800   4.656512E-03   2.556218E-03
   8.900   3.809901E-03   2.039321E-03
   9.000   3.109970E-03   1.623253E-03
   9.100   2.537272E-03   1.291468E-03
   9.200   2.068162E-03   1.026852E-03
   9.300   1.686701E-03   8.172351E-04
   9.400   1.376310E-03   6.509495E-04
   9.500   1.124528E-03   5.193737E-04
   9.600   9.192115E-04   4.146096E-04
   9.700   7.522707E-04   3.314144E-04
   9.800   6.163595E-04   2.651965E-04
   9.900   5.052672E-04   2.122654E-04
  10.000   4.143603E-04   1.698780E-04
  10.100   3.398204E-04   1.359325E-04
  10.200   2.786545E-04   1.086918E-04
  10.300   2.285379E-04   8.690988E-05
  10.400   1.874027E-04   6.947692E-05
  10.500   1.537347E-04   5.559718E-05
  10.600   1.261473E-04   4.452010E-05
  10.700   1.036074E-04   3.574041E-05
  10.800   8.526642E-05   2.881036E-05
  10.900   7.030269E-05   2.332293E-05
  11.000   5.817228E-05   1.902376E-05
  11.100   4.819813E-05   1.555948E-05
  11.200   4.008636E-05   1.282596E-05
  11.300   3.345625E-05   1.064256E-05
  11.400   2.799873E-05   8.876262E-06
  11.500   2.350081E-05   7.441029E-06
  11.600   1.973998E-05   6.245199E-06
  11.700   1.660479E-05   5.252103E-06
  11.800   1.397194E-05   4.415492E-06
  11.900   1.174964E-05   3.706215E-06
  12.000   9.862618E-06   3.098444E-06
  12.100   8.272365E-06   2.586308E-06
  12.200   6.922123E-06   2.148734E-06
  12.300   5.800773E-06   1.787272E-06
  12.400   4.862161E-06   1.486879E-06
  12.500   4.075424E-06   1.236974E-06
  12.600   3.415987E-06   1.029071E-06
  12.700   2.863252E-06   8.561114E-07
  12.800   2.399955E-06   7.122217E-07
  12.900   2.011623E-06   5.925160E-07
  13.000   1.686126E-06   4.929297E-07
  13.100   1.413297E-06   4.100812E-07
  13.200   1.214319E-06   3.480251E-07
  13.300   1.046423E-06   2.960586E-07
  13.400   9.017415E-07   2.518516E-07
  13.500   7.770639E-07   2.142456E-07
  13.600   6.696246E-07   1.822548E-07
  13.700   5.770402E-07   1.550408E-07
  13.800   4.972569E-07   1.318903E-07
  13.900   4.285046E-07   1.121967E-07
  14.000   3.692582E-07   9.544367E-08
  14.100   3.182034E-07   8.119218E-08
  14.200   2.742076E-07   6.906870E-08
  14.300   2.341561E-07   5.866397E-08
  14.400   1.991241E-07   4.979111E-08
  14.500   1.693333E-07   4.226026E-08
  14.600   1.439995E-07   3.586844E-08
  14.700   1.224558E-07   3.044338E-08
  14.800   1.041353E-07   2.583885E-08
  14.900   8.855567E-08   2.193075E-08
  15.000   7.530692E-08   1.861375E-08
  15.100   6.404030E-08   1.579844E-08
  15.200   5.445928E-08   1.340894E-08
  15.300   4.631166E-08   1.138086E-08
  15.400   3.999665E-08   9.816141E-09
  15.500   3.563422E-08   8.745041E-09
  15.600   3.174759E-08   7.790816E-09
  15.700   2.828488E-08   6.940712E-09
  15.800   2.519985E-08   6.183368E-09
  15.900   2.245131E-08   5.508663E-09
  16.000   2.000254E-08   4.907579E-09
  16.100   1.782087E-08   4.372082E-09
  16.200   1.587714E-08   3.895018E-09
  16.300   1.414542E-08   3.470008E-09
  16.400   1.260258E-08   3.091374E-09
  16.500   1.122802E-08   2.754055E-09
  16.600   9.729181E-09   2.424055E-09
  16.700   8.382906E-09   2.128356E-09
  16.800   7.222922E-09   1.868728E-09
  16.900   6.223450E-09   1.640771E-09
  17.000   5.362280E-09   1.440621E-09
  17.100   4.620275E-09   1.264887E-09
  17.200   3.980945E-09   1.110589E-09
  17.300   3.430082E-09   9.751140E-10
  17.400   2.955444E-09   8.561646E-10
  17.500   2.546485E-09   7.517252E-10
  17.600   2.194115E-09   6.600258E-10
  17.700   1.915422E-09   5.894372E-10
  17.800   1.818476E-09   5.869041E-10
  17.900   1.726436E-09   5.843818E-10
  18.000   1.639054E-09   5.818704E-10
  18.100   1.556096E-09   5.793698E-10
  18.200   1.477336E-09   5.768800E-10
  18.300   1.402562E-09   5.744008E-10
  18.400   1.331574E-09   5.719323E-10
  18.500   1.264178E-09   5.694744E-10
  18.600   1.200193E-09   5.670270E-10
  18.700   1.139447E-09   5.645902E-10
  18.800   1.081775E-09   5.621639E-10
  18.900   1.025292E-09   5.521667E-10
  19.000   9.640649E-10   5.085783E-10
  19.100   9.064939E-10   4.684307E-10
  19.200   8.523608E-10   4.314525E-10
  19.300   8.014604E-10   3.973934E-10
  19.400   7.535996E-10   3.660229E-10
  19.500   7.085970E-10   3.371288E-10
  19.600   6.662817E-10   3.105156E-10
  19.700   6.264934E-10   2.860033E-10
  19.800   5.890811E-10   2.634260E-10
  19.900   5.539030E-10   2.426310E-10
 Z= 109 A= 258  Mt beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.349006E-02   5.664436E-02
   0.100   7.377217E-02   5.651331E-02
   0.200   7.405537E-02   5.638256E-02
   0.300   7.433965E-02   5.625211E-02
   0.400   7.467664E-02   5.609621E-02
   0.500   7.518804E-02   5.585533E-02
   0.600   7.572570E-02   5.560040E-02
   0.700   7.635302E-02   5.529055E-02
   0.800   7.698553E-02   5.498243E-02
   0.900   7.761874E-02   5.466888E-02
   1.000   7.825160E-02   5.434847E-02
   1.100   7.883646E-02   5.405547E-02
   1.200   7.935505E-02   5.379758E-02
   1.300   7.987704E-02   5.354092E-02
   1.400   8.027954E-02   5.337203E-02
   1.500   8.062384E-02   5.324584E-02
   1.600   8.085055E-02   5.324164E-02
   1.700   8.101424E-02   5.330249E-02
   1.800   8.117827E-02   5.336342E-02
   1.900   8.122514E-02   5.360735E-02
   2.000   8.125782E-02   5.387468E-02
   2.100   8.125347E-02   5.429818E-02
   2.200   8.124368E-02   5.474794E-02
   2.300   8.123841E-02   5.521431E-02
   2.400   8.126860E-02   5.578671E-02
   2.500   8.130811E-02   5.636755E-02
   2.600   8.143843E-02   5.697921E-02
   2.700   8.156895E-02   5.759750E-02
   2.800   8.173813E-02   5.820566E-02
   2.900   8.198454E-02   5.878632E-02
   3.000   8.225894E-02   5.933760E-02
   3.100   8.259404E-02   5.981657E-02
   3.200   8.293050E-02   6.029940E-02
   3.300   8.328493E-02   6.070636E-02
   3.400   8.365431E-02   6.105150E-02
   3.500   8.400044E-02   6.132176E-02
   3.600   8.432621E-02   6.152594E-02
   3.700   8.465324E-02   6.173081E-02
   3.800   8.489745E-02   6.184561E-02
   3.900   8.511790E-02   6.193426E-02
   4.000   8.523076E-02   6.197842E-02
   4.100   8.530865E-02   6.200813E-02
   4.200   8.538661E-02   6.203785E-02
   4.300   8.533181E-02   6.207542E-02
   4.400   8.527639E-02   6.211306E-02
   4.500   8.513946E-02   6.221950E-02
   4.600   8.500066E-02   6.232789E-02
   4.700   8.485558E-02   6.245576E-02
   4.800   8.468716E-02   6.265409E-02
   4.900   8.451867E-02   6.286249E-02
   5.000   8.434881E-02   6.311046E-02
   5.100   8.417929E-02   6.335941E-02
   5.200   8.400024E-02   6.359703E-02
   5.300   8.380517E-02   6.381387E-02
   5.400   8.356721E-02   6.396426E-02
   5.500   8.325180E-02   6.400942E-02
   5.600   8.290310E-02   6.400939E-02
   5.700   8.241248E-02   6.383283E-02
   5.800   8.180530E-02   6.351893E-02
   5.900   8.101580E-02   6.300136E-02
   6.000   7.999249E-02   6.223988E-02
   6.100   7.888473E-02   6.138869E-02
   6.200   7.745378E-02   6.021511E-02
   6.300   7.580940E-02   5.883610E-02
   6.400   7.385486E-02   5.716728E-02
   6.500   7.155651E-02   5.518701E-02
   6.600   6.917702E-02   5.313760E-02
   6.700   6.638271E-02   5.072573E-02
   6.800   6.338122E-02   4.814295E-02
   6.900   6.007552E-02   4.531196E-02
   7.000   5.648006E-02   4.225289E-02
   7.100   5.292879E-02   3.925596E-02
   7.200   4.908440E-02   3.604208E-02
   7.300   4.521094E-02   3.283716E-02
   7.400   4.124546E-02   2.959432E-02
   7.500   3.724723E-02   2.636701E-02
   7.600   3.350361E-02   2.338670E-02
   7.700   2.976783E-02   2.045660E-02
   7.800   2.624815E-02   1.774155E-02
   7.900   2.290707E-02   1.520627E-02
   8.000   1.978781E-02   1.288310E-02
   8.100   1.702669E-02   1.086666E-02
   8.200   1.448474E-02   9.047983E-03
   8.300   1.224411E-02   7.478584E-03
   8.400   1.026329E-02   6.122782E-03
   8.500   8.540394E-03   4.971314E-03
   8.600   7.087730E-03   4.024142E-03
   8.700   5.842092E-03   3.232443E-03
   8.800   4.800428E-03   2.587585E-03
   8.900   3.930029E-03   2.063159E-03
   9.000   3.210594E-03   1.641413E-03
   9.100   2.621086E-03   1.305009E-03
   9.200   2.138258E-03   1.037145E-03
   9.300   1.744930E-03   8.247664E-04
   9.400   1.424750E-03   6.564843E-04
   9.500   1.164633E-03   5.232678E-04
   9.600   9.524444E-04   4.173123E-04
   9.700   7.801680E-04   3.333856E-04
   9.800   6.396189E-04   2.665437E-04
   9.900   5.247496E-04   2.131761E-04
  10.000   4.306418E-04   1.704525E-04
  10.100   3.534472E-04   1.362757E-04
  10.200   2.901379E-04   1.088928E-04
  10.300   2.381956E-04   8.698983E-05
  10.400   1.955186E-04   6.947170E-05
  10.500   1.605418E-04   5.552333E-05
  10.600   1.318494E-04   4.439644E-05
  10.700   1.084281E-04   3.560770E-05
  10.800   8.930636E-05   2.865018E-05
  10.900   7.371842E-05   2.316749E-05
  11.000   6.103934E-05   1.885868E-05
  11.100   5.060482E-05   1.539225E-05
  11.200   4.214147E-05   1.267701E-05
  11.300   3.519156E-05   1.049763E-05
  11.400   2.948387E-05   8.747300E-06
  11.500   2.476610E-05   7.321526E-06
  11.600   2.082201E-05   6.137319E-06
  11.700   1.753824E-05   5.157166E-06
  11.800   1.477703E-05   4.332365E-06
  11.900   1.244390E-05   3.632391E-06
  12.000   1.046299E-05   3.034019E-06
  12.100   8.791845E-06   2.530355E-06
  12.200   7.370889E-06   2.099352E-06
  12.300   6.188141E-06   1.743338E-06
  12.400   5.197278E-06   1.448081E-06
  12.500   4.365074E-06   1.202829E-06
  12.600   3.666126E-06   9.991139E-07
  12.700   3.079095E-06   8.299006E-07
  12.800   2.586061E-06   6.893459E-07
  12.900   2.171974E-06   5.725960E-07
  13.000   1.824191E-06   4.756193E-07
  13.100   1.532096E-06   3.950668E-07
  13.200   1.314904E-06   3.341875E-07
  13.300   1.134850E-06   2.840283E-07
  13.400   9.794521E-07   2.413977E-07
  13.500   8.453330E-07   2.051656E-07
  13.600   7.295793E-07   1.743717E-07
  13.700   6.296760E-07   1.481998E-07
  13.800   5.434527E-07   1.259560E-07
  13.900   4.690363E-07   1.070509E-07
  14.000   4.048099E-07   9.098335E-08
  14.100   3.493781E-07   7.732740E-08
  14.200   3.015368E-07   6.572111E-08
  14.300   2.584491E-07   5.574188E-08
  14.400   2.204047E-07   4.720716E-08
  14.500   1.879606E-07   3.997920E-08
  14.600   1.602923E-07   3.385792E-08
  14.700   1.366969E-07   2.867388E-08
  14.800   1.165748E-07   2.428358E-08
  14.900   9.941466E-08   2.056548E-08
  15.000   8.478057E-08   1.741667E-08
  15.100   7.230066E-08   1.474997E-08
  15.200   6.165782E-08   1.249158E-08
  15.300   5.258163E-08   1.057898E-08
  15.400   4.527037E-08   9.058574E-09
  15.500   4.033770E-08   8.071601E-09
  15.600   3.594250E-08   7.192163E-09
  15.700   3.202620E-08   6.408544E-09
  15.800   2.853661E-08   5.710304E-09
  15.900   2.542726E-08   5.088140E-09
  16.000   2.265670E-08   4.533764E-09
  16.100   2.018802E-08   4.039790E-09
  16.200   1.798833E-08   3.599636E-09
  16.300   1.602832E-08   3.207440E-09
  16.400   1.428187E-08   2.857974E-09
  16.500   1.272571E-08   2.546585E-09
  16.600   1.108700E-08   2.244378E-09
  16.700   9.571013E-09   1.969194E-09
  16.800   8.262312E-09   1.727751E-09
  16.900   7.132557E-09   1.515912E-09
  17.000   6.157281E-09   1.330046E-09
  17.100   5.315359E-09   1.166969E-09
  17.200   4.588559E-09   1.023887E-09
  17.300   3.961138E-09   8.983479E-10
  17.400   3.419508E-09   7.882015E-10
  17.500   2.951939E-09   6.915600E-10
  17.600   2.548303E-09   6.067678E-10
  17.700   2.201050E-09   5.327906E-10
  17.800   2.079518E-09   5.328983E-10
  17.900   1.964697E-09   5.330060E-10
  18.000   1.856216E-09   5.331137E-10
  18.100   1.753724E-09   5.332215E-10
  18.200   1.656892E-09   5.333292E-10
  18.300   1.565406E-09   5.334370E-10
  18.400   1.478972E-09   5.335448E-10
  18.500   1.397310E-09   5.336527E-10
  18.600   1.320157E-09   5.337605E-10
  18.700   1.247265E-09   5.338684E-10
  18.800   1.178397E-09   5.339763E-10
  18.900   1.112939E-09   5.324340E-10
  19.000   1.042031E-09   4.919190E-10
  19.100   9.756406E-10   4.544870E-10
  19.200   9.134801E-10   4.199033E-10
  19.300   8.552801E-10   3.879512E-10
  19.400   8.007882E-10   3.584304E-10
  19.500   7.497680E-10   3.311561E-10
  19.600   7.019985E-10   3.059571E-10
  19.700   6.572725E-10   2.826756E-10
  19.800   6.153960E-10   2.611657E-10
  19.900   5.761877E-10   2.412926E-10
 Z= 109 A= 259  Mt beta2= 0.27 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.328533E-02   5.635765E-02
   0.100   7.357156E-02   5.622756E-02
   0.200   7.385890E-02   5.609777E-02
   0.300   7.414737E-02   5.596828E-02
   0.400   7.448759E-02   5.581400E-02
   0.500   7.500582E-02   5.557359E-02
   0.600   7.554977E-02   5.532020E-02
   0.700   7.618684E-02   5.501223E-02
   0.800   7.682928E-02   5.470598E-02
   0.900   7.747242E-02   5.439484E-02
   1.000   7.811480E-02   5.407702E-02
   1.100   7.871151E-02   5.378608E-02
   1.200   7.923951E-02   5.353226E-02
   1.300   7.977105E-02   5.327964E-02
   1.400   8.018754E-02   5.311244E-02
   1.500   8.054150E-02   5.299143E-02
   1.600   8.078334E-02   5.298793E-02
   1.700   8.095727E-02   5.305521E-02
   1.800   8.113157E-02   5.312256E-02
   1.900   8.119382E-02   5.336765E-02
   2.000   8.123783E-02   5.364299E-02
   2.100   8.124924E-02   5.406753E-02
   2.200   8.125430E-02   5.452449E-02
   2.300   8.126245E-02   5.499357E-02
   2.400   8.131039E-02   5.557417E-02
   2.500   8.136339E-02   5.616207E-02
   2.600   8.151433E-02   5.677918E-02
   2.700   8.166555E-02   5.740308E-02
   2.800   8.185015E-02   5.801919E-02
   2.900   8.211886E-02   5.860459E-02
   3.000   8.241057E-02   5.916584E-02
   3.100   8.276622E-02   5.964659E-02
   3.200   8.312340E-02   6.013124E-02
   3.300   8.349530E-02   6.054764E-02
   3.400   8.388232E-02   6.089313E-02
   3.500   8.424622E-02   6.117144E-02
   3.600   8.458382E-02   6.137369E-02
   3.700   8.492277E-02   6.157662E-02
   3.800   8.518131E-02   6.169614E-02
   3.900   8.540684E-02   6.178119E-02
   4.000   8.553074E-02   6.182633E-02
   4.100   8.560779E-02   6.185310E-02
   4.200   8.568490E-02   6.187988E-02
   4.300   8.563455E-02   6.191430E-02
   4.400   8.557331E-02   6.194938E-02
   4.500   8.543438E-02   6.204891E-02
   4.600   8.528677E-02   6.215600E-02
   4.700   8.513543E-02   6.227534E-02
   4.800   8.495841E-02   6.247371E-02
   4.900   8.478162E-02   6.267807E-02
   5.000   8.460406E-02   6.292694E-02
   5.100   8.442686E-02   6.317680E-02
   5.200   8.424314E-02   6.341753E-02
   5.300   8.404675E-02   6.363988E-02
   5.400   8.380553E-02   6.379202E-02
   5.500   8.349630E-02   6.384964E-02
   5.600   8.315676E-02   6.386376E-02
   5.700   8.266772E-02   6.368965E-02
   5.800   8.208573E-02   6.340469E-02
   5.900   8.129639E-02   6.288779E-02
   6.000   8.030104E-02   6.215406E-02
   6.100   7.922123E-02   6.132893E-02
   6.200   7.779343E-02   6.015793E-02
   6.300   7.619441E-02   5.882169E-02
   6.400   7.423799E-02   5.715015E-02
   6.500   7.197975E-02   5.520637E-02
   6.600   6.963421E-02   5.318767E-02
   6.700   6.683473E-02   5.077288E-02
   6.800   6.388111E-02   4.823509E-02
   6.900   6.055846E-02   4.539374E-02
   7.000   5.699516E-02   4.236772E-02
   7.100   5.346410E-02   3.939371E-02
   7.200   4.959497E-02   3.616554E-02
   7.300   4.574537E-02   3.298878E-02
   7.400   4.174194E-02   2.972565E-02
   7.500   3.774690E-02   2.651231E-02
   7.600   3.399347E-02   2.353560E-02
   7.700   3.021357E-02   2.058370E-02
   7.800   2.668345E-02   1.787213E-02
   7.900   2.329298E-02   1.531360E-02
   8.000   2.014997E-02   1.298672E-02
   8.100   1.735894E-02   1.096155E-02
   8.200   1.477312E-02   9.123966E-03
   8.300   1.250360E-02   7.546628E-03
   8.400   1.048403E-02   6.175433E-03
   8.500   8.734162E-03   5.016357E-03
   8.600   7.254950E-03   4.061158E-03
   8.700   5.981978E-03   3.260488E-03
   8.800   4.918350E-03   2.609377E-03
   8.900   4.027627E-03   2.079172E-03
   9.000   3.292106E-03   1.653603E-03
   9.100   2.688639E-03   1.314025E-03
   9.200   2.193842E-03   1.043570E-03
   9.300   1.790188E-03   8.289860E-04
   9.400   1.462002E-03   6.593704E-04
   9.500   1.195239E-03   5.251491E-04
   9.600   9.776244E-04   4.185019E-04
   9.700   8.008987E-04   3.340843E-04
   9.800   6.564925E-04   2.668178E-04
   9.900   5.386607E-04   2.132282E-04
  10.000   4.421307E-04   1.703723E-04
  10.100   3.629555E-04   1.361184E-04
  10.200   2.979699E-04   1.086671E-04
  10.300   2.445853E-04   8.671476E-05
  10.400   2.007769E-04   6.918329E-05
  10.500   1.648636E-04   5.523552E-05
  10.600   1.353925E-04   4.411428E-05
  10.700   1.113434E-04   3.534118E-05
  10.800   9.165085E-05   2.837862E-05
