 Z=  41 A=  72  Nb beta2= 0.28 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   1.764486E-11   1.077093E-07
  15.000   1.618018E-11   1.011215E-07
  15.100   1.483709E-11   9.493660E-08
  15.200   1.418524E-11   9.255532E-08
  15.300   1.362017E-11   9.058335E-08
  15.400   1.307761E-11   8.865339E-08
  15.500   1.255666E-11   8.676455E-08
  15.600   1.205647E-11   8.491596E-08
  15.700   1.157620E-11   8.310675E-08
  15.800   1.111507E-11   8.133609E-08
  15.900   1.067230E-11   7.960315E-08
  16.000   1.024717E-11   7.790714E-08
  16.100   9.838973E-12   7.624726E-08
  16.200   1.063525E-11   7.201894E-08
  16.300   1.157552E-11   6.788463E-08
  16.400   1.259892E-11   6.398766E-08
  16.500   1.371279E-11   6.031440E-08
  16.600   1.492515E-11   5.685200E-08
  16.700   1.624469E-11   5.358837E-08
  16.800   1.768089E-11   5.051208E-08
  16.900   1.924406E-11   4.761240E-08
  17.000   2.094544E-11   4.487917E-08
  17.100   2.279723E-11   4.230284E-08
  17.200   2.432379E-11   3.734022E-08
  17.300   2.560335E-11   3.151906E-08
  17.400   2.695022E-11   2.660539E-08
  17.500   2.836795E-11   2.245774E-08
  17.600   2.986026E-11   1.895668E-08
  17.700   3.143107E-11   1.600143E-08
  17.800   3.308451E-11   1.350688E-08
  17.900   3.482494E-11   1.140122E-08
  18.000   3.665692E-11   9.623826E-09
  18.100   3.858527E-11   8.123518E-09
  18.200   4.061506E-11   6.857100E-09
  18.300   3.580902E-11   5.304106E-09
  18.400   2.931531E-11   3.955621E-09
  18.500   2.399919E-11   2.949967E-09
  18.600   1.964711E-11   2.199985E-09
  18.700   1.608424E-11   1.640673E-09
  18.800   1.316748E-11   1.223558E-09
  18.900   1.077965E-11   9.124880E-10
  19.000   8.824840E-12   6.805024E-10
  19.100   7.224518E-12   5.074954E-10
  19.200   5.914403E-12   3.784728E-10
  19.300   4.841868E-12   2.822521E-10
  19.400   3.945539E-12   2.097799E-10
  19.500   2.738214E-12   1.385677E-10
  19.600   1.900327E-12   9.152933E-11
  19.700   1.318832E-12   6.045865E-11
  19.800   9.152724E-13   3.993527E-11
  19.900   6.352013E-13   2.637879E-11
 Z=  41 A=  73  Nb beta2=-0.27 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.131240E-02   8.108181E-02
   0.100   8.125516E-02   8.124421E-02
   0.200   8.119696E-02   8.140960E-02
   0.300   8.108397E-02   8.172126E-02
   0.400   8.091618E-02   8.214756E-02
   0.500   8.071826E-02   8.262308E-02
   0.600   8.047005E-02   8.315816E-02
   0.700   8.019321E-02   8.371652E-02
   0.800   7.986869E-02   8.427292E-02
   0.900   7.950525E-02   8.478810E-02
   1.000   7.912321E-02   8.526432E-02
   1.100   7.871348E-02   8.565606E-02
   1.200   7.829075E-02   8.598641E-02
   1.300   7.785518E-02   8.619970E-02
   1.400   7.741721E-02   8.629031E-02
   1.500   7.698444E-02   8.630874E-02
   1.600   7.656443E-02   8.620766E-02
   1.700   7.615680E-02   8.603266E-02
   1.800   7.577291E-02   8.575404E-02
   1.900   7.541916E-02   8.538918E-02
   2.000   7.508324E-02   8.498355E-02
   2.100   7.477441E-02   8.451956E-02
   2.200   7.448235E-02   8.402582E-02
   2.300   7.420418E-02   8.350306E-02
   2.400   7.392344E-02   8.296253E-02
   2.500   7.363091E-02   8.241604E-02
   2.600   7.329985E-02   8.185684E-02
   2.700   7.292791E-02   8.128803E-02
   2.800   7.247738E-02   8.069483E-02
   2.900   7.190189E-02   8.005096E-02
   3.000   7.117935E-02   7.933254E-02
   3.100   7.039973E-02   7.858653E-02
   3.200   6.936297E-02   7.768017E-02
   3.300   6.819435E-02   7.668024E-02
   3.400   6.675327E-02   7.547028E-02
   3.500   6.506929E-02   7.405114E-02
   3.600   6.331405E-02   7.256289E-02
   3.700   6.119234E-02   7.073419E-02
   3.800   5.893196E-02   6.875427E-02
   3.900   5.636083E-02   6.645225E-02
   4.000   5.355459E-02   6.388454E-02
   4.100   5.074753E-02   6.127559E-02
   4.200   4.760523E-02   5.828247E-02
   4.300   4.442482E-02   5.519524E-02
   4.400   4.103949E-02   5.183313E-02
   4.500   3.756793E-02   4.831034E-02
   4.600   3.425621E-02   4.488215E-02
   4.700   3.081088E-02   4.123183E-02
   4.800   2.752431E-02   3.766862E-02
   4.900   2.427351E-02   3.405758E-02
   5.000   2.117467E-02   3.052659E-02
   5.100   1.838573E-02   2.726053E-02
   5.200   1.572208E-02   2.405447E-02
   5.300   1.335015E-02   2.111029E-02
   5.400   1.119142E-02   1.834686E-02
   5.500   9.289673E-03   1.582935E-02
   5.600   7.678753E-03   1.361497E-02
   5.700   6.269586E-03   1.160880E-02
   5.800   5.093071E-03   9.864089E-03
   5.900   4.101578E-03   8.333893E-03
   6.000   3.284437E-03   7.017109E-03
   6.100   2.623772E-03   5.899855E-03
   6.200   2.083993E-03   4.946148E-03
   6.300   1.652187E-03   4.143698E-03
   6.400   1.305767E-03   3.468339E-03
   6.500   1.030331E-03   2.903204E-03
   6.600   8.124457E-04   2.430222E-03
   6.700   6.399421E-04   2.036620E-03
   6.800   5.039431E-04   1.708113E-03
   6.900   3.965732E-04   1.434504E-03
   7.000   3.119629E-04   1.206346E-03
   7.100   2.453662E-04   1.015062E-03
   7.200   1.929847E-04   8.561148E-04
   7.300   1.518286E-04   7.229639E-04
   7.400   1.194747E-04   6.118179E-04
   7.500   9.408446E-05   5.187572E-04
   7.600   7.411366E-05   4.402144E-04
   7.700   5.849195E-05   3.747241E-04
   7.800   4.621852E-05   3.194786E-04
   7.900   3.658721E-05   2.730748E-04
   8.000   2.900444E-05   2.339019E-04
   8.100   2.300725E-05   2.005283E-04
   8.200   1.828332E-05   1.724303E-04
   8.300   1.453835E-05   1.484749E-04
   8.400   1.156405E-05   1.281389E-04
   8.500   9.196475E-06   1.107970E-04
   8.600   7.313025E-06   9.587948E-05
   8.700   5.813675E-06   8.321708E-05
   8.800   4.622016E-06   7.234048E-05
   8.900   3.675203E-06   6.305845E-05
   9.000   2.925102E-06   5.509940E-05
   9.100   2.329054E-06   4.819429E-05
   9.200   1.859896E-06   4.230445E-05
   9.300   1.488081E-06   3.719439E-05
   9.400   1.194485E-06   3.278018E-05
   9.500   9.613050E-07   2.892908E-05
   9.600   7.744973E-07   2.554507E-05
   9.700   6.256148E-07   2.257875E-05
   9.800   5.034205E-07   1.991482E-05
   9.900   4.044381E-07   1.754954E-05
  10.000   3.249176E-07   1.546519E-05
  10.100   2.610324E-07   1.362839E-05
  10.200   2.097083E-07   1.200975E-05
  10.300   1.684755E-07   1.058335E-05
  10.400   1.353499E-07   9.326369E-06
  10.500   1.091500E-07   8.222903E-06
  10.600   8.861371E-08   7.256595E-06
  10.700   7.194124E-08   6.403842E-06
  10.800   5.840566E-08   5.651300E-06
  10.900   4.741677E-08   4.987192E-06
  11.000   3.849542E-08   4.401126E-06
  11.100   3.125259E-08   3.883932E-06
  11.200   2.537249E-08   3.427514E-06
  11.300   2.059872E-08   3.024733E-06
  11.400   1.667214E-08   2.670412E-06
  11.500   1.338533E-08   2.360236E-06
  11.600   1.074650E-08   2.086089E-06
  11.700   8.627897E-09   1.843784E-06
  11.800   6.926962E-09   1.629623E-06
  11.900   5.561356E-09   1.440338E-06
  12.000   4.464971E-09   1.273039E-06
  12.100   3.584730E-09   1.125172E-06
  12.200   2.878024E-09   9.944806E-07
  12.300   2.317042E-09   8.789125E-07
  12.400   1.937500E-09   7.760899E-07
  12.500   1.620129E-09   6.852963E-07
  12.600   1.354744E-09   6.051246E-07
  12.700   1.132831E-09   5.343320E-07
  12.800   9.472683E-10   4.718213E-07
  12.900   7.921015E-10   4.166236E-07
  13.000   6.623517E-10   3.678835E-07
  13.100   5.538555E-10   3.248453E-07
  13.200   4.631315E-10   2.868422E-07
  13.300   3.701947E-10   2.582919E-07
  13.400   2.913522E-10   2.341552E-07
  13.500   2.293012E-10   2.122740E-07
  13.600   1.804656E-10   1.924375E-07
  13.700   1.420308E-10   1.744547E-07
  13.800   1.117817E-10   1.581523E-07
  13.900   8.797487E-11   1.433734E-07
  14.000   6.923835E-11   1.299755E-07
  14.100   5.449225E-11   1.178296E-07
  14.200   4.429955E-11   1.083047E-07
  14.300   3.945611E-11   1.034998E-07
  14.400   3.514223E-11   9.890814E-08
  14.500   3.130000E-11   9.452016E-08
  14.600   2.787785E-11   9.032686E-08
  14.700   2.482986E-11   8.631958E-08
  14.800   2.211512E-11   8.249009E-08
  14.900   1.969719E-11   7.883048E-08
  15.000   1.754362E-11   7.533324E-08
  15.100   1.562551E-11   7.199114E-08
  15.200   1.457274E-11   7.030708E-08
  15.300   1.408120E-11   6.981963E-08
  15.400   1.360625E-11   6.933555E-08
  15.500   1.314731E-11   6.885483E-08
  15.600   1.270386E-11   6.837744E-08
  15.700   1.227536E-11   6.790336E-08
  15.800   1.186131E-11   6.743257E-08
  15.900   1.146124E-11   6.696505E-08
  16.000   1.107465E-11   6.650076E-08
  16.100   1.070111E-11   6.603969E-08
  16.200   1.108641E-11   6.378959E-08
  16.300   1.208003E-11   6.039215E-08
  16.400   1.316270E-11   5.717566E-08
  16.500   1.434241E-11   5.413048E-08
  16.600   1.562784E-11   5.124749E-08
  16.700   1.702849E-11   4.851805E-08
  16.800   1.855467E-11   4.593397E-08
  16.900   2.021763E-11   4.348753E-08
  17.000   2.202964E-11   4.117138E-08
  17.100   2.400405E-11   3.897859E-08
  17.200   2.592395E-11   3.603545E-08
  17.300   2.705447E-11   3.039699E-08
  17.400   2.823428E-11   2.564077E-08
  17.500   2.946555E-11   2.162876E-08
  17.600   3.075050E-11   1.824451E-08
  17.700   3.209150E-11   1.538979E-08
  17.800   3.349097E-11   1.298175E-08
  17.900   3.495148E-11   1.095050E-08
  18.000   3.647567E-11   9.237071E-09
  18.100   3.806633E-11   7.791747E-09
  18.200   3.972636E-11   6.572572E-09
  18.300   3.860744E-11   5.345887E-09
  18.400   3.154034E-11   3.978959E-09
  18.500   2.576688E-11   2.961550E-09
  18.600   2.105025E-11   2.204290E-09
  18.700   1.719700E-11   1.640659E-09
  18.800   1.404909E-11   1.221147E-09
  18.900   1.147740E-11   9.089030E-10
  19.000   9.376461E-12   6.764990E-10
  19.100   7.660099E-12   5.035201E-10
  19.200   6.257917E-12   3.747714E-10
  19.300   5.112405E-12   2.789434E-10
  19.400   4.176579E-12   2.076183E-10
  19.500   3.100906E-12   1.439049E-10
  19.600   2.152478E-12   9.486747E-11
  19.700   1.494132E-12   6.254016E-11
  19.800   1.037144E-12   4.122879E-11
  19.900   7.199284E-13   2.717955E-11
 Z=  41 A=  74  Nb beta2=-0.28 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.212868E-02   8.083833E-02
   0.100   8.208629E-02   8.099667E-02
   0.200   8.204383E-02   8.115561E-02
   0.300   8.195784E-02   8.145931E-02
   0.400   8.182891E-02   8.186961E-02
   0.500   8.167469E-02   8.232635E-02
   0.600   8.147571E-02   8.283969E-02
   0.700   8.124736E-02   8.337515E-02
   0.800   8.097310E-02   8.390485E-02
   0.900   8.065549E-02   8.439171E-02
   1.000   8.031491E-02   8.484057E-02
   1.100   7.993692E-02   8.520530E-02
   1.200   7.953562E-02   8.549815E-02
   1.300   7.911098E-02   8.568331E-02
   1.400   7.867001E-02   8.574766E-02
   1.500   7.822474E-02   8.574203E-02
   1.600   7.777708E-02   8.561850E-02
   1.700   7.733493E-02   8.540799E-02
   1.800   7.690493E-02   8.511259E-02
   1.900   7.649532E-02   8.473339E-02
   2.000   7.610058E-02   8.431503E-02
   2.100   7.573133E-02   8.384237E-02
   2.200   7.538245E-02   8.333612E-02
   2.300   7.504792E-02   8.281351E-02
   2.400   7.472035E-02   8.227794E-02
   2.500   7.439028E-02   8.173928E-02
   2.600   7.403759E-02   8.119499E-02
   2.700   7.364163E-02   8.064235E-02
   2.800   7.319336E-02   8.007451E-02
   2.900   7.263638E-02   7.946412E-02
   3.000   7.196244E-02   7.879467E-02
   3.100   7.119242E-02   7.807501E-02
   3.200   7.022692E-02   7.722987E-02
   3.300   6.912150E-02   7.628661E-02
   3.400   6.774889E-02   7.513742E-02
   3.500   6.616883E-02   7.380983E-02
   3.600   6.443416E-02   7.234280E-02
   3.700   6.241413E-02   7.060656E-02
   3.800   6.022546E-02   6.869816E-02
   3.900   5.771614E-02   6.646198E-02
   4.000   5.500506E-02   6.399850E-02
   4.100   5.217941E-02   6.138639E-02
   4.200   4.910520E-02   5.848339E-02
   4.300   4.594841E-02   5.544797E-02
   4.400   4.256491E-02   5.212513E-02
   4.500   3.912021E-02   4.867597E-02
   4.600   3.571982E-02   4.520512E-02
   4.700   3.226246E-02   4.160107E-02
   4.800   2.891818E-02   3.804220E-02
   4.900   2.558948E-02   3.442073E-02
   5.000   2.242880E-02   3.090158E-02
   5.100   1.950538E-02   2.756552E-02
   5.200   1.675790E-02   2.435108E-02
   5.300   1.428031E-02   2.137209E-02
   5.400   1.201311E-02   1.856843E-02
   5.500   1.001736E-02   1.602490E-02
   5.600   8.294249E-03   1.375605E-02
   5.700   6.800305E-03   1.172292E-02
   5.800   5.540661E-03   9.945486E-03
   5.900   4.474792E-03   8.386706E-03
   6.000   3.595328E-03   7.048905E-03
   6.100   2.877061E-03   5.909504E-03
   6.200   2.291612E-03   4.941707E-03
   6.300   1.820371E-03   4.126957E-03
   6.400   1.441646E-03   3.442951E-03
   6.500   1.140091E-03   2.872192E-03
   6.600   9.006454E-04   2.396184E-03
   6.700   7.108379E-04   2.000468E-03
   6.800   5.607216E-04   1.671122E-03
   6.900   4.420874E-04   1.397916E-03
   7.000   3.484805E-04   1.170753E-03
   7.100   2.746469E-04   9.814609E-04
   7.200   2.164408E-04   8.241651E-04
