 Z=  65 A= 128  Tb beta2= 0.44 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   4.629865E-10   1.769636E-08
  15.000   4.234285E-10   1.659370E-08
  15.100   3.872504E-10   1.555974E-08
  15.200   3.541634E-10   1.459021E-08
  15.300   3.239034E-10   1.368110E-08
  15.400   2.962288E-10   1.282863E-08
  15.500   2.709187E-10   1.202927E-08
  15.600   2.431509E-10   1.147694E-08
  15.700   1.919646E-10   1.232236E-08
  15.800   1.515537E-10   1.323006E-08
  15.900   1.196497E-10   1.420462E-08
  16.000   9.446198E-11   1.525097E-08
  16.100   7.457655E-11   1.637439E-08
  16.200   5.887726E-11   1.758057E-08
  16.300   4.648286E-11   1.887560E-08
  16.400   3.669764E-11   2.026603E-08
  16.500   2.897233E-11   2.175887E-08
  16.600   2.287329E-11   2.336169E-08
  16.700   2.075593E-11   2.437506E-08
  16.800   2.191421E-11   2.465308E-08
  16.900   2.313714E-11   2.493427E-08
  17.000   2.442831E-11   2.521867E-08
  17.100   2.579153E-11   2.550632E-08
  17.200   2.723082E-11   2.579724E-08
  17.300   2.875044E-11   2.609149E-08
  17.400   3.035486E-11   2.638909E-08
  17.500   3.204881E-11   2.669008E-08
  17.600   3.383730E-11   2.699451E-08
  17.700   3.572559E-11   2.730241E-08
  17.800   3.811025E-11   2.659292E-08
  17.900   4.105084E-11   2.499907E-08
  18.000   4.421833E-11   2.350075E-08
  18.100   4.763021E-11   2.209223E-08
  18.200   5.130537E-11   2.076813E-08
  18.300   5.526409E-11   1.952339E-08
  18.400   5.952827E-11   1.835325E-08
  18.500   6.412148E-11   1.725325E-08
  18.600   6.906909E-11   1.621917E-08
  18.700   7.439847E-11   1.524708E-08
  18.800   8.013906E-11   1.433324E-08
  18.900   8.584381E-11   1.331921E-08
  19.000   8.837940E-11   1.139704E-08
  19.100   9.098988E-11   9.752271E-09
  19.200   9.367747E-11   8.344867E-09
  19.300   9.644445E-11   7.140574E-09
  19.400   9.929315E-11   6.110079E-09
  19.500   1.022260E-10   5.228300E-09
  19.600   1.052455E-10   4.473775E-09
  19.700   1.083541E-10   3.828140E-09
  19.800   1.115546E-10   3.275680E-09
  19.900   1.148496E-10   2.802949E-09
 Z=  65 A= 129  Tb beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.654080E-02   7.449359E-02
   0.100   7.663943E-02   7.450524E-02
   0.200   7.673819E-02   7.451689E-02
   0.300   7.686582E-02   7.453278E-02
   0.400   7.705963E-02   7.455839E-02
   0.500   7.732771E-02   7.460030E-02
   0.600   7.760888E-02   7.464491E-02
   0.700   7.795453E-02   7.471007E-02
   0.800   7.833124E-02   7.478884E-02
   0.900   7.873692E-02   7.488154E-02
   1.000   7.915366E-02   7.498400E-02
   1.100   7.958249E-02   7.509786E-02
   1.200   7.999639E-02   7.522239E-02
   1.300   8.040985E-02   7.534696E-02
   1.400   8.077496E-02   7.546873E-02
   1.500   8.108920E-02   7.557848E-02
   1.600   8.137010E-02   7.568037E-02
   1.700   8.158133E-02   7.576078E-02
   1.800   8.172819E-02   7.581977E-02
   1.900   8.177226E-02   7.584003E-02
   2.000   8.178878E-02   7.584924E-02
   2.100   8.170291E-02   7.581739E-02
   2.200   8.152558E-02   7.574498E-02
   2.300   8.132107E-02   7.566041E-02
   2.400   8.103583E-02   7.553909E-02
   2.500   8.070489E-02   7.539605E-02
   2.600   8.032756E-02   7.523027E-02
   2.700   7.993618E-02   7.505743E-02
   2.800   7.952060E-02   7.487273E-02
   2.900   7.910088E-02   7.468669E-02
   3.000   7.868292E-02   7.450098E-02
   3.100   7.828810E-02   7.432987E-02
   3.200   7.791657E-02   7.417179E-02
   3.300   7.756606E-02   7.402539E-02
   3.400   7.723721E-02   7.389006E-02
   3.500   7.692755E-02   7.376374E-02
   3.600   7.662551E-02   7.363339E-02
   3.700   7.632055E-02   7.349885E-02
   3.800   7.598362E-02   7.332927E-02
   3.900   7.558510E-02   7.309973E-02
   4.000   7.508147E-02   7.277474E-02
   4.100   7.453546E-02   7.241007E-02
   4.200   7.379892E-02   7.187203E-02
