 Z= 105 A= 232  Db beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  16.000   2.219271E-08   3.931208E-09
  16.100   1.975721E-08   3.464372E-09
  16.200   1.758898E-08   3.052974E-09
  16.300   1.565871E-08   2.690430E-09
  16.400   1.392004E-08   2.370590E-09
  16.500   1.211864E-08   2.084373E-09
  16.600   1.055036E-08   1.832712E-09
  16.700   9.185031E-09   1.611436E-09
  16.800   7.996390E-09   1.416877E-09
  16.900   6.961572E-09   1.245807E-09
  17.000   6.060671E-09   1.095393E-09
  17.100   5.276356E-09   9.631384E-10
  17.200   4.593539E-09   8.468521E-10
  17.300   3.999086E-09   7.446059E-10
  17.400   3.481562E-09   6.547046E-10
  17.500   3.031011E-09   5.756576E-10
  17.600   2.722303E-09   5.330312E-10
  17.700   2.541154E-09   5.261856E-10
  17.800   2.372058E-09   5.194278E-10
  17.900   2.214215E-09   5.127568E-10
  18.000   2.066875E-09   5.061715E-10
  18.100   1.929339E-09   4.996708E-10
  18.200   1.800956E-09   4.932535E-10
  18.300   1.681115E-09   4.869187E-10
  18.400   1.569249E-09   4.806653E-10
  18.500   1.464827E-09   4.744921E-10
  18.600   1.367353E-09   4.683982E-10
  18.700   1.276366E-09   4.623826E-10
  18.800   1.190863E-09   4.391328E-10
  18.900   1.110679E-09   4.048202E-10
  19.000   1.035894E-09   3.731886E-10
  19.100   9.661446E-10   3.440286E-10
  19.200   9.010916E-10   3.171471E-10
  19.300   8.404187E-10   2.923660E-10
  19.400   7.838311E-10   2.695213E-10
  19.500   7.310537E-10   2.484616E-10
  19.600   6.818299E-10   2.290475E-10
  19.700   6.359205E-10   2.111503E-10
  19.800   5.931023E-10   1.946516E-10
  19.900   5.531672E-10   1.794420E-10
 Z= 105 A= 248  Db beta2= 0.28 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.597197E-02   5.899649E-02
   0.100   7.625426E-02   5.884479E-02
   0.200   7.653761E-02   5.869348E-02
   0.300   7.682201E-02   5.854256E-02
   0.400   7.717397E-02   5.835256E-02
   0.500   7.768440E-02   5.807105E-02
   0.600   7.823168E-02   5.776336E-02
   0.700   7.885616E-02   5.739777E-02
   0.800   7.948562E-02   5.703450E-02
   0.900   8.011051E-02   5.665724E-02
   1.000   8.073404E-02   5.627195E-02
   1.100   8.128013E-02   5.592372E-02
   1.200   8.177960E-02   5.559843E-02
   1.300   8.228213E-02   5.527505E-02
   1.400   8.260982E-02   5.507181E-02
   1.500   8.292180E-02   5.488055E-02
   1.600   8.305018E-02   5.486803E-02
   1.700   8.316462E-02   5.486914E-02
   1.800   8.324657E-02   5.491619E-02
   1.900   8.321279E-02   5.512666E-02
   2.000   8.316493E-02   5.537980E-02
   2.100   8.307147E-02   5.577049E-02
   2.200   8.297812E-02   5.616394E-02
   2.300   8.289812E-02   5.662042E-02
   2.400   8.283008E-02   5.713519E-02
   2.500   8.281222E-02   5.766887E-02
   2.600   8.283657E-02   5.821962E-02
   2.700   8.286093E-02   5.877563E-02
   2.800   8.298125E-02   5.929742E-02
   2.900   8.312101E-02   5.981585E-02
   3.000   8.334315E-02   6.024771E-02
   3.100   8.358041E-02   6.066650E-02
   3.200   8.382490E-02   6.106963E-02
   3.300   8.411049E-02   6.136062E-02
   3.400   8.439291E-02   6.163246E-02
   3.500   8.465397E-02   6.179489E-02
   3.600   8.491584E-02   6.195775E-02
   3.700   8.513910E-02   6.207593E-02
   3.800   8.531407E-02   6.213846E-02
   3.900   8.542956E-02   6.218107E-02
   4.000   8.547604E-02   6.220063E-02
   4.100   8.552255E-02   6.222019E-02
   4.200   8.547427E-02   6.225541E-02
   4.300   8.539512E-02   6.229576E-02
   4.400   8.524959E-02   6.239559E-02
   4.500   8.508462E-02   6.251328E-02
   4.600   8.491761E-02   6.263663E-02
   4.700   8.471467E-02   6.284410E-02
   4.800   8.451122E-02   6.305564E-02
   4.900   8.429641E-02   6.330799E-02
   5.000   8.408214E-02   6.356135E-02
   5.100   8.385811E-02   6.380321E-02
   5.200   8.361561E-02   6.402220E-02
   5.300   8.332693E-02   6.416721E-02
   5.400   8.296705E-02   6.420914E-02
   5.500   8.257750E-02   6.420671E-02
   5.600   8.204215E-02   6.401093E-02
   5.700   8.140890E-02   6.369418E-02
   5.800   8.058208E-02   6.315102E-02
   5.900   7.954301E-02   6.237624E-02
   6.000   7.842537E-02   6.151305E-02
   6.100   7.697150E-02   6.030518E-02
   6.200   7.533917E-02   5.891980E-02
   6.300   7.337199E-02   5.721456E-02
   6.400   7.109140E-02   5.522115E-02
   6.500   6.873392E-02   5.316132E-02
   6.600   6.593915E-02   5.071431E-02
   6.700   6.297860E-02   4.813335E-02
   6.800   5.967783E-02   4.527111E-02
   6.900   5.612047E-02   4.221024E-02
   7.000   5.260742E-02   3.921367E-02
   7.100   4.877395E-02   3.597644E-02
   7.200   4.494988E-02   3.278230E-02
   7.300   4.099786E-02   2.952305E-02
   7.400   3.703939E-02   2.630322E-02
   7.500   3.333129E-02   2.333005E-02
   7.600   2.960987E-02   2.039172E-02
   7.700   2.612858E-02   1.768938E-02
   7.800   2.280131E-02   1.515148E-02
   7.900   1.970925E-02   1.283790E-02
   8.000   1.696985E-02   1.082915E-02
   8.100   1.443940E-02   9.011747E-03
   8.200   1.221745E-02   7.451264E-03
   8.300   1.024478E-02   6.097957E-03
   8.400   8.533472E-03   4.952370E-03
   8.500   7.088763E-03   4.009502E-03
   8.600   5.847553E-03   3.220336E-03
   8.700   4.810656E-03   2.578711E-03
   8.800   3.942526E-03   2.056195E-03
   8.900   3.224958E-03   1.636272E-03
   9.000   2.636061E-03   1.301109E-03
   9.100   2.153238E-03   1.034175E-03
   9.200   1.759496E-03   8.224306E-04
   9.300   1.438617E-03   6.546613E-04
   9.400   1.177506E-03   5.217472E-04
   9.500   9.642175E-04   4.160277E-04
   9.600   7.908929E-04   3.322862E-04
   9.700   6.492384E-04   2.655811E-04
   9.800   5.333779E-04   2.123367E-04
   9.900   4.383326E-04   1.697222E-04
  10.000   3.602703E-04   1.356451E-04
  10.100   2.962030E-04   1.083623E-04
  10.200   2.435644E-04   8.655975E-05
  10.300   2.002922E-04   6.913034E-05
  10.400   1.647788E-04   5.525939E-05
  10.500   1.355904E-04   4.419060E-05
  10.600   1.117565E-04   3.546004E-05
  10.700   9.224393E-05   2.853511E-05
  10.800   7.632717E-05   2.308622E-05
  10.900   6.333939E-05   1.879084E-05
  11.000   5.262557E-05   1.533334E-05
  11.100   4.392431E-05   1.262531E-05
  11.200   3.674903E-05   1.044226E-05
  11.300   3.084930E-05   8.690865E-06
  11.400   2.595480E-05   7.259838E-06
  11.500   2.185639E-05   6.073199E-06
  11.600   1.843760E-05   5.090869E-06
  11.700   1.555796E-05   4.266114E-06
  11.800   1.312132E-05   3.567417E-06
  11.900   1.105259E-05   2.973391E-06
  12.000   9.305177E-06   2.474883E-06
  12.100   7.818963E-06   2.050039E-06
  12.200   6.586599E-06   1.702781E-06
  12.300   5.553771E-06   1.415822E-06
  12.400   4.682897E-06   1.177223E-06
  12.500   3.948583E-06   9.788327E-07
  12.600   3.329416E-06   8.138763E-07
  12.700   2.807338E-06   6.767189E-07
  12.800   2.367126E-06   5.626757E-07
  12.900   1.995943E-06   4.678516E-07
  13.000   1.682964E-06   3.890075E-07
  13.100   1.448020E-06   3.281587E-07
  13.200   1.252143E-06   2.778235E-07
  13.300   1.082763E-06   2.352091E-07
  13.400   9.362953E-07   1.991311E-07
  13.500   8.096406E-07   1.685871E-07
  13.600   7.001187E-07   1.427281E-07
  13.700   6.054121E-07   1.208355E-07
  13.800   5.235167E-07   1.023009E-07
  13.900   4.526994E-07   8.660932E-08
  14.000   3.914618E-07   7.332460E-08
  14.100   3.385079E-07   6.207758E-08
  14.200   2.914276E-07   5.264776E-08
  14.300   2.503228E-07   4.469082E-08
  14.400   2.150157E-07   3.793646E-08
  14.500   1.846885E-07   3.220292E-08
  14.600   1.586389E-07   2.733591E-08
  14.700   1.362635E-07   2.320449E-08
  14.800   1.170440E-07   1.969747E-08
  14.900   1.005354E-07   1.672048E-08
  15.000   8.635522E-08   1.419343E-08
  15.100   7.417513E-08   1.204830E-08
  15.200   6.371300E-08   1.022737E-08
  15.300   5.546203E-08   8.803350E-09
  15.400   4.938002E-08   7.757783E-09
  15.500   4.396497E-08   6.836397E-09
  15.600   3.914374E-08   6.024443E-09
  15.700   3.485121E-08   5.308925E-09
  15.800   3.102941E-08   4.678388E-09
  15.900   2.762670E-08   4.122739E-09
  16.000   2.459714E-08   3.633084E-09
  16.100   2.189980E-08   3.201586E-09
  16.200   1.949825E-08   2.821336E-09
  16.300   1.736006E-08   2.486248E-09
  16.400   1.545634E-08   2.190958E-09
  16.500   1.348458E-08   1.926603E-09
  16.600   1.174910E-08   1.693912E-09
  16.700   1.023698E-08   1.489325E-09
  16.800   8.919467E-09   1.309448E-09
  16.900   7.771523E-09   1.151296E-09
  17.000   6.771320E-09   1.012245E-09
  17.100   5.899845E-09   8.899885E-10
  17.200   5.140529E-09   7.824977E-10
  17.300   4.478938E-09   6.879894E-10
  17.400   3.902494E-09   6.048956E-10
  17.500   3.400239E-09   5.318377E-10
  17.600   3.024698E-09   4.855974E-10
  17.700   2.815324E-09   4.815038E-10
  17.800   2.620444E-09   4.774447E-10
  17.900   2.439054E-09   4.734198E-10
  18.000   2.270220E-09   4.694288E-10
  18.100   2.113073E-09   4.654715E-10
  18.200   1.966803E-09   4.615475E-10
  18.300   1.830659E-09   4.576567E-10
  18.400   1.703938E-09   4.537986E-10
  18.500   1.585990E-09   4.499730E-10
  18.600   1.476206E-09   4.461797E-10
  18.700   1.374021E-09   4.424184E-10
  18.800   1.278148E-09   4.259603E-10
  18.900   1.188008E-09   3.940982E-10
  19.000   1.104225E-09   3.646194E-10
  19.100   1.026350E-09   3.373457E-10
  19.200   9.539672E-10   3.121120E-10
  19.300   8.866894E-10   2.887659E-10
  19.400   8.241562E-10   2.671660E-10
  19.500   7.660332E-10   2.471819E-10
  19.600   7.120092E-10   2.286925E-10
  19.700   6.617953E-10   2.115862E-10
  19.800   6.151226E-10   1.957594E-10
  19.900   5.717415E-10   1.811165E-10
 Z= 105 A= 249  Db beta2= 0.31 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.577203E-02   5.869588E-02
   0.100   7.605671E-02   5.854409E-02
   0.200   7.634246E-02   5.839269E-02
   0.300   7.662928E-02   5.824168E-02
   0.400   7.698278E-02   5.805281E-02
   0.500   7.749794E-02   5.777221E-02
   0.600   7.804924E-02   5.746638E-02
   0.700   7.867957E-02   5.710194E-02
   0.800   7.931500E-02   5.673981E-02
   0.900   7.994613E-02   5.636436E-02
   1.000   8.057569E-02   5.598062E-02
   1.100   8.113017E-02   5.563324E-02
   1.200   8.163544E-02   5.531011E-02
   1.300   8.214386E-02   5.498886E-02
   1.400   8.248196E-02   5.478509E-02
   1.500   8.279950E-02   5.459662E-02
   1.600   8.293971E-02   5.458231E-02
   1.700   8.306052E-02   5.458710E-02
   1.800   8.315413E-02   5.463074E-02
   1.900   8.312796E-02   5.484487E-02
   2.000   8.309041E-02   5.509519E-02
   2.100   8.300708E-02   5.548979E-02
   2.200   8.292384E-02   5.588722E-02
   2.300   8.285391E-02   5.634280E-02
   2.400   8.279807E-02   5.686136E-02
   2.500   8.278940E-02   5.739722E-02
   2.600   8.282845E-02   5.795093E-02
   2.700   8.286752E-02   5.850998E-02
   2.800   8.299802E-02   5.903574E-02
   2.900   8.315412E-02   5.955542E-02
   3.000   8.338683E-02   5.999400E-02
   3.100   8.363982E-02   6.041370E-02
   3.200   8.389725E-02   6.082550E-02
   3.300   8.419726E-02   6.111632E-02
   3.400   8.449555E-02   6.139618E-02
   3.500   8.476781E-02   6.155792E-02
   3.600   8.504094E-02   6.172008E-02
   3.700   8.528012E-02   6.184425E-02
   3.800   8.546276E-02   6.190564E-02
   3.900   8.559392E-02   6.195065E-02
   4.000   8.564475E-02   6.197018E-02
   4.100   8.569562E-02   6.198971E-02
   4.200   8.565945E-02   6.202429E-02
   4.300   8.558200E-02   6.206605E-02
   4.400   8.544439E-02   6.216172E-02
   4.500   8.528000E-02   6.228180E-02
   4.600   8.511593E-02   6.240211E-02
   4.700   8.491529E-02   6.261193E-02
   4.800   8.471421E-02   6.282466E-02
   4.900   8.450246E-02   6.308073E-02
   5.000   8.429111E-02   6.333833E-02
   5.100   8.407293E-02   6.358759E-02
   5.200   8.383586E-02   6.381288E-02
   5.300   8.355562E-02   6.396757E-02
   5.400   8.321101E-02   6.402671E-02
   5.500   8.283150E-02   6.403259E-02
   5.600   8.231227E-02   6.385433E-02
   5.700   8.170204E-02   6.356067E-02
   5.800   8.089112E-02   6.303211E-02
   5.900   7.988523E-02   6.229019E-02
   6.000   7.878074E-02   6.143820E-02
   6.100   7.735292E-02   6.025559E-02
   6.200   7.575468E-02   5.890314E-02
   6.300   7.380434E-02   5.721380E-02
   6.400   7.156704E-02   5.526155E-02
   6.500   6.921755E-02   5.321068E-02
   6.600   6.644540E-02   5.078733E-02
   6.700   6.351579E-02   4.823729E-02
   6.800   6.022078E-02   4.538443E-02
   6.900   5.669668E-02   4.235814E-02
   7.000   5.317234E-02   3.935882E-02
   7.100   4.934097E-02   3.613239E-02
   7.200   4.552380E-02   3.295400E-02
   7.300   4.155085E-02   2.968829E-02
   7.400   3.759395E-02   2.648098E-02
   7.500   3.385062E-02   2.349118E-02
   7.600   3.010203E-02   2.054488E-02
   7.700   2.659740E-02   1.783745E-02
   7.800   2.322906E-02   1.528234E-02
   7.900   2.010974E-02   1.296242E-02
   8.000   1.732578E-02   1.093445E-02
   8.100   1.475597E-02   9.102086E-03
   8.200   1.249945E-02   7.529256E-03
   8.300   1.048892E-02   6.161467E-03
   8.400   8.747364E-03   5.006275E-03
   8.500   7.270509E-03   4.051946E-03
   8.600   6.001192E-03   3.253527E-03
   8.700   4.940288E-03   2.604488E-03
   8.800   4.050593E-03   2.075641E-03
   8.900   3.315216E-03   1.651107E-03
   9.000   2.710825E-03   1.312137E-03
   9.100   2.214682E-03   1.041968E-03
   9.200   1.809886E-03   8.278435E-04
   9.300   1.480133E-03   6.584152E-04
   9.400   1.211682E-03   5.242810E-04
   9.500   9.924872E-04   4.177498E-04
   9.600   8.140347E-04   3.332970E-04
   9.700   6.682566E-04   2.661258E-04
   9.800   5.490912E-04   2.125841E-04
   9.900   4.513398E-04   1.697894E-04
  10.000   3.710624E-04   1.355977E-04
  10.100   3.050727E-04   1.082011E-04
  10.200   2.508741E-04   8.633502E-05
  10.300   2.063270E-04   6.887583E-05
  10.400   1.697622E-04   5.499116E-05
  10.500   1.397123E-04   4.392638E-05
  10.600   1.151324E-04   3.519214E-05
  10.700   9.500557E-05   2.827010E-05
  10.800   7.860109E-05   2.283829E-05
  10.900   6.520394E-05   1.855471E-05
  11.000   5.417137E-05   1.512201E-05
  11.100   4.519005E-05   1.242881E-05
  11.200   3.778902E-05   1.026135E-05
  11.300   3.171432E-05   8.529983E-06
  11.400   2.667335E-05   7.115966E-06
  11.500   2.245970E-05   5.947603E-06
  11.600   1.893915E-05   4.979294E-06
  11.700   1.597777E-05   4.168381E-06
  11.800   1.347374E-05   3.481946E-06
  11.900   1.134977E-05   2.899590E-06
  12.000   9.554754E-06   2.410472E-06
  12.100   8.026533E-06   1.993775E-06
  12.200   6.755759E-06   1.652698E-06
  12.300   5.693217E-06   1.372043E-06
  12.400   4.797790E-06   1.139047E-06
  12.500   4.043196E-06   9.456182E-07
  12.600   3.407284E-06   7.850366E-07
  12.700   2.871388E-06   6.517244E-07
  12.800   2.419778E-06   5.410509E-07
  12.900   2.039196E-06   4.491715E-07
  13.000   1.718473E-06   3.728948E-07
  13.100   1.473873E-06   3.136204E-07
  13.200   1.273692E-06   2.652483E-07
  13.300   1.100700E-06   2.243370E-07
  13.400   9.512035E-07   1.897358E-07
  13.500   8.220116E-07   1.604714E-07
  13.600   7.103665E-07   1.357207E-07
  13.700   6.138850E-07   1.147874E-07
  13.800   5.305075E-07   9.708288E-08
  13.900   4.584543E-07   8.210904E-08
  14.000   3.961873E-07   6.944473E-08
  14.100   3.423774E-07   5.873374E-08
  14.200   2.946674E-07   4.972347E-08
  14.300   2.527579E-07   4.212920E-08
  14.400   2.168091E-07   3.569481E-08
  14.500   1.859732E-07   3.024314E-08
  14.600   1.595229E-07   2.562410E-08
  14.700   1.368346E-07   2.171054E-08
  14.800   1.173731E-07   1.839468E-08
  14.900   1.006795E-07   1.558526E-08
  15.000   8.636027E-08   1.320493E-08
  15.100   7.407757E-08   1.118814E-08
  15.200   6.354180E-08   9.479374E-09
  15.300   5.501720E-08   8.112731E-09
  15.400   4.895730E-08   7.150047E-09
  15.500   4.356487E-08   6.301598E-09
  15.600   3.876639E-08   5.553829E-09
  15.700   3.449644E-08   4.894793E-09
  15.800   3.069681E-08   4.313960E-09
  15.900   2.731569E-08   3.802051E-09
  16.000   2.430698E-08   3.350887E-09
  16.100   2.162968E-08   2.953259E-09
  16.200   1.924726E-08   2.602815E-09
  16.300   1.712726E-08   2.293956E-09
  16.400   1.524077E-08   2.021748E-09
  16.500   1.331028E-08   1.779533E-09
  16.600   1.157530E-08   1.565879E-09
  16.700   1.006648E-08   1.377877E-09
  16.800   8.754328E-09   1.212447E-09
  16.900   7.613214E-09   1.066879E-09
  17.000   6.620843E-09   9.387875E-10
  17.100   5.757825E-09   8.260751E-10
  17.200   5.007301E-09   7.268951E-10
  17.300   4.354607E-09   6.396229E-10
  17.400   3.786990E-09   5.628287E-10
  17.500   3.293361E-09   4.952546E-10
  17.600   2.900429E-09   4.456666E-10
  17.700   2.704398E-09   4.438293E-10
  17.800   2.521617E-09   4.419996E-10
  17.900   2.351189E-09   4.401774E-10
  18.000   2.192280E-09   4.383628E-10
  18.100   2.044111E-09   4.365556E-10
  18.200   1.905956E-09   4.347558E-10
  18.300   1.777139E-09   4.329635E-10
  18.400   1.657028E-09   4.311786E-10
  18.500   1.545035E-09   4.294010E-10
  18.600   1.440611E-09   4.276308E-10
  18.700   1.343245E-09   4.258678E-10
  18.800   1.251542E-09   4.158140E-10
  18.900   1.163946E-09   3.862675E-10
  19.000   1.082481E-09   3.588205E-10
  19.100   1.006718E-09   3.333238E-10
  19.200   9.362571E-10   3.096389E-10
  19.300   8.707281E-10   2.876369E-10
  19.400   8.097855E-10   2.671983E-10
  19.500   7.531083E-10   2.482120E-10
  19.600   7.003980E-10   2.305748E-10
  19.700   6.513768E-10   2.141909E-10
  19.800   6.057867E-10   1.989711E-10
  19.900   5.633875E-10   1.848328E-10
 Z= 105 A= 250  Db beta2= 0.31 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.562390E-02   5.837297E-02
   0.100   7.590541E-02   5.822225E-02
   0.200   7.618797E-02   5.807192E-02
   0.300   7.647157E-02   5.792197E-02
   0.400   7.681976E-02   5.773494E-02
   0.500   7.732984E-02   5.745489E-02
   0.600   7.787472E-02   5.715082E-02
   0.700   7.849945E-02   5.678775E-02
   0.800   7.912920E-02   5.642699E-02
   0.900   7.975584E-02   5.605314E-02
   1.000   8.038135E-02   5.567043E-02
   1.100   8.093563E-02   5.532339E-02
   1.200   8.143917E-02   5.500192E-02
   1.300   8.194585E-02   5.468232E-02
   1.400   8.229039E-02   5.447769E-02
   1.500   8.261028E-02   5.429159E-02
   1.600   8.276157E-02   5.427346E-02
   1.700   8.288841E-02   5.427971E-02
   1.800   8.299339E-02   5.431802E-02
   1.900   8.297630E-02   5.453430E-02
   2.000   8.295030E-02   5.478036E-02
   2.100   8.287857E-02   5.517689E-02
   2.200   8.280689E-02   5.557628E-02
   2.300   8.274786E-02   5.602908E-02
   2.400   8.270466E-02   5.654967E-02
   2.500   8.270458E-02   5.708633E-02
   2.600   8.275677E-02   5.764184E-02
   2.700   8.280900E-02   5.820275E-02
   2.800   8.294607E-02   5.873296E-02
   2.900   8.311449E-02   5.925465E-02
   3.000   8.335380E-02   5.970099E-02
   3.100   8.361840E-02   6.012269E-02
   3.200   8.388479E-02   6.054441E-02
   3.300   8.419415E-02   6.083656E-02
   3.400   8.450370E-02   6.112608E-02
   3.500   8.478491E-02   6.129005E-02
   3.600   8.506706E-02   6.145446E-02
   3.700   8.532128E-02   6.158799E-02
   3.800   8.551215E-02   6.165230E-02
   3.900   8.566087E-02   6.170331E-02
   4.000   8.571967E-02   6.172610E-02
   4.100   8.577851E-02   6.174890E-02
   4.200   8.576032E-02   6.178576E-02
   4.300   8.569101E-02   6.183197E-02
   4.400   8.556918E-02   6.192631E-02
   4.500   8.541396E-02   6.205162E-02
   4.600   8.525903E-02   6.217717E-02
   4.700   8.507094E-02   6.238473E-02
   4.800   8.487916E-02   6.260312E-02
   4.900   8.467795E-02   6.286068E-02
   5.000   8.447613E-02   6.312359E-02
   5.100   8.427006E-02   6.338119E-02
   5.200   8.404296E-02   6.361054E-02
   5.300   8.377586E-02   6.377576E-02
   5.400   8.344884E-02   6.385171E-02
   5.500   8.307717E-02   6.386054E-02
   5.600   8.257895E-02   6.370296E-02
   5.700   8.198725E-02   6.342638E-02
   5.800   8.119722E-02   6.291652E-02
   5.900   8.022397E-02   6.220564E-02
   6.000   7.912145E-02   6.135262E-02
   6.100   7.772974E-02   6.020415E-02
   6.200   7.615719E-02   5.887517E-02
   6.300   7.423303E-02   5.721099E-02
   6.400   7.203775E-02   5.529814E-02
   6.500   6.967874E-02   5.323927E-02
   6.600   6.694903E-02   5.085637E-02
   6.700   6.404207E-02   4.832888E-02
   6.800   6.076589E-02   4.549653E-02
   6.900   5.727517E-02   4.250398E-02
   7.000   5.372175E-02   3.948596E-02
   7.100   4.991687E-02   3.628880E-02
   7.200   4.610035E-02   3.311930E-02
   7.300   4.212094E-02   2.985785E-02
   7.400   3.816616E-02   2.666276E-02
   7.500   3.437351E-02   2.364501E-02
   7.600   3.061689E-02   2.070583E-02
   7.700   2.708458E-02   1.798932E-02
   7.800   2.368297E-02   1.542272E-02
   7.900   2.053506E-02   1.309474E-02
   8.000   1.769791E-02   1.104052E-02
   8.100   1.509879E-02   9.200201E-03
   8.200   1.280452E-02   7.613934E-03
   8.300   1.075745E-02   6.232799E-03
   8.400   8.983118E-03   5.066414E-03
   8.500   7.469400E-03   4.097873E-03
   8.600   6.173668E-03   3.291660E-03
   8.700   5.086976E-03   2.634690E-03
   8.800   4.174370E-03   2.099026E-03
   8.900   3.419090E-03   1.668890E-03
   9.000   2.797057E-03   1.325177E-03
   9.100   2.286890E-03   1.051831E-03
   9.200   1.870070E-03   8.350951E-04
   9.300   1.530196E-03   6.636484E-04
   9.400   1.253159E-03   5.279300E-04
   9.500   1.026972E-03   4.202890E-04
   9.600   8.428409E-04   3.350667E-04
   9.700   6.923227E-04   2.673254E-04
   9.800   5.692300E-04   2.133686E-04
   9.900   4.681825E-04   1.702635E-04
  10.000   3.851578E-04   1.358394E-04
  10.100   3.169458E-04   1.083170E-04
  10.200   2.608571E-04   8.635204E-05
  10.300   2.147255E-04   6.882106E-05
  10.400   1.768093E-04   5.487906E-05
  10.500   1.456281E-04   4.378372E-05
  10.600   1.201179E-04   3.503157E-05
  10.700   9.920222E-05   2.810102E-05
  10.800   8.213790E-05   2.266622E-05
  10.900   6.817405E-05   1.837843E-05
  11.000   5.668776E-05   1.496041E-05
  11.100   4.732005E-05   1.227452E-05
  11.200   3.959798E-05   1.011911E-05
  11.300   3.325598E-05   8.399837E-06
  11.400   2.798736E-05   6.997021E-06
  11.500   2.358737E-05   5.842213E-06
  11.600   1.990974E-05   4.886068E-06
  11.700   1.681508E-05   4.086569E-06
  11.800   1.419723E-05   3.410489E-06
  11.900   1.197552E-05   2.837614E-06
  12.000   1.009400E-05   2.355475E-06
  12.100   8.494465E-06   1.946458E-06
  12.200   7.158867E-06   1.610463E-06
  12.300   6.042722E-06   1.334968E-06
  12.400   5.100596E-06   1.106600E-06
  12.500   4.305358E-06   9.172988E-07
  12.600   3.634106E-06   7.603803E-07
  12.700   3.067509E-06   6.303052E-07
  12.800   2.589251E-06   5.224816E-07
  12.900   2.185559E-06   4.331028E-07
  13.000   1.844806E-06   3.590137E-07
  13.100   1.580400E-06   3.010232E-07
  13.200   1.367485E-06   2.543567E-07
  13.300   1.183255E-06   2.149247E-07
  13.400   1.023844E-06   1.816057E-07
  13.500   8.859096E-07   1.534521E-07
  13.600   7.665580E-07   1.296630E-07
  13.700   6.632856E-07   1.095618E-07
  13.800   5.739263E-07   9.257683E-08
  13.900   4.966057E-07   7.822499E-08
  14.000   4.297019E-07   6.609805E-08
  14.100   3.718115E-07   5.585112E-08
  14.200   3.207645E-07   4.720982E-08
  14.300   2.756842E-07   3.992382E-08
  14.400   2.369394E-07   3.376229E-08
  14.500   2.036399E-07   2.855168E-08
  14.600   1.750203E-07   2.414523E-08
  14.700   1.504229E-07   2.041885E-08
  14.800   1.292824E-07   1.726756E-08
  14.900   1.111131E-07   1.460262E-08
  15.000   9.549720E-08   1.234896E-08
  15.100   8.207600E-08   1.044312E-08
  15.200   7.054102E-08   8.831411E-09
  15.300   6.092245E-08   7.511802E-09
  15.400   5.422302E-08   6.622655E-09
  15.500   4.826031E-08   5.838753E-09
  15.600   4.295329E-08   5.147640E-09
  15.700   3.822986E-08   4.538331E-09
  15.800   3.402586E-08   4.001144E-09
  15.900   3.028415E-08   3.527542E-09
  16.000   2.695391E-08   3.109999E-09
  16.100   2.398988E-08   2.741878E-09
  16.200   2.135180E-08   2.417331E-09
  16.300   1.900382E-08   2.131200E-09
  16.400   1.691403E-08   1.878937E-09
  16.500   1.482459E-08   1.655317E-09
  16.600   1.290433E-08   1.457833E-09
  16.700   1.123281E-08   1.283909E-09
  16.800   9.777795E-09   1.130735E-09
  16.900   8.511256E-09   9.958344E-10
  17.000   7.408774E-09   8.770282E-10
  17.100   6.449099E-09   7.723960E-10
  17.200   5.613733E-09   6.802468E-10
  17.300   4.886574E-09   5.990912E-10
  17.400   4.253605E-09   5.276177E-10
  17.500   3.702626E-09   4.646713E-10
  17.600   3.233416E-09   4.117858E-10
  17.700   3.005829E-09   4.117000E-10
  17.800   2.794261E-09   4.116143E-10
  17.900   2.597584E-09   4.115285E-10
  18.000   2.414750E-09   4.114428E-10
  18.100   2.244786E-09   4.113571E-10
  18.200   2.086785E-09   4.112714E-10
  18.300   1.939904E-09   4.111857E-10
  18.400   1.803362E-09   4.111001E-10
  18.500   1.676431E-09   4.110145E-10
  18.600   1.558434E-09   4.109289E-10
  18.700   1.448742E-09   4.108433E-10
  18.800   1.346200E-09   4.066428E-10
  18.900   1.247766E-09   3.791033E-10
  19.000   1.156530E-09   3.534289E-10
  19.100   1.071965E-09   3.294932E-10
  19.200   9.935833E-10   3.071786E-10
  19.300   9.209329E-10   2.863752E-10
  19.400   8.535946E-10   2.669807E-10
  19.500   7.911801E-10   2.488996E-10
  19.600   7.333293E-10   2.320431E-10
  19.700   6.797085E-10   2.163282E-10
  19.800   6.300085E-10   2.016776E-10
  19.900   5.839425E-10   1.880192E-10
 Z= 105 A= 251  Db beta2= 0.29 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.541661E-02   5.807300E-02
   0.100   7.570085E-02   5.792255E-02
   0.200   7.598617E-02   5.777249E-02
   0.300   7.627256E-02   5.762282E-02
   0.400   7.662264E-02   5.743730E-02
   0.500   7.713793E-02   5.715867E-02
   0.600   7.768722E-02   5.685696E-02
   0.700   7.831801E-02   5.649564E-02
   0.800   7.895392E-02   5.613661E-02
   0.900   7.958705E-02   5.576556E-02
   1.000   8.021893E-02   5.538578E-02
   1.100   8.078266E-02   5.504057E-02
