 Z= 105 A= 232  Db beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   1.576805E-08   6.140496E-08
  15.000   1.285524E-08   5.382673E-08
  15.100   1.079511E-08   4.741935E-08
  15.200   9.745893E-09   4.228721E-08
  15.300   8.798651E-09   3.771051E-08
  15.400   7.943475E-09   3.362914E-08
  15.500   7.171417E-09   2.998949E-08
  15.600   6.474398E-09   2.674376E-08
  15.700   5.845126E-09   2.384931E-08
  15.800   5.277015E-09   2.126812E-08
  15.900   4.764121E-09   1.896630E-08
  16.000   4.301077E-09   1.691359E-08
  16.100   3.883038E-09   1.508305E-08
  16.200   3.505630E-09   1.345063E-08
  16.300   2.899088E-09   1.206960E-08
  16.400   2.394073E-09   1.083147E-08
  16.500   1.977030E-09   9.720345E-09
  16.600   1.632635E-09   8.723203E-09
  16.700   1.348233E-09   7.828351E-09
  16.800   1.113373E-09   7.025296E-09
  16.900   9.194255E-10   6.304620E-09
  17.000   7.592633E-10   5.657873E-09
  17.100   6.270010E-10   5.077472E-09
  17.200   5.177786E-10   4.556610E-09
  17.300   4.275825E-10   4.089179E-09
  17.400   3.937111E-10   3.738168E-09
  17.500   4.067628E-10   3.484756E-09
  17.600   4.202472E-10   3.248523E-09
  17.700   4.341786E-10   3.028305E-09
  17.800   4.485719E-10   2.823015E-09
  17.900   4.634423E-10   2.631642E-09
  18.000   4.788056E-10   2.453242E-09
  18.100   4.946783E-10   2.286936E-09
  18.200   5.110771E-10   2.131903E-09
  18.300   5.280196E-10   1.987381E-09
  18.400   5.455238E-10   1.852655E-09
  18.500   5.636082E-10   1.727063E-09
  18.600   5.588559E-10   1.567396E-09
  18.700   5.457032E-10   1.408312E-09
  18.800   5.328601E-10   1.265374E-09
  18.900   5.203192E-10   1.136944E-09
  19.000   5.080735E-10   1.021549E-09
  19.100   4.961159E-10   9.178660E-10
  19.200   4.844398E-10   8.247065E-10
  19.300   4.730385E-10   7.410023E-10
  19.400   4.619056E-10   6.657938E-10
  19.500   4.510346E-10   5.982185E-10
  19.600   4.404195E-10   5.375019E-10
  19.700   4.300542E-10   4.829477E-10
  19.800   4.542894E-10   4.852890E-10
  19.900   5.033815E-10   5.219439E-10
 Z= 105 A= 233  Db beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.895207E-02   6.408235E-02
   0.100   7.924485E-02   6.392519E-02
   0.200   7.953872E-02   6.376842E-02
   0.300   7.983368E-02   6.361203E-02
   0.400   8.022268E-02   6.340049E-02
   0.500   8.075155E-02   6.310809E-02
   0.600   8.133340E-02   6.277271E-02
   0.700   8.197392E-02   6.239100E-02
   0.800   8.261948E-02   6.201160E-02
   0.900   8.324696E-02   6.160692E-02
   1.000   8.387493E-02   6.119985E-02
   1.100   8.436330E-02   6.083972E-02
   1.200   8.484174E-02   6.048559E-02
   1.300   8.525769E-02   6.016834E-02
   1.400   8.551236E-02   5.993934E-02
   1.500   8.568186E-02   5.977716E-02
   1.600   8.569820E-02   5.973308E-02
   1.700   8.571454E-02   5.968902E-02
   1.800   8.558981E-02   5.979226E-02
   1.900   8.541243E-02   5.995117E-02
   2.000   8.515231E-02   6.025243E-02
   2.100   8.487228E-02   6.059093E-02
   2.200   8.459068E-02   6.095134E-02
   2.300   8.429770E-02   6.141372E-02
   2.400   8.402199E-02   6.188877E-02
   2.500   8.379824E-02   6.239663E-02
   2.600   8.357509E-02   6.290866E-02
   2.700   8.341904E-02   6.340526E-02
   2.800   8.330594E-02   6.389309E-02
   2.900   8.327052E-02   6.432277E-02
   3.000   8.327128E-02   6.472630E-02
   3.100   8.327612E-02   6.512642E-02
   3.200   8.335860E-02   6.541546E-02
   3.300   8.344360E-02   6.569068E-02
   3.400   8.354609E-02   6.585908E-02
   3.500   8.364872E-02   6.602790E-02
   3.600   8.373080E-02   6.614786E-02
   3.700   8.379151E-02   6.621688E-02
   3.800   8.380064E-02   6.625664E-02
   3.900   8.376986E-02   6.627374E-02
   4.000   8.373909E-02   6.629084E-02
   4.100   8.361115E-02   6.631038E-02
   4.200   8.347591E-02   6.633036E-02
   4.300   8.325812E-02   6.640287E-02
   4.400   8.304091E-02   6.647545E-02
   4.500   8.280487E-02   6.657356E-02
   4.600   8.253702E-02   6.671469E-02
   4.700   8.225340E-02   6.686938E-02
   4.800   8.195018E-02   6.704095E-02
   4.900   8.164807E-02   6.721296E-02
   5.000   8.130648E-02   6.735679E-02
   5.100   8.092720E-02   6.745632E-02
   5.200   8.049840E-02   6.749050E-02
   5.300   7.998497E-02   6.741343E-02
   5.400   7.939629E-02   6.723867E-02
   5.500   7.870740E-02   6.693556E-02
   5.600   7.783358E-02   6.641064E-02
   5.700   7.682885E-02   6.573143E-02
   5.800   7.560123E-02   6.480123E-02
   5.900   7.421513E-02   6.369899E-02
   6.000   7.262721E-02   6.238076E-02
   6.100   7.071151E-02   6.072918E-02
   6.200   6.860331E-02   5.888526E-02
   6.300   6.617526E-02   5.673122E-02
   6.400   6.356996E-02   5.440922E-02
   6.500   6.074276E-02   5.187998E-02
   6.600   5.756472E-02   4.903224E-02
   6.700   5.425598E-02   4.607115E-02
   6.800   5.069675E-02   4.289226E-02
   6.900   4.709235E-02   3.968497E-02
   7.000   4.341570E-02   3.642685E-02
   7.100   3.958578E-02   3.304936E-02
   7.200   3.584270E-02   2.976610E-02
   7.300   3.210478E-02   2.650720E-02
   7.400   2.855793E-02   2.343409E-02
   7.500   2.518139E-02   2.052842E-02
   7.600   2.193706E-02   1.775816E-02
   7.700   1.897303E-02   1.524593E-02
   7.800   1.623408E-02   1.294342E-02
   7.900   1.380211E-02   1.091650E-02
   8.000   1.164161E-02   9.131957E-03
   8.100   9.721624E-03   7.561545E-03
   8.200   8.074435E-03   6.227010E-03
   8.300   6.656129E-03   5.089391E-03
   8.400   5.466198E-03   4.144314E-03
   8.500   4.468554E-03   3.359861E-03
   8.600   3.636277E-03   2.712431E-03
   8.700   2.953408E-03   2.186375E-03
   8.800   2.393751E-03   1.759679E-03
   8.900   1.939331E-03   1.416199E-03
   9.000   1.570516E-03   1.139870E-03
   9.100   1.272354E-03   9.185689E-04
   9.200   1.031486E-03   7.410296E-04
   9.300   8.371024E-04   5.988070E-04
   9.400   6.798053E-04   4.843624E-04
   9.500   5.524963E-04   3.922521E-04
   9.600   4.493381E-04   3.180325E-04
   9.700   3.655287E-04   2.579987E-04
   9.800   2.973689E-04   2.094080E-04
   9.900   2.418748E-04   1.700112E-04
  10.000   1.966851E-04   1.380711E-04
  10.100   1.598777E-04   1.122202E-04
  10.200   1.299609E-04   9.129631E-05
  10.300   1.056693E-04   7.441613E-05
  10.400   8.597605E-05   6.078035E-05
  10.500   7.002041E-05   4.977914E-05
  10.600   5.716096E-05   4.098265E-05
  10.700   4.675706E-05   3.387133E-05
  10.800   3.837543E-05   2.816873E-05
  10.900   3.157163E-05   2.352243E-05
  11.000   2.605143E-05   1.974290E-05
  11.100   2.157945E-05   1.667768E-05
  11.200   1.791106E-05   1.413532E-05
  11.300   1.490038E-05   1.203013E-05
  11.400   1.240296E-05   1.025348E-05
  11.500   1.032896E-05   8.753043E-06
  11.600   8.593000E-06   7.475077E-06
  11.700   7.140307E-06   6.381081E-06
  11.800   5.918499E-06   5.440604E-06
  11.900   4.896692E-06   4.633967E-06
  12.000   4.044876E-06   3.944535E-06
  12.100   3.344717E-06   3.363390E-06
  12.200   2.765753E-06   2.867865E-06
  12.300   2.287007E-06   2.445345E-06
  12.400   1.891131E-06   2.085075E-06
  12.500   1.563781E-06   1.777883E-06
  12.600   1.293094E-06   1.515949E-06
  12.700   1.069262E-06   1.292605E-06
  12.800   8.841749E-07   1.102167E-06
  12.900   7.394532E-07   9.438006E-07
  13.000   6.307786E-07   8.142312E-07
  13.100   5.380755E-07   7.024498E-07
  13.200   4.589966E-07   6.060142E-07
  13.300   3.915396E-07   5.228178E-07
  13.400   3.339965E-07   4.510429E-07
  13.500   2.849103E-07   3.891217E-07
  13.600   2.430382E-07   3.357012E-07
  13.700   2.073198E-07   2.896146E-07
  13.800   1.768508E-07   2.498550E-07
  13.900   1.508597E-07   2.155537E-07
  14.000   1.277253E-07   1.868188E-07
  14.100   1.065520E-07   1.633864E-07
  14.200   8.888871E-08   1.428931E-07
  14.300   7.415347E-08   1.249702E-07
  14.400   6.186092E-08   1.092954E-07
  14.500   5.160613E-08   9.558659E-08
  14.600   4.305129E-08   8.359730E-08
  14.700   3.591460E-08   7.311180E-08
  14.800   2.996098E-08   6.394149E-08
  14.900   2.499429E-08   5.592140E-08
  15.000   2.085095E-08   4.890725E-08
  15.100   1.761121E-08   4.289913E-08
  15.200   1.582268E-08   3.818635E-08
  15.300   1.421580E-08   3.399131E-08
  15.400   1.277210E-08   3.025712E-08
  15.500   1.147502E-08   2.693316E-08
  15.600   1.030966E-08   2.397436E-08
  15.700   9.262657E-09   2.134060E-08
  15.800   8.321980E-09   1.899619E-08
  15.900   7.476834E-09   1.690932E-08
  16.000   6.717518E-09   1.505171E-08
  16.100   6.035314E-09   1.339817E-08
  16.200   5.422393E-09   1.192629E-08
  16.300   4.672970E-09   1.066350E-08
  16.400   3.998322E-09   9.541741E-09
  16.500   3.421074E-09   8.537987E-09
  16.600   2.927165E-09   7.639825E-09
  16.700   2.504563E-09   6.836145E-09
  16.800   2.142973E-09   6.117010E-09
  16.900   1.833586E-09   5.473525E-09
  17.000   1.568867E-09   4.897732E-09
  17.100   1.342366E-09   4.382510E-09
  17.200   1.148565E-09   3.921487E-09
  17.300   9.827437E-10   3.508962E-09
  17.400   8.817157E-10   3.186469E-09
  17.500   8.649474E-10   2.975024E-09
  17.600   8.484980E-10   2.777609E-09
  17.700   8.323614E-10   2.593295E-09
  17.800   8.165317E-10   2.421211E-09
  17.900   8.010030E-10   2.260546E-09
  18.000   7.857697E-10   2.110542E-09
  18.100   7.708261E-10   1.970492E-09
  18.200   7.561666E-10   1.839736E-09
  18.300   7.417860E-10   1.717656E-09
  18.400   7.276788E-10   1.603677E-09
  18.500   7.138400E-10   1.497261E-09
  18.600   6.934948E-10   1.364256E-09
  18.700   6.690262E-10   1.221413E-09
  18.800   6.454210E-10   1.093526E-09
  18.900   6.226486E-10   9.790298E-10
  19.000   6.006796E-10   8.765215E-10
  19.100   5.794859E-10   7.847462E-10
