 Z=  78 A= 162  Pt beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   1.904424E-09   2.201415E-08
  15.000   1.557858E-09   1.908664E-08
  15.100   1.274360E-09   1.654845E-08
  15.200   1.081620E-09   1.456560E-08
  15.300   9.907768E-10   1.322599E-08
  15.400   9.075629E-10   1.200959E-08
  15.500   8.313381E-10   1.090506E-08
  15.600   7.615153E-10   9.902112E-09
  15.700   6.975568E-10   8.991408E-09
  15.800   6.389701E-10   8.164462E-09
  15.900   5.853040E-10   7.413570E-09
  16.000   5.361452E-10   6.731739E-09
  16.100   4.911152E-10   6.112616E-09
  16.200   4.498671E-10   5.550435E-09
  16.300   3.943906E-10   5.065797E-09
  16.400   3.306762E-10   4.647565E-09
  16.500   2.772549E-10   4.263861E-09
  16.600   2.324639E-10   3.911836E-09
  16.700   1.949089E-10   3.588875E-09
  16.800   1.634211E-10   3.292577E-09
  16.900   1.370201E-10   3.020741E-09
  17.000   1.148843E-10   2.771349E-09
  17.100   9.632453E-11   2.542546E-09
  17.200   8.076314E-11   2.332633E-09
  17.300   6.771572E-11   2.140050E-09
  17.400   6.076709E-11   2.002801E-09
  17.500   5.987180E-11   1.926321E-09
  17.600   5.898969E-11   1.852763E-09
  17.700   5.812059E-11   1.782013E-09
  17.800   5.726429E-11   1.713964E-09
  17.900   5.642060E-11   1.648515E-09
  18.000   5.558935E-11   1.585564E-09
  18.100   5.477034E-11   1.525017E-09
  18.200   5.396340E-11   1.466783E-09
  18.300   5.316835E-11   1.410772E-09
  18.400   5.238501E-11   1.356900E-09
  18.500   5.169916E-11   1.304110E-09
  18.600   5.587041E-11   1.203282E-09
  18.700   6.037822E-11   1.110250E-09
  18.800   6.524972E-11   1.024411E-09
  18.900   7.051428E-11   9.452088E-10
  19.000   7.620360E-11   8.721299E-10
  19.100   8.235195E-11   8.047011E-10
  19.200   8.899637E-11   7.424855E-10
  19.300   9.617689E-11   6.850802E-10
  19.400   1.039367E-10   6.321131E-10
  19.500   1.123227E-10   5.832412E-10
  19.600   1.213853E-10   5.381479E-10
  19.700   1.299867E-10   4.992842E-10
  19.800   1.331288E-10   4.758567E-10
  19.900   1.363469E-10   4.535285E-10
 Z=  78 A= 163  Pt beta2=-0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.696536E-02   7.103219E-02
   0.100   8.675191E-02   7.092606E-02
   0.200   8.653898E-02   7.082009E-02
   0.300   8.632658E-02   7.071428E-02
   0.400   8.592858E-02   7.052049E-02
   0.500   8.547637E-02   7.030511E-02
   0.600   8.493197E-02   7.005386E-02
   0.700   8.438091E-02   6.980201E-02
   0.800   8.376369E-02   6.954075E-02
   0.900   8.315753E-02   6.930348E-02
   1.000   8.256222E-02   6.908980E-02
