Energy,Data_18,Data_102,Data_1,Data_2,Data_3
1.0000000000000001e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
1.125e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
1.25e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
1.375e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
1.5e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
1.625e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
1.75e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
2.0000000000000002e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
2.1875000000000002e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
2.375e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
2.5625000000000002e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
2.75e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
3.125e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
3.5e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
3.875e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
4.25e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
4.6249999999999995e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
5e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
5.625e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
6.25e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
6.875e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
7.5e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
8.125e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
8.750000000000001e-11,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
1e-10,1875.7400000000002,51.22046,2807.02,12.720000000000002,2807.0199999999995
