id,train_mae,train_mse,train_evs,train_mae_m,train_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,training_time,model_path
6,0.025975930708368098,0.01111689525285421,0.9855876794551987,0.0,0.9855876794003319,0.11905587981962852,0.06468464520423756,0.9142406722000184,0.04133973306588956,0.9142405918245823,3.269273042678833,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k6.joblib
7,0.02592631784050378,0.011038372964756293,0.9856840353768669,0.0,0.9856840349008924,0.11880896155902033,0.06411969647713944,0.9148205816516374,0.041472934441601494,0.9148205610871493,3.0567829608917236,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k7.joblib
8,0.025887898034288714,0.010983688285435514,0.985761474464947,0.0,0.9857614727301555,0.11870597871849835,0.06384014305356395,0.9151023573882173,0.04162677680543214,0.9151023567634368,3.0683908462524414,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k8.joblib
9,0.02587428644169587,0.010964195774101931,0.985783975883088,0.0,0.9857839757922765,0.11871965139831021,0.06357485747182055,0.9153351837027942,0.041856111870631874,0.9153351672337796,3.2776429653167725,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k9.joblib
10,0.025859876129119386,0.010942244650167634,0.985811540702188,0.0,0.9858115406919915,0.11879426512224597,0.0634682465529773,0.9153691135878534,0.04205572540725944,0.9153690539569884,3.1967287063598633,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k10.joblib
11,0.025857616055834656,0.010938259456933302,0.985816995679483,0.0,0.9858169956290826,0.11896154447186544,0.06347960422833065,0.9152590821409345,0.04225134440228073,0.9152589793862415,3.6235291957855225,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k11.joblib
12,0.02584096935661507,0.010910393116851505,0.9858516981276761,0.0,0.9858516981153241,0.11912354291669894,0.06350464055895516,0.9151307201335582,0.042455293057929916,0.9151305666133821,3.1256964206695557,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k12.joblib
13,0.02582821649598167,0.010891509666449408,0.9858762273562879,0.0,0.985876227348321,0.11931651216009236,0.06356646811141323,0.9149632664311592,0.04264084875619245,0.9149630500447615,3.4372336864471436,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k13.joblib
14,0.02582132234723325,0.010879316655314157,0.985890604739173,0.0,0.985890604652487,0.1195190361182911,0.06364536996180903,0.914774092424598,0.04279652731378614,0.91477379946536,3.3304600715637207,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k14.joblib
15,0.025813922837662366,0.010867685868666712,0.9859057830312792,0.0,0.985905782981352,0.11974032179774378,0.06375344380440556,0.9145560192318997,0.04298703875709181,0.9145556598134567,3.4694035053253174,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k15.joblib
16,0.02580937990915253,0.010858403590807995,0.9859172499433078,0.0,0.9859172497790191,0.11996376446021277,0.06386042486214286,0.9143317625694132,0.043146826845912756,0.9143313105859135,3.1625874042510986,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k16.joblib
17,0.025805470248796633,0.010851800745017756,0.9859259960910609,0.0,0.9859259960842535,0.12018536930902828,0.06397697446414552,0.9140972965175856,0.04335273035781806,0.9140967386858605,3.1734917163848877,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k17.joblib
18,0.025795251298896794,0.010841545282973753,0.9859407823069365,0.0,0.9859407822040442,0.12040382248116041,0.06411416682382286,0.9138562121637647,0.04346824244560887,0.9138555767189613,3.15337872505188,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k18.joblib
