 Z= 104 A= 230  Rf beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   1.557255E-08   6.025683E-08
  15.000   1.268686E-08   5.287061E-08
  15.100   1.091354E-08   4.678696E-08
  15.200   9.840621E-09   4.171001E-08
  15.300   8.873180E-09   3.718397E-08
  15.400   8.000850E-09   3.314906E-08
  15.500   7.214279E-09   2.955199E-08
  15.600   6.505037E-09   2.634524E-08
  15.700   5.865520E-09   2.348647E-08
  15.800   5.288876E-09   2.093790E-08
  15.900   4.768921E-09   1.866589E-08
  16.000   4.300084E-09   1.664041E-08
  16.100   3.877339E-09   1.483473E-08
  16.200   3.411640E-09   1.325341E-08
  16.300   2.784960E-09   1.191887E-08
  16.400   2.273395E-09   1.071870E-08
  16.500   1.855798E-09   9.639382E-09
  16.600   1.514909E-09   8.668747E-09
  16.700   1.236637E-09   7.795850E-09
  16.800   1.009481E-09   7.010849E-09
  16.900   8.240510E-10   6.304893E-09
  17.000   6.726822E-10   5.670024E-09
  17.100   5.491182E-10   5.099082E-09
  17.200   4.482514E-10   4.585631E-09
  17.300   3.659127E-10   4.123882E-09
  17.400   3.599525E-10   3.806872E-09
  17.500   3.749720E-10   3.542569E-09
  17.600   3.906183E-10   3.296616E-09
  17.700   4.069174E-10   3.067739E-09
  17.800   4.238966E-10   2.854753E-09
  17.900   4.415843E-10   2.656553E-09
  18.000   4.600100E-10   2.472115E-09
  18.100   4.792046E-10   2.300481E-09
  18.200   4.992001E-10   2.140764E-09
  18.300   5.200300E-10   1.992135E-09
  18.400   5.417290E-10   1.853825E-09
  18.500   5.634449E-10   1.723850E-09
  18.600   5.496587E-10   1.555759E-09
  18.700   5.362097E-10   1.404059E-09
  18.800   5.230899E-10   1.267150E-09
  18.900   5.102910E-10   1.143592E-09
  19.000   4.978053E-10   1.032081E-09
  19.100   4.856252E-10   9.314441E-10
  19.200   4.737430E-10   8.406199E-10
  19.300   4.621515E-10   7.586519E-10
  19.400   4.508437E-10   6.846765E-10
  19.500   4.398126E-10   6.179144E-10
  19.600   4.290513E-10   5.576622E-10
  19.700   4.185534E-10   5.032851E-10
  19.800   4.604851E-10   5.310134E-10
  19.900   5.108705E-10   5.663874E-10
 Z= 104 A= 231  Rf beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.950692E-02   6.455348E-02
   0.100   7.980182E-02   6.438945E-02
   0.200   8.009780E-02   6.422583E-02
   0.300   8.039489E-02   6.406263E-02
   0.400   8.079005E-02   6.384003E-02
   0.500   8.132247E-02   6.353565E-02
   0.600   8.191073E-02   6.318377E-02
   0.700   8.255598E-02   6.278520E-02
   0.800   8.320631E-02   6.238915E-02
   0.900   8.383563E-02   6.196402E-02
   1.000   8.446605E-02   6.153743E-02
   1.100   8.494742E-02   6.115974E-02
   1.200   8.542493E-02   6.078632E-02
   1.300   8.582693E-02   6.045684E-02
   1.400   8.607645E-02   6.021076E-02
   1.500   8.622423E-02   6.004373E-02
   1.600   8.622957E-02   5.998572E-02
   1.700   8.623492E-02   5.992776E-02
   1.800   8.608131E-02   6.003420E-02
   1.900   8.588760E-02   6.018284E-02
   2.000   8.559797E-02   6.048961E-02
   2.100   8.529599E-02   6.082001E-02
   2.200   8.499050E-02   6.118314E-02
   2.300   8.467291E-02   6.163894E-02
   2.400   8.437853E-02   6.211098E-02
   2.500   8.412837E-02   6.261211E-02
   2.600   8.387895E-02   6.311728E-02
   2.700   8.370917E-02   6.360360E-02
   2.800   8.357113E-02   6.408446E-02
   2.900   8.352569E-02   6.449696E-02
   3.000   8.350395E-02   6.489357E-02
   3.100   8.349742E-02   6.527187E-02
   3.200   8.356306E-02   6.555344E-02
   3.300   8.363513E-02   6.580542E-02
   3.400   8.372588E-02   6.596811E-02
   3.500   8.381672E-02   6.613121E-02
   3.600   8.388468E-02   6.623194E-02
   3.700   8.393940E-02   6.629657E-02
   3.800   8.393181E-02   6.632536E-02
   3.900   8.389939E-02   6.633985E-02
   4.000   8.385762E-02   6.635474E-02
   4.100   8.372467E-02   6.637350E-02
   4.200   8.357752E-02   6.640159E-02
   4.300   8.336245E-02   6.647401E-02
   4.400   8.314793E-02   6.654650E-02
   4.500   8.290440E-02   6.665627E-02
   4.600   8.263767E-02   6.679647E-02
   4.700   8.234729E-02   6.695520E-02
   4.800   8.204378E-02   6.712491E-02
   4.900   8.174076E-02   6.729460E-02
   5.000   8.138782E-02   6.742769E-02
   5.100   8.099301E-02   6.750757E-02
   5.200   8.053756E-02   6.750839E-02
   5.300   8.001891E-02   6.742487E-02
   5.400   7.939239E-02   6.720257E-02
   5.500   7.866928E-02   6.685790E-02
   5.600   7.775473E-02   6.628525E-02
   5.700   7.668217E-02   6.553057E-02
   5.800   7.544794E-02   6.459129E-02
   5.900   7.398396E-02   6.340555E-02
   6.000   7.233660E-02   6.202521E-02
   6.100   7.035832E-02   6.030969E-02
   6.200   6.815079E-02   5.836859E-02
   6.300   6.572737E-02   5.621832E-02
   6.400   6.302272E-02   5.380389E-02
   6.500   6.013322E-02   5.121881E-02
   6.600   5.689822E-02   4.832188E-02
   6.700   5.349761E-02   4.528278E-02
   6.800   4.997434E-02   4.214288E-02
   6.900   4.629767E-02   3.887916E-02
   7.000   4.259835E-02   3.560937E-02
   7.100   3.876063E-02   3.223477E-02
   7.200   3.498756E-02   2.893650E-02
   7.300   3.132690E-02   2.575628E-02
   7.400   2.777766E-02   2.269329E-02
   7.500   2.443744E-02   1.983050E-02
   7.600   2.124067E-02   1.711223E-02
   7.700   1.831292E-02   1.464279E-02
   7.800   1.566206E-02   1.242538E-02
   7.900   1.327583E-02   1.044638E-02
   8.000   1.117482E-02   8.719696E-03
   8.100   9.314393E-03   7.206143E-03
   8.200   7.718223E-03   5.920223E-03
   8.300   6.359725E-03   4.836497E-03
   8.400   5.212589E-03   3.930811E-03
   8.500   4.256007E-03   3.183048E-03
   8.600   3.459966E-03   2.567555E-03
   8.700   2.807597E-03   2.068110E-03
   8.800   2.274695E-03   1.663992E-03
   8.900   1.841748E-03   1.338812E-03
   9.000   1.490818E-03   1.077450E-03
   9.100   1.207461E-03   8.682532E-04
   9.200   9.786925E-04   7.005388E-04
   9.300   7.938714E-04   5.659346E-04
   9.400   6.445212E-04   4.578251E-04
   9.500   5.235716E-04   3.707198E-04
   9.600   4.255750E-04   3.005310E-04
   9.700   3.459595E-04   2.437554E-04
   9.800   2.812345E-04   1.977824E-04
   9.900   2.285462E-04   1.605368E-04
  10.000   1.856654E-04   1.303427E-04
  10.100   1.507712E-04   1.059267E-04
  10.200   1.224414E-04   8.619526E-05
  10.300   9.944715E-05   7.024210E-05
  10.400   8.084046E-05   5.740625E-05
  10.500   6.577586E-05   4.704123E-05
  10.600   5.364926E-05   3.875905E-05
  10.700   4.385954E-05   3.207879E-05
  10.800   3.594390E-05   2.667320E-05
  10.900   2.955275E-05   2.230564E-05
  11.000   2.435990E-05   1.873581E-05
  11.100   2.015389E-05   1.583556E-05
  11.200   1.670578E-05   1.342931E-05
  11.300   1.386998E-05   1.142279E-05
  11.400   1.152312E-05   9.735714E-06
  11.500   9.573552E-06   8.306618E-06
  11.600   7.942809E-06   7.088463E-06
  11.700   6.577892E-06   6.044970E-06
  11.800   5.436214E-06   5.150506E-06
  11.900   4.479529E-06   4.382432E-06
  12.000   3.686107E-06   3.730773E-06
  12.100   3.032594E-06   3.181186E-06
  12.200   2.494942E-06   2.712559E-06
  12.300   2.052612E-06   2.312966E-06
  12.400   1.688702E-06   1.972239E-06
  12.500   1.389311E-06   1.681704E-06
  12.600   1.142998E-06   1.433969E-06
  12.700   9.403551E-07   1.222728E-06
  12.800   7.736387E-07   1.042605E-06
  12.900   6.477042E-07   8.947833E-07
  13.000   5.492641E-07   7.715677E-07
  13.100   4.657852E-07   6.653195E-07
  13.200   3.949937E-07   5.737021E-07
  13.300   3.349613E-07   4.947009E-07
  13.400   2.840528E-07   4.265784E-07
  13.500   2.408815E-07   3.678367E-07
  13.600   2.042716E-07   3.171840E-07
  13.700   1.732258E-07   2.735064E-07
  13.800   1.468984E-07   2.358434E-07
  13.900   1.245723E-07   2.033667E-07
  14.000   1.034673E-07   1.768330E-07
  14.100   8.458521E-08   1.547451E-07
  14.200   6.914898E-08   1.354161E-07
  14.300   5.652975E-08   1.185015E-07
  14.400   4.621345E-08   1.036997E-07
  14.500   3.777981E-08   9.074674E-08
  14.600   3.088525E-08   7.941171E-08
  14.700   2.524890E-08   6.949252E-08
  14.800   2.064114E-08   6.081233E-08
  14.900   1.687427E-08   5.321636E-08
  15.000   1.379483E-08   4.656919E-08
  15.100   1.173590E-08   4.102872E-08
  15.200   1.056617E-08   3.649638E-08
  15.300   9.513029E-09   3.246472E-08
  15.400   8.564855E-09   2.887843E-08
  15.500   7.711187E-09   2.568830E-08
  15.600   6.942604E-09   2.285058E-08
  15.700   6.250627E-09   2.032634E-08
  15.800   5.627620E-09   1.808094E-08
  15.900   5.066709E-09   1.608359E-08
  16.000   4.561705E-09   1.430687E-08
  16.100   4.107035E-09   1.272643E-08
  16.200   3.660229E-09   1.133085E-08
  16.300   3.016223E-09   1.015898E-08
  16.400   2.485527E-09   9.108305E-09
  16.500   2.048206E-09   8.166296E-09
  16.600   1.687830E-09   7.321713E-09
  16.700   1.390862E-09   6.564479E-09
  16.800   1.146144E-09   5.885560E-09
  16.900   9.444831E-10   5.276858E-09
  17.000   7.783041E-10   4.731109E-09
  17.100   6.413638E-10   4.241803E-09
