 Z= 104 A= 230  Rf beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.600   2.093174E-07   1.786521E-08
  14.700   1.801540E-07   1.501205E-08
  14.800   1.550538E-07   1.261455E-08
  14.900   1.334507E-07   1.059995E-08
  15.000   1.148576E-07   8.907085E-09
  15.100   9.885490E-08   7.484580E-09
  15.200   8.508183E-08   6.289257E-09
  15.300   7.322770E-08   5.284832E-09
  15.400   6.491172E-08   4.639750E-09
  15.500   5.771441E-08   4.091753E-09
  15.600   5.131512E-08   3.608479E-09
  15.700   4.562538E-08   3.182285E-09
  15.800   4.056651E-08   2.806427E-09
  15.900   3.606856E-08   2.474963E-09
  16.000   3.206933E-08   2.182647E-09
  16.100   2.851353E-08   1.924856E-09
  16.200   2.535200E-08   1.697513E-09
  16.300   2.254101E-08   1.497021E-09
  16.400   2.004169E-08   1.320209E-09
  16.500   1.764583E-08   1.169351E-09
  16.600   1.534699E-08   1.041382E-09
  16.700   1.334763E-08   9.274174E-10
  16.800   1.160875E-08   8.259248E-10
  16.900   1.009640E-08   7.355392E-10
  17.000   8.781071E-09   6.550449E-10
  17.100   7.637101E-09   5.833596E-10
  17.200   6.642165E-09   5.195192E-10
  17.300   5.776845E-09   4.626653E-10
  17.400   5.024257E-09   4.120331E-10
  17.500   4.369713E-09   3.669420E-10
  17.600   3.800441E-09   3.267854E-10
  17.700   3.472625E-09   3.212175E-10
  17.800   3.216029E-09   3.243456E-10
  17.900   2.978392E-09   3.275042E-10
  18.000   2.758315E-09   3.306935E-10
  18.100   2.554500E-09   3.339139E-10
  18.200   2.365745E-09   3.371657E-10
  18.300   2.190937E-09   3.404491E-10
  18.400   2.029046E-09   3.437645E-10
  18.500   1.879117E-09   3.471122E-10
  18.600   1.740267E-09   3.504925E-10
  18.700   1.611677E-09   3.539057E-10
  18.800   1.492588E-09   3.573522E-10
  18.900   1.375856E-09   3.413606E-10
  19.000   1.267329E-09   3.232737E-10
  19.100   1.167363E-09   3.061452E-10
  19.200   1.075282E-09   2.899242E-10
  19.300   9.904647E-10   2.745626E-10
  19.400   9.123374E-10   2.600150E-10
  19.500   8.403728E-10   2.462382E-10
  19.600   7.740846E-10   2.331913E-10
  19.700   7.130253E-10   2.208357E-10
  19.800   6.567823E-10   2.091348E-10
  19.900   6.049757E-10   1.980539E-10
 Z= 104 A= 253  Rf beta2= 0.31 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.534321E-02   5.730002E-02
   0.100   7.562172E-02   5.714715E-02
   0.200   7.590126E-02   5.699470E-02
   0.300   7.618184E-02   5.684265E-02
   0.400   7.652176E-02   5.665587E-02
   0.500   7.702671E-02   5.637217E-02
   0.600   7.756316E-02   5.606676E-02
   0.700   7.818283E-02   5.569858E-02
   0.800   7.880745E-02   5.533281E-02
   0.900   7.943125E-02   5.495501E-02
   1.000   8.005475E-02   5.456697E-02
   1.100   8.061824E-02   5.421169E-02
   1.200   8.112683E-02   5.388561E-02
   1.300   8.163863E-02   5.356149E-02
   1.400   8.200863E-02   5.334426E-02
   1.500   8.234185E-02   5.315554E-02
   1.600   8.253079E-02   5.312120E-02
   1.700   8.268141E-02   5.312778E-02
   1.800   8.282488E-02   5.314596E-02
   1.900   8.284086E-02   5.336384E-02
   2.000   8.285443E-02   5.359205E-02
   2.100   8.282480E-02   5.399072E-02
   2.200   8.279519E-02   5.439237E-02
   2.300   8.277722E-02   5.483275E-02
   2.400   8.278422E-02   5.535408E-02
   2.500   8.282256E-02   5.588743E-02
   2.600   8.292852E-02   5.644125E-02
   2.700   8.303461E-02   5.700057E-02
   2.800   8.320899E-02   5.753526E-02
   2.900   8.343281E-02   5.805311E-02
   3.000   8.371011E-02   5.851170E-02
   3.100   8.402677E-02   5.892731E-02
   3.200   8.434463E-02   5.934586E-02
   3.300   8.469547E-02   5.965302E-02
   3.400   8.505363E-02   5.994071E-02
   3.500   8.538007E-02   6.012010E-02
   3.600   8.570154E-02   6.027956E-02
   3.700   8.601312E-02   6.042891E-02
   3.800   8.623467E-02   6.049232E-02
   3.900   8.644175E-02   6.055197E-02
   4.000   8.652359E-02   6.057975E-02
   4.100   8.660551E-02   6.060754E-02
   4.200   8.663729E-02   6.064654E-02
   4.300   8.658434E-02   6.070447E-02
   4.400   8.649798E-02   6.079390E-02
   4.500   8.635485E-02   6.093711E-02
   4.600   8.621195E-02   6.108066E-02
   4.700   8.604452E-02   6.128445E-02
   4.800   8.586325E-02   6.152334E-02
   4.900   8.567594E-02   6.178887E-02
   5.000   8.548535E-02   6.207047E-02
   5.100   8.529518E-02   6.235336E-02
   5.200   8.508249E-02   6.260056E-02
   5.300   8.484206E-02   6.279914E-02
   5.400   8.455674E-02   6.292435E-02
   5.500   8.419776E-02   6.293788E-02
   5.600   8.375673E-02   6.283950E-02
   5.700   8.321622E-02   6.260846E-02
   5.800   8.248506E-02   6.214862E-02
   5.900   8.160884E-02   6.152538E-02
   6.000   8.051264E-02   6.066357E-02
   6.100   7.922869E-02   5.960958E-02
   6.200   7.773278E-02   5.834286E-02
   6.300   7.588819E-02   5.674445E-02
   6.400   7.382396E-02   5.494624E-02
   6.500   7.144149E-02   5.286477E-02
   6.600   6.883524E-02   5.059534E-02
   6.700   6.599233E-02   4.813252E-02
   6.800   6.277171E-02   4.536456E-02
   6.900   5.938559E-02   4.248285E-02
   7.000   5.574746E-02   3.942211E-02
   7.100   5.201029E-02   3.631853E-02
   7.200   4.818508E-02   3.318649E-02
   7.300   4.417845E-02   2.995744E-02
   7.400   4.022644E-02   2.682486E-02
   7.500   3.627594E-02   2.375046E-02
   7.600   3.247767E-02   2.085055E-02
   7.700   2.884315E-02   1.813211E-02
   7.800   2.532649E-02   1.555927E-02
   7.900   2.208057E-02   1.323922E-02
   8.000   1.906671E-02   1.113795E-02
   8.100   1.635485E-02   9.296056E-03
   8.200   1.392743E-02   7.691774E-03
   8.300   1.175114E-02   6.294112E-03
   8.400   9.861815E-03   5.117476E-03
   8.500   8.221261E-03   4.127287E-03
   8.600   6.826253E-03   3.312721E-03
   8.700   5.644623E-03   2.645736E-03
   8.800   4.648464E-03   2.102644E-03
   8.900   3.820930E-03   1.667342E-03
   9.000   3.135005E-03   1.319364E-03
   9.100   2.570933E-03   1.043487E-03
   9.200   2.107779E-03   8.251097E-04
   9.300   1.729386E-03   6.530613E-04
   9.400   1.419858E-03   5.172638E-04
   9.500   1.167073E-03   4.102163E-04
   9.600   9.601043E-04   3.255423E-04
   9.700   7.906416E-04   2.585485E-04
   9.800   6.519327E-04   2.054716E-04
   9.900   5.377926E-04   1.632578E-04
  10.000   4.438744E-04   1.296557E-04
  10.100   3.664027E-04   1.029000E-04
  10.200   3.025196E-04   8.161447E-05
  10.300   2.498811E-04   6.470229E-05
  10.400   2.064530E-04   5.129682E-05
  10.500   1.706772E-04   4.069914E-05
  10.600   1.412172E-04   3.234366E-05
  10.700   1.169799E-04   2.576284E-05
  10.800   9.715233E-05   2.063403E-05
  10.900   8.083373E-05   1.659687E-05
  11.000   6.745653E-05   1.343807E-05
  11.100   5.642507E-05   1.093689E-05
  11.200   4.732630E-05   8.953397E-06
  11.300   3.984602E-05   7.385103E-06
  11.400   3.361199E-05   6.112628E-06
  11.500   2.842052E-05   5.078660E-06
  11.600   2.405408E-05   4.222517E-06
  11.700   2.037805E-05   3.511938E-06
  11.800   1.726914E-05   2.914309E-06
  11.900   1.462787E-05   2.411650E-06
  12.000   1.237948E-05   1.986742E-06
  12.100   1.046639E-05   1.630656E-06
  12.200   8.849492E-06   1.336071E-06
  12.300   7.502378E-06   1.099124E-06
  12.400   6.360329E-06   9.041985E-07
  12.500   5.392128E-06   7.438425E-07
  12.600   4.571311E-06   6.119249E-07
  12.700   3.875444E-06   5.034024E-07
  12.800   3.285504E-06   4.141260E-07
  12.900   2.785369E-06   3.406823E-07
  13.000   2.361366E-06   2.802636E-07
  13.100   2.015642E-06   2.320162E-07
  13.200   1.749019E-06   1.950007E-07
  13.300   1.517663E-06   1.638905E-07
  13.400   1.316911E-06   1.377437E-07
  13.500   1.142714E-06   1.157682E-07
  13.600   9.915587E-07   9.729873E-08
  13.700   8.603980E-07   8.177583E-08
  13.800   7.465870E-07   6.872943E-08
  13.900   6.478305E-07   5.776443E-08
  14.000   5.621373E-07   4.854878E-08
  14.100   4.877794E-07   4.080337E-08
  14.200   4.229871E-07   3.428599E-08
  14.300   3.650031E-07   2.876009E-08
  14.400   3.149676E-07   2.412480E-08
  14.500   2.717912E-07   2.023659E-08
  14.600   2.345334E-07   1.697504E-08
  14.700   2.023831E-07   1.423916E-08
  14.800   1.746400E-07   1.194422E-08
  14.900   1.506999E-07   1.001916E-08
  15.000   1.300416E-07   8.404365E-09
  15.100   1.122152E-07   7.049827E-09
  15.200   9.683253E-08   5.913600E-09
  15.300   8.355851E-08   4.960500E-09
  15.400   7.386316E-08   4.333036E-09
  15.500   6.570992E-08   3.825671E-09
  15.600   5.845665E-08   3.377715E-09
  15.700   5.200403E-08   2.982211E-09
  15.800   4.626366E-08   2.633018E-09
  15.900   4.115693E-08   2.324712E-09
  16.000   3.661390E-08   2.052506E-09
  16.100   3.257235E-08   1.812174E-09
  16.200   2.897691E-08   1.599983E-09
  16.300   2.577835E-08   1.412637E-09
  16.400   2.293285E-08   1.247228E-09
  16.500   2.026748E-08   1.105112E-09
  16.600   1.766399E-08   9.865839E-10
  16.700   1.539493E-08   8.807687E-10
  16.800   1.341735E-08   7.863026E-10
  16.900   1.169381E-08   7.019685E-10
  17.000   1.019166E-08   6.266795E-10
  17.100   8.882476E-09   5.594655E-10
  17.200   7.741464E-09   4.994605E-10
  17.300   6.747022E-09   4.458913E-10
  17.400   5.880323E-09   3.980677E-10
  17.500   5.124957E-09   3.553733E-10
  17.600   4.466623E-09   3.172580E-10
  17.700   4.041123E-09   3.074654E-10
  17.800   3.728854E-09   3.111433E-10
  17.900   3.440714E-09   3.148651E-10
  18.000   3.174841E-09   3.186315E-10
  18.100   2.929512E-09   3.224430E-10
  18.200   2.703140E-09   3.263000E-10
  18.300   2.494261E-09   3.302031E-10
  18.400   2.301522E-09   3.341530E-10
  18.500   2.123677E-09   3.381501E-10
  18.600   1.959574E-09   3.421950E-10
  18.700   1.808153E-09   3.462883E-10
  18.800   1.668431E-09   3.504306E-10
  18.900   1.533433E-09   3.385620E-10
  19.000   1.407267E-09   3.214520E-10
  19.100   1.291481E-09   3.052067E-10
  19.200   1.185222E-09   2.897824E-10
  19.300   1.087706E-09   2.751375E-10
  19.400   9.982130E-10   2.612328E-10
  19.500   9.160831E-10   2.480308E-10
  19.600   8.407107E-10   2.354960E-10
  19.700   7.715397E-10   2.235947E-10
  19.800   7.080598E-10   2.122948E-10
  19.900   6.498029E-10   2.015660E-10
 Z= 104 A= 254  Rf beta2= 0.29 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.513737E-02   5.701773E-02
   0.100   7.542015E-02   5.686546E-02
   0.200   7.570399E-02   5.671359E-02
   0.300   7.598890E-02   5.656212E-02
   0.400   7.633244E-02   5.637701E-02
   0.500   7.684407E-02   5.609501E-02
   0.600   7.738651E-02   5.579237E-02
   0.700   7.801474E-02   5.542629E-02
   0.800   7.864807E-02   5.506261E-02
   0.900   7.928139E-02   5.468808E-02
   1.000   7.991484E-02   5.430357E-02
   1.100   8.049006E-02   5.395089E-02
   1.200   8.100746E-02   5.362866E-02
   1.300   8.152819E-02   5.330836E-02
   1.400   8.191137E-02   5.309254E-02
   1.500   8.225339E-02   5.290867E-02
   1.600   8.245658E-02   5.287418E-02
   1.700   8.261640E-02   5.288622E-02
   1.800   8.277359E-02   5.290292E-02
   1.900   8.280052E-02   5.312690E-02
   2.000   8.282673E-02   5.335485E-02
   2.100   8.281067E-02   5.375953E-02
   2.200   8.279461E-02   5.416728E-02
   2.300   8.278949E-02   5.460909E-02
   2.400   8.281293E-02   5.513613E-02
   2.500   8.286418E-02   5.567381E-02
   2.600   8.298998E-02   5.623177E-02
   2.700   8.311597E-02   5.679532E-02
   2.800   8.330520E-02   5.733629E-02
   2.900   8.355048E-02   5.785736E-02
   3.000   8.384423E-02   5.832416E-02
   3.100   8.418221E-02   5.874117E-02
   3.200   8.452154E-02   5.916115E-02
   3.300   8.488823E-02   5.947592E-02
   3.400   8.526358E-02   5.976296E-02
   3.500   8.560563E-02   5.994943E-02
   3.600   8.593921E-02   6.010785E-02
   3.700   8.626954E-02   6.026255E-02
   3.800   8.649708E-02   6.032334E-02
   3.900   8.671997E-02   6.038295E-02
   4.000   8.680241E-02   6.040922E-02
   4.100   8.688494E-02   6.043551E-02
   4.200   8.692582E-02   6.047086E-02
   4.300   8.686798E-02   6.052768E-02
   4.400   8.678315E-02   6.060972E-02
   4.500   8.663263E-02   6.075332E-02
   4.600   8.648238E-02   6.089726E-02
   4.700   8.631096E-02   6.109381E-02
   4.800   8.612245E-02   6.133375E-02
   4.900   8.592932E-02   6.159686E-02
   5.000   8.573246E-02   6.187965E-02
   5.100   8.553605E-02   6.216374E-02
   5.200   8.532175E-02   6.241581E-02
   5.300   8.508245E-02   6.262276E-02
   5.400   8.480371E-02   6.276207E-02
   5.500   8.444319E-02   6.277561E-02
   5.600   8.401540E-02   6.269613E-02
   5.700   8.348711E-02   6.248025E-02
   5.800   8.277143E-02   6.203760E-02
   5.900   8.192366E-02   6.144362E-02
   6.000   8.082541E-02   6.057896E-02
   6.100   7.957472E-02   5.955741E-02
   6.200   7.810364E-02   5.831306E-02
   6.300   7.628412E-02   5.673713E-02
   6.400   7.426172E-02   5.497677E-02
   6.500   7.186750E-02   5.288521E-02
   6.600   6.930135E-02   5.065295E-02
   6.700   6.648102E-02   4.821196E-02
   6.800   6.327909E-02   4.546245E-02
   6.900   5.992778E-02   4.261380E-02
   7.000   5.625797E-02   3.953237E-02
   7.100   5.254653E-02   3.645618E-02
   7.200   4.872476E-02   3.333338E-02
   7.300   4.471237E-02   3.010782E-02
   7.400   4.076543E-02   2.698881E-02
   7.500   3.676363E-02   2.388520E-02
   7.600   3.295916E-02   2.099146E-02
   7.700   2.930058E-02   1.826609E-02
   7.800   2.575320E-02   1.568280E-02
   7.900   2.248272E-02   1.335689E-02
   8.000   1.941533E-02   1.123048E-02
   8.100   1.667591E-02   9.381324E-03
   8.200   1.421424E-02   7.765243E-03
   8.300   1.200267E-02   6.355610E-03
   8.400   1.008347E-02   5.169582E-03
   8.500   8.406686E-03   4.166235E-03
   8.600   6.986368E-03   3.344615E-03
   8.700   5.780684E-03   2.670827E-03
   8.800   4.762687E-03   2.121873E-03
   8.900   3.916361E-03   1.681856E-03
   9.000   3.213481E-03   1.329763E-03
   9.100   2.635957E-03   1.051083E-03
   9.200   2.161605E-03   8.305968E-04
   9.300   1.773777E-03   6.569064E-04
   9.400   1.456258E-03   5.198565E-04
   9.500   1.197009E-03   4.119219E-04
   9.600   9.847137E-04   3.266265E-04
   9.700   8.110013E-04   2.592414E-04
   9.800   6.687428E-04   2.058704E-04
   9.900   5.516540E-04   1.634492E-04
  10.000   4.552823E-04   1.296826E-04
  10.100   3.758254E-04   1.028470E-04
  10.200   3.103290E-04   8.151528E-05
  10.300   2.563207E-04   6.456477E-05
  10.400   2.117387E-04   5.113163E-05
  10.500   1.750168E-04   4.052059E-05
  10.600   1.447726E-04   3.215937E-05
  10.700   1.198964E-04   2.558378E-05
  10.800   9.953735E-05   2.046112E-05
  10.900   8.277151E-05   1.642709E-05
  11.000   6.905016E-05   1.328719E-05
  11.100   5.772081E-05   1.079518E-05
  11.200   4.839103E-05   8.825821E-06
  11.300   4.072125E-05   7.270975E-06
  11.400   3.432926E-05   6.010725E-06
  11.500   2.901553E-05   4.989678E-06
  11.600   2.454584E-05   4.144772E-06
  11.700   2.078844E-05   3.445057E-06
  11.800   1.761128E-05   2.856803E-06
  11.900   1.491292E-05   2.362749E-06
  12.000   1.261325E-05   1.943651E-06
  12.100   1.066036E-05   1.594049E-06
  12.200   9.006159E-06   1.303619E-06
  12.300   7.628963E-06   1.070942E-06
  12.400   6.462364E-06   8.797952E-07
  12.500   5.474159E-06   7.227650E-07
  12.600   4.637066E-06   5.937622E-07
  12.700   3.927980E-06   4.877846E-07
  12.800   3.327324E-06   4.007223E-07
  12.900   2.818520E-06   3.291994E-07
  13.000   2.387520E-06   2.704422E-07
  13.100   2.031602E-06   2.231257E-07
  13.200   1.761558E-06   1.873920E-07
  13.300   1.527409E-06   1.573810E-07
  13.400   1.324384E-06   1.321763E-07
  13.500   1.148344E-06   1.110082E-07
  13.600   9.957047E-07   9.323011E-08
  13.700   8.633541E-07   7.829923E-08
  13.800   7.485957E-07   6.575955E-08
  13.900   6.490912E-07   5.522810E-08
  14.000   5.628130E-07   4.638327E-08
  14.100   4.880030E-07   3.895496E-08
  14.200   4.231161E-07   3.271560E-08
  14.300   3.646275E-07   2.740393E-08
  14.400   3.142240E-07   2.295465E-08
  14.500   2.707878E-07   1.922775E-08
  14.600   2.333560E-07   1.610595E-08
  14.700   2.010985E-07   1.349101E-08
  14.800   1.733001E-07   1.130062E-08
  14.900   1.493443E-07   9.465862E-09
  15.000   1.287000E-07   7.928994E-09
  15.100   1.109094E-07   6.641650E-09
  15.200   9.557805E-08   5.563318E-09
  15.300   8.236601E-08   4.660063E-09
  15.400   7.250656E-08   4.048185E-09
  15.500   6.448148E-08   3.578547E-09
  15.600   5.734462E-08   3.163393E-09
  15.700   5.099767E-08   2.796402E-09
  15.800   4.535321E-08   2.471986E-09
  15.900   4.033348E-08   2.185206E-09
  16.000   3.586934E-08   1.931696E-09
  16.100   3.189929E-08   1.707596E-09
  16.200   2.836865E-08   1.509495E-09
  16.300   2.522879E-08   1.334376E-09
  16.400   2.243644E-08   1.179572E-09
  16.500   1.986940E-08   1.045472E-09
  16.600   1.729879E-08   9.365348E-10
  16.700   1.506075E-08   8.389487E-10
  16.800   1.311226E-08   7.515310E-10
  16.900   1.141585E-08   6.732222E-10
  17.000   9.938923E-09   6.030731E-10
  17.100   8.653070E-09   5.402334E-10
  17.200   7.533575E-09   4.839416E-10
  17.300   6.558916E-09   4.335153E-10
  17.400   5.710353E-09   3.883434E-10
  17.500   4.971574E-09   3.478784E-10
  17.600   4.328374E-09   3.116298E-10
  17.700   3.889195E-09   2.978709E-10
  17.800   3.595784E-09   3.019335E-10
  17.900   3.324508E-09   3.060515E-10
  18.000   3.073698E-09   3.102257E-10
  18.100   2.841810E-09   3.144568E-10
  18.200   2.627416E-09   3.187455E-10
  18.300   2.429197E-09   3.230928E-10
  18.400   2.245932E-09   3.274994E-10
  18.500   2.076492E-09   3.319661E-10
  18.600   1.919836E-09   3.364937E-10
  18.700   1.774999E-09   3.410830E-10
  18.800   1.641088E-09   3.457350E-10
  18.900   1.511753E-09   3.377895E-10
  19.000   1.389056E-09   3.216265E-10
  19.100   1.276317E-09   3.062369E-10
  19.200   1.172728E-09   2.915837E-10
  19.300   1.077547E-09   2.776316E-10
  19.400   9.900907E-10   2.643471E-10
  19.500   9.097327E-10   2.516983E-10
  19.600   8.358967E-10   2.396547E-10
  19.700   7.680534E-10   2.281874E-10
  19.800   7.057164E-10   2.172688E-10
  19.900   6.484388E-10   2.068726E-10
 Z= 104 A= 255  Rf beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.506938E-02   5.671739E-02
   0.100   7.534661E-02   5.656576E-02
   0.200   7.562486E-02   5.641453E-02
   0.300   7.590414E-02   5.626370E-02
   0.400   7.623958E-02   5.608035E-02
   0.500   7.674198E-02   5.579975E-02
   0.600   7.727373E-02   5.549938E-02
   0.700   7.789138E-02   5.513466E-02
   0.800   7.851396E-02   5.477234E-02
   0.900   7.913689E-02   5.439924E-02
   1.000   7.976005E-02   5.401545E-02
   1.100   8.032970E-02   5.366267E-02
   1.200   8.084173E-02   5.334172E-02
   1.300   8.135704E-02   5.302268E-02
   1.400   8.174304E-02   5.280386E-02
   1.500   8.208484E-02   5.261984E-02
   1.600   8.229613E-02   5.257983E-02
   1.700   8.246008E-02   5.259185E-02
   1.800   8.262436E-02   5.260388E-02
   1.900   8.265998E-02   5.282467E-02
   2.000   8.269431E-02   5.304851E-02
   2.100   8.268786E-02   5.344855E-02
   2.200   8.268057E-02   5.385522E-02
   2.300   8.268240E-02   5.429146E-02
   2.400   8.271375E-02   5.481771E-02
   2.500   8.276812E-02   5.535383E-02
   2.600   8.290095E-02   5.591158E-02
   2.700   8.303400E-02   5.647495E-02
   2.800   8.322364E-02   5.701869E-02
   2.900   8.347450E-02   5.754023E-02
   3.000   8.376840E-02   5.801389E-02
   3.100   8.411064E-02   5.843235E-02
   3.200   8.445429E-02   5.885383E-02
   3.300   8.482370E-02   5.917924E-02
   3.400   8.520387E-02   5.946925E-02
   3.500   8.555475E-02   5.966702E-02
   3.600   8.589492E-02   5.982876E-02
   3.700   8.623644E-02   5.999094E-02
   3.800   8.647520E-02   6.005903E-02
   3.900   8.671194E-02   6.012476E-02
   4.000   8.680930E-02   6.015725E-02
   4.100   8.690184E-02   6.018858E-02
   4.200   8.696398E-02   6.022696E-02
   4.300   8.691868E-02   6.029015E-02
   4.400   8.685383E-02   6.037164E-02
   4.500   8.671634E-02   6.052112E-02
   4.600   8.657907E-02   6.067098E-02
   4.700   8.642335E-02   6.086548E-02
   4.800   8.624663E-02   6.111133E-02
   4.900   8.606603E-02   6.137611E-02
   5.000   8.588080E-02   6.166335E-02
   5.100   8.569597E-02   6.195193E-02
   5.200   8.549300E-02   6.221157E-02
   5.300   8.526608E-02   6.242966E-02
   5.400   8.500407E-02   6.258587E-02
   5.500   8.465011E-02   6.260057E-02
   5.600   8.424275E-02   6.254157E-02
   5.700   8.373225E-02   6.234203E-02
   5.800   8.303547E-02   6.191693E-02
   5.900   8.221991E-02   6.135356E-02
   6.000   8.112448E-02   6.048824E-02
   6.100   7.991066E-02   5.950130E-02
   6.200   7.846577E-02   5.828085E-02
   6.300   7.667225E-02   5.672799E-02
   6.400   7.469607E-02   5.500879E-02
   6.500   7.229832E-02   5.291313E-02
   6.600   6.977901E-02   5.072221E-02
   6.700   6.698490E-02   4.830471E-02
   6.800   6.380521E-02   4.557474E-02
   6.900   6.049599E-02   4.276403E-02
   7.000   5.680665E-02   3.966904E-02
   7.100   5.312920E-02   3.662431E-02
   7.200   4.931408E-02   3.351132E-02
   7.300   4.529861E-02   3.028945E-02
   7.400   4.136318E-02   2.718622E-02
   7.500   3.731955E-02   2.405811E-02
   7.600   3.351387E-02   2.117198E-02
   7.700   2.983090E-02   1.843744E-02
   7.800   2.625072E-02   1.584028E-02
   7.900   2.295633E-02   1.350796E-02
   8.000   1.983684E-02   1.135563E-02
   8.100   1.706791E-02   9.497086E-03
   8.200   1.456740E-02   7.865814E-03
   8.300   1.231569E-02   6.439947E-03
   8.400   1.036174E-02   5.241962E-03
   8.500   8.645950E-03   4.223547E-03
   8.600   7.195876E-03   3.392365E-03
   8.700   5.960496E-03   2.708889E-03
   8.800   4.915159E-03   2.151346E-03
   8.900   4.046033E-03   1.704868E-03
   9.000   3.323041E-03   1.347435E-03
   9.100   2.728512E-03   1.064621E-03
   9.200   2.239297E-03   8.407320E-04
   9.300   1.838597E-03   6.643316E-04
   9.400   1.510623E-03   5.253310E-04
   9.500   1.243032E-03   4.160443E-04
   9.600   1.023443E-03   3.296584E-04
   9.700   8.435723E-04   2.614485E-04
   9.800   6.961505E-04   2.074334E-04
   9.900   5.748342E-04   1.645917E-04
  10.000   4.750089E-04   1.305139E-04
  10.100   3.925759E-04   1.034453E-04
  10.200   3.245349E-04   8.192112E-05
  10.300   2.683601E-04   6.481971E-05
  10.400   2.219714E-04   5.128382E-05
  10.500   1.837518E-04   4.060725E-05
  10.600   1.522047E-04   3.218957E-05
  10.700   1.262198E-04   2.557294E-05
  10.800   1.049051E-04   2.041770E-05
  10.900   8.733854E-05   1.636205E-05
  11.000   7.297959E-05   1.322272E-05
  11.100   6.107718E-05   1.072314E-05
  11.200   5.126758E-05   8.753484E-06
  11.300   4.319086E-05   7.200413E-06
  11.400   3.645710E-05   5.944698E-06
  11.500   3.086545E-05   4.931478E-06
  11.600   2.614987E-05   4.092862E-06
  11.700   2.218310E-05   3.399423E-06
  11.800   1.882411E-05   2.816748E-06
  11.900   1.597248E-05   2.328680E-06
  12.000   1.353908E-05   1.913716E-06
  12.100   1.147017E-05   1.568695E-06
  12.200   9.709825E-06   1.280421E-06
  12.300   8.245813E-06   1.050386E-06
  12.400   7.002538E-06   8.616781E-07
  12.500   5.946720E-06   7.068725E-07
  12.600   5.050095E-06   5.798787E-07
  12.700   4.288660E-06   4.757001E-07
  12.800   3.642031E-06   3.902377E-07
  12.900   3.092898E-06   3.201292E-07
  13.000   2.626562E-06   2.626161E-07
  13.100   2.235285E-06   2.158936E-07
  13.200   1.942145E-06   1.811978E-07
  13.300   1.687448E-06   1.520780E-07
  13.400   1.466152E-06   1.276379E-07
  13.500   1.273877E-06   1.071255E-07
  13.600   1.106818E-06   8.990963E-08
  13.700   9.616677E-07   7.546047E-08
  13.800   8.355525E-07   6.333340E-08
  13.900   7.259762E-07   5.315524E-08
  14.000   6.307701E-07   4.461279E-08
  14.100   5.480495E-07   3.744318E-08
  14.200   4.761771E-07   3.142577E-08
  14.300   4.118244E-07   2.628787E-08
  14.400   3.559860E-07   2.198187E-08
  14.500   3.077187E-07   1.838119E-08
  14.600   2.659957E-07   1.537031E-08
  14.700   2.299300E-07   1.285262E-08
  14.800   1.987542E-07   1.074734E-08
  14.900   1.718056E-07   8.986900E-09
  15.000   1.485108E-07   7.514827E-09
  15.100   1.283746E-07   6.283883E-09
  15.200   1.109685E-07   5.254570E-09
  15.300   9.592255E-08   4.393860E-09
  15.400   8.428303E-08   3.793514E-09
  15.500   7.500918E-08   3.358178E-09
  15.600   6.675576E-08   2.972800E-09
  15.700   5.941047E-08   2.631648E-09
  15.800   5.287341E-08   2.329645E-09
  15.900   4.705563E-08   2.062300E-09
  16.000   4.187800E-08   1.825635E-09
  16.100   3.727007E-08   1.616128E-09
  16.200   3.316916E-08   1.430665E-09
  16.300   2.951949E-08   1.266485E-09
  16.400   2.627139E-08   1.121145E-09
  16.500   2.334724E-08   9.935593E-10
  16.600   2.038541E-08   8.923188E-10
  16.700   1.779931E-08   8.013945E-10
  16.800   1.554129E-08   7.197350E-10
  16.900   1.356972E-08   6.463964E-10
  17.000   1.184826E-08   5.805307E-10
  17.100   1.034519E-08   5.213765E-10
  17.200   9.032797E-09   4.682500E-10
  17.300   7.886895E-09   4.205368E-10
  17.400   6.886363E-09   3.776855E-10
  17.500   6.012758E-09   3.392006E-10
  17.600   5.249979E-09   3.046371E-10
  17.700   4.681209E-09   2.871762E-10
  17.800   4.310445E-09   2.915673E-10
  17.900   3.969047E-09   2.960256E-10
  18.000   3.654688E-09   3.005520E-10
  18.100   3.365227E-09   3.051476E-10
  18.200   3.098692E-09   3.098135E-10
  18.300   2.853268E-09   3.145507E-10
  18.400   2.627281E-09   3.193604E-10
  18.500   2.419194E-09   3.242436E-10
  18.600   2.227587E-09   3.292015E-10
  18.700   2.051157E-09   3.342352E-10
  18.800   1.888700E-09   3.393459E-10
  18.900   1.734706E-09   3.350513E-10
  19.000   1.588339E-09   3.197163E-10
  19.100   1.454322E-09   3.050831E-10
  19.200   1.331613E-09   2.911197E-10
  19.300   1.219257E-09   2.777953E-10
  19.400   1.116381E-09   2.650808E-10
  19.500   1.022186E-09   2.529483E-10
  19.600   9.359383E-10   2.413710E-10
  19.700   8.569679E-10   2.303236E-10
  19.800   7.846606E-10   2.197819E-10
  19.900   7.184544E-10   2.097226E-10
