 Z=  79 A= 164  Au beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   2.006110E-09   2.190528E-08
  15.000   1.640039E-09   1.896811E-08
  15.100   1.340767E-09   1.642478E-08
  15.200   1.096106E-09   1.422246E-08
  15.300   1.002844E-09   1.292876E-08
  15.400   9.185610E-10   1.175851E-08
  15.500   8.413614E-10   1.069418E-08
  15.600   7.706499E-10   9.726192E-09
  15.700   7.058813E-10   8.845822E-09
  15.800   6.465562E-10   8.045138E-09
  15.900   5.922170E-10   7.316929E-09
  16.000   5.424446E-10   6.654634E-09
  16.100   4.968553E-10   6.052286E-09
  16.200   4.550976E-10   5.504461E-09
  16.300   4.118622E-10   5.014260E-09
  16.400   3.457388E-10   4.613716E-09
  16.500   2.902314E-10   4.245168E-09
  16.600   2.436356E-10   3.906059E-09
  16.700   2.045206E-10   3.594039E-09
  16.800   1.716854E-10   3.306944E-09
  16.900   1.441218E-10   3.042782E-09
  17.000   1.209834E-10   2.799721E-09
  17.100   1.015599E-10   2.576077E-09
  17.200   8.525472E-11   2.370297E-09
  17.300   7.156731E-11   2.180956E-09
  17.400   6.047714E-11   2.010538E-09
  17.500   5.968108E-11   1.937272E-09
  17.600   5.889551E-11   1.866676E-09
  17.700   5.812027E-11   1.798652E-09
  17.800   5.735524E-11   1.733107E-09
  17.900   5.660028E-11   1.669951E-09
  18.000   5.585526E-11   1.609096E-09
  18.100   5.512004E-11   1.550459E-09
  18.200   5.439450E-11   1.493959E-09
  18.300   5.367851E-11   1.439518E-09
  18.400   5.297195E-11   1.387060E-09
  18.500   5.227468E-11   1.336514E-09
  18.600   5.444522E-11   1.268846E-09
  18.700   5.866152E-11   1.193422E-09
  18.800   6.320433E-11   1.122481E-09
  18.900   6.809895E-11   1.055758E-09
  19.000   7.337260E-11   9.930000E-10
  19.100   7.905466E-11   9.339729E-10
  19.200   8.517674E-11   8.784546E-10
  19.300   9.177292E-11   8.262365E-10
  19.400   9.887991E-11   7.771224E-10
  19.500   1.065373E-10   7.309278E-10
  19.600   1.147876E-10   6.874792E-10
  19.700   1.236769E-10   6.466132E-10
  19.800   1.285398E-10   6.089977E-10
  19.900   1.319310E-10   5.738396E-10
 Z=  79 A= 165  Au beta2= 0.08 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.667100E-02   7.229718E-02
   0.100   8.645563E-02   7.216601E-02
   0.200   8.624079E-02   7.203509E-02
   0.300   8.602649E-02   7.190440E-02
   0.400   8.562892E-02   7.166376E-02
   0.500   8.517708E-02   7.139330E-02
   0.600   8.462764E-02   7.107028E-02
   0.700   8.407500E-02   7.074618E-02
   0.800   8.345399E-02   7.039633E-02
   0.900   8.284371E-02   7.006401E-02
   1.000   8.224533E-02   6.975240E-02
   1.100   8.167332E-02   6.946258E-02
   1.200   8.118344E-02   6.924648E-02
   1.300   8.079985E-02   6.911214E-02
   1.400   8.049112E-02   6.903552E-02
   1.500   8.025654E-02   6.901277E-02
   1.600   8.015618E-02   6.908866E-02
   1.700   8.019334E-02   6.925977E-02
   1.800   8.028430E-02   6.946862E-02
   1.900   8.044377E-02   6.972227E-02
   2.000   8.067583E-02   7.002360E-02
   2.100   8.096198E-02   7.035444E-02
   2.200   8.125838E-02   7.069174E-02
   2.300   8.155044E-02   7.102020E-02
   2.400   8.184023E-02   7.134378E-02
   2.500   8.205978E-02   7.160818E-02
   2.600   8.227899E-02   7.187276E-02
   2.700   8.241693E-02   7.207398E-02
   2.800   8.251355E-02   7.224352E-02
   2.900   8.250145E-02   7.233128E-02
   3.000   8.248935E-02   7.241915E-02
   3.100   8.237707E-02   7.243226E-02
   3.200   8.223164E-02   7.242122E-02
   3.300   8.202580E-02   7.236699E-02
   3.400   8.181959E-02   7.231223E-02
   3.500   8.157396E-02   7.223204E-02
   3.600   8.132865E-02   7.215412E-02
   3.700   8.108341E-02   7.207973E-02
   3.800   8.084141E-02   7.200812E-02
   3.900   8.061365E-02   7.195119E-02
   4.000   8.038567E-02   7.189404E-02
   4.100   8.015756E-02   7.183669E-02
   4.200   7.991740E-02   7.176808E-02
   4.300   7.963747E-02   7.166347E-02
   4.400   7.929284E-02   7.150076E-02
   4.500   7.882666E-02   7.122950E-02
   4.600   7.831064E-02   7.091267E-02
   4.700   7.761208E-02   7.043215E-02
   4.800   7.674608E-02   6.980130E-02
   4.900   7.567587E-02   6.898371E-02
   5.000   7.431939E-02   6.790617E-02
   5.100   7.287169E-02   6.674146E-02
   5.200   7.108919E-02   6.526778E-02
   5.300   6.905847E-02   6.356134E-02
   5.400   6.674956E-02   6.159129E-02
   5.500   6.408580E-02   5.928580E-02
   5.600   6.136996E-02   5.692069E-02
   5.700   5.829663E-02   5.421259E-02
   5.800   5.502201E-02   5.130337E-02
   5.900   5.154082E-02   4.818746E-02
   6.000   4.781232E-02   4.482599E-02
   6.100   4.419123E-02   4.154776E-02
   6.200   4.038884E-02   3.808407E-02
   6.300   3.659804E-02   3.461458E-02
   6.400   3.284068E-02   3.116131E-02
   6.500   2.911960E-02   2.772644E-02
   6.600   2.570738E-02   2.456486E-02
   6.700   2.240387E-02   2.149184E-02
   6.800   1.934355E-02   1.863486E-02
   6.900   1.653310E-02   1.600170E-02
   7.000   1.397035E-02   1.359135E-02
   7.100   1.175729E-02   1.149978E-02
   7.200   9.784062E-03   9.626870E-03
   7.300   8.082470E-03   8.004479E-03
   7.400   6.627743E-03   6.610529E-03
   7.500   5.395827E-03   5.424125E-03
   7.600   4.382471E-03   4.441324E-03
   7.700   3.538549E-03   3.618343E-03
   7.800   2.848471E-03   2.940676E-03
   7.900   2.287411E-03   2.385701E-03
   8.000   1.833927E-03   1.933943E-03
   8.100   1.469751E-03   1.567563E-03
   8.200   1.177380E-03   1.271163E-03
   8.300   9.432621E-04   1.031446E-03
   8.400   7.560269E-04   8.379716E-04
   8.500   6.062654E-04   6.817153E-04
   8.600   4.862495E-04   5.548635E-04
   8.700   3.901420E-04   4.522268E-04
   8.800   3.130403E-04   3.688498E-04
   8.900   2.512152E-04   3.011212E-04
   9.000   2.016165E-04   2.460714E-04
   9.100   1.618220E-04   2.011651E-04
   9.200   1.299331E-04   1.646682E-04
   9.300   1.043982E-04   1.349559E-04
   9.400   8.398397E-05   1.108098E-04
   9.500   6.770807E-05   9.122825E-05
   9.600   5.463528E-05   7.518946E-05
   9.700   4.422161E-05   6.220049E-05
   9.800   3.587836E-05   5.160737E-05
   9.900   2.919149E-05   4.297152E-05
  10.000   2.381819E-05   3.592825E-05
  10.100   1.945143E-05   3.008303E-05
  10.200   1.591814E-05   2.529073E-05
  10.300   1.303403E-05   2.131201E-05
  10.400   1.067558E-05   1.800276E-05
  10.500   8.736485E-06   1.524020E-05
  10.600   7.146867E-06   1.291043E-05
  10.700   5.838129E-06   1.095423E-05
  10.800   4.764190E-06   9.302992E-06
  10.900   3.885247E-06   7.908578E-06
  11.000   3.169763E-06   6.730786E-06
  11.100   2.587093E-06   5.730907E-06
  11.200   2.116344E-06   4.886334E-06
  11.300   1.757912E-06   4.180396E-06
  11.400   1.465092E-06   3.579114E-06
  11.500   1.221047E-06   3.064316E-06
  11.600   1.017654E-06   2.623563E-06
  11.700   8.481405E-07   2.246206E-06
  11.800   7.068634E-07   1.923126E-06
  11.900   5.891192E-07   1.646515E-06
  12.000   4.909880E-07   1.409690E-06
  12.100   4.080574E-07   1.204525E-06
  12.200   3.380247E-07   1.026823E-06
  12.300   2.800114E-07   8.753363E-07
  12.400   2.319545E-07   7.461988E-07
  12.500   1.921454E-07   6.361128E-07
  12.600   1.591685E-07   5.422676E-07
  12.700   1.318513E-07   4.622674E-07
  12.800   1.092224E-07   3.940695E-07
  12.900   9.047713E-08   3.359328E-07
  13.000   7.494903E-08   2.863729E-07
  13.100   6.220748E-08   2.444357E-07
  13.200   5.354560E-08   2.136433E-07
  13.300   4.608983E-08   1.867299E-07
  13.400   3.967221E-08   1.632069E-07
  13.500   3.414818E-08   1.426472E-07
  13.600   2.939333E-08   1.246775E-07
  13.700   2.530056E-08   1.089714E-07
  13.800   2.177767E-08   9.524391E-08
  13.900   1.874531E-08   8.324571E-08
  14.000   1.613518E-08   7.275897E-08
  14.100   1.388849E-08   6.359327E-08
  14.200   1.169822E-08   5.534650E-08
  14.300   9.646154E-09   4.796893E-08
  14.400   7.954055E-09   4.157477E-08
  14.500   6.558780E-09   3.603294E-08
  14.600   5.408259E-09   3.122983E-08
  14.700   4.459559E-09   2.706696E-08
  14.800   3.677277E-09   2.345899E-08
  14.900   3.032220E-09   2.033195E-08
  15.000   2.500318E-09   1.762175E-08
  15.100   2.061720E-09   1.527281E-08
  15.200   1.700059E-09   1.323697E-08
  15.300   1.521570E-09   1.195377E-08
  15.400   1.386038E-09   1.089079E-08
  15.500   1.262577E-09   9.922337E-09
  15.600   1.150114E-09   9.040001E-09
  15.700   1.047669E-09   8.236125E-09
  15.800   9.543485E-10   7.503734E-09
  15.900   8.693406E-10   6.836470E-09
  16.000   7.919048E-10   6.228542E-09
  16.100   7.213664E-10   5.674674E-09
  16.200   6.571113E-10   5.170058E-09
  16.300   5.985796E-10   4.710314E-09
  16.400   5.020112E-10   4.308998E-09
  16.500   4.195749E-10   3.942543E-09
  16.600   3.506755E-10   3.607254E-09
  16.700   2.930903E-10   3.300478E-09
  16.800   2.449613E-10   3.019793E-09
  16.900   2.047357E-10   2.762977E-09
  17.000   1.711156E-10   2.528003E-09
  17.100   1.430163E-10   2.313011E-09
  17.200   1.195313E-10   2.116304E-09
