 Z=  64 A= 126  Gd beta2= 0.42 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   4.523111E-10   1.759037E-08
  15.000   4.120511E-10   1.671009E-08
  15.100   3.753747E-10   1.587386E-08
  15.200   3.419628E-10   1.507947E-08
  15.300   3.115249E-10   1.432484E-08
  15.400   2.837962E-10   1.360797E-08
  15.500   2.585357E-10   1.292698E-08
  15.600   2.176606E-10   1.308950E-08
  15.700   1.720180E-10   1.395008E-08
  15.800   1.359464E-10   1.486723E-08
  15.900   1.074390E-10   1.584469E-08
  16.000   8.490941E-11   1.688641E-08
  16.100   6.710421E-11   1.799662E-08
  16.200   5.303270E-11   1.917982E-08
  16.300   4.191194E-11   2.044081E-08
  16.400   3.312316E-11   2.178471E-08
  16.500   2.617735E-11   2.321696E-08
  16.600   2.068806E-11   2.474338E-08
  16.700   2.148275E-11   2.508239E-08
  16.800   2.273544E-11   2.533771E-08
  16.900   2.406118E-11   2.559562E-08
  17.000   2.546422E-11   2.585616E-08
  17.100   2.694908E-11   2.611935E-08
  17.200   2.852052E-11   2.638522E-08
  17.300   3.018359E-11   2.665380E-08
  17.400   3.194364E-11   2.692511E-08
  17.500   3.380632E-11   2.719918E-08
  17.600   3.577761E-11   2.747604E-08
  17.700   3.786385E-11   2.775572E-08
  17.800   4.028650E-11   2.626788E-08
  17.900   4.286438E-11   2.485817E-08
  18.000   4.560722E-11   2.352411E-08
  18.100   4.852557E-11   2.226165E-08
  18.200   5.163067E-11   2.106694E-08
  18.300   5.493445E-11   1.993635E-08
  18.400   5.844964E-11   1.886643E-08
  18.500   6.218976E-11   1.785394E-08
  18.600   6.616920E-11   1.689578E-08
  18.700   7.040329E-11   1.598904E-08
  18.800   7.490831E-11   1.513096E-08
  18.900   7.845576E-11   1.345653E-08
  19.000   8.143679E-11   1.155119E-08
  19.100   8.453109E-11   9.915631E-09
  19.200   8.774295E-11   8.511653E-09
  19.300   9.107686E-11   7.306468E-09
  19.400   9.453744E-11   6.271928E-09
  19.500   9.812951E-11   5.383870E-09
  19.600   1.018581E-10   4.621555E-09
  19.700   1.057283E-10   3.967178E-09
  19.800   1.097456E-10   3.405456E-09
  19.900   1.139155E-10   2.923269E-09
 Z=  64 A= 127  Gd beta2= 0.43 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.534853E-02   6.888329E-02
   0.100   7.547195E-02   6.900007E-02
   0.200   7.559557E-02   6.911705E-02
   0.300   7.575797E-02   6.927066E-02
   0.400   7.600074E-02   6.950017E-02
   0.500   7.633649E-02   6.981901E-02
   0.600   7.668495E-02   7.015009E-02
   0.700   7.711414E-02   7.055989E-02
   0.800   7.757778E-02   7.100557E-02
   0.900   7.807070E-02   7.148214E-02
   1.000   7.857696E-02   7.197637E-02
   1.100   7.909263E-02   7.248504E-02
   1.200   7.959096E-02   7.298733E-02
   1.300   8.008312E-02   7.348657E-02
   1.400   8.052609E-02   7.395253E-02
   1.500   8.090150E-02   7.436765E-02
   1.600   8.125120E-02   7.476397E-02
   1.700   8.150902E-02   7.508916E-02
   1.800   8.169363E-02   7.535719E-02
   1.900   8.178707E-02   7.555323E-02
   2.000   8.182921E-02   7.570926E-02
   2.100   8.178386E-02   7.579650E-02
   2.200   8.161716E-02   7.578908E-02
   2.300   8.144266E-02   7.577529E-02
   2.400   8.116023E-02   7.567734E-02
   2.500   8.083152E-02   7.554386E-02
   2.600   8.046679E-02   7.538242E-02
   2.700   8.007331E-02   7.519942E-02
   2.800   7.965825E-02   7.500030E-02
   2.900   7.923258E-02   7.479481E-02
   3.000   7.881187E-02   7.459260E-02
   3.100   7.840429E-02   7.440208E-02
   3.200   7.802272E-02   7.423448E-02
   3.300   7.765040E-02   7.407421E-02
   3.400   7.730574E-02   7.393621E-02
   3.500   7.697027E-02   7.380506E-02
   3.600   7.663866E-02   7.367633E-02
   3.700   7.629419E-02   7.353520E-02
   3.800   7.590814E-02   7.335555E-02
   3.900   7.547487E-02   7.313142E-02
   4.000   7.491183E-02   7.278681E-02
   4.100   7.428211E-02   7.237942E-02
   4.200   7.351852E-02   7.184741E-02
   4.300   7.253126E-02   7.110500E-02
   4.400   7.140935E-02   7.023334E-02
   4.500   6.997355E-02   6.906333E-02
   4.600   6.842642E-02   6.778139E-02
   4.700   6.664419E-02   6.626978E-02
   4.800   6.452304E-02   6.442719E-02
   4.900   6.224190E-02   6.242085E-02
   5.000   5.957249E-02   6.002956E-02
   5.100   5.683323E-02   5.755367E-02
   5.200   5.387563E-02   5.484910E-02
   5.300   5.061220E-02   5.182929E-02
   5.400   4.728991E-02   4.872758E-02
   5.500   4.368950E-02   4.532847E-02
   5.600   4.018256E-02   4.199065E-02
   5.700   3.663303E-02   3.858081E-02
   5.800   3.300105E-02   3.505844E-02
   5.900   2.952419E-02   3.165513E-02
   6.000   2.605254E-02   2.822282E-02
   6.100   2.287078E-02   2.504555E-02
   6.200   1.987581E-02   2.202392E-02
   6.300   1.705641E-02   1.914745E-02
   6.400   1.453374E-02   1.654233E-02
   6.500   1.222360E-02   1.412934E-02
   6.600   1.023521E-02   1.202265E-02
   6.700   8.496566E-03   1.015480E-02
   6.800   6.985630E-03   8.508630E-03
   6.900   5.714522E-03   7.100120E-03
   7.000   4.637391E-03   5.888078E-03
   7.100   3.754692E-03   4.874958E-03
   7.200   3.026604E-03   4.023477E-03
   7.300   2.430476E-03   3.313309E-03
   7.400   1.948239E-03   2.725921E-03
   7.500   1.558902E-03   2.242231E-03
   7.600   1.247020E-03   1.844883E-03
   7.700   9.970092E-04   1.518831E-03
   7.800   7.970305E-04   1.252275E-03
   7.900   6.370735E-04   1.033229E-03
   8.000   5.093924E-04   8.543601E-04
   8.100   4.073192E-04   7.069856E-04
   8.200   3.257294E-04   5.858978E-04
   8.300   2.605020E-04   4.865161E-04
   8.400   2.083064E-04   4.043510E-04
   8.500   1.666373E-04   3.368754E-04
   8.600   1.333418E-04   2.809253E-04
   8.700   1.067624E-04   2.347062E-04
   8.800   8.561183E-05   1.966379E-04
   8.900   6.870249E-05   1.649836E-04
   9.000   5.528129E-05   1.389356E-04
   9.100   4.452919E-05   1.171651E-04
   9.200   3.594334E-05   9.908001E-05
   9.300   2.908913E-05   8.408953E-05
   9.400   2.356584E-05   7.149558E-05
   9.500   1.912861E-05   6.102649E-05
   9.600   1.553072E-05   5.215808E-05
   9.700   1.261544E-05   4.469206E-05
   9.800   1.024431E-05   3.841205E-05
   9.900   8.313369E-06   3.306098E-05
  10.000   6.738545E-06   2.854279E-05
  10.100   5.459955E-06   2.466675E-05
  10.200   4.420791E-06   2.135894E-05
  10.300   3.579467E-06   1.853755E-05
  10.400   2.898948E-06   1.610444E-05
  10.500   2.353480E-06   1.401899E-05
