 Z= 102 A= 226  No beta2= 0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.900   1.386710E-08   5.372730E-08
  15.000   1.140289E-08   4.722009E-08
  15.100   1.011706E-08   4.205343E-08
  15.200   8.976221E-09   3.745209E-08
  15.300   7.964029E-09   3.335421E-08
  15.400   7.065975E-09   2.970471E-08
  15.500   6.269190E-09   2.645452E-08
  15.600   5.562253E-09   2.355996E-08
  15.700   4.935032E-09   2.098211E-08
  15.800   4.378540E-09   1.868632E-08
  15.900   3.884800E-09   1.664173E-08
  16.000   3.446735E-09   1.482085E-08
  16.100   3.058068E-09   1.319920E-08
  16.200   2.559976E-09   1.187966E-08
  16.300   2.107346E-09   1.072465E-08
  16.400   1.734745E-09   9.681938E-09
  16.500   1.428024E-09   8.740603E-09
  16.600   1.175535E-09   7.890791E-09
  16.700   9.676882E-10   7.123601E-09
  16.800   7.965909E-10   6.431003E-09
  16.900   6.557454E-10   5.805743E-09
  17.000   5.398028E-10   5.241275E-09
  17.100   4.443601E-10   4.731687E-09
  17.200   3.657927E-10   4.271645E-09
  17.300   3.244082E-10   3.891852E-09
  17.400   3.351512E-10   3.613068E-09
  17.500   3.462500E-10   3.354254E-09
  17.600   3.577164E-10   3.113980E-09
  17.700   3.695625E-10   2.890917E-09
  17.800   3.818009E-10   2.683833E-09
  17.900   3.944445E-10   2.491583E-09
  18.000   4.075069E-10   2.313104E-09
  18.100   4.210018E-10   2.147410E-09
  18.200   4.349437E-10   1.993585E-09
  18.300   4.493472E-10   1.850779E-09
  18.400   4.642277E-10   1.718203E-09
  18.500   4.625637E-10   1.574520E-09
  18.600   4.508849E-10   1.431498E-09
  18.700   4.395009E-10   1.301467E-09
  18.800   4.284044E-10   1.183248E-09
  18.900   4.175880E-10   1.075767E-09
  19.000   4.070447E-10   9.780495E-10
  19.100   3.967677E-10   8.892080E-10
  19.200   3.867501E-10   8.084365E-10
  19.300   3.769854E-10   7.350018E-10
  19.400   3.674673E-10   6.682377E-10
  19.500   3.581894E-10   6.075381E-10
  19.600   3.491459E-10   5.523521E-10
  19.700   3.645214E-10   5.471229E-10
  19.800   4.009781E-10   5.784512E-10
  19.900   4.410809E-10   6.115734E-10
 Z= 102 A= 227  No beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.258975E-02   6.595595E-02
   0.100   8.273393E-02   6.575644E-02
   0.200   8.287835E-02   6.555752E-02
   0.300   8.302303E-02   6.535921E-02
   0.400   8.321593E-02   6.508272E-02
   0.500   8.346855E-02   6.471086E-02
   0.600   8.374182E-02   6.427397E-02
   0.700   8.403272E-02   6.378417E-02
   0.800   8.432462E-02   6.329811E-02
   0.900   8.457926E-02   6.276595E-02
   1.000   8.482768E-02   6.223715E-02
   1.100   8.496630E-02   6.175488E-02
   1.200   8.510515E-02   6.127635E-02
   1.300   8.517953E-02   6.085956E-02
   1.400   8.517165E-02   6.051902E-02
   1.500   8.509103E-02   6.029017E-02
   1.600   8.494789E-02   6.015663E-02
   1.700   8.480499E-02   6.002338E-02
   1.800   8.458461E-02   6.010597E-02
   1.900   8.435941E-02   6.020990E-02
   2.000   8.412970E-02   6.051067E-02
   2.100   8.390061E-02   6.081294E-02
   2.200   8.369880E-02   6.117840E-02
   2.300   8.353231E-02   6.162739E-02
   2.400   8.342244E-02   6.210812E-02
   2.500   8.336281E-02   6.261813E-02
   2.600   8.330323E-02   6.313233E-02
   2.700   8.334973E-02   6.362930E-02
   2.800   8.340652E-02   6.412639E-02
   2.900   8.354749E-02   6.454352E-02
   3.000   8.368870E-02   6.496336E-02
   3.100   8.384581E-02   6.533553E-02
   3.200   8.402447E-02   6.564133E-02
   3.300   8.418793E-02   6.588385E-02
   3.400   8.433741E-02   6.606787E-02
