 Z= 102 A= 226  No beta2= 0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  19.800   5.880314E-10   1.798879E-10
  19.900   6.354862E-10   2.050822E-10
 Z= 102 A= 236  No beta2= 0.35 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.877698E-02   6.234790E-02
   0.100   7.906288E-02   6.217980E-02
   0.200   7.934982E-02   6.201214E-02
   0.300   7.963780E-02   6.184494E-02
   0.400   8.001264E-02   6.162196E-02
   0.500   8.052835E-02   6.130965E-02
   0.600   8.109360E-02   6.095382E-02
   0.700   8.172091E-02   6.054416E-02
   0.800   8.235308E-02   6.013727E-02
   0.900   8.297111E-02   5.970374E-02
   1.000   8.358890E-02   5.926591E-02
   1.100   8.408577E-02   5.887353E-02
   1.200   8.456471E-02   5.849068E-02
   1.300   8.500152E-02   5.813692E-02
   1.400   8.527116E-02   5.788483E-02
   1.500   8.548104E-02   5.768596E-02
   1.600   8.552898E-02   5.762701E-02
   1.700   8.557696E-02   5.756813E-02
   1.800   8.551507E-02   5.763954E-02
   1.900   8.538713E-02   5.778975E-02
   2.000   8.520001E-02   5.806396E-02
   2.100   8.498619E-02   5.839640E-02
   2.200   8.477295E-02   5.873520E-02
   2.300   8.456127E-02   5.918959E-02
   2.400   8.435785E-02   5.965061E-02
   2.500   8.422515E-02   6.014387E-02
   2.600   8.409265E-02   6.064121E-02
   2.700   8.401139E-02   6.112473E-02
   2.800   8.399230E-02   6.159009E-02
   2.900   8.402906E-02   6.200952E-02
   3.000   8.411890E-02   6.238457E-02
   3.100   8.420885E-02   6.276189E-02
   3.200   8.436011E-02   6.303479E-02
   3.300   8.452123E-02   6.329217E-02
   3.400   8.468608E-02   6.343854E-02
   3.500   8.485152E-02   6.357641E-02
   3.600   8.500106E-02   6.368852E-02
   3.700   8.510887E-02   6.373340E-02
   3.800   8.518077E-02   6.376519E-02
   3.900   8.518304E-02   6.377161E-02
   4.000   8.518530E-02   6.377803E-02
   4.100   8.510910E-02   6.379822E-02
   4.200   8.499825E-02   6.382453E-02
   4.300   8.482232E-02   6.390407E-02
   4.400   8.462554E-02   6.400112E-02
   4.500   8.442395E-02   6.410688E-02
   4.600   8.417859E-02   6.428523E-02
   4.700   8.392914E-02   6.447001E-02
   4.800   8.365665E-02   6.468480E-02
   4.900   8.338505E-02   6.490030E-02
   5.000   8.309315E-02   6.509754E-02
   5.100   8.277177E-02   6.526180E-02
   5.200   8.240884E-02   6.536389E-02
   5.300   8.195442E-02   6.533583E-02
   5.400   8.146154E-02   6.525331E-02
   5.500   8.085011E-02   6.501160E-02
   5.600   8.008885E-02   6.458568E-02
   5.700   7.919222E-02   6.399426E-02
   5.800   7.803762E-02   6.311405E-02
   5.900   7.679835E-02   6.213895E-02
   6.000   7.529562E-02   6.088543E-02
   6.100   7.351896E-02   5.935648E-02
   6.200   7.152266E-02   5.761099E-02
   6.300   6.913896E-02   5.550072E-02
   6.400   6.667936E-02   5.332426E-02
   6.500   6.389262E-02   5.085440E-02
   6.600   6.081519E-02   4.813222E-02
   6.700   5.755326E-02   4.526078E-02
   6.800   5.394944E-02   4.211012E-02
   6.900   5.040177E-02   3.903238E-02
   7.000   4.665697E-02   3.581123E-02
   7.100   4.280150E-02   3.252913E-02
   7.200   3.897104E-02   2.930156E-02
   7.300   3.506451E-02   2.605058E-02
   7.400   3.142331E-02   2.305768E-02
   7.500   2.785902E-02   2.016670E-02
   7.600   2.445405E-02   1.744378E-02
   7.700   2.129466E-02   1.495609E-02
   7.800   1.832626E-02   1.265633E-02
   7.900   1.571224E-02   1.066539E-02
   8.000   1.333895E-02   8.889797E-03
   8.100   1.123098E-02   7.341680E-03
   8.200   9.396912E-03   6.021332E-03
   8.300   7.798612E-03   4.894136E-03
   8.400   6.456982E-03   3.967728E-03
   8.500   5.315346E-03   3.196499E-03
   8.600   4.358326E-03   2.564313E-03
   8.700   3.564919E-03   2.051982E-03
   8.800   2.909641E-03   1.638555E-03
   8.900   2.373918E-03   1.308041E-03
   9.000   1.935770E-03   1.043941E-03
   9.100   1.578918E-03   8.336363E-04
   9.200   1.288750E-03   6.663530E-04
   9.300   1.053327E-03   5.335118E-04
   9.400   8.613021E-04   4.273708E-04
   9.500   7.051424E-04   3.427945E-04
   9.600   5.777614E-04   2.751465E-04
   9.700   4.736926E-04   2.209469E-04
   9.800   3.885291E-04   1.774446E-04
   9.900   3.186977E-04   1.425032E-04
  10.000   2.614382E-04   1.144229E-04
  10.100   2.144677E-04   9.188084E-05
  10.200   1.759729E-04   7.381283E-05
  10.300   1.444886E-04   5.939844E-05
  10.400   1.186871E-04   4.784415E-05
  10.500   9.762598E-05   3.865390E-05
  10.600   8.045818E-05   3.135735E-05
  10.700   6.644588E-05   2.554335E-05
  10.800   5.507848E-05   2.095815E-05
  10.900   4.571614E-05   1.723897E-05
  11.000   3.808305E-05   1.427600E-05
  11.100   3.182428E-05   1.188818E-05
  11.200   2.665932E-05   9.940994E-06
  11.300   2.239114E-05   8.347677E-06
  11.400   1.881728E-05   7.015786E-06
  11.500   1.583247E-05   5.905839E-06
  11.600   1.331972E-05   4.968978E-06
  11.700   1.120051E-05   4.176706E-06
  11.800   9.403622E-06   3.501165E-06
  11.900   7.890348E-06   2.932034E-06
  12.000   6.609634E-06   2.448868E-06
  12.100   5.558629E-06   2.054527E-06
  12.200   4.676836E-06   1.724566E-06
  12.300   3.934927E-06   1.447598E-06
  12.400   3.310710E-06   1.215111E-06
  12.500   2.785515E-06   1.019962E-06
  12.600   2.343635E-06   8.561538E-07
  12.700   1.971853E-06   7.186539E-07
  12.800   1.659048E-06   6.032367E-07
  12.900   1.397522E-06   5.066508E-07
  13.000   1.206553E-06   4.307019E-07
  13.100   1.041680E-06   3.661380E-07
  13.200   8.993362E-07   3.112525E-07
  13.300   7.764435E-07   2.645946E-07
  13.400   6.703439E-07   2.249308E-07
  13.500   5.787426E-07   1.912128E-07
  13.600   4.996584E-07   1.625493E-07
  13.700   4.313810E-07   1.381825E-07
  13.800   3.724335E-07   1.174684E-07
  13.900   3.215411E-07   9.985945E-08
  14.000   2.776031E-07   8.489013E-08
  14.100   2.385863E-07   7.299418E-08
  14.200   2.050495E-07   6.276814E-08
  14.300   1.762268E-07   5.397470E-08
  14.400   1.514555E-07   4.641317E-08
  14.500   1.301662E-07   3.991097E-08
  14.600   1.118695E-07   3.431968E-08
  14.700   9.614458E-08   2.951170E-08
  14.800   8.263005E-08   2.537729E-08
  14.900   7.101519E-08   2.182208E-08
  15.000   6.103296E-08   1.876494E-08
  15.100   5.245389E-08   1.613609E-08
  15.200   4.646671E-08   1.410590E-08
  15.300   4.147180E-08   1.238138E-08
  15.400   3.701381E-08   1.086769E-08
  15.500   3.303504E-08   9.539062E-09
  15.600   2.948396E-08   8.372863E-09
  15.700   2.631460E-08   7.349237E-09
  15.800   2.348592E-08   6.450755E-09
  15.900   2.096132E-08   5.662117E-09
  16.000   1.870810E-08   4.969893E-09
  16.100   1.669708E-08   4.362298E-09
  16.200   1.490224E-08   3.828985E-09
  16.300   1.319414E-08   3.373560E-09
  16.400   1.157416E-08   2.985269E-09
  16.500   1.015307E-08   2.641671E-09
  16.600   8.906469E-09   2.337620E-09
  16.700   7.812926E-09   2.068564E-09
  16.800   6.853648E-09   1.830476E-09
  16.900   6.012152E-09   1.619792E-09
  17.000   5.273975E-09   1.433357E-09
  17.100   4.626432E-09   1.268381E-09
  17.200   4.058395E-09   1.122392E-09
  17.300   3.560102E-09   9.932073E-10
  17.400   3.122990E-09   8.788910E-10
  17.500   2.895707E-09   8.369661E-10
  17.600   2.695675E-09   8.012534E-10
  17.700   2.509460E-09   7.670646E-10
  17.800   2.336110E-09   7.343346E-10
  17.900   2.174734E-09   7.030011E-10
  18.000   2.024506E-09   6.730046E-10
  18.100   1.884655E-09   6.442880E-10
  18.200   1.754465E-09   6.167968E-10
  18.300   1.633269E-09   5.904785E-10
  18.400   1.520444E-09   5.652833E-10
  18.500   1.415414E-09   5.411631E-10
  18.600   1.318136E-09   5.144395E-10
  18.700   1.230345E-09   4.686798E-10
  18.800   1.148402E-09   4.269904E-10
  18.900   1.071916E-09   3.890094E-10
  19.000   1.000524E-09   3.544067E-10
  19.100   9.338867E-10   3.228820E-10
  19.200   8.716879E-10   2.941614E-10
  19.300   8.136316E-10   2.679956E-10
  19.400   7.594420E-10   2.441572E-10
  19.500   7.088616E-10   2.224393E-10
  19.600   6.616499E-10   2.026532E-10
  19.700   6.175826E-10   1.846270E-10
  19.800   5.765356E-10   1.682426E-10
  19.900   6.239413E-10   1.923943E-10
 Z= 102 A= 237  No beta2= 0.32 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.854019E-02   6.197057E-02
   0.100   7.882219E-02   6.180315E-02
   0.200   7.910521E-02   6.163619E-02
   0.300   7.938925E-02   6.146968E-02
   0.400   7.975753E-02   6.124839E-02
   0.500   8.026649E-02   6.093671E-02
   0.600   8.082338E-02   6.058323E-02
   0.700   8.144283E-02   6.017560E-02
   0.800   8.206703E-02   5.977071E-02
   0.900   8.267892E-02   5.933913E-02
   1.000   8.329050E-02   5.890244E-02
   1.100   8.378627E-02   5.851076E-02
   1.200   8.426161E-02   5.812972E-02
   1.300   8.470087E-02   5.777462E-02
   1.400   8.497097E-02   5.752457E-02
   1.500   8.518918E-02   5.732224E-02
   1.600   8.524344E-02   5.726567E-02
   1.700   8.529773E-02   5.720916E-02
   1.800   8.525097E-02   5.727607E-02
   1.900   8.513410E-02   5.742905E-02
   2.000   8.496398E-02   5.769888E-02
   2.100   8.476525E-02   5.803363E-02
   2.200   8.456699E-02   5.837031E-02
   2.300   8.437376E-02   5.882557E-02
   2.400   8.418513E-02   5.928663E-02
   2.500   8.407231E-02   5.978173E-02
   2.600   8.395964E-02   6.028096E-02
   2.700   8.389221E-02   6.076846E-02
   2.800   8.389272E-02   6.123575E-02
   2.900   8.394202E-02   6.166194E-02
   3.000   8.404940E-02   6.203765E-02
   3.100   8.415691E-02   6.241564E-02
   3.200   8.431901E-02   6.269652E-02
   3.300   8.449472E-02   6.295434E-02
   3.400   8.467110E-02   6.310933E-02
   3.500   8.484789E-02   6.324806E-02
   3.600   8.501228E-02   6.336757E-02
   3.700   8.512855E-02   6.341336E-02
   3.800   8.521651E-02   6.344921E-02
   3.900   8.522593E-02   6.345750E-02
   4.000   8.523535E-02   6.346579E-02
   4.100   8.517487E-02   6.348667E-02
   4.200   8.507036E-02   6.351551E-02
   4.300   8.490824E-02   6.359293E-02
   4.400   8.471820E-02   6.369430E-02
   4.500   8.452772E-02   6.379732E-02
   4.600   8.429003E-02   6.398194E-02
   4.700   8.405098E-02   6.416983E-02
   4.800   8.378802E-02   6.439164E-02
   4.900   8.352588E-02   6.461422E-02
   5.000   8.324812E-02   6.482179E-02
   5.100   8.294327E-02   6.500040E-02
   5.200   8.259094E-02   6.511014E-02
   5.300   8.215803E-02   6.510371E-02
   5.400   8.169151E-02   6.504807E-02
   5.500   8.109114E-02   6.481396E-02
   5.600   8.037128E-02   6.442993E-02
   5.700   7.948517E-02   6.384564E-02
   5.800   7.836885E-02   6.300404E-02
   5.900   7.717279E-02   6.207124E-02
   6.000   7.567711E-02   6.082287E-02
   6.100   7.396347E-02   5.935473E-02
   6.200   7.196937E-02   5.761171E-02
   6.300   6.963340E-02   5.554756E-02
   6.400   6.722330E-02   5.341794E-02
   6.500   6.442940E-02   5.094338E-02
   6.600   6.141961E-02   4.828511E-02
   6.700   5.814122E-02   4.540442E-02
   6.800   5.457285E-02   4.228983E-02
   6.900   5.105614E-02   3.924444E-02
   7.000   4.727882E-02   3.600340E-02
   7.100   4.346293E-02   3.276266E-02
   7.200   3.958874E-02   2.950888E-02
   7.300   3.568090E-02   2.626785E-02
   7.400   3.203076E-02   2.327926E-02
   7.500   2.841069E-02   2.035659E-02
   7.600   2.499907E-02   1.764191E-02
   7.700   2.178029E-02   1.512180E-02
   7.800   1.877803E-02   1.281007E-02
   7.900   1.612741E-02   1.080502E-02
   8.000   1.369992E-02   9.002902E-03
   8.100   1.156043E-02   7.445420E-03
   8.200   9.678792E-03   6.103564E-03
   8.300   8.044439E-03   4.962800E-03
   8.400   6.669106E-03   4.023837E-03
   8.500   5.493765E-03   3.239627E-03
   8.600   4.511561E-03   2.599539E-03
   8.700   3.692860E-03   2.078668E-03
   8.800   3.016707E-03   1.658831E-03
   8.900   2.462982E-03   1.323091E-03
   9.000   2.009788E-03   1.055034E-03
   9.100   1.640711E-03   8.418426E-04
   9.200   1.340187E-03   6.723296E-04
   9.300   1.095941E-03   5.376598E-04
   9.400   8.966129E-04   4.301834E-04
   9.500   7.346482E-04   3.447369E-04
   9.600   6.024717E-04   2.764711E-04
   9.700   4.943764E-04   2.217955E-04
   9.800   4.058096E-04   1.779218E-04
   9.900   3.331473E-04   1.427228E-04
  10.000   2.735720E-04   1.144740E-04
  10.100   2.246952E-04   9.183082E-05
  10.200   1.845663E-04   7.368188E-05
  10.300   1.516924E-04   5.920010E-05
  10.400   1.247157E-04   4.759929E-05
  10.500   1.027087E-04   3.840377E-05
  10.600   8.473304E-05   3.109327E-05
  10.700   7.006310E-05   2.529399E-05
  10.800   5.812002E-05   2.070766E-05
  10.900   4.827446E-05   1.699462E-05
  11.000   4.026572E-05   1.405536E-05
  11.100   3.367759E-05   1.168120E-05
  11.200   2.824817E-05   9.756397E-06
  11.300   2.374823E-05   8.178636E-06
  11.400   1.997987E-05   6.863679E-06
  11.500   1.683472E-05   5.770631E-06
  11.600   1.418641E-05   4.850460E-06
  11.700   1.194834E-05   4.071326E-06
  11.800   1.004988E-05   3.408114E-06
  11.900   8.448680E-06   2.850016E-06
  12.000   7.091037E-06   2.375918E-06
  12.100   5.973902E-06   1.988807E-06
  12.200   5.037510E-06   1.666483E-06
  12.300   4.247894E-06   1.396397E-06
  12.400   3.582048E-06   1.170085E-06
  12.500   3.020572E-06   9.804501E-07
  12.600   2.547106E-06   8.215494E-07
  12.700   2.147854E-06   6.884017E-07
  12.800   1.811184E-06   5.768330E-07
  12.900   1.527286E-06   4.833462E-07
  13.000   1.319063E-06   4.100318E-07
  13.100   1.140938E-06   3.481066E-07
  13.200   9.868668E-07   2.955337E-07
  13.300   8.536013E-07   2.509006E-07
  13.400   7.383318E-07   2.130083E-07
  13.500   6.386282E-07   1.808386E-07
  13.600   5.523885E-07   1.535274E-07
  13.700   4.777945E-07   1.303409E-07
  13.800   4.132736E-07   1.106561E-07
  13.900   3.574655E-07   9.394422E-08
  14.000   3.091937E-07   7.975627E-08
  14.100   2.666525E-07   6.835412E-08
  14.200   2.298746E-07   5.865547E-08
  14.300   1.981692E-07   5.033295E-08
  14.400   1.708368E-07   4.319129E-08
  14.500   1.472742E-07   3.706295E-08
  14.600   1.269615E-07   3.180415E-08
  14.700   1.094503E-07   2.729152E-08
  14.800   9.435444E-08   2.341917E-08
  14.900   8.134064E-08   2.009626E-08
  15.000   7.012176E-08   1.724484E-08
  15.100   6.045024E-08   1.479800E-08
  15.200   5.336749E-08   1.288821E-08
  15.300   4.764266E-08   1.130321E-08
  15.400   4.253195E-08   9.913139E-09
  15.500   3.796947E-08   8.694016E-09
  15.600   3.389641E-08   7.624821E-09
  15.700   3.026028E-08   6.687116E-09
  15.800   2.701421E-08   5.864731E-09
  15.900   2.411634E-08   5.143483E-09
  16.000   2.152934E-08   4.510935E-09
  16.100   1.921985E-08   3.956178E-09
  16.200   1.715810E-08   3.469645E-09
  16.300   1.523801E-08   3.050856E-09
  16.400   1.339369E-08   2.696475E-09
  16.500   1.177260E-08   2.383259E-09
  16.600   1.034771E-08   2.106425E-09
  16.700   9.095287E-09   1.861748E-09
  16.800   7.994448E-09   1.645491E-09
  16.900   7.026848E-09   1.454355E-09
  17.000   6.176360E-09   1.285420E-09
  17.100   5.428811E-09   1.136109E-09
  17.200   4.771740E-09   1.004141E-09
  17.300   4.194197E-09   8.875022E-10
  17.400   3.686557E-09   7.844120E-10
  17.500   3.381379E-09   7.416845E-10
  17.600   3.135510E-09   7.135154E-10
  17.700   2.907519E-09   6.864161E-10
  17.800   2.696106E-09   6.603460E-10
  17.900   2.500065E-09   6.352661E-10
  18.000   2.318279E-09   6.111387E-10
  18.100   2.149711E-09   5.879277E-10
  18.200   1.993400E-09   5.655982E-10
  18.300   1.848454E-09   5.441168E-10
  18.400   1.714048E-09   5.234513E-10
  18.500   1.589416E-09   5.035706E-10
  18.600   1.473845E-09   4.844450E-10
  18.700   1.369833E-09   4.428673E-10
  18.800   1.273172E-09   4.047751E-10
  18.900   1.183333E-09   3.699594E-10
  19.000   1.099833E-09   3.381382E-10
  19.100   1.022224E-09   3.090540E-10
  19.200   9.500926E-10   2.824715E-10
  19.300   8.830507E-10   2.581753E-10
  19.400   8.207395E-10   2.359690E-10
  19.500   7.628252E-10   2.156727E-10
  19.600   7.089975E-10   1.971221E-10
  19.700   6.589681E-10   1.801671E-10
  19.800   6.124690E-10   1.646704E-10
  19.900   6.453741E-10   1.822928E-10
 Z= 102 A= 238  No beta2= 0.32 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.839425E-02   6.168360E-02
   0.100   7.867869E-02   6.151649E-02
   0.200   7.896417E-02   6.134984E-02
   0.300   7.925068E-02   6.118364E-02
   0.400   7.962104E-02   6.096401E-02
   0.500   8.013559E-02   6.065346E-02
   0.600   8.069738E-02   6.030237E-02
   0.700   8.132345E-02   5.989622E-02
   0.800   8.195439E-02   5.949281E-02
   0.900   8.257343E-02   5.906402E-02
   1.000   8.319194E-02   5.862970E-02
   1.100   8.369745E-02   5.823923E-02
   1.200   8.417974E-02   5.786035E-02
   1.300   8.463127E-02   5.750455E-02
   1.400   8.490848E-02   5.725859E-02
   1.500   8.514003E-02   5.705455E-02
   1.600   8.520095E-02   5.700110E-02
   1.700   8.526192E-02   5.694770E-02
   1.800   8.522837E-02   5.701098E-02
   1.900   8.511944E-02   5.716774E-02
   2.000   8.496134E-02   5.743423E-02
   2.100   8.477208E-02   5.777226E-02
   2.200   8.458324E-02   5.811229E-02
   2.300   8.440131E-02   5.856613E-02
   2.400   8.422050E-02   5.902948E-02
   2.500   8.412108E-02   5.952677E-02
   2.600   8.402178E-02   6.002825E-02
   2.700   8.396235E-02   6.051945E-02
   2.800   8.397776E-02   6.098713E-02
   2.900   8.403595E-02   6.141883E-02
   3.000   8.415815E-02   6.179407E-02
   3.100   8.428052E-02   6.217160E-02
   3.200   8.445232E-02   6.245943E-02
   3.300   8.464154E-02   6.271665E-02
   3.400   8.482896E-02   6.287758E-02
   3.500   8.501624E-02   6.301409E-02
   3.600   8.519486E-02   6.313802E-02
   3.700   8.531710E-02   6.318169E-02
   3.800   8.541824E-02   6.321837E-02
   3.900   8.542990E-02   6.322552E-02
   4.000   8.544156E-02   6.323267E-02
   4.100   8.539070E-02   6.325136E-02
   4.200   8.528536E-02   6.328014E-02
   4.300   8.512825E-02   6.335229E-02
   4.400   8.493514E-02   6.345496E-02
   4.500   8.474247E-02   6.355780E-02
   4.600   8.450550E-02   6.373870E-02
   4.700   8.426583E-02   6.392600E-02
   4.800   8.400116E-02   6.415039E-02
   4.900   8.373690E-02   6.437616E-02
   5.000   8.346133E-02   6.459071E-02
   5.100   8.316124E-02   6.478056E-02
   5.200   8.281030E-02   6.489335E-02
   5.300   8.238965E-02   6.490428E-02
   5.400   8.194080E-02   6.487153E-02
   5.500   8.134261E-02   6.463869E-02
   5.600   8.065556E-02   6.429207E-02
   5.700   7.977233E-02   6.370879E-02
   5.800   7.868900E-02   6.290135E-02
   5.900   7.753198E-02   6.200747E-02
   6.000   7.603611E-02   6.075716E-02
   6.100   7.437988E-02   5.934414E-02
   6.200   7.238272E-02   5.759749E-02
   6.300   7.009234E-02   5.557623E-02
   6.400   6.773127E-02   5.349191E-02
   6.500   6.492421E-02   5.100678E-02
   6.600   6.197705E-02   4.840707E-02
   6.700   5.867856E-02   4.551181E-02
   6.800   5.514676E-02   4.243392E-02
   6.900   5.166407E-02   3.942318E-02
   7.000   4.784948E-02   3.615781E-02
   7.100   4.406948E-02   3.295572E-02
   7.200   4.015169E-02   2.967496E-02
   7.300   3.624730E-02   2.644796E-02
   7.400   3.259420E-02   2.346868E-02
   7.500   2.891702E-02   2.051289E-02
   7.600   2.549647E-02   1.780624E-02
   7.700   2.222190E-02   1.525665E-02
   7.800   1.919194E-02   1.293874E-02
   7.900   1.651062E-02   1.092500E-02
   8.000   1.402983E-02   9.096793E-03
   8.100   1.186049E-02   7.530793E-03
   8.200   9.934243E-03   6.170145E-03
   8.300   8.268544E-03   5.019436E-03
   8.400   6.863642E-03   4.070928E-03
   8.500   5.655769E-03   3.274852E-03
   8.600   4.649554E-03   2.627551E-03
   8.700   3.807648E-03   2.099564E-03
   8.800   3.112945E-03   1.674849E-03
   8.900   2.543167E-03   1.335093E-03
   9.000   2.075866E-03   1.063552E-03
   9.100   1.695188E-03   8.477929E-04
   9.200   1.385367E-03   6.765287E-04
   9.300   1.133345E-03   5.405348E-04
   9.400   9.275809E-04   4.321077E-04
   9.500   7.602453E-04   3.459226E-04
   9.600   6.236246E-04   2.771333E-04
   9.700   5.119709E-04   2.221319E-04
   9.800   4.204625E-04   1.780395E-04
   9.900   3.453641E-04   1.426967E-04
  10.000   2.836880E-04   1.143173E-04
  10.100   2.330911E-04   9.159658E-05
  10.200   1.915440E-04   7.341058E-05
  10.300   1.574942E-04   5.890799E-05
  10.400   1.295298E-04   4.729556E-05
  10.500   1.066995E-04   3.810554E-05
  10.600   8.801745E-05   3.078702E-05
  10.700   7.280384E-05   2.501399E-05
  10.800   6.039322E-05   2.043967E-05
  10.900   5.015981E-05   1.674260E-05
  11.000   4.184295E-05   1.383052E-05
  11.100   3.498527E-05   1.147061E-05
  11.200   2.935052E-05   9.570187E-06
  11.300   2.467503E-05   8.010999E-06
  11.400   2.076289E-05   6.715253E-06
  11.500   1.749429E-05   5.638666E-06
  11.600   1.474535E-05   4.734521E-06
  11.700   1.242099E-05   3.968685E-06
  11.800   1.045159E-05   3.318640E-06
  11.900   8.790319E-06   2.772181E-06
  12.000   7.377647E-06   2.306667E-06
  12.100   6.212055E-06   1.926664E-06
  12.200   5.237868E-06   1.611897E-06
  12.300   4.416455E-06   1.348555E-06
  12.400   3.723857E-06   1.128237E-06
  12.500   3.139874E-06   9.439126E-07
  12.600   2.647473E-06   7.897020E-07
  12.700   2.232291E-06   6.606854E-07
  12.800   1.882218E-06   5.527467E-07
  12.900   1.587045E-06   4.624424E-07
  13.000   1.366414E-06   3.912505E-07
  13.100   1.181322E-06   3.317520E-07
  13.200   1.021302E-06   2.813017E-07
  13.300   8.829584E-07   2.385234E-07
  13.400   7.633545E-07   2.022506E-07
  13.500   6.599519E-07   1.714938E-07
  13.600   5.705560E-07   1.454143E-07
  13.700   4.932695E-07   1.233008E-07
  13.800   4.264521E-07   1.045501E-07
  13.900   3.686857E-07   8.865094E-08
  14.000   3.187442E-07   7.516957E-08
  14.100   2.747490E-07   6.423607E-08
  14.200   2.366159E-07   5.502054E-08
  14.300   2.037754E-07   4.712711E-08
  14.400   1.754929E-07   4.036609E-08
  14.500   1.511358E-07   3.457504E-08
  14.600   1.301593E-07   2.961478E-08
  14.700   1.120942E-07   2.536615E-08
  14.800   9.653634E-08   2.172703E-08
  14.900   8.313782E-08   1.861000E-08
  15.000   7.159892E-08   1.594015E-08
  15.100   6.166153E-08   1.365332E-08
  15.200   5.415256E-08   1.184571E-08
  15.300   4.829473E-08   1.038165E-08
  15.400   4.307056E-08   9.098530E-09
  15.500   3.841150E-08   7.974000E-09
  15.600   3.425642E-08   6.988456E-09
  15.700   3.055081E-08   6.124720E-09
  15.800   2.724605E-08   5.367737E-09
  15.900   2.429877E-08   4.704314E-09
  16.000   2.167031E-08   4.122886E-09
  16.100   1.932617E-08   3.613319E-09
  16.200   1.723561E-08   3.166732E-09
  16.300   1.532013E-08   2.779865E-09
  16.400   1.344403E-08   2.455628E-09
  16.500   1.179768E-08   2.169210E-09
  16.600   1.035294E-08   1.916199E-09
  16.700   9.085118E-09   1.692698E-09
  16.800   7.972556E-09   1.495266E-09
  16.900   6.996239E-09   1.320862E-09
  17.000   6.139480E-09   1.166800E-09
  17.100   5.387641E-09   1.030707E-09
  17.200   4.727871E-09   9.104878E-10
  17.300   4.148897E-09   8.042907E-10
  17.400   3.640824E-09   7.104802E-10
  17.500   3.313710E-09   6.659424E-10
  17.600   3.073476E-09   6.436407E-10
  17.700   2.850658E-09   6.220858E-10
  17.800   2.643993E-09   6.012528E-10
  17.900   2.452312E-09   5.811175E-10
  18.000   2.274526E-09   5.616564E-10
  18.100   2.109630E-09   5.428471E-10
  18.200   1.956688E-09   5.246678E-10
  18.300   1.814834E-09   5.070972E-10
  18.400   1.683264E-09   4.901150E-10
  18.500   1.561232E-09   4.737016E-10
  18.600   1.448047E-09   4.578378E-10
  18.700   1.345808E-09   4.233307E-10
  18.800   1.251233E-09   3.884002E-10
  18.900   1.163305E-09   3.563519E-10
  19.000   1.081555E-09   3.269480E-10
  19.100   1.005551E-09   2.999704E-10
  19.200   9.348872E-10   2.752188E-10
  19.300   8.691895E-10   2.525095E-10
  19.400   8.081086E-10   2.316741E-10
  19.500   7.513200E-10   2.125578E-10
  19.600   6.985222E-10   1.950189E-10
  19.700   6.494347E-10   1.789272E-10
  19.800   6.037967E-10   1.641633E-10
  19.900   6.231522E-10   1.758229E-10
 Z= 102 A= 239  No beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.818174E-02   6.131989E-02
   0.100   7.846305E-02   6.115385E-02
   0.200   7.874536E-02   6.098827E-02
   0.300   7.902870E-02   6.082313E-02
   0.400   7.939304E-02   6.060560E-02
   0.500   7.990088E-02   6.029619E-02
   0.600   8.045460E-02   5.994763E-02
   0.700   8.107346E-02   5.954334E-02
   0.800   8.169709E-02   5.914177E-02
   0.900   8.231020E-02   5.871581E-02
   1.000   8.292272E-02   5.828387E-02
   1.100   8.342763E-02   5.789491E-02
   1.200   8.390706E-02   5.751856E-02
   1.300   8.436162E-02   5.716206E-02
   1.400   8.464079E-02   5.691863E-02
   1.500   8.488156E-02   5.671168E-02
   1.600   8.494950E-02   5.666133E-02
   1.700   8.501748E-02   5.661103E-02
   1.800   8.499936E-02   5.667009E-02
   1.900   8.490245E-02   5.682959E-02
   2.000   8.476180E-02   5.709239E-02
   2.100   8.458866E-02   5.743382E-02
   2.200   8.441588E-02   5.777730E-02
   2.300   8.425263E-02   5.822887E-02
   2.400   8.409064E-02   5.869482E-02
   2.500   8.400798E-02   5.919290E-02
   2.600   8.392879E-02   5.969644E-02
   2.700   8.388343E-02   6.019184E-02
   2.800   8.391882E-02   6.066143E-02
   2.900   8.399023E-02   6.110040E-02
   3.000   8.413018E-02   6.147704E-02
   3.100   8.427037E-02   6.185600E-02
   3.200   8.445364E-02   6.215246E-02
   3.300   8.465733E-02   6.241063E-02
   3.400   8.485703E-02   6.258008E-02
   3.500   8.505555E-02   6.271706E-02
   3.600   8.524988E-02   6.284803E-02
   3.700   8.538064E-02   6.289266E-02
   3.800   8.549805E-02   6.293298E-02
   3.900   8.551532E-02   6.294124E-02
   4.000   8.553259E-02   6.294950E-02
   4.100   8.549599E-02   6.296799E-02
   4.200   8.539496E-02   6.299876E-02
   4.300   8.524919E-02   6.306757E-02
   4.400   8.505980E-02   6.317378E-02
   4.500   8.487082E-02   6.328017E-02
   4.600   8.464163E-02   6.345822E-02
   4.700   8.440547E-02   6.365023E-02
   4.800   8.414825E-02   6.387601E-02
   4.900   8.388919E-02   6.410663E-02
