Level_Number,Level_Energy,Protons,Neutrons,Atomic_Mass_Micro,Element_w_A,Level_Energy_SQRT,Level_Number_SQRT
9,8.5601,5,6,10811000.0,11B,2.925764857263823,3.0
10,8.92047,5,6,10811000.0,11B,2.9867155873969655,3.1622776601683795
11,9.1835,5,6,10811000.0,11B,3.0304290125327142,3.3166247903554
12,9.2717,5,6,10811000.0,11B,3.0449466333582924,3.4641016151377544
13,9.82,5,6,10811000.0,11B,3.1336879231984796,3.605551275463989
14,9.873,5,6,10811000.0,11B,3.142133033466279,3.7416573867739413
15,10.262,5,6,10811000.0,11B,3.203435655667209,3.872983346207417
16,10.33,5,6,10811000.0,11B,3.2140317359976396,4.0
17,10.602,5,6,10811000.0,11B,3.2560712522916324,4.123105625617661
18,10.96,5,6,10811000.0,11B,3.3105890714493698,4.242640687119285
19,11.272,5,6,10811000.0,11B,3.357379930838927,4.358898943540674
20,11.45,5,6,10811000.0,11B,3.383784863137726,4.47213595499958
21,11.6,5,6,10811000.0,11B,3.40587727318528,4.58257569495584
22,11.893,5,6,10811000.0,11B,3.448622913569995,4.69041575982343
23,12.04,5,6,10811000.0,11B,3.4698703145794942,4.795831523312719
1,0.0,6,6,12011000.0,12C,0.0,1.0
2,4.43891,6,6,12011000.0,12C,2.1068720891406767,1.4142135623730951
3,7.6542,6,6,12011000.0,12C,2.7666224896071383,1.7320508075688772
4,9.641,6,6,12011000.0,12C,3.104995974232495,2.0
5,10.3,6,6,12011000.0,12C,3.2093613071762426,2.23606797749979
6,10.844,6,6,12011000.0,12C,3.2930229273419886,2.449489742783178
7,11.16,6,6,12011000.0,12C,3.340658617698013,2.6457513110645907
8,11.828,6,6,12011000.0,12C,3.4391859501922832,2.8284271247461903
9,12.71,6,6,12011000.0,12C,3.5651086939951777,3.0
10,13.352,6,6,12011000.0,12C,3.65403886131497,3.1622776601683795
11,14.083,6,6,12011000.0,12C,3.7527323379106057,3.3166247903554
12,15.11,6,6,12011000.0,12C,3.887158345115362,3.4641016151377544
13,15.44,6,6,12011000.0,12C,3.9293765408777,3.605551275463989
14,16.1058,6,6,12011000.0,12C,4.013203209407667,3.7416573867739413
15,16.57,6,6,12011000.0,12C,4.070626487409524,3.872983346207417
16,17.23,6,6,12011000.0,12C,4.150903516103452,4.0
17,17.76,6,6,12011000.0,12C,4.214261501141095,4.123105625617661
18,18.16,6,6,12011000.0,12C,4.261455150532504,4.242640687119285
19,18.35,6,6,12011000.0,12C,4.283689998120779,4.358898943540674
1,0.0,6,7,13003354.835210001,13C,0.0,1.0
2,3.089443,6,7,13003354.835210001,13C,1.7576811428697754,1.4142135623730951
3,3.684507,6,7,13003354.835210001,13C,1.9195069679477592,1.7320508075688772
4,3.8538069999999998,6,7,13003354.835210001,13C,1.9631115607626581,2.0
5,6.864,6,7,13003354.835210001,13C,2.6199236630100504,2.23606797749979
6,7.492,6,7,13003354.835210001,13C,2.7371518043396863,2.449489742783178
7,7.547,6,7,13003354.835210001,13C,2.7471803726730433,2.6457513110645907
8,7.686,6,7,13003354.835210001,13C,2.7723636125155013,2.8284271247461903
9,8.2,6,7,13003354.835210001,13C,2.8635642126552705,3.0
10,8.86,6,7,13003354.835210001,13C,2.9765752132274432,3.1622776601683795
11,9.4998,6,7,13003354.835210001,13C,3.082174557029501,3.3166247903554
12,9.897,6,7,13003354.835210001,13C,3.1459497770943514,3.4641016151377544
13,10.46,6,7,13003354.835210001,13C,3.234192325759246,3.605551275463989
14,10.753,6,7,13003354.835210001,13C,3.2791767259481457,3.7416573867739413
15,10.818,6,7,13003354.835210001,13C,3.289072817679779,3.872983346207417
16,10.996,6,7,13003354.835210001,13C,3.3160217128360303,4.0
17,11.08,6,7,13003354.835210001,13C,3.3286633954186478,4.123105625617661
18,11.748,6,7,13003354.835210001,13C,3.4275355578024276,4.242640687119285
19,11.848,6,7,13003354.835210001,13C,3.4420923869065456,4.358898943540674
20,11.95,6,7,13003354.835210001,13C,3.456877203488721,4.47213595499958
21,12.106,6,7,13003354.835210001,13C,3.47936775865961,4.58257569495584
22,12.13,6,7,13003354.835210001,13C,3.4828149534536,4.69041575982343
23,12.14,6,7,13003354.835210001,13C,3.4842502780368694,4.795831523312719
24,12.187,6,7,13003354.835210001,13C,3.4909883987203396,4.898979485566356
25,12.438,6,7,13003354.835210001,13C,3.5267548823245427,5.0
26,13.0,6,7,13003354.835210001,13C,3.605551275463989,5.0990195135927845
27,13.28,6,7,13003354.835210001,13C,3.6441734316577197,5.196152422706632
28,13.41,6,7,13003354.835210001,13C,3.661966684720111,5.291502622129181
29,13.57,6,7,13003354.835210001,13C,3.6837480912787726,5.385164807134504
30,13.76,6,7,13003354.835210001,13C,3.7094473981982814,5.477225575051661
1,0.0,6,8,14003241.988429999,14C,0.0,1.0
2,6.0938,6,8,14003241.988429999,14C,2.468562334639334,1.4142135623730951
3,6.5894,6,8,14003241.988429999,14C,2.5669826645304794,1.7320508075688772
4,6.7282,6,8,14003241.988429999,14C,2.5938774065094132,2.0
5,6.9026,6,8,14003241.988429999,14C,2.627279962242319,2.23606797749979
6,7.012,6,8,14003241.988429999,14C,2.648018126826174,2.449489742783178
7,7.341,6,8,14003241.988429999,14C,2.709427983910995,2.6457513110645907
8,8.3179,6,8,14003241.988429999,14C,2.8840769753943807,2.8284271247461903
9,9.746,6,8,14003241.988429999,14C,3.1218584208768982,3.0
10,9.801,6,8,14003241.988429999,14C,3.1306548835666956,3.1622776601683795
11,10.425,6,8,14003241.988429999,14C,3.228776858192588,3.3166247903554
12,10.449,6,8,14003241.988429999,14C,3.2324912992922346,3.4641016151377544
13,10.498,6,8,14003241.988429999,14C,3.240061727807049,3.605551275463989
14,10.736,6,8,14003241.988429999,14C,3.276583586603583,3.7416573867739413
15,11.306,6,8,14003241.988429999,14C,3.3624395905354194,3.872983346207417
16,11.395,6,8,14003241.988429999,14C,3.3756480859236495,4.0
17,11.5,6,8,14003241.988429999,14C,3.391164991562634,4.123105625617661
18,11.666,6,8,14003241.988429999,14C,3.4155526639183886,4.242640687119285
19,11.73,6,8,14003241.988429999,14C,3.424908757908742,4.358898943540674
20,11.9,6,8,14003241.988429999,14C,3.449637662132068,4.47213595499958
21,12.583,6,8,14003241.988429999,14C,3.5472524578890634,4.58257569495584
22,12.863,6,8,14003241.988429999,14C,3.5865024745565144,4.69041575982343
23,12.963,6,8,14003241.988429999,14C,3.6004166425568025,4.795831523312719
24,13.5,6,8,14003241.988429999,14C,3.6742346141747673,4.898979485566356
25,13.7,6,8,14003241.988429999,14C,3.7013511046643495,5.0
26,14.05,6,8,14003241.988429999,14C,3.7483329627982624,5.0990195135927845
1,0.0,7,7,14007000.0,14N,0.0,1.0
2,2.312798,7,7,14007000.0,14N,1.5207886112145894,1.4142135623730951
3,3.9481,7,7,14007000.0,14N,1.9869826370655583,1.7320508075688772
4,4.9151,7,7,14007000.0,14N,2.217002480828562,2.0
5,5.1058900000000005,7,7,14007000.0,14N,2.2596216497458155,2.23606797749979
6,5.69144,7,7,14007000.0,14N,2.3856739089825334,2.449489742783178
7,5.83425,7,7,14007000.0,14N,2.415419218272472,2.6457513110645907
8,6.2035,7,7,14007000.0,14N,2.4906826373506523,2.8284271247461903
9,6.4461699999999995,7,7,14007000.0,14N,2.538930877357633,3.0
10,7.02912,7,7,14007000.0,14N,2.651248762375949,3.1622776601683795
11,7.9669,7,7,14007000.0,14N,2.8225697511310504,3.3166247903554
12,8.062,7,7,14007000.0,14N,2.8393661264444217,3.4641016151377544
13,8.49,7,7,14007000.0,14N,2.9137604568666933,3.605551275463989
14,8.618,7,7,14007000.0,14N,2.9356430300702434,3.7416573867739413
15,8.776,7,7,14007000.0,14N,2.962431433805684,3.872983346207417
16,8.907,7,7,14007000.0,14N,2.984459750105536,4.0
17,8.964,7,7,14007000.0,14N,2.993993987969916,4.123105625617661
18,8.98,7,7,14007000.0,14N,2.9966648127543394,4.242640687119285
19,9.129,7,7,14007000.0,14N,3.021423505568195,4.358898943540674
20,9.17225,7,7,14007000.0,14N,3.0285722708893705,4.47213595499958
21,9.388,7,7,14007000.0,14N,3.0639843341636066,4.58257569495584
22,9.509,7,7,14007000.0,14N,3.0836666486505964,4.69041575982343
23,9.703,7,7,14007000.0,14N,3.1149638842208107,4.795831523312719
24,10.079,7,7,14007000.0,14N,3.174744084174345,4.898979485566356
25,10.101,7,7,14007000.0,14N,3.1782070417139283,5.0
26,10.226,7,7,14007000.0,14N,3.197811751807789,5.0990195135927845
27,10.432,7,7,14007000.0,14N,3.229860678109816,5.196152422706632
28,10.534,7,7,14007000.0,14N,3.2456124229488648,5.291502622129181
29,10.812,7,7,14007000.0,14N,3.288160580020386,5.385164807134504
30,11.0,7,7,14007000.0,14N,3.3166247903554,5.477225575051661
31,11.05,7,7,14007000.0,14N,3.3241540277189325,5.5677643628300215
32,11.07,7,7,14007000.0,14N,3.327160951922825,5.656854249492381
33,11.21,7,7,14007000.0,14N,3.3481338085566414,5.744562646538029
34,11.24,7,7,14007000.0,14N,3.352610922848042,5.830951894845301
35,11.27,7,7,14007000.0,14N,3.357082066318904,5.916079783099616
36,11.357,7,7,14007000.0,14N,3.370014836762592,6.0
37,11.5135,7,7,14007000.0,14N,3.39315487415473,6.082762530298219
38,11.676,7,7,14007000.0,14N,3.41701624227922,6.164414002968976
39,11.741,7,7,14007000.0,14N,3.426514263796373,6.244997998398398
40,11.761,7,7,14007000.0,14N,3.4294314397579084,6.324555320336759
41,11.807,7,7,14007000.0,14N,3.4361315457939035,6.4031242374328485
42,11.874,7,7,14007000.0,14N,3.445867089717768,6.48074069840786
43,12.2,7,7,14007000.0,14N,3.492849839314596,6.557438524302
44,12.408,7,7,14007000.0,14N,3.5224991128458782,6.6332495807108
45,12.418,7,7,14007000.0,14N,3.523918273740184,6.708203932499369
46,12.495,7,7,14007000.0,14N,3.534826728426727,6.782329983125268
47,12.594,7,7,14007000.0,14N,3.5488026149674767,6.855654600401044
48,12.69,7,7,14007000.0,14N,3.562302626111375,6.928203230275509
49,12.708,7,7,14007000.0,14N,3.5648281866031075,7.0
50,12.789,7,7,14007000.0,14N,3.576171136844544,7.0710678118654755
51,12.813,7,7,14007000.0,14N,3.5795251081672834,7.14142842854285
52,12.826,7,7,14007000.0,14N,3.5813405311419353,7.211102550927978
53,12.857,7,7,14007000.0,14N,3.5856659074710238,7.280109889280518
54,12.883,7,7,14007000.0,14N,3.5892896233098828,7.3484692283495345
55,12.922,7,7,14007000.0,14N,3.5947183477986147,7.416198487095663
56,13.007,7,7,14007000.0,14N,3.6065218701679878,7.483314773547883
57,13.167,7,7,14007000.0,14N,3.6286361074100557,7.54983443527075
58,13.192,7,7,14007000.0,14N,3.6320792942886033,7.615773105863909
59,13.243,7,7,14007000.0,14N,3.639093293665333,7.681145747868608
60,13.3,7,7,14007000.0,14N,3.646916505762094,7.745966692414834
61,13.656,7,7,14007000.0,14N,3.695402549114237,7.810249675906654
62,13.714,7,7,14007000.0,14N,3.7032418230517976,7.874007874011811
63,13.74,7,7,14007000.0,14N,3.7067505985701277,7.937253933193772
64,13.77,7,7,14007000.0,14N,3.7107950630558943,8.0
1,0.0,7,8,15000108.898939999,15N,0.0,1.0
2,5.270155,7,8,15000108.898939999,15N,2.295681815931816,1.4142135623730951
3,5.298822,7,8,15000108.898939999,15N,2.3019170271753935,1.7320508075688772
4,6.32378,7,8,15000108.898939999,15N,2.5147127072490805,2.0
5,7.15505,7,8,15000108.898939999,15N,2.674892521205291,2.23606797749979
6,7.30083,7,8,15000108.898939999,15N,2.702004811246642,2.449489742783178
7,7.5671,7,8,15000108.898939999,15N,2.75083623649246,2.6457513110645907
8,8.312619999999999,7,8,15000108.898939999,15N,2.8831614592318617,2.8284271247461903
9,8.5714,7,8,15000108.898939999,15N,2.9276953393411684,3.0
10,9.049710000000001,7,8,15000108.898939999,15N,3.0082735912812186,3.1622776601683795
11,9.1519,7,8,15000108.898939999,15N,3.025210736461181,3.3166247903554
12,9.1549,7,8,15000108.898939999,15N,3.025706529060609,3.4641016151377544
13,9.2221,7,8,15000108.898939999,15N,3.03679106953376,3.605551275463989
14,9.76,7,8,15000108.898939999,15N,3.1240998703626617,3.7416573867739413
15,9.829,7,8,15000108.898939999,15N,3.135123602029113,3.872983346207417
16,9.925,7,8,15000108.898939999,15N,3.150396800404673,4.0
17,10.066,7,8,15000108.898939999,15N,3.172696014433151,4.123105625617661
18,10.4497,7,8,15000108.898939999,15N,3.232599573099025,4.242640687119285
19,10.5333,7,8,15000108.898939999,15N,3.2455045832659057,4.358898943540674
20,10.6932,7,8,15000108.898939999,15N,3.2700458712378944,4.47213595499958
21,10.7019,7,8,15000108.898939999,15N,3.271375857341984,4.58257569495584
22,10.804,7,8,15000108.898939999,15N,3.2869438693108224,4.69041575982343
23,11.235,7,8,15000108.898939999,15N,3.3518651524188736,4.795831523312719
24,11.2928,7,8,15000108.898939999,15N,3.360476156737316,4.898979485566356
25,11.4376,7,8,15000108.898939999,15N,3.3819520990102743,5.0
26,11.615,7,8,15000108.898939999,15N,3.4080786375903944,5.0990195135927845
27,11.763,7,8,15000108.898939999,15N,3.429723020886672,5.196152422706632
28,11.876,7,8,15000108.898939999,15N,3.446157280218069,5.291502622129181
29,11.942,7,8,15000108.898939999,15N,3.455719896056392,5.385164807134504
30,11.965,7,8,15000108.898939999,15N,3.4590461112855952,5.477225575051661
31,12.095,7,8,15000108.898939999,15N,3.4777866524558405,5.5677643628300215
32,12.145,7,8,15000108.898939999,15N,3.4849677186453247,5.656854249492381
33,12.327,7,8,15000108.898939999,15N,3.510982768399754,5.744562646538029
34,12.493,7,8,15000108.898939999,15N,3.534543817807328,5.830951894845301
35,12.522,7,8,15000108.898939999,15N,3.5386438080145903,5.916079783099616
36,12.551,7,8,15000108.898939999,15N,3.5427390533314758,6.0
37,12.92,7,8,15000108.898939999,15N,3.594440151122286,6.082762530298219
38,12.94,7,8,15000108.898939999,15N,3.5972211497209896,6.164414002968976
39,13.004,7,8,15000108.898939999,15N,3.606105932997532,6.244997998398398
40,13.149,7,8,15000108.898939999,15N,3.626154988414036,6.324555320336759
41,13.174,7,8,15000108.898939999,15N,3.6296005289838713,6.4031242374328485
42,13.362,7,8,15000108.898939999,15N,3.655406954088696,6.48074069840786
43,13.39,7,8,15000108.898939999,15N,3.6592348927063973,6.557438524302
44,13.537,7,8,15000108.898939999,15N,3.6792662311933886,6.6332495807108
45,13.608,7,8,15000108.898939999,15N,3.6889022757454555,6.708203932499369
46,13.612,7,8,15000108.898939999,15N,3.689444402616741,6.782329983125268
47,13.713,7,8,15000108.898939999,15N,3.703106803752762,6.855654600401044
48,13.84,7,8,15000108.898939999,15N,3.7202150475476548,6.928203230275509
49,13.9,7,8,15000108.898939999,15N,3.7282703764614498,7.0
50,13.99,7,8,15000108.898939999,15N,3.7403208418530087,7.0710678118654755
51,14.09,7,8,15000108.898939999,15N,3.753664875824692,7.14142842854285
52,14.1,7,8,15000108.898939999,15N,3.7549966711037173,7.211102550927978
53,14.162,7,8,15000108.898939999,15N,3.763243282064023,7.280109889280518
54,14.24,7,8,15000108.898939999,15N,3.7735924528226414,7.3484692283495345
55,14.38,7,8,15000108.898939999,15N,3.792097045171708,7.416198487095663
56,14.4,7,8,15000108.898939999,15N,3.794733192202055,7.483314773547883
1,0.0,8,8,15999000.0,16O,0.0,1.0
2,6.0494,8,8,15999000.0,16O,2.4595528048814077,1.4142135623730951
3,6.1298900000000005,8,8,15999000.0,16O,2.47586146623756,1.7320508075688772
4,6.9171,8,8,15999000.0,16O,2.630038022538838,2.0
5,7.11685,8,8,15999000.0,16O,2.6677424913210794,2.23606797749979
6,8.8719,8,8,15999000.0,16O,2.9785734840691775,2.449489742783178
7,9.585,8,8,15999000.0,16O,3.095965116082544,2.6457513110645907
8,9.8445,8,8,15999000.0,16O,3.1375946200871776,2.8284271247461903
9,10.356,8,8,15999000.0,16O,3.218073958130857,3.0
10,10.957,8,8,15999000.0,16O,3.310135948869774,3.1622776601683795
11,11.08,8,8,15999000.0,16O,3.3286633954186478,3.3166247903554
12,11.0967,8,8,15999000.0,16O,3.331170965291334,3.4641016151377544
13,11.26,8,8,15999000.0,16O,3.3555923471125033,3.605551275463989
14,11.52,8,8,15999000.0,16O,3.394112549695428,3.7416573867739413
15,11.6,8,8,15999000.0,16O,3.40587727318528,3.872983346207417
16,12.049,8,8,15999000.0,16O,3.4711669507530174,4.0
17,12.44,8,8,15999000.0,16O,3.5270384177096794,4.123105625617661
18,12.53,8,8,15999000.0,16O,3.5397740040855714,4.242640687119285
19,12.796,8,8,15999000.0,16O,3.5771497033252606,4.358898943540674
20,12.9686,8,8,15999000.0,16O,3.6011942463577276,4.47213595499958
21,13.02,8,8,15999000.0,16O,3.608323710533743,4.58257569495584
22,13.09,8,8,15999000.0,16O,3.6180105030251086,4.69041575982343
23,13.129,8,8,15999000.0,16O,3.6233961969401025,4.795831523312719
24,13.259,8,8,15999000.0,16O,3.6412909798586544,4.898979485566356
25,13.664,8,8,15999000.0,16O,3.696484816687335,5.0
26,13.869,8,8,15999000.0,16O,3.7241106320838537,5.0990195135927845
27,13.98,8,8,15999000.0,16O,3.7389838191679834,5.196152422706632
28,14.032,8,8,15999000.0,16O,3.7459311259018095,5.291502622129181
29,14.1,8,8,15999000.0,16O,3.7549966711037173,5.385164807134504
1,0.0,8,9,16999131.75664,17O,0.0,1.0
2,0.8707299999999999,8,9,16999131.75664,17O,0.9331291443310512,1.4142135623730951
3,3.05536,8,9,16999131.75664,17O,1.747958809583338,1.7320508075688772
4,3.8428,8,9,16999131.75664,17O,1.960306098546857,2.0
5,4.5538,8,9,16999131.75664,17O,2.1339634486091836,2.23606797749979
6,5.0848,8,9,16999131.75664,17O,2.2549501103128646,2.449489742783178
7,5.2158,8,9,16999131.75664,17O,2.283812601769243,2.6457513110645907
8,5.3792,8,9,16999131.75664,17O,2.3193102422918757,2.8284271247461903
9,5.6973,8,9,16999131.75664,17O,2.3869017575090936,3.0
10,5.7328,8,9,16999131.75664,17O,2.3943266276763495,3.1622776601683795
11,5.8691,8,9,16999131.75664,17O,2.4226225459200204,3.3166247903554
12,5.939,8,9,16999131.75664,17O,2.4370063602707317,3.4641016151377544
13,6.356,8,9,16999131.75664,17O,2.5211108662651074,3.605551275463989
14,6.862,8,9,16999131.75664,17O,2.619541944691858,3.7416573867739413
15,6.972,8,9,16999131.75664,17O,2.640454506330302,3.872983346207417
16,7.1657,8,9,16999131.75664,17O,2.676882515165729,4.0
17,7.202,8,9,16999131.75664,17O,2.683654225119175,4.123105625617661
18,7.3792,8,9,16999131.75664,17O,2.716468295415943,4.242640687119285
19,7.3822,8,9,16999131.75664,17O,2.717020426864693,4.358898943540674
20,7.559,8,9,16999131.75664,17O,2.749363562717743,4.47213595499958
21,7.576,8,9,16999131.75664,17O,2.752453451014204,4.58257569495584
22,7.6882,8,9,16999131.75664,17O,2.7727603574777246,4.69041575982343
23,7.757,8,9,16999131.75664,17O,2.785139134765084,4.795831523312719
24,7.956,8,9,16999131.75664,17O,2.820638225650358,4.898979485566356
25,7.99,8,9,16999131.75664,17O,2.826658805020514,5.0
26,8.07,8,9,16999131.75664,17O,2.8407745422683583,5.0990195135927845
27,8.2,8,9,16999131.75664,17O,2.8635642126552705,5.196152422706632
28,8.3424,8,9,16999131.75664,17O,2.8883213117657114,5.291502622129181
29,8.4023,8,9,16999131.75664,17O,2.898672109777165,5.385164807134504
30,8.466,8,9,16999131.75664,17O,2.9096391528847696,5.477225575051661
31,8.5007,8,9,16999131.75664,17O,2.9155959939607543,5.5677643628300215
32,8.687,8,9,16999131.75664,17O,2.94737171052448,5.656854249492381
33,8.885,8,9,16999131.75664,17O,2.980771712157776,5.744562646538029
34,8.897,8,9,16999131.75664,17O,2.9827839345148686,5.830951894845301
35,8.9672,8,9,16999131.75664,17O,2.9945283434958503,5.916079783099616
36,9.147,8,9,16999131.75664,17O,3.0244007670942024,6.0
37,9.15,8,9,16999131.75664,17O,3.024896692450835,6.082762530298219
38,9.18,8,9,16999131.75664,17O,3.0298514815086235,6.164414002968976
39,9.1939,8,9,16999131.75664,17O,3.032144455661702,6.244997998398398
40,9.42,8,9,16999131.75664,17O,3.069201850644561,6.324555320336759
41,9.492,8,9,16999131.75664,17O,3.0809089567853185,6.4031242374328485
42,9.7119,8,9,16999131.75664,17O,3.1163921447725413,6.48074069840786
43,9.7833,8,9,16999131.75664,17O,3.1278267215432507,6.557438524302
44,9.8589,8,9,16999131.75664,17O,3.1398885330533632,6.6332495807108
45,9.8765,8,9,16999131.75664,17O,3.142689930616764,6.708203932499369
46,9.976,8,9,16999131.75664,17O,3.158480647399949,6.782329983125268
47,10.045,8,9,16999131.75664,17O,3.1693847983480956,6.855654600401044
1,0.0,8,10,17999159.61284,18O,0.0,1.0
2,1.98207,8,10,17999159.61284,18O,1.4078600782748263,1.4142135623730951
3,3.55484,8,10,17999159.61284,18O,1.8854283332972377,1.7320508075688772
4,3.6337599999999997,8,10,17999159.61284,18O,1.9062423770339383,2.0
5,3.92044,8,10,17999159.61284,18O,1.9800101009843358,2.23606797749979
6,4.45554,8,10,17999159.61284,18O,2.1108150084742148,2.449489742783178
7,5.09778,8,10,17999159.61284,18O,2.257826388365589,2.6457513110645907
8,5.2548,8,10,17999159.61284,18O,2.292335054044238,2.8284271247461903
