Level_Number,Level_Energy,Protons,Neutrons,Atomic_Mass_Micro,Element_w_A,Level_Energy_SQRT,Level_Number_SQRT
1,0.0,0,1,1008664.9158200001,1n,0.0,1.0
1,0.0,1,0,1007825.03224,1H,0.0,1.0
1,0.0,1,1,2014101.7781099998,2H,0.0,1.0
1,0.0,1,2,3016049.28199,3H,0.0,1.0
1,0.0,2,1,3016029.32265,3He,0.0,1.0
1,0.0,2,2,4002000.0,4He,0.0,1.0
1,0.0,3,3,6015122.88742,6Li,0.0,1.0
1,0.0,3,4,6941000.0,7Li,0.0,1.0
1,0.0,3,5,8022486.246,8Li,0.0,1.0
1,0.0,4,3,7016928.717,7Be,0.0,1.0
1,0.0,4,5,9012000.0,9Be,0.0,1.0
2,1.684,4,5,9012000.0,9Be,1.2976902558006667,1.4142135623730951
3,2.4294,4,5,9012000.0,9Be,1.5586532648411575,1.7320508075688772
4,2.78,4,5,9012000.0,9Be,1.6673332000533065,2.0
5,3.049,4,5,9012000.0,9Be,1.7461385970191483,2.23606797749979
6,4.704,4,5,9012000.0,9Be,2.168870673876153,2.449489742783178
7,5.59,4,5,9012000.0,9Be,2.364318083507378,2.6457513110645907
8,6.38,4,5,9012000.0,9Be,2.5258661880630178,2.8284271247461903
9,6.76,4,5,9012000.0,9Be,2.6,3.0
10,7.94,4,5,9012000.0,9Be,2.817800560721074,3.1622776601683795
11,11.282,4,5,9012000.0,9Be,3.3588688572196443,3.3166247903554
12,11.81,4,5,9012000.0,9Be,3.4365680554879168,3.4641016151377544
13,13.79,4,5,9012000.0,9Be,3.713488925525428,3.605551275463989
14,14.3922,4,5,9012000.0,9Be,3.7937053127516376,3.7416573867739413
15,14.48,4,5,9012000.0,9Be,3.8052595180880897,3.872983346207417
16,15.1,4,5,9012000.0,9Be,3.8858718455450894,4.0
17,15.97,4,5,9012000.0,9Be,3.996248240537617,4.123105625617661
18,16.671,4,5,9012000.0,9Be,4.083013592923736,4.242640687119285
19,16.9771,4,5,9012000.0,9Be,4.120327656873904,4.358898943540674
20,17.3,4,5,9012000.0,9Be,4.159326868617084,4.47213595499958
21,17.495,4,5,9012000.0,9Be,4.182702475672875,4.58257569495584
22,18.02,4,5,9012000.0,9Be,4.244997055358225,4.69041575982343
23,18.58,4,5,9012000.0,9Be,4.310452412450461,4.795831523312719
24,18.65,4,5,9012000.0,9Be,4.318564576337836,4.898979485566356
25,19.2,4,5,9012000.0,9Be,4.381780460041329,5.0
26,19.465,4,5,9012000.0,9Be,4.411915683691156,5.0990195135927845
27,19.9,4,5,9012000.0,9Be,4.460941604639093,5.196152422706632
28,20.51,4,5,9012000.0,9Be,4.528796749689701,5.291502622129181
29,20.75,4,5,9012000.0,9Be,4.55521678957215,5.385164807134504
30,21.4,4,5,9012000.0,9Be,4.626013402488151,5.477225575051661
31,22.4,4,5,9012000.0,9Be,4.732863826479693,5.5677643628300215
1,0.0,4,6,10013534.695,10Be,0.0,1.0
2,3.36803,4,6,10013534.695,10Be,1.8352193329408886,1.4142135623730951
3,5.9583900000000005,4,6,10013534.695,10Be,2.440981360027151,1.7320508075688772
4,5.9599,4,6,10013534.695,10Be,2.4412906422628176,2.0
5,6.1793,4,6,10013534.695,10Be,2.4858197842965204,2.23606797749979
6,6.2633,4,6,10013534.695,10Be,2.502658586383688,2.449489742783178
7,7.371,4,6,10013534.695,10Be,2.714958563219704,2.6457513110645907
8,7.542,4,6,10013534.695,10Be,2.746270197922994,2.8284271247461903
9,9.27,4,6,10013534.695,10Be,3.0446674695276656,3.0
10,9.56,4,6,10013534.695,10Be,3.0919249667480613,3.1622776601683795
11,10.15,4,6,10013534.695,10Be,3.1859064644147983,3.3166247903554
12,10.57,4,6,10013534.695,10Be,3.2511536414017717,3.4641016151377544
13,11.23,4,6,10013534.695,10Be,3.351119216023208,3.605551275463989
14,11.76,4,6,10013534.695,10Be,3.4292856398964493,3.7416573867739413
15,11.93,4,6,10013534.695,10Be,3.4539832078341086,3.872983346207417
16,13.05,4,6,10013534.695,10Be,3.6124783736376886,4.0
17,13.85,4,6,10013534.695,10Be,3.721558813185679,4.123105625617661
1,0.0,5,5,10012936.862,10B,0.0,1.0
2,0.71838,5,5,10012936.862,10B,0.8475730057051133,1.4142135623730951
3,1.74005,5,5,10012936.862,10B,1.3191095481422308,1.7320508075688772
4,2.15427,5,5,10012936.862,10B,1.4677431655436177,2.0
5,3.58713,5,5,10012936.862,10B,1.8939720166887366,2.23606797749979
6,4.774,5,5,10012936.862,10B,2.1849485119791723,2.449489742783178
7,5.1103,5,5,10012936.862,10B,2.2605972662108567,2.6457513110645907
8,5.1639,5,5,10012936.862,10B,2.272421615809883,2.8284271247461903
9,5.182,5,5,10012936.862,10B,2.276400667720865,3.0
10,5.9195,5,5,10012936.862,10B,2.4330022605825916,3.1622776601683795
11,6.0249,5,5,10012936.862,10B,2.4545671716210986,3.3166247903554
12,6.1291,5,5,10012936.862,10B,2.4757019206681568,3.4641016151377544
13,6.5601,5,5,10012936.862,10B,2.5612692166189794,3.605551275463989
14,6.875,5,5,10012936.862,10B,2.622022120425379,3.7416573867739413
15,7.004,5,5,10012936.862,10B,2.6465071320516027,3.872983346207417
16,7.428,5,5,10012936.862,10B,2.7254357449773052,4.0
17,7.47,5,5,10012936.862,10B,2.7331300737432898,4.123105625617661
18,7.479,5,5,10012936.862,10B,2.7347760420187974,4.242640687119285
19,7.5599,5,5,10012936.862,10B,2.749527232089182,4.358898943540674
20,7.666,5,5,10012936.862,10B,2.7687542325024084,4.47213595499958
21,7.75,5,5,10012936.862,10B,2.7838821814150108,4.58257569495584
22,7.811,5,5,10012936.862,10B,2.794816630836449,4.69041575982343
23,7.96,5,5,10012936.862,10B,2.821347195933177,4.795831523312719
24,8.07,5,5,10012936.862,10B,2.8407745422683583,4.898979485566356
1,0.0,5,6,10811000.0,11B,0.0,1.0
2,2.124693,5,6,10811000.0,11B,1.45763266977658,1.4142135623730951
3,4.44498,5,6,10811000.0,11B,2.1083121211054117,1.7320508075688772
4,5.0203,5,6,10811000.0,11B,2.2406025975170163,2.0
5,6.74185,5,6,10811000.0,11B,2.596507269390941,2.23606797749979
6,6.7918,5,6,10811000.0,11B,2.606108209572273,2.449489742783178
7,7.28551,5,6,10811000.0,11B,2.699168390449177,2.6457513110645907
8,7.97784,5,6,10811000.0,11B,2.8245070366348886,2.8284271247461903
