Level_Number,Level_Energy,Spin,Parity,Element_w_A,Target_Protons,Target_Neutrons,Atomic_Mass_Micro
37,  4.299667 ,  0.0,  1,36Cl,17,19,35968306.822
38,  4.315610 ,  2.0, -1,36Cl,17,19,35968306.822
39,  4.410064 ,  1.0,  1,36Cl,17,19,35968306.822
1,  0.000000 ,  1.5,  1,37Cl,17,20,36965902.584
2,  1.726580 ,  0.5,  1,37Cl,17,20,36965902.584
3,  3.086120 ,  2.5,  1,37Cl,17,20,36965902.584
4,  3.103520 ,  3.5, -1,37Cl,17,20,36965902.584
5,  3.287200 ,  1.5,  1,37Cl,17,20,36965902.584
6,  3.626820 ,  1.5,  1,37Cl,17,20,36965902.584
7,  3.707790 ,  1.5,  1,37Cl,17,20,36965902.584
8,  3.741190 ,  2.5, -1,37Cl,17,20,36965902.584
9,  4.009990 ,  4.5, -1,37Cl,17,20,36965902.584
10,  4.016270 ,  1.5,  1,37Cl,17,20,36965902.584
11,  4.176640 ,  1.5, -1,37Cl,17,20,36965902.584
12,  4.262000 ,  2.5,  1,37Cl,17,20,36965902.584
13,  4.268870 ,  0.5, -1,37Cl,17,20,36965902.584
14,  4.272580 ,  3.5, -1,37Cl,17,20,36965902.584
15,  4.396320 ,  2.5, -1,37Cl,17,20,36965902.584
16,  4.459970 ,  3.5, -1,37Cl,17,20,36965902.584
17,  4.546080 ,  5.5, -1,37Cl,17,20,36965902.584
18,  4.801210 ,  2.5,  1,37Cl,17,20,36965902.584
19,  4.810900 ,  3.5, -1,37Cl,17,20,36965902.584
20,  4.837610 ,  2.5,  1,37Cl,17,20,36965902.584
21,  4.853960 ,  1.5, -1,37Cl,17,20,36965902.584
22,  4.903910 ,  3.5,  1,37Cl,17,20,36965902.584
23,  4.920870 ,  4.5, -1,37Cl,17,20,36965902.584
24,  4.923000 ,  2.5, -1,37Cl,17,20,36965902.584
25,  4.960800 ,  1.5, -1,37Cl,17,20,36965902.584
26,  4.974000 ,  2.5,  1,37Cl,17,20,36965902.584
27,  5.009300 ,  2.0,  1,37Cl,17,20,36965902.584
28,  5.055200 ,  2.5,  1,37Cl,17,20,36965902.584
29,  5.059100 ,  3.5,  1,37Cl,17,20,36965902.584
30,  5.143000 ,  1.5,  1,37Cl,17,20,36965902.584
31,  5.228700 ,  3.5,  1,37Cl,17,20,36965902.584
32,  5.270950 ,  6.5, -1,37Cl,17,20,36965902.584
33,  5.283000 ,  1.0,  1,37Cl,17,20,36965902.584
34,  5.307400 ,  0.5,  1,37Cl,17,20,36965902.584
35,  5.317100 ,  2.0,  1,37Cl,17,20,36965902.584
36,  5.350000 ,  3.5,  1,37Cl,17,20,36965902.584
37,  5.372500 ,  0.5, -1,37Cl,17,20,36965902.584
38,  5.379000 ,  2.5, -1,37Cl,17,20,36965902.584
39,  5.407000 ,  0.5,  1,37Cl,17,20,36965902.584
40,  5.490680 ,  2.5,  1,37Cl,17,20,36965902.584
41,  5.528400 ,  4.5, -1,37Cl,17,20,36965902.584
42,  5.547170 ,  5.5, -1,37Cl,17,20,36965902.584
43,  5.570100 ,  1.5, -1,37Cl,17,20,36965902.584
44,  5.595050 ,  4.5,  1,37Cl,17,20,36965902.584
45,  5.617900 ,  2.0, -1,37Cl,17,20,36965902.584
46,  5.645300 ,  2.5,  1,37Cl,17,20,36965902.584
47,  5.700900 ,  4.5, -1,37Cl,17,20,36965902.584
48,  5.705330 ,  5.5, -1,37Cl,17,20,36965902.584
49,  5.726300 ,  3.5, -1,37Cl,17,20,36965902.584
50,  5.909300 ,  3.0, -1,37Cl,17,20,36965902.584
51,  5.915000 ,  2.0,  1,37Cl,17,20,36965902.584
52,  5.931000 ,  2.0, -1,37Cl,17,20,36965902.584
53,  5.944000 ,  0.5, -1,37Cl,17,20,36965902.584
54,  5.978000 ,  2.5,  1,37Cl,17,20,36965902.584
55,  5.985900 ,  1.0,  1,37Cl,17,20,36965902.584
56,  6.000500 ,  6.5,  1,37Cl,17,20,36965902.584
57,  6.015300 ,  2.5, -1,37Cl,17,20,36965902.584
58,  6.042200 ,  2.5, -1,37Cl,17,20,36965902.584
59,  6.046170 ,  5.5,  1,37Cl,17,20,36965902.584
60,  6.196420 ,  5.5, -1,37Cl,17,20,36965902.584
1,  0.000000 ,  0.0,  1,36Ar,18,18,35967545.105
2,  1.970380 ,  2.0,  1,36Ar,18,18,35967545.105
3,  4.178320 ,  3.0, -1,36Ar,18,18,35967545.105
4,  4.329100 ,  2.0,  1,36Ar,18,18,35967545.105
5,  4.414400 ,  4.0,  1,36Ar,18,18,35967545.105
6,  4.440110 ,  2.0,  1,36Ar,18,18,35967545.105
7,  4.951400 ,  2.0,  1,36Ar,18,18,35967545.105
8,  4.974050 ,  2.0, -1,36Ar,18,18,35967545.105
9,  5.171130 ,  5.0, -1,36Ar,18,18,35967545.105
10,  5.194400 ,  1.0,  1,36Ar,18,18,35967545.105
11,  5.836000 ,  1.0, -1,36Ar,18,18,35967545.105
12,  5.856650 ,  3.0, -1,36Ar,18,18,35967545.105
13,  5.878000 ,  2.0,  1,36Ar,18,18,35967545.105
14,  5.895920 ,  4.0, -1,36Ar,18,18,35967545.105
15,  6.136500 ,  4.0,  1,36Ar,18,18,35967545.105
16,  6.217300 ,  5.0, -1,36Ar,18,18,35967545.105
17,  6.356000 ,  4.0,  1,36Ar,18,18,35967545.105
18,  6.611000 ,  2.0,  1,36Ar,18,18,35967545.105
19,  6.645600 ,  2.0,  1,36Ar,18,18,35967545.105
20,  6.724000 ,  2.0,  1,36Ar,18,18,35967545.105
21,  6.731000 ,  2.0,  1,36Ar,18,18,35967545.105
22,  6.835160 ,  4.0, -1,36Ar,18,18,35967545.105
23,  6.836500 ,  3.0, -1,36Ar,18,18,35967545.105
24,  6.866900 ,  2.0,  1,36Ar,18,18,35967545.105
1,  0.000000 ,  1.5,  1,37Ar,18,19,36966776.314
2,  1.409840 ,  0.5,  1,37Ar,18,19,36966776.314
3,  1.611280 ,  3.5, -1,37Ar,18,19,36966776.314
4,  2.217000 ,  3.5,  1,37Ar,18,19,36966776.314
5,  2.490170 ,  1.5, -1,37Ar,18,19,36966776.314
6,  2.796150 ,  2.5,  1,37Ar,18,19,36966776.314
7,  3.170000 ,  2.5,  1,37Ar,18,19,36966776.314
8,  3.184740 ,  4.5, -1,37Ar,18,19,36966776.314
9,  3.273580 ,  2.5, -1,37Ar,18,19,36966776.314
10,  3.518100 ,  1.5, -1,37Ar,18,19,36966776.314
11,  3.526760 ,  3.5, -1,37Ar,18,19,36966776.314
12,  3.601800 ,  1.5,  1,37Ar,18,19,36966776.314
13,  3.706190 ,  5.5, -1,37Ar,18,19,36966776.314
14,  3.751000 ,  3.5,  1,37Ar,18,19,36966776.314
15,  3.900000 ,  1.5,  1,37Ar,18,19,36966776.314
16,  3.937100 ,  1.5,  1,37Ar,18,19,36966776.314
17,  3.981200 ,  1.5, -1,37Ar,18,19,36966776.314
18,  4.021600 ,  4.5, -1,37Ar,18,19,36966776.314
19,  4.193000 ,  0.5,  1,37Ar,18,19,36966776.314
20,  4.283870 ,  3.5,  1,37Ar,18,19,36966776.314
21,  4.320000 ,  3.5,  1,37Ar,18,19,36966776.314
22,  4.396700 ,  2.5, -1,37Ar,18,19,36966776.314
23,  4.444500 ,  0.5, -1,37Ar,18,19,36966776.314
24,  4.573400 ,  2.5,  1,37Ar,18,19,36966776.314
25,  4.624400 ,  3.5,  1,37Ar,18,19,36966776.314
26,  4.634800 ,  1.5, -1,37Ar,18,19,36966776.314
27,  4.729000 ,  0.5,  1,37Ar,18,19,36966776.314
28,  4.743400 ,  3.5,  1,37Ar,18,19,36966776.314
29,  4.755000 ,  1.5, -1,37Ar,18,19,36966776.314
30,  4.798800 ,  2.5, -1,37Ar,18,19,36966776.314
31,  4.830000 ,  2.5,  1,37Ar,18,19,36966776.314
32,  4.886500 ,  3.5,  1,37Ar,18,19,36966776.314
33,  4.981000 ,  3.5, -1,37Ar,18,19,36966776.314
34,  4.995000 ,  1.5,  1,37Ar,18,19,36966776.314
35,  5.048400 ,  2.5,  1,37Ar,18,19,36966776.314
36,  5.089530 ,  1.5,  1,37Ar,18,19,36966776.314
37,  5.102100 ,  0.5, -1,37Ar,18,19,36966776.314
38,  5.130200 ,  2.5, -1,37Ar,18,19,36966776.314
39,  5.213150 ,  5.5,  1,37Ar,18,19,36966776.314
40,  5.229000 ,  1.5, -1,37Ar,18,19,36966776.314
41,  5.267000 ,  2.5,  1,37Ar,18,19,36966776.314
1,  0.000000 ,  0.0,  1,38Ar,18,20,37962732.104
2,  2.167640 ,  2.0,  1,38Ar,18,20,37962732.104
3,  3.377800 ,  0.0,  1,38Ar,18,20,37962732.104
4,  3.810160 ,  3.0, -1,38Ar,18,20,37962732.104
5,  3.936400 ,  2.0,  1,38Ar,18,20,37962732.104
6,  4.479960 ,  4.0, -1,38Ar,18,20,37962732.104
7,  4.565400 ,  2.0,  1,38Ar,18,20,37962732.104
8,  4.585860 ,  5.0, -1,38Ar,18,20,37962732.104
9,  4.709700 ,  0.0,  1,38Ar,18,20,37962732.104
10,  4.877040 ,  3.0, -1,38Ar,18,20,37962732.104
11,  5.084400 ,  2.0, -1,38Ar,18,20,37962732.104
12,  5.157300 ,  2.0,  1,38Ar,18,20,37962732.104
13,  5.349400 ,  4.0,  1,38Ar,18,20,37962732.104
14,  5.513300 ,  3.0, -1,38Ar,18,20,37962732.104
15,  5.552210 ,  2.0,  1,38Ar,18,20,37962732.104
16,  5.594700 ,  2.0,  1,38Ar,18,20,37962732.104
17,  5.658700 ,  5.0, -1,38Ar,18,20,37962732.104
18,  5.733900 ,  1.0, -1,38Ar,18,20,37962732.104
19,  5.824900 ,  3.0, -1,38Ar,18,20,37962732.104
20,  5.857500 ,  2.0, -1,38Ar,18,20,37962732.104
21,  5.974800 ,  1.0, -1,38Ar,18,20,37962732.104
22,  6.041800 ,  5.0, -1,38Ar,18,20,37962732.104
23,  6.053300 ,  4.0,  1,38Ar,18,20,37962732.104
24,  6.211000 ,  4.0, -1,38Ar,18,20,37962732.104
25,  6.213800 ,  2.0,  1,38Ar,18,20,37962732.104
26,  6.249900 ,  2.0,  1,38Ar,18,20,37962732.104
27,  6.276100 ,  4.0,  1,38Ar,18,20,37962732.104
28,  6.338600 ,  1.0, -1,38Ar,18,20,37962732.104
29,  6.354500 ,  1.0, -1,38Ar,18,20,37962732.104
30,  6.408500 ,  6.0,  1,38Ar,18,20,37962732.104
31,  6.476600 ,  1.0,  1,38Ar,18,20,37962732.104
32,  6.485400 ,  4.0,  1,38Ar,18,20,37962732.104
33,  6.495800 ,  3.0, -1,38Ar,18,20,37962732.104
34,  6.520000 ,  2.0,  1,38Ar,18,20,37962732.104
35,  6.574300 ,  1.0, -1,38Ar,18,20,37962732.104
36,  6.601170 ,  4.0, -1,38Ar,18,20,37962732.104
37,  6.621600 ,  3.0, -1,38Ar,18,20,37962732.104
38,  6.674200 ,  5.0, -1,38Ar,18,20,37962732.104
39,  6.681600 ,  1.0,  1,38Ar,18,20,37962732.104
40,  6.772700 ,  1.0, -1,38Ar,18,20,37962732.104
41,  6.824000 ,  1.0, -1,38Ar,18,20,37962732.104
42,  6.824100 ,  0.0,  1,38Ar,18,20,37962732.104
43,  6.846000 ,  1.0, -1,38Ar,18,20,37962732.104
44,  6.852000 ,  1.0,  1,38Ar,18,20,37962732.104
45,  6.869900 ,  4.0,  1,38Ar,18,20,37962732.104
46,  6.903800 ,  2.0, -1,38Ar,18,20,37962732.104
47,  6.947900 ,  2.0,  1,38Ar,18,20,37962732.104
48,  7.046000 ,  3.0, -1,38Ar,18,20,37962732.104
49,  7.060000 ,  0.0,  1,38Ar,18,20,37962732.104
50,  7.070300 ,  6.0, -1,38Ar,18,20,37962732.104
51,  7.100800 ,  1.0, -1,38Ar,18,20,37962732.104
52,  7.128000 ,  4.0,  1,38Ar,18,20,37962732.104
53,  7.181000 ,  1.0,  1,38Ar,18,20,37962732.104
54,  7.192200 ,  3.0,  1,38Ar,18,20,37962732.104
55,  7.233000 ,  2.0,  1,38Ar,18,20,37962732.104
56,  7.236000 ,  2.0,  1,38Ar,18,20,37962732.104
57,  7.288500 ,  6.0,  1,38Ar,18,20,37962732.104
58,  7.289600 ,  4.0,  1,38Ar,18,20,37962732.104
59,  7.332000 ,  2.0, -1,38Ar,18,20,37962732.104
60,  7.350000 ,  3.0, -1,38Ar,18,20,37962732.104
61,  7.370000 ,  1.0,  1,38Ar,18,20,37962732.104
62,  7.376000 ,  3.0,  1,38Ar,18,20,37962732.104
63,  7.431000 ,  2.0,  1,38Ar,18,20,37962732.104
64,  7.451000 ,  2.0,  1,38Ar,18,20,37962732.104
65,  7.485000 ,  4.0,  1,38Ar,18,20,37962732.104
66,  7.491400 ,  6.0,  1,38Ar,18,20,37962732.104
67,  7.497000 ,  4.0, -1,38Ar,18,20,37962732.104
68,  7.508300 ,  7.0, -1,38Ar,18,20,37962732.104
69,  7.528000 ,  3.0, -1,38Ar,18,20,37962732.104
70,  7.538000 ,  4.0, -1,38Ar,18,20,37962732.104
1,  0.000000 ,  3.5, -1,39Ar,18,21,38964313.03900001
2,  1.267208 ,  1.5, -1,39Ar,18,21,38964313.03900001
3,  1.517542 ,  1.5,  1,39Ar,18,21,38964313.03900001
4,  2.092749 ,  2.5, -1,39Ar,18,21,38964313.03900001
5,  2.342200 ,  4.5, -1,39Ar,18,21,38964313.03900001
6,  2.358285 ,  0.5,  1,39Ar,18,21,38964313.03900001
7,  2.433480 ,  1.5, -1,39Ar,18,21,38964313.03900001
8,  2.481490 ,  3.5, -1,39Ar,18,21,38964313.03900001
9,  2.503419 ,  2.5,  1,39Ar,18,21,38964313.03900001
10,  2.523740 ,  3.5,  1,39Ar,18,21,38964313.03900001
11,  2.631560 ,  1.5, -1,39Ar,18,21,38964313.03900001
12,  2.651120 ,  5.5, -1,39Ar,18,21,38964313.03900001
13,  2.755500 ,  2.5, -1,39Ar,18,21,38964313.03900001
14,  2.829935 ,  0.5,  1,39Ar,18,21,38964313.03900001
15,  2.949950 ,  1.5,  1,39Ar,18,21,38964313.03900001
16,  3.061900 ,  2.5, -1,39Ar,18,21,38964313.03900001
17,  3.090000 ,  2.5, -1,39Ar,18,21,38964313.03900001
18,  3.159900 ,  2.5, -1,39Ar,18,21,38964313.03900001
19,  3.210000 ,  4.5,  1,39Ar,18,21,38964313.03900001
20,  3.265600 ,  1.5, -1,39Ar,18,21,38964313.03900001
21,  3.287000 ,  0.5,  1,39Ar,18,21,38964313.03900001
22,  3.360700 ,  2.5,  1,39Ar,18,21,38964313.03900001
23,  3.378000 ,  1.5,  1,39Ar,18,21,38964313.03900001
24,  3.449000 ,  5.5,  1,39Ar,18,21,38964313.03900001
25,  3.524000 ,  3.5,  1,39Ar,18,21,38964313.03900001
26,  3.562600 ,  1.5, -1,39Ar,18,21,38964313.03900001
27,  3.626000 ,  1.5, -1,39Ar,18,21,38964313.03900001
28,  3.681000 ,  0.5,  1,39Ar,18,21,38964313.03900001
29,  3.740000 ,  0.5,  1,39Ar,18,21,38964313.03900001
30,  3.837000 ,  2.5,  1,39Ar,18,21,38964313.03900001
31,  3.893000 ,  2.5,  1,39Ar,18,21,38964313.03900001
32,  3.957000 ,  3.5,  1,39Ar,18,21,38964313.03900001
33,  3.992100 ,  6.5,  1,39Ar,18,21,38964313.03900001
34,  4.040000 ,  3.5,  1,39Ar,18,21,38964313.03900001
35,  4.113000 ,  3.5,  1,39Ar,18,21,38964313.03900001
1,  0.000000 ,  0.0,  1,40Ar,18,22,39948000.0
2,  1.460851 ,  2.0,  1,40Ar,18,22,39948000.0
3,  2.120800 ,  0.0,  1,40Ar,18,22,39948000.0
4,  2.524100 ,  2.0,  1,40Ar,18,22,39948000.0
5,  2.892600 ,  4.0,  1,40Ar,18,22,39948000.0
6,  3.208000 ,  2.0,  1,40Ar,18,22,39948000.0
7,  3.464480 ,  6.0,  1,40Ar,18,22,39948000.0
8,  3.511300 ,  2.0,  1,40Ar,18,22,39948000.0
9,  3.515000 ,  4.0,  1,40Ar,18,22,39948000.0
10,  3.680800 ,  3.0, -1,40Ar,18,22,39948000.0
11,  3.918800 ,  2.0,  1,40Ar,18,22,39948000.0
12,  3.941700 ,  2.0,  1,40Ar,18,22,39948000.0
13,  4.041000 ,  0.0, -1,40Ar,18,22,39948000.0
14,  4.082500 ,  3.0, -1,40Ar,18,22,39948000.0
15,  4.178900 ,  2.0,  1,40Ar,18,22,39948000.0
16,  4.226000 ,  4.0, -1,40Ar,18,22,39948000.0
17,  4.229000 ,  2.0, -1,40Ar,18,22,39948000.0
18,  4.300800 ,  1.0, -1,40Ar,18,22,39948000.0
19,  4.324500 ,  2.0,  1,40Ar,18,22,39948000.0
20,  4.358000 ,  2.0, -1,40Ar,18,22,39948000.0
21,  4.420000 ,  2.0,  1,40Ar,18,22,39948000.0
22,  4.427000 ,  4.0,  1,40Ar,18,22,39948000.0
23,  4.473000 ,  1.0,  1,40Ar,18,22,39948000.0
24,  4.481000 ,  1.0, -1,40Ar,18,22,39948000.0
25,  4.494000 ,  5.0, -1,40Ar,18,22,39948000.0
26,  4.562300 ,  3.0, -1,40Ar,18,22,39948000.0
27,  4.578000 ,  2.0,  1,40Ar,18,22,39948000.0
28,  4.602000 ,  2.0, -1,40Ar,18,22,39948000.0
29,  4.674000 ,  1.0,  1,40Ar,18,22,39948000.0
30,  4.737800 ,  1.0, -1,40Ar,18,22,39948000.0
31,  4.769000 ,  1.0, -1,40Ar,18,22,39948000.0
32,  4.794000 ,  4.0,  1,40Ar,18,22,39948000.0
33,  4.858000 ,  5.0, -1,40Ar,18,22,39948000.0
34,  4.875000 ,  3.0, -1,40Ar,18,22,39948000.0
35,  4.901000 ,  1.0,  1,40Ar,18,22,39948000.0
36,  4.929000 ,  1.0, -1,40Ar,18,22,39948000.0
37,  4.942600 ,  3.0, -1,40Ar,18,22,39948000.0
38,  4.959000 ,  6.0,  1,40Ar,18,22,39948000.0
39,  4.972000 ,  2.0,  1,40Ar,18,22,39948000.0
40,  4.991000 ,  4.0, -1,40Ar,18,22,39948000.0
41,  5.110000 ,  2.0, -1,40Ar,18,22,39948000.0
42,  5.115000 ,  4.0, -1,40Ar,18,22,39948000.0
43,  5.143000 ,  5.0,  1,40Ar,18,22,39948000.0
44,  5.165800 ,  4.0,  1,40Ar,18,22,39948000.0
45,  5.191000 ,  1.0, -1,40Ar,18,22,39948000.0
46,  5.245000 ,  0.0,  1,40Ar,18,22,39948000.0
47,  5.270100 ,  2.0,  1,40Ar,18,22,39948000.0
48,  5.293000 ,  1.0,  1,40Ar,18,22,39948000.0
49,  5.310000 ,  2.0, -1,40Ar,18,22,39948000.0
50,  5.350000 ,  3.0, -1,40Ar,18,22,39948000.0
51,  5.378000 ,  4.0,  1,40Ar,18,22,39948000.0
52,  5.400500 ,  1.0, -1,40Ar,18,22,39948000.0
53,  5.454000 ,  4.0,  1,40Ar,18,22,39948000.0
54,  5.508000 ,  5.0, -1,40Ar,18,22,39948000.0
55,  5.544000 ,  1.0, -1,40Ar,18,22,39948000.0
56,  5.559000 ,  6.0,  1,40Ar,18,22,39948000.0
57,  5.608700 ,  2.0,  1,40Ar,18,22,39948000.0
58,  5.611000 ,  5.0, -1,40Ar,18,22,39948000.0
59,  5.630000 ,  4.0,  1,40Ar,18,22,39948000.0
60,  5.654000 ,  4.0, -1,40Ar,18,22,39948000.0
61,  5.662000 ,  2.0, -1,40Ar,18,22,39948000.0
62,  5.675000 ,  4.0,  1,40Ar,18,22,39948000.0
63,  5.717800 ,  2.0,  1,40Ar,18,22,39948000.0
64,  5.766000 ,  2.0, -1,40Ar,18,22,39948000.0
65,  5.818000 ,  2.0,  1,40Ar,18,22,39948000.0
66,  5.880400 ,  1.0, -1,40Ar,18,22,39948000.0
67,  5.885000 ,  3.0, -1,40Ar,18,22,39948000.0
68,  5.905900 ,  1.0, -1,40Ar,18,22,39948000.0
69,  5.912000 ,  1.0,  1,40Ar,18,22,39948000.0
70,  5.913000 ,  4.0, -1,40Ar,18,22,39948000.0
71,  5.931000 ,  2.0,  1,40Ar,18,22,39948000.0
72,  5.950500 ,  1.0, -1,40Ar,18,22,39948000.0
73,  5.973000 ,  5.0, -1,40Ar,18,22,39948000.0
1,  0.000000 ,  3.5, -1,41Ar,18,23,40964500.571
2,  0.167300 ,  2.5, -1,41Ar,18,23,40964500.571
3,  0.516000 ,  1.5, -1,41Ar,18,23,40964500.571
4,  1.034700 ,  1.5,  1,41Ar,18,23,40964500.571
5,  1.354000 ,  1.5, -1,41Ar,18,23,40964500.571
6,  1.636000 ,  1.5, -1,41Ar,18,23,40964500.571
7,  1.870000 ,  0.5,  1,41Ar,18,23,40964500.571
8,  1.988000 ,  2.5,  1,41Ar,18,23,40964500.571
9,  2.321000 ,  2.5,  1,41Ar,18,23,40964500.571
10,  2.398300 ,  0.5, -1,41Ar,18,23,40964500.571
11,  2.568000 ,  0.5,  1,41Ar,18,23,40964500.571
12,  2.701000 ,  1.5, -1,41Ar,18,23,40964500.571
13,  2.733400 ,  1.5, -1,41Ar,18,23,40964500.571
14,  2.891000 ,  4.5,  1,41Ar,18,23,40964500.571
15,  2.948500 ,  1.5, -1,41Ar,18,23,40964500.571
16,  3.009700 ,  1.5, -1,41Ar,18,23,40964500.571
17,  3.122000 ,  1.5,  1,41Ar,18,23,40964500.571
18,  3.293000 ,  1.5, -1,41Ar,18,23,40964500.571
19,  3.326700 ,  0.5, -1,41Ar,18,23,40964500.571
20,  3.388000 ,  0.5, -1,41Ar,18,23,40964500.571
21,  3.433000 ,  0.5, -1,41Ar,18,23,40964500.571
22,  3.485000 ,  1.5,  1,41Ar,18,23,40964500.571
23,  3.565000 ,  0.5,  1,41Ar,18,23,40964500.571
24,  3.590000 ,  1.5, -1,41Ar,18,23,40964500.571
25,  3.698000 ,  1.5,  1,41Ar,18,23,40964500.571
26,  3.734000 ,  0.5,  1,41Ar,18,23,40964500.571
27,  3.775000 ,  1.5,  1,41Ar,18,23,40964500.571
28,  3.799000 ,  0.5, -1,41Ar,18,23,40964500.571
29,  3.847000 ,  1.5,  1,41Ar,18,23,40964500.571
30,  3.900000 ,  0.5,  1,41Ar,18,23,40964500.571
1,  0.000000 ,  1.5,  1,39K,19,20,39098000.0
2,  2.522500 ,  0.5,  1,39K,19,20,39098000.0
3,  2.814300 ,  3.5, -1,39K,19,20,39098000.0
4,  3.019200 ,  1.5, -1,39K,19,20,39098000.0
5,  3.597500 ,  4.5, -1,39K,19,20,39098000.0
6,  3.883100 ,  2.5, -1,39K,19,20,39098000.0
7,  3.938800 ,  1.5,  1,39K,19,20,39098000.0
8,  3.944300 ,  5.5, -1,39K,19,20,39098000.0
9,  4.082300 ,  1.5, -1,39K,19,20,39098000.0
10,  4.095300 ,  0.5,  1,39K,19,20,39098000.0
11,  4.126000 ,  3.5, -1,39K,19,20,39098000.0
12,  4.475100 ,  1.5, -1,39K,19,20,39098000.0
13,  4.514300 ,  2.5,  1,39K,19,20,39098000.0
14,  4.520200 ,  4.5, -1,39K,19,20,39098000.0
15,  4.678600 ,  3.5, -1,39K,19,20,39098000.0
16,  4.737500 ,  2.5, -1,39K,19,20,39098000.0
17,  4.737900 ,  2.5,  1,39K,19,20,39098000.0
18,  4.930100 ,  1.5,  1,39K,19,20,39098000.0
19,  4.977000 ,  2.5, -1,39K,19,20,39098000.0
20,  5.009100 ,  3.5, -1,39K,19,20,39098000.0
21,  5.010600 ,  1.5, -1,39K,19,20,39098000.0
22,  5.157000 ,  3.5, -1,39K,19,20,39098000.0
23,  5.163900 ,  4.5, -1,39K,19,20,39098000.0
24,  5.165500 ,  2.5, -1,39K,19,20,39098000.0
25,  5.173400 ,  2.5,  1,39K,19,20,39098000.0
26,  5.262700 ,  2.5,  1,39K,19,20,39098000.0
27,  5.318200 ,  1.5,  1,39K,19,20,39098000.0
28,  5.354000 ,  5.5, -1,39K,19,20,39098000.0
29,  5.370000 ,  1.5, -1,39K,19,20,39098000.0
30,  5.501000 ,  1.5,  1,39K,19,20,39098000.0
31,  5.501900 ,  3.5, -1,39K,19,20,39098000.0
32,  5.597900 ,  2.5,  1,39K,19,20,39098000.0
33,  5.643400 ,  3.5, -1,39K,19,20,39098000.0
34,  5.711500 ,  1.5,  1,39K,19,20,39098000.0
35,  5.718300 ,  6.5, -1,39K,19,20,39098000.0
36,  5.788300 ,  2.5,  1,39K,19,20,39098000.0
37,  5.801600 ,  3.5, -1,39K,19,20,39098000.0
38,  5.826300 ,  1.5, -1,39K,19,20,39098000.0
39,  5.891000 ,  3.5, -1,39K,19,20,39098000.0
40,  5.899000 ,  1.5, -1,39K,19,20,39098000.0
41,  5.937900 ,  2.5,  1,39K,19,20,39098000.0
42,  5.960000 ,  0.5, -1,39K,19,20,39098000.0
43,  6.005600 ,  5.5, -1,39K,19,20,39098000.0
44,  6.042000 ,  3.5,  1,39K,19,20,39098000.0
45,  6.053000 ,  3.5,  1,39K,19,20,39098000.0
46,  6.093000 ,  2.5, -1,39K,19,20,39098000.0
47,  6.110500 ,  0.5, -1,39K,19,20,39098000.0
48,  6.186000 ,  2.0,  1,39K,19,20,39098000.0
49,  6.192000 ,  3.5, -1,39K,19,20,39098000.0
50,  6.246000 ,  0.5,  1,39K,19,20,39098000.0
51,  6.246800 ,  3.5, -1,39K,19,20,39098000.0
52,  6.331000 ,  1.5, -1,39K,19,20,39098000.0
53,  6.332000 ,  1.5,  1,39K,19,20,39098000.0
54,  6.356000 ,  2.5,  1,39K,19,20,39098000.0
55,  6.396000 ,  3.5, -1,39K,19,20,39098000.0
56,  6.410000 ,  1.0,  1,39K,19,20,39098000.0
57,  6.434200 ,  6.5,  1,39K,19,20,39098000.0
58,  6.458000 ,  0.5,  1,39K,19,20,39098000.0
59,  6.465000 ,  1.5, -1,39K,19,20,39098000.0
60,  6.475100 ,  7.5,  1,39K,19,20,39098000.0
61,  6.501000 ,  2.5,  1,39K,19,20,39098000.0
62,  6.528000 ,  3.5,  1,39K,19,20,39098000.0
63,  6.546000 ,  3.5, -1,39K,19,20,39098000.0
64,  6.550000 ,  2.5, -1,39K,19,20,39098000.0
1,  0.000000 ,  4.0, -1,40K,19,21,39963998.166
2,  0.029830 ,  3.0, -1,40K,19,21,39963998.166
3,  0.800143 ,  2.0, -1,40K,19,21,39963998.166
4,  0.891398 ,  5.0, -1,40K,19,21,39963998.166
5,  1.643639 ,  0.0,  1,40K,19,21,39963998.166
6,  1.959068 ,  2.0,  1,40K,19,21,39963998.166
7,  2.047354 ,  2.0, -1,40K,19,21,39963998.166
8,  2.069809 ,  3.0, -1,40K,19,21,39963998.166
9,  2.103668 ,  1.0, -1,40K,19,21,39963998.166
10,  2.260400 ,  3.0,  1,40K,19,21,39963998.166
11,  2.289871 ,  1.0,  1,40K,19,21,39963998.166
12,  2.290493 ,  3.0, -1,40K,19,21,39963998.166
13,  2.397165 ,  4.0, -1,40K,19,21,39963998.166
14,  2.419171 ,  2.0, -1,40K,19,21,39963998.166
15,  2.542770 ,  7.0,  1,40K,19,21,39963998.166
16,  2.558000 ,  3.0, -1,40K,19,21,39963998.166
17,  2.575930 ,  2.0,  1,40K,19,21,39963998.166
18,  2.625990 ,  0.0, -1,40K,19,21,39963998.166
19,  2.730372 ,  1.0, -1,40K,19,21,39963998.166
20,  2.746910 ,  3.0, -1,40K,19,21,39963998.166
21,  2.756720 ,  2.0,  1,40K,19,21,39963998.166
22,  2.786644 ,  3.0,  1,40K,19,21,39963998.166
23,  2.787400 ,  4.0, -1,40K,19,21,39963998.166
24,  2.807880 ,  2.0, -1,40K,19,21,39963998.166
25,  2.879010 ,  6.0,  1,40K,19,21,39963998.166
