Level_Number,Level_Energy,Spin,Parity,Element_w_A,Target_Protons,Target_Neutrons,Atomic_Mass_Micro
10,  9.560000 ,  2.0,  1,10Be,4,6,10013534.695
11, 10.150000 ,  3.0, -1,10Be,4,6,10013534.695
12, 10.570000 ,  1.0, -1,10Be,4,6,10013534.695
13, 11.230000 ,  1.0, -1,10Be,4,6,10013534.695
14, 11.760000 ,  4.0,  1,10Be,4,6,10013534.695
15, 11.930000 ,  5.0, -1,10Be,4,6,10013534.695
16, 13.050000 ,  1.0, -1,10Be,4,6,10013534.695
17, 13.850000 ,  2.0, -1,10Be,4,6,10013534.695
1,  0.000000 ,  3.0,  1,10B,5,5,10012936.862
2,  0.718380 ,  1.0,  1,10B,5,5,10012936.862
3,  1.740050 ,  0.0,  1,10B,5,5,10012936.862
4,  2.154270 ,  1.0,  1,10B,5,5,10012936.862
5,  3.587130 ,  2.0,  1,10B,5,5,10012936.862
6,  4.774000 ,  3.0,  1,10B,5,5,10012936.862
7,  5.110300 ,  2.0, -1,10B,5,5,10012936.862
8,  5.163900 ,  2.0,  1,10B,5,5,10012936.862
9,  5.182000 ,  1.0,  1,10B,5,5,10012936.862
10,  5.919500 ,  2.0,  1,10B,5,5,10012936.862
11,  6.024900 ,  4.0,  1,10B,5,5,10012936.862
12,  6.129100 ,  3.0, -1,10B,5,5,10012936.862
13,  6.560100 ,  4.0, -1,10B,5,5,10012936.862
14,  6.875000 ,  1.0, -1,10B,5,5,10012936.862
15,  7.004000 ,  3.0,  1,10B,5,5,10012936.862
16,  7.428000 ,  1.0, -1,10B,5,5,10012936.862
17,  7.470000 ,  2.0,  1,10B,5,5,10012936.862
18,  7.479000 ,  2.0, -1,10B,5,5,10012936.862
19,  7.559900 ,  0.0,  1,10B,5,5,10012936.862
20,  7.666000 ,  1.0,  1,10B,5,5,10012936.862
21,  7.750000 ,  2.0, -1,10B,5,5,10012936.862
22,  7.811000 ,  1.0, -1,10B,5,5,10012936.862
23,  7.960000 ,  2.0, -1,10B,5,5,10012936.862
24,  8.070000 ,  2.0,  1,10B,5,5,10012936.862
1,  0.000000 ,  1.5, -1,11B,5,6,10811000.0
2,  2.124693 ,  0.5, -1,11B,5,6,10811000.0
3,  4.444980 ,  2.5, -1,11B,5,6,10811000.0
4,  5.020300 ,  1.5, -1,11B,5,6,10811000.0
5,  6.741850 ,  3.5, -1,11B,5,6,10811000.0
6,  6.791800 ,  0.5,  1,11B,5,6,10811000.0
7,  7.285510 ,  2.5,  1,11B,5,6,10811000.0
8,  7.977840 ,  1.5,  1,11B,5,6,10811000.0
9,  8.560100 ,  1.5, -1,11B,5,6,10811000.0
10,  8.920470 ,  2.5, -1,11B,5,6,10811000.0
11,  9.183500 ,  3.5,  1,11B,5,6,10811000.0
12,  9.271700 ,  2.5,  1,11B,5,6,10811000.0
13,  9.820000 ,  0.5,  1,11B,5,6,10811000.0
14,  9.873000 ,  1.5,  1,11B,5,6,10811000.0
15, 10.262000 ,  1.5, -1,11B,5,6,10811000.0
16, 10.330000 ,  2.5, -1,11B,5,6,10811000.0
17, 10.602000 ,  3.5,  1,11B,5,6,10811000.0
18, 10.960000 ,  2.5, -1,11B,5,6,10811000.0
19, 11.272000 ,  4.5,  1,11B,5,6,10811000.0
20, 11.450000 ,  0.5,  1,11B,5,6,10811000.0
21, 11.600000 ,  2.5,  1,11B,5,6,10811000.0
22, 11.893000 ,  2.5, -1,11B,5,6,10811000.0
23, 12.040000 ,  3.5,  1,11B,5,6,10811000.0
1,  0.000000 ,  0.0,  1,12C,6,6,12011000.0
2,  4.438910 ,  2.0,  1,12C,6,6,12011000.0
3,  7.654200 ,  0.0,  1,12C,6,6,12011000.0
4,  9.641000 ,  3.0, -1,12C,6,6,12011000.0
5, 10.300000 ,  0.0,  1,12C,6,6,12011000.0
6, 10.844000 ,  1.0, -1,12C,6,6,12011000.0
7, 11.160000 ,  2.0,  1,12C,6,6,12011000.0
8, 11.828000 ,  2.0, -1,12C,6,6,12011000.0
9, 12.710000 ,  1.0,  1,12C,6,6,12011000.0
10, 13.352000 ,  2.0, -1,12C,6,6,12011000.0
11, 14.083000 ,  4.0,  1,12C,6,6,12011000.0
12, 15.110000 ,  1.0,  1,12C,6,6,12011000.0
13, 15.440000 ,  2.0,  1,12C,6,6,12011000.0
14, 16.105800 ,  2.0,  1,12C,6,6,12011000.0
15, 16.570000 ,  2.0, -1,12C,6,6,12011000.0
16, 17.230000 ,  1.0, -1,12C,6,6,12011000.0
17, 17.760000 ,  0.0,  1,12C,6,6,12011000.0
18, 18.160000 ,  1.0,  1,12C,6,6,12011000.0
19, 18.350000 ,  3.0, -1,12C,6,6,12011000.0
1,  0.000000 ,  0.5, -1,13C,6,7,13003354.83521
2,  3.089443 ,  0.5,  1,13C,6,7,13003354.83521
3,  3.684507 ,  1.5, -1,13C,6,7,13003354.83521
4,  3.853807 ,  2.5,  1,13C,6,7,13003354.83521
5,  6.864000 ,  2.5,  1,13C,6,7,13003354.83521
6,  7.492000 ,  3.5,  1,13C,6,7,13003354.83521
7,  7.547000 ,  2.5, -1,13C,6,7,13003354.83521
8,  7.686000 ,  1.5,  1,13C,6,7,13003354.83521
9,  8.200000 ,  1.5,  1,13C,6,7,13003354.83521
10,  8.860000 ,  0.5, -1,13C,6,7,13003354.83521
11,  9.499800 ,  4.5,  1,13C,6,7,13003354.83521
12,  9.897000 ,  1.5, -1,13C,6,7,13003354.83521
13, 10.460000 ,  1.5,  1,13C,6,7,13003354.83521
14, 10.753000 ,  3.5, -1,13C,6,7,13003354.83521
15, 10.818000 ,  2.5, -1,13C,6,7,13003354.83521
16, 10.996000 ,  0.5,  1,13C,6,7,13003354.83521
17, 11.080000 ,  0.5, -1,13C,6,7,13003354.83521
18, 11.748000 ,  1.5, -1,13C,6,7,13003354.83521
19, 11.848000 ,  3.5,  1,13C,6,7,13003354.83521
20, 11.950000 ,  2.5,  1,13C,6,7,13003354.83521
21, 12.106000 ,  1.5,  1,13C,6,7,13003354.83521
22, 12.130000 ,  2.5, -1,13C,6,7,13003354.83521
23, 12.140000 ,  0.5,  1,13C,6,7,13003354.83521
24, 12.187000 ,  1.5, -1,13C,6,7,13003354.83521
25, 12.438000 ,  3.5, -1,13C,6,7,13003354.83521
26, 13.000000 ,  1.5,  1,13C,6,7,13003354.83521
27, 13.280000 ,  1.5, -1,13C,6,7,13003354.83521
28, 13.410000 ,  4.5, -1,13C,6,7,13003354.83521
29, 13.570000 ,  3.5, -1,13C,6,7,13003354.83521
30, 13.760000 ,  2.5,  1,13C,6,7,13003354.83521
1,  0.000000 ,  0.0,  1,14C,6,8,14003241.98843
2,  6.093800 ,  1.0, -1,14C,6,8,14003241.98843
3,  6.589400 ,  0.0,  1,14C,6,8,14003241.98843
4,  6.728200 ,  3.0, -1,14C,6,8,14003241.98843
5,  6.902600 ,  0.0, -1,14C,6,8,14003241.98843
6,  7.012000 ,  2.0,  1,14C,6,8,14003241.98843
7,  7.341000 ,  2.0, -1,14C,6,8,14003241.98843
8,  8.317900 ,  2.0,  1,14C,6,8,14003241.98843
9,  9.746000 ,  0.0,  1,14C,6,8,14003241.98843
10,  9.801000 ,  3.0, -1,14C,6,8,14003241.98843
11, 10.425000 ,  2.0,  1,14C,6,8,14003241.98843
12, 10.449000 ,  1.0, -1,14C,6,8,14003241.98843
13, 10.498000 ,  3.0, -1,14C,6,8,14003241.98843
14, 10.736000 ,  4.0,  1,14C,6,8,14003241.98843
15, 11.306000 ,  1.0,  1,14C,6,8,14003241.98843
16, 11.395000 ,  1.0, -1,14C,6,8,14003241.98843
17, 11.500000 ,  2.0, -1,14C,6,8,14003241.98843
18, 11.666000 ,  4.0, -1,14C,6,8,14003241.98843
19, 11.730000 ,  5.0, -1,14C,6,8,14003241.98843
20, 11.900000 ,  1.0, -1,14C,6,8,14003241.98843
21, 12.583000 ,  2.0, -1,14C,6,8,14003241.98843
22, 12.863000 ,  3.0, -1,14C,6,8,14003241.98843
