Energy,Data
392.317,0.609437
392.511,0.657799
392.641,0.693385
392.771,0.732013
392.9,0.774049
393.03,0.819919
393.16,0.870119
393.289,0.925233
393.406,0.979603
393.51,1.03221
393.614,1.08936
393.717,1.1516
393.821,1.21959
393.925,1.2941
394.029,1.37604
394.132,1.46649
394.23,1.56015
394.32,1.65645
394.411,1.76255
394.502,1.8799
394.593,2.01018
394.683,2.15539
394.752,2.27549
394.82,2.40644
394.888,2.54953
394.945,2.68141
395.015,2.85597
395.085,3.04832
395.156,3.26063
395.226,3.49533
395.296,3.75507
395.366,4.04279
395.436,4.36164
395.49,4.63334
395.548,4.94956
395.607,5.29387
395.665,5.66851
395.724,6.07577
395.782,6.51792
395.834,6.9421
395.886,7.39721
395.938,7.88473
395.989,8.40606
396.041,8.96246
396.119,9.86511
396.197,10.8518
396.275,11.9239
396.353,13.0812
396.43,14.3215
396.508,15.6403
396.612,17.5083
396.742,19.9845
397.027,25.6435
397.131,27.6223
397.234,29.4702
397.338,31.1288
397.416,32.2146
397.481,32.9984
397.559,33.7769
397.649,34.4416
397.727,34.7887
397.815,34.9237
397.901,34.789
397.994,34.3479
398.059,33.8678
398.156,32.8984
398.251,31.6949
398.345,30.2922
398.438,28.7148
398.562,26.4124
398.905,19.6613
399.019,17.4958
399.102,15.9971
399.185,14.577
399.268,13.2445
399.333,12.2683
399.403,11.2798
399.473,10.3602
399.543,9.50901
399.613,8.72475
399.683,8.0051
399.743,7.44084
399.802,6.9193
399.862,6.43823
399.922,5.99527
399.981,5.588
400.041,5.21401
400.1,4.87089
400.16,4.55629
400.23,4.22032
400.3,3.91706
400.37,3.64324
400.44,3.39584
400.51,3.17209
400.58,2.96947
400.65,2.78568
400.72,2.61868
400.788,2.47066
400.857,2.33527
400.902,2.25135
400.993,2.09715
401.084,1.95905
401.174,1.83488
401.265,1.7228
401.356,1.62125
401.447,1.52893
401.534,1.44757
401.622,1.37288
401.738,1.2824
401.855,1.20099
401.972,1.12742
402.089,1.06068
402.205,0.999919
402.322,0.944416
402.445,0.890862
402.575,0.839417
402.705,0.792432
402.834,0.749392
402.964,0.709857
403.094,0.673446
403.288,0.623984
403.418,0.594042
403.593,0.55699
403.768,0.523365
403.943,0.492747
404.118,0.464785
404.293,0.439173
404.468,0.415654
404.643,0.394003
404.819,0.374024
405.045,0.35034
405.272,0.328865
405.499,0.309329
405.726,0.291503
405.953,0.275191
406.18,0.260224
406.407,0.246459
406.634,0.233768
406.894,0.220441
407.153,0.208233
407.412,0.197023
407.672,0.186703
