Institute,dEnergy
(2TUKANR),12.0
(3INDBHU),12.0
(2JAPKYU),12.0
(3CHLSAN),12.0
(3AULCBR),12.0
(1USANWU),11.0
(1USAAI),11.0
(2SPNVAL),11.0
(1USABLN),11.0
(3SAFSCT),11.0
(2GERMNZ),11.0
(2UK BIA),11.0
(3CPRBNU),11.0
(1USAPSU),10.0
(3CPRHST),10.0
(4UKRKHU),10.0
(2GERKIG),10.0
(1USAAUB),10.0
(2ZZZISP),10.0
(2UK OXF),9.0
(3PAKLAH),9.0
(1USAMIS),9.0
(1CANOTU),9.0
(2GERGOE),9.0
(1USAPEN),9.0
(3VN IPH),9.0
(2ITYMIL),9.0
(3RUMPIT),8.0
(1USACAR),8.0
(3CHFSHI),8.0
(3VN DAL),8.0
(3INDMNP),8.0
(1USAUNH),7.0
(2FR STR),7.0
(1USABRN),7.0
(3BULBLA),7.0
(2FR FR),7.0
(1USASUI),7.0
(1USAINL),7.0
(3RUMCIP),7.0
(3BULSOF),6.0
(1USAPUR),6.0
(3CZRUJV),6.0
(2SWTWUR),6.0
(1CANTMF),6.0
(3CPRIMP),6.0
(3GHALGN),6.0
(3NI ABU),6.0
(2SF HLS),6.0
(4RUSMIM),6.0
(2UK LON),6.0
(3BANRAM),6.0
(1USALRC),5.0
(1CANOTC),5.0
(2GERKLN),5.0
(2FR PAR),5.0
(3YUGBKB),5.0
(3ISLNEG),5.0
(2FR CSN),5.0
(1CANQU),5.0
(2SWTPSI),5.0
(2NEDRCN),5.0
(2SWTETH),5.0
(4CCPUFT),5.0
(2SWDCTH),4.0
(1USAUSA),4.0
(2SPNSEU),4.0
(2TUKGZU),4.0
(2ITYPAV),4.0
(2JPNETL),4.0
(1USALAN),4.0
(3SRBBKB),4.0
(2SWTBAS),3.0
(4CCPNIR),3.0
(2FR GRE),3.0
(1USAORS),3.0
(1USACHI),3.0
(1USALMS),3.0
(1USAVBT),3.0
(2NEDAMS),3.0
(3BURRAS),2.0
(4CCPIFB),2.0
(3ALGUAG),2.0
(3INDTAT),2.0
(2ITYFIR),2.0
(3SLNIJS),2.0
(4UZ NUU),2.0
(2JPNYOK),2.0
(2GERTHD),2.0
(2JPNMZK),2.0
(3DDRZFI),2.0
(3ISLHEB),2.0
(1USANCS),1.0
(1USAMND),1.0
(2GERPTB),1.0
(1CANMRC),1.0
(1USABNW),1.0
(1USAAFT),1.0
(3AULWUC),1.0
(3BLVIBC),1.0
(2DENCOP),1.0
(2JPNNII),1.0
(3INDBDA),1.0
(2TUKTUK),1.0
(3IRNKRJ),1.0
(1USACAL),1.0
(2UK UKW),1.0
(1USAJHU),1.0
(1USAIRV),1.0
(1USABEL),1.0
(2SWDLND),1.0
(3DDRTUD),1.0
(1USACLK),1.0
(4CCPJIA),1.0
(2SWTFRS),1.0
(3CHFNTU),1.0
(1USAGEV),1.0
(2SWTUBE),1.0
(2UK DUR),1.0
(1USACLA),1.0
(3ALGCDT),1.0
