Energy,Flux
2.98E-06,0
3.15E-06,0
3.34E-06,0
3.53E-06,0
3.74E-06,0
3.95E-06,0
4.19E-06,0
4.43E-06,0
4.69E-06,0
4.96E-06,0
5.25E-06,0
5.56E-06,0
5.88E-06,0
6.22E-06,0
6.59E-06,0
6.97E-06,0
7.38E-06,0
7.80E-06,0
8.26E-06,0
8.74E-06,0
9.25E-06,0
9.79E-06,0
1.04E-05,0
1.10E-05,0
1.16E-05,0
1.23E-05,0
1.30E-05,0
1.38E-05,0
1.46E-05,0
1.54E-05,0
1.63E-05,0
1.73E-05,0
1.83E-05,0
1.93E-05,0
2.04E-05,0
2.16E-05,0
2.29E-05,0
2.42E-05,0
2.56E-05,0
2.71E-05,0
2.87E-05,0
3.04E-05,0
3.22E-05,0
3.40E-05,0
3.60E-05,7.27E-06
3.81E-05,0
4.03E-05,7.55E-06
4.27E-05,0
4.52E-05,0
4.78E-05,0
5.06E-05,0
5.36E-05,1.41E-05
5.67E-05,6.61E-06
6.00E-05,0
6.35E-05,3.01E-05
6.72E-05,3.01E-05
7.11E-05,1.96E-05
7.52E-05,3.12E-05
7.96E-05,4.97E-05
8.43E-05,5.49E-05
8.92E-05,6.91E-05
9.44E-05,0.000133285
9.99E-05,7.02E-05
0.000105697,0.000122842
0.000111857,0.000288953
0.000118377,0.000224468
0.000125276,0.000555657
0.000132578,0.00033768
0.000140305,0.000806243
0.000148482,0.000787548
0.000157136,0.000734798
0.000166295,0.000935812
0.000175987,0.00110799
0.000186244,0.00205191
0.000197099,0.00181243
0.000208587,0.00253082
0.000220744,0.00348824
0.00023361,0.00409776
0.000247225,0.00529104
0.000261635,0.00676689
0.000276884,0.00779996
0.000293021,0.0104082
0.0003101,0.012718
0.000328174,0.0137898
0.000347301,0.0174406
0.000367543,0.0216741
0.000388964,0.0239333
0.000411634,0.0279199
0.000435626,0.0296944
0.000461016,0.037804
0.000487886,0.0433659
0.000516321,0.0488152
0.000546414,0.059327
0.000578261,0.0710481
0.000611964,0.0777566
0.000647632,0.0984232
0.000685378,0.109466
0.000725325,0.122813
0.000767599,0.139926
0.000812337,0.162776
0.000859683,0.177813
0.000909789,0.19919
0.000962815,0.231093
0.00101893,0.224732
0.00107832,0.245821
0.00114117,0.275163
0.00120768,0.302646
0.00127807,0.3048
0.00135256,0.333451
0.00143139,0.316241
0.00151481,0.323607
0.0016031,0.314782
0.00169654,0.28693
0.00179542,0.256111
0.00190006,0.22044
0.0020108,0.168532
0.002128,0.129633
0.00225203,0.0864
0.00238328,0.0525059
0.00252219,0.0274667
0.00266919,0.0120445
0.00282476,0.00762595
0.0029894,0.0129992
0.00316363,0.0267835
0.00334802,0.0478011
0.00354315,0.0740441
0.00374966,0.106738
0.00396821,0.1362
0.00419949,0.174074
0.00444425,0.211043
0.00470327,0.250325
0.0049774,0.288026
0.0052675,0.325966
0.00557451,0.365368
0.00589941,0.397865
0.00624325,0.437701
0.00660713,0.487116
0.00699221,0.500486
0.00739975,0.558634
0.00783103,0.690943
0.00828745,0.339333
0.00877047,0.559612
0.00928165,0.651248
0.00982261,0.708008
0.0103951,0.749947
0.011001,0.79302
0.0116422,0.830604
0.0123207,0.878687
0.0130388,0.904476
0.0137987,0.952263
0.014603,1.00432
0.0154541,1.04002
0.0163548,1.08959
0.017308,1.14622
0.0183168,1.16154
0.0193844,1.22783
0.0205142,1.29051
0.0217098,1.24633
0.0229751,1.4315
0.0243142,1.49132
0.0257313,0.750562
0.027231,1.23727
0.0288182,1.39606
0.0304978,1.47487
0.0322753,1.5164
0.0341564,1.57164
0.0361472,1.61217
0.038254,1.67808
0.0404836,1.63553
0.0428431,1.8322
0.0453401,1.76717
0.0479827,1.37702
0.0507793,1.28201
0.0537389,0.626504
0.056871,1.51242
0.0601857,1.85141
0.0636935,1.94798
0.0674058,1.94938
0.0713344,2.06133
0.0754921,2.14534
0.079892,2.13481
0.0845484,2.26157
0.0894762,2.42644
0.0946912,1.9567
0.10021,2.2972
0.106051,2.39282
0.112232,2.41595
0.118773,2.46954
0.125696,2.50369
0.133022,2.61998
0.140774,2.15598
0.148979,2.50988
0.157662,2.57198
0.166851,2.63672
0.176576,2.61357
0.186868,2.42603
0.197759,1.72398
0.209285,1.8758
0.221483,2.12883
0.234392,1.76457
0.248053,2.09007
0.26251,2.75637
0.27781,3.01373
0.294002,3.20654
0.311138,2.28064
0.329272,2.44972
0.348463,2.58291
0.368773,2.33166
0.390266,1.75742
0.413012,2.02386
0.437084,1.92188
0.462559,2.4017
0.489519,2.7769
0.51805,2.70734
0.548243,1.84193
0.580197,1.69653
0.614013,1.32557
0.6498,1.28491
0.687672,1.1075
0.727752,1.01073
0.770168,1.21048
0.815057,1.20926
0.862561,1.37466
0.912834,1.20273
0.966037,1.28953
1.02234,1.24687
1.08193,1.1898
1.14499,1.33108
1.21172,1.26331
1.28234,1.34617
1.35708,1.30051
1.43618,1.24935
1.51988,1.24151
1.60847,1.06656
1.70222,1.0726
1.80143,0.995034
1.90642,1.09983
2.01753,0.827009
2.13512,0.722013
2.25957,0.747275
2.39126,0.703402
2.53063,0.641554
2.67813,0.628012
2.83422,0.558177
2.99941,0.541037
3.17422,0.487065
3.35923,0.426766
3.55501,0.364574
3.76221,0.333527
3.98149,0.312625
4.21354,0.27541
4.45912,0.250753
4.71902,0.208719
4.99406,0.185643
5.28513,0.150612
5.59317,0.132188
5.91916,0.108079
6.26415,0.0832498
6.62924,0.0664201
7.01562,0.0554505
7.42452,0.0444147
7.85724,0.0315291
8.31519,0.0255454
8.79983,0.0189675
9.31272,0.0125997
9.85549,0.00964307
10.4299,0.00682515
11.0378,0.00456621
11.6811,0.00262785
12.3619,0.00187476
13.0824,0.00121443
13.8449,0.000868326
14.6519,0.000365792
15.5058,0.000232145
16.4096,1.61E-05
17.366,6.53E-05
18.3781,3.31E-05
19.4493,3.17E-05
