#Constant Temperature fit results; RIPL II discrete level library; February 2005 by T. Belgya 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]       
#-------------------------------------------------------------------------------------------------------------------------
   0   1 n    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   1 H    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   2 H    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   3 H    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   3 He   0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   4 H    0.00000   0.00000   0.00000   1.00000   4   1   1   4  0.00000  2.83000                  0             0.000
   2   4 He   0.00000   0.00000   0.00000   1.00000  16   1   1  16  0.00000 29.89000                  0             0.000
   3   4 Li   0.00000   0.00000   0.00000   1.00000   4   1   1   4  0.00000  2.85000                  0             0.000
   1   5 H    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   5 He   0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   3   5 Li   0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4   5 Be   0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   6 H    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   6 He   0.00000   0.00000   0.00000   1.00000   8   1   1   2  0.00000  1.79700                  0             0.000
   3   6 Li   0.00000   0.00000   0.00000   1.00000  14   1   1  13  0.00000 26.59000                  0             0.000
   4   6 Be   0.00000   0.00000   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   2   7 He   0.00000   0.00000   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   3   7 Li   0.00000   0.00000   0.00000   1.00000  10   1   1   8  0.00000 11.24000                  0             0.000
   4   7 Be   0.00000   0.00000   0.00000   1.00000   9   1   1   9  0.00000 17.00000                  0             0.000
   5   7 B    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   8 He   0.00000   0.00000   0.00000   1.00000   5   1   1   2  0.00000  3.10000                  0             0.000
