id,distance_metric,distance_type,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,MT_STRATEGY,run_name
12,euclidean,distance,,standard,0.025827589171358776,0.010853478807664872,0.9859171279753972,0.0,0.9859171273040714,0.1189488566848836,0.06332473489465071,0.9164739115616648,0.0423091052096608,0.916473198082259,0.11957119497717696,0.06483915737653739,0.9134333028246284,0.04235489015049937,0.9134323859755938,E:\ML_Models_EXFOR\KNN_B0\k12_distance_euclidean_standard_one_hot_B0_v4\k12_distance_euclidean_standard_one_hot_B0_v4.joblib,6272.457296848297,E:\ML_Models_EXFOR\KNN_B0\k12_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
16,manhattan,distance,,robust,0.02580976883479838,0.010877595836199405,0.9858923410202856,0.0,0.98589233979997,0.11990873740540525,0.06429429720763513,0.9138115470244241,0.04310857801343565,0.9138090033693468,0.12022383371326455,0.06413298944917015,0.913865564244173,0.0433746511822814,0.9138651937319152,E:\ML_Models_EXFOR\KNN_B0\k16_distance_manhattan_robust_one_hot_B0_v4\k16_distance_manhattan_robust_one_hot_B0_v4.joblib,9289.573363780977,E:\ML_Models_EXFOR\KNN_B0\k16_distance_manhattan_robust_one_hot_B0_v4\scaler.pkl,one_hot,
2,euclidean,distance,,standard,0.0275493551411944,0.013533086530321686,0.9825210311999648,0.0,0.9825210174254476,0.12693288198539776,0.07454499223886413,0.9028645463468552,0.04216203360070325,0.9028643676963232,0.1261131919874074,0.07258200159011646,0.9054112648900844,0.04233060653003068,0.9054107080105828,E:\ML_Models_EXFOR\KNN_B0\k2_distance_euclidean_standard_one_hot_B0_v4\k2_distance_euclidean_standard_one_hot_B0_v4.joblib,7596.2859766483325,E:\ML_Models_EXFOR\KNN_B0\k2_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
1,manhattan,distance,,robust,0.02915833742324392,0.021519034712134767,0.9724236025968888,0.0,0.972423521809016,0.14039114216142914,0.08968902663461109,0.8850674107958973,0.04761380125164183,0.8850674090678055,0.1417166084099319,0.09247819496083247,0.8811084907687572,0.0479666248977387,0.8811072828662523,E:\ML_Models_EXFOR\KNN_B0\k1_distance_manhattan_robust_one_hot_B0_v4\k1_distance_manhattan_robust_one_hot_B0_v4.joblib,10644.742349863052,E:\ML_Models_EXFOR\KNN_B0\k1_distance_manhattan_robust_one_hot_B0_v4\scaler.pkl,one_hot,
6,manhattan,distance,,robust,0.02603678054649398,0.011166607523374476,0.9855354634836248,0.0,0.9855354565173596,0.11813126862021325,0.06516574111621644,0.9131936067793416,0.04108749025377753,0.9131920650374712,0.11966917743588365,0.06493435583036825,0.9142746808812894,0.04162824286229694,0.9142742313315644,E:\ML_Models_EXFOR\KNN_B0\k6_distance_manhattan_robust_one_hot_B0_v4\k6_distance_manhattan_robust_one_hot_B0_v4.joblib,10760.545592546463,E:\ML_Models_EXFOR\KNN_B0\k6_distance_manhattan_robust_one_hot_B0_v4\scaler.pkl,one_hot,
7,euclidean,distance,,standard,0.025959234651625928,0.0110879113424363,0.9856233978754656,0.0,0.9856233978297372,0.11946321391409108,0.06453488944210879,0.9137129293579734,0.04124949797829147,0.9137123548099974,0.11801327796654765,0.06219932444727898,0.917609681535628,0.04127932455395028,0.91760957144116,E:\ML_Models_EXFOR\KNN_B0\k7_distance_euclidean_standard_one_hot_B0_v4\k7_distance_euclidean_standard_one_hot_B0_v4.joblib,8689.420262336731,E:\ML_Models_EXFOR\KNN_B0\k7_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
16,euclidean,distance,,standard,0.0258456332766593,0.010879987244997804,0.9858748021965714,0.0,0.9858747951311941,0.1191080230057796,0.06304539381735805,0.9157742123943052,0.04314754879269478,0.9157737071861899,0.11908269137179744,0.06389737143825072,0.9141627433527566,0.042634803510325,0.914162428505004,E:\ML_Models_EXFOR\KNN_B0\k16_distance_euclidean_standard_one_hot_B0_v4\k16_distance_euclidean_standard_one_hot_B0_v4.joblib,8558.792104005814,E:\ML_Models_EXFOR\KNN_B0\k16_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
12,manhattan,distance,,standard,0.025827589171358776,0.010853478807664872,0.9859171279753972,0.0,0.9859171273040714,0.11752387253553385,0.061320912683119636,0.9191779977097286,0.04202303361341342,0.9191774536042624,0.11827676569925105,0.06328994667788157,0.9156049247568716,0.042055399304612856,0.915604485492647,E:\ML_Models_EXFOR\KNN_B0\k12_distance_manhattan_standard_one_hot_B0_v4\k12_distance_manhattan_standard_one_hot_B0_v4.joblib,7967.288825750352,E:\ML_Models_EXFOR\KNN_B0\k12_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
2,manhattan,distance,,standard,0.0275493551411944,0.013533086530321686,0.9825210311999648,0.0,0.9825210174254476,0.1262418872730694,0.07313874056586453,0.9047561148212004,0.04205033105763889,0.9047558620072408,0.1254944308256681,0.07155868003020231,0.9067823234362584,0.04221882321253215,0.906781558859442,E:\ML_Models_EXFOR\KNN_B0\k2_distance_manhattan_standard_one_hot_B0_v4\k2_distance_manhattan_standard_one_hot_B0_v4.joblib,7363.391564846039,E:\ML_Models_EXFOR\KNN_B0\k2_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
17,euclidean,distance,,robust,0.025803164217093368,0.010870613322968186,0.9859021904726626,0.0,0.9859021886839368,0.12269045269004178,0.06791815091351355,0.9085999083332076,0.04386709239070785,0.9085969388051328,0.12295219793624933,0.06767583393000973,0.9087168589048472,0.04411090255977757,0.9087161664070303,E:\ML_Models_EXFOR\KNN_B0\k17_distance_euclidean_robust_one_hot_B0_v4\k17_distance_euclidean_robust_one_hot_B0_v4.joblib,9020.40662908554,E:\ML_Models_EXFOR\KNN_B0\k17_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
