Z,A,Element,Temperature_MeV,Temperature_U,Black_Shift,Black_Shift_U,N_Lev_ENSDF,N_Max_Lev_Complete,Min_Lev_Complete,Num_Lev_Unique_Spin,E_Max_N_Max,E_Num_Lev_U_Spin,Chi,Fit,Flag,Nox,Xm_Ex,Sigma,Element_w_A
0,1,n,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,1n
1,1,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,1H
1,2,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,2H
1,3,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,3H
2,3,He,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,3He
3,3,Li,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,3Li
1,4,H,0.0,0.0,0.0,0.0,4,1,1,4,0.0,2.83,           ,  ,  ,0,            ,0.0,4H
2,4,He,0.0,0.0,0.0,0.0,16,1,1,16,0.0,29.89,           ,  ,  ,0,            ,0.0,4He
3,4,Li,0.0,0.0,0.0,0.0,4,1,1,4,0.0,2.85,           ,  ,  ,0,            ,0.0,4Li
1,5,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,5H
2,5,He,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,5He
3,5,Li,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,5Li
4,5,Be,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,5Be
1,6,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,6H
2,6,He,0.0,0.0,0.0,0.0,8,1,1,2,0.0,1.797,           ,  ,  ,0,            ,0.0,6He
3,6,Li,0.0,0.0,0.0,0.0,14,1,1,13,0.0,26.59,           ,  ,  ,0,            ,0.0,6Li
4,6,Be,0.0,0.0,0.0,0.0,5,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,6Be
5,6,B,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,6B
1,7,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,7H
2,7,He,0.0,0.0,0.0,0.0,3,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,7He
3,7,Li,0.0,0.0,0.0,0.0,10,1,1,8,0.0,11.24,           ,  ,  ,0,            ,0.0,7Li
4,7,Be,0.0,0.0,0.0,0.0,9,1,1,9,0.0,17.0,           ,  ,  ,0,            ,0.0,7Be
5,7,B,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,7B
2,8,He,0.0,0.0,0.0,0.0,5,1,1,2,0.0,3.1,           ,  ,  ,0,            ,0.0,8He
3,8,Li,0.0,0.0,0.0,0.0,11,1,1,5,0.0,5.4,           ,  ,  ,0,            ,0.0,8Li
4,8,Be,0.0,0.0,0.0,0.0,28,1,1,17,0.0,22.0,           ,  ,  ,0,            ,0.0,8Be
5,8,B,0.0,0.0,0.0,0.0,5,1,1,5,0.0,10.619,           ,  ,  ,0,            ,0.0,8B
6,8,C,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,8C
2,9,He,7.45258,5.22131,0.0,1.0,6,1,1,2,0.0,1.1,           ,  ,  ,0,            ,0.0,9He
3,9,Li,7.45258,5.22131,0.0,1.0,8,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,9Li
4,9,Be,7.45258,5.22131,-6.47446,13.94503,33,31,7,5,22.4,3.049,  1.474E-02, *,  ,0,            ,2.121,9Be
5,9,B,7.45258,5.22131,-4.2335400000000005,14.730220000000001,22,20,14,1,17.638,0.0,  8.273E-03,  ,  ,0,            ,2.0780000000000003,9B
6,9,C,7.45258,5.22131,0.0,1.0,4,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,9C
2,10,He,6.466419999999999,3.9136300000000004,0.0,1.0,3,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,10He
3,10,Li,6.466419999999999,3.9136300000000004,0.0,1.0,12,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,10Li
4,10,Be,6.466419999999999,3.9136300000000004,-5.2939099999999994,9.36491,41,17,7,8,13.85,7.542,  5.220E-03, *,  ,0,            ,2.109,10Be
5,10,B,6.466419999999999,3.9136300000000004,-11.36227,11.437389999999999,41,24,14,12,8.07,6.1291,  1.301E-02, *,  ,0,            ,1.771,10B
6,10,C,6.466419999999999,3.9136300000000004,0.0,1.0,8,1,1,2,0.0,3.3537,           ,  ,  ,0,            ,0.0,10C
7,10,N,6.466419999999999,3.9136300000000004,0.0,1.0,2,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,10N
3,11,Li,5.67657,2.94394,0.0,1.0,7,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,11Li
4,11,Be,5.67657,2.94394,-7.7811699999999995,7.07569,34,17,7,5,7.1,3.4,  1.698E-02, *,  ,0,            ,1.6380000000000001,11Be
5,11,B,5.67657,2.94394,-4.863919999999999,7.6465,41,23,7,8,12.04,7.97784,  9.514E-03, *,  ,0,            ,2.006,11B
6,11,C,5.67657,2.94394,-5.74854,8.6158,37,28,12,14,13.4,9.2,  3.605E-03, *,  ,0,            ,2.044,11C
7,11,N,5.67657,2.94394,0.0,1.0,8,1,1,2,0.0,0.73,           ,  ,  ,0,            ,0.0,11N
3,12,Li,5.0338,2.21964,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,12Li
4,12,Be,5.0338,2.21964,0.0,1.0,5,1,1,2,0.0,2.102,           ,  ,  ,0,            ,0.0,12Be
5,12,B,5.0338,2.21964,-7.49026,7.076639999999999,50,39,14,16,10.9,7.06,  4.670E-03, *,  ,0,            ,1.76,12B
6,12,C,5.0338,2.21964,2.40675,5.4823,56,19,7,4,18.35,9.641,  1.151E-02, *,  ,0,            ,1.55,12C
7,12,N,5.0338,2.21964,0.0,1.0,19,1,1,5,0.0,2.439,           ,  ,  ,0,            ,0.0,12N
8,12,O,5.0338,2.21964,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,12O
3,13,Li,4.50389,1.67745,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,13Li
4,13,Be,4.50389,1.67745,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,13Be
5,13,B,4.50389,1.67745,-4.82184,4.482419999999999,23,15,14,1,7.516,0.0,  1.584E-02,  ,  ,0,            ,0.0,13B
6,13,C,4.50389,1.67745,-1.55811,4.719180000000001,73,30,8,5,13.76,6.864,  3.575E-03, *,  ,0,            ,1.9569999999999999,13C
7,13,N,4.50389,1.67745,-1.63715,4.1413400000000005,54,19,7,12,11.74,9.476,  4.857E-03, *,  ,0,            ,1.825,13N
8,13,O,4.50389,1.67745,0.0,1.0,4,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,13O
4,14,Be,4.06232,1.27314,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,14Be
5,14,B,4.06232,1.27314,0.0,1.0,7,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,14B
6,14,C,4.06232,1.27314,0.18775999999999998,3.4005900000000002,46,26,7,12,14.05,10.449,  6.343E-03, *,  ,0,            ,1.895,14C
7,14,N,4.06232,1.27314,-3.09611,4.64374,120,64,20,23,13.77,9.703,  1.507E-03, *,  ,0,            ,1.9709999999999999,14N
8,14,O,4.06232,1.27314,0.0,1.0,18,1,1,5,0.0,6.59,           ,  ,  ,0,            ,0.0,14O
9,14,F,4.06232,1.27314,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,14F
4,15,Be,3.6911300000000002,0.97529,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,15Be
5,15,B,3.6911300000000002,0.97529,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,15B
6,15,C,3.6911300000000002,0.97529,-2.4898599999999997,2.40256,31,18,7,6,7.414,4.78,  1.899E-02, *,  ,0,            ,2.204,15C
7,15,N,3.6911300000000002,0.97529,-0.43771000000000004,3.32686,113,56,13,39,14.4,13.004,  1.568E-03, *,  ,0,            ,1.921,15N
8,15,O,3.6911300000000002,0.97529,-0.86306,3.2515,85,44,16,12,13.025,8.9221,  2.651E-03, *,  ,0,            ,1.788,15O
9,15,F,3.6911300000000002,0.97529,0.0,1.0,2,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,15F
4,16,Be,3.37681,0.7609199999999999,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,16Be
5,16,B,3.37681,0.7609199999999999,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,16B
6,16,C,3.37681,0.7609199999999999,0.0,1.0,7,1,1,2,0.0,1.766,           ,  ,  ,0,            ,0.0,16C
7,16,N,3.37681,0.7609199999999999,-4.17964,2.41748,66,33,17,4,7.674,0.39726999999999996,  2.122E-03, *,  ,0,            ,2.002,16N
8,16,O,3.37681,0.7609199999999999,2.781,2.10374,134,29,7,12,14.1,11.0967,  3.037E-03, *,  ,0,            ,1.775,16O
9,16,F,3.37681,0.7609199999999999,-3.14278,1.99593,28,24,7,8,7.5,4.654,  5.828E-02,  , F,0,            ,1.876,16F
10,16,Ne,3.37681,0.7609199999999999,0.0,1.0,2,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,16Ne
5,17,B,3.10911,0.61226,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,17B
6,17,C,3.10911,0.61226,0.0,1.0,2,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,17C
7,17,N,3.10911,0.61226,-2.99883,1.66093,35,30,7,7,8.14,3.2042,  8.401E-03, *,  ,0,            ,1.841,17N
8,17,O,3.10911,0.61226,-1.8944,1.9968299999999999,118,47,12,9,10.045,5.6973,  4.095E-03, *,  ,0,            ,2.0469999999999997,17O
9,17,F,3.10911,0.61226,-2.04385,2.0329,77,37,20,9,9.45,5.672,  2.985E-03, *,  ,0,            ,1.787,17F
10,17,Ne,3.10911,0.61226,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,17Ne
5,18,B,2.88006,0.5139699999999999,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,18B
6,18,C,2.88006,0.5139699999999999,0.0,1.0,2,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,18C
7,18,N,2.88006,0.5139699999999999,0.0,1.0,8,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,18N
8,18,O,2.88006,0.5139699999999999,-0.86156,1.43816,119,32,7,12,9.1,6.19822,  5.612E-03, *,  ,0,            ,2.006,18O
9,18,F,2.88006,0.5139699999999999,-4.12541,1.9061,99,76,18,30,8.238,6.0964,  3.709E-03, *,  ,0,            ,2.097,18F
10,18,Ne,2.88006,0.5139699999999999,-1.31707,1.1173600000000001,22,11,7,8,5.453,4.59,  2.906E-02,  ,  ,0,            ,1.754,18Ne
11,18,Na,2.88006,0.5139699999999999,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,18Na
5,19,B,2.6834599999999997,0.45161999999999997,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,19B
6,19,C,2.6834599999999997,0.45161999999999997,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,19C
7,19,N,2.6834599999999997,0.45161999999999997,0.0,1.0,6,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,19N
8,19,O,2.6834599999999997,0.45161999999999997,-2.34832,1.24527,55,28,8,5,6.583,2.779,  6.458E-03, *,  ,0,            ,2.158,19O
9,19,F,2.6834599999999997,0.45161999999999997,-2.59808,1.49243,191,67,7,47,8.65,7.56,  5.792E-03, *,  ,0,            ,2.375,19F
10,19,Ne,2.6834599999999997,0.45161999999999997,-2.31299,1.21151,69,27,7,8,6.437,4.0329,  1.091E-02, *,  ,0,            ,2.3080000000000003,19Ne
11,19,Na,2.6834599999999997,0.45161999999999997,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,19Na
12,19,Mg,2.6834599999999997,0.45161999999999997,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,19Mg
5,20,B,2.51441,0.41197,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,20B
6,20,C,2.51441,0.41197,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,20C
7,20,N,2.51441,0.41197,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,20N
8,20,O,2.51441,0.41197,-0.17753,0.8975799999999999,21,11,7,6,5.614,4.85,  4.107E-02,  ,  ,0,            ,1.9169999999999998,20O
9,20,F,2.51441,0.41197,-4.33662,1.58991,153,108,14,8,7.42,1.8438,  6.018E-03, *,  ,0,            ,1.7919999999999998,20F
10,20,Ne,2.51441,0.41197,1.57507,1.28633,233,49,7,6,11.32,5.7877,  3.695E-03, *,  ,0,            ,2.354,20Ne
11,20,Na,2.51441,0.41197,-3.1766,1.00969,25,19,7,8,4.15,2.057,  5.100E-02,  , F,0,            ,1.8940000000000001,20Na
12,20,Mg,2.51441,0.41197,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,20Mg
5,21,B,2.36901,0.38425,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,21B
6,21,C,2.36901,0.38425,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,21C
7,21,N,2.36901,0.38425,0.0,1.0,6,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,21N
8,21,O,2.36901,0.38425,0.0,1.0,6,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,21O
9,21,F,2.36901,0.38425,-2.17309,1.00965,37,26,7,4,5.592,1.7304,  9.929E-03, *,  ,0,            ,1.7530000000000001,21F
10,21,Ne,2.36901,0.38425,-1.40343,1.2946600000000001,117,71,7,14,8.68,5.3352,  4.176E-03, *,  ,0,            ,2.602,21Ne
11,21,Na,2.36901,0.38425,-1.32431,1.05306,64,25,9,11,6.341,4.2943,  5.356E-03, *,  ,0,            ,2.101,21Na
12,21,Mg,2.36901,0.38425,-1.83978,0.88489,22,14,7,2,4.261,0.2,  4.100E-02,  ,  ,0,            ,1.671,21Mg
13,21,Al,2.36901,0.38425,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,21Al
6,22,C,2.24418,0.36091999999999996,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,22C
7,22,N,2.24418,0.36091999999999996,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,22N
8,22,O,2.24418,0.36091999999999996,0.0,1.0,7,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,22O
9,22,F,2.24418,0.36091999999999996,-2.23884,0.72349,22,8,7,1,2.5722,0.0,  5.358E-02,  , F,0,            ,0.0,22F
10,22,Ne,2.24418,0.36091999999999996,0.4766,1.13306,104,50,7,7,9.25,5.3632,  4.524E-03, *,  ,0,            ,2.221,22Ne
11,22,Na,2.24418,0.36091999999999996,-2.29311,1.21455,152,42,19,16,6.09,4.07156,  3.091E-03, *,  ,0,            ,2.228,22Na
12,22,Mg,2.24418,0.36091999999999996,0.31679,0.87689,68,17,7,4,6.3295,4.402,  1.482E-02, *,  ,0,            ,2.394,22Mg
13,22,Al,2.24418,0.36091999999999996,0.0,1.0,3,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,22Al
14,22,Si,2.24418,0.36091999999999996,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,22Si
6,23,C,2.1372299999999997,0.33769,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,23C
7,23,N,2.1372299999999997,0.33769,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,23N
8,23,O,2.1372299999999997,0.33769,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,23O
9,23,F,2.1372299999999997,0.33769,0.0,1.0,18,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,23F
10,23,Ne,2.1372299999999997,0.33769,-1.49553,1.06437,51,36,14,2,6.093,1.01695,  6.069E-03, *,  ,0,            ,1.65,23Ne
11,23,Na,2.1372299999999997,0.33769,-0.52203,1.1153899999999999,227,66,7,16,8.41743,5.766030000000001,  5.193E-03, *,  ,0,            ,2.214,23Na
12,23,Mg,2.1372299999999997,0.33769,-0.49673999999999996,0.9720200000000001,100,37,7,4,7.258,2.359,  9.882E-03, *,  ,0,            ,2.151,23Mg
13,23,Al,2.1372299999999997,0.33769,0.0,1.0,8,1,1,2,0.0,0.55,           ,  ,  ,0,            ,0.0,23Al
14,23,Si,2.1372299999999997,0.33769,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,23Si
7,24,N,2.04515,0.31353000000000003,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,24N
8,24,O,2.04515,0.31353000000000003,0.0,1.0,4,1,1,2,0.0,4.79,           ,  ,  ,0,            ,0.0,24O
9,24,F,2.04515,0.31353000000000003,0.0,1.0,3,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,24F
10,24,Ne,2.04515,0.31353000000000003,1.44833,0.82515,39,24,7,5,8.15,4.7665,  6.476E-03, *,  ,0,            ,2.511,24Ne
11,24,Na,2.04515,0.31353000000000003,-2.8176799999999997,1.13941,139,78,14,4,6.0882,1.34146,  4.656E-03, *,  ,0,            ,2.122,24Na
12,24,Mg,2.04515,0.31353000000000003,2.87575,0.8604200000000001,186,28,7,21,9.53248,9.28422,  5.316E-03, *,  ,0,            ,2.418,24Mg
13,24,Al,2.04515,0.31353000000000003,-2.10017,0.9134200000000001,51,24,14,3,4.488,0.511,  5.348E-03, *,  ,0,            ,2.349,24Al
14,24,Si,2.04515,0.31353000000000003,0.0,1.0,3,1,1,2,0.0,1.879,           ,  ,  ,0,            ,0.0,24Si
15,24,P,2.04515,0.31353000000000003,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,24P
7,25,N,1.96534,0.28895,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,25N
8,25,O,1.96534,0.28895,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,25O
9,25,F,1.96534,0.28895,0.0,1.0,5,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,25F
10,25,Ne,1.96534,0.28895,0.0,1.0,9,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,25Ne
11,25,Na,1.96534,0.28895,-0.9730200000000001,0.8692200000000001,43,30,13,4,5.746,2.202,  4.316E-03, *,  ,0,            ,1.692,25Na
12,25,Mg,1.96534,0.28895,-0.8233,0.80771,135,33,7,16,6.169,4.7116,  9.032E-03, *,  ,0,            ,2.5789999999999997,25Mg
13,25,Al,1.96534,0.28895,-1.06187,0.75736,72,25,7,3,5.285,0.9449,  9.221E-03, *,  ,0,            ,2.161,25Al
14,25,Si,1.96534,0.28895,0.0,1.0,13,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,25Si
15,25,P,1.96534,0.28895,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,25P
8,26,O,1.89565,0.2651,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,26O
9,26,F,1.89565,0.2651,0.0,1.0,2,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,26F
10,26,Ne,1.89565,0.2651,0.0,1.0,4,1,1,2,0.0,2.01828,           ,  ,  ,0,            ,0.0,26Ne
11,26,Na,1.89565,0.2651,-1.71295,0.63698,25,17,7,3,3.618,0.2336,  3.144E-02,  ,  ,0,            ,0.0,26Na
12,26,Mg,1.89565,0.2651,0.8425299999999999,0.7895300000000001,200,41,7,18,7.851,6.622,  7.569E-03, *,  ,0,            ,2.242,26Mg
13,26,Al,1.89565,0.2651,-2.0635,0.9184200000000001,172,61,14,54,5.726380000000001,5.54456,  3.020E-03, *,  ,0,            ,2.387,26Al
14,26,Si,1.89565,0.2651,0.17753,0.56401,29,10,7,4,4.446,3.3325,  4.396E-02,  ,  ,0,            ,0.0,26Si
15,26,P,1.89565,0.2651,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,26P
16,26,S,1.89565,0.2651,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,26S
8,27,O,1.8343099999999999,0.24347,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,27O
9,27,F,1.8343099999999999,0.24347,0.0,1.0,4,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,27F
10,27,Ne,1.8343099999999999,0.24347,0.0,1.0,3,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,27Ne
11,27,Na,1.8343099999999999,0.24347,-1.1481,0.6069899999999999,32,20,7,1,4.5254,0.0,  1.074E-02, *,  ,0,            ,2.2159999999999997,27Na
12,27,Mg,1.8343099999999999,0.24347,-0.39597,0.69995,55,31,9,4,5.92581,1.94023,  5.964E-03, *,  ,0,            ,1.9869999999999999,27Mg
13,27,Al,1.8343099999999999,0.24347,-0.05072,0.63554,246,24,7,3,5.827,1.0145600000000001,  1.128E-02, *,  ,0,            ,2.372,27Al
14,27,Si,1.8343099999999999,0.24347,-0.17998,0.64835,126,26,7,5,5.783,2.6476,  1.005E-02, *,  ,0,            ,2.36,27Si
15,27,P,1.8343099999999999,0.24347,0.0,1.0,5,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,27P
16,27,S,1.8343099999999999,0.24347,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,27S
8,28,O,1.7797900000000002,0.22568000000000002,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,28O
9,28,F,1.7797900000000002,0.22568000000000002,0.0,1.0,2,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,28F
10,28,Ne,1.7797900000000002,0.22568000000000002,0.0,1.0,4,1,1,2,0.0,1.304,           ,  ,  ,0,            ,0.0,28Ne
11,28,Na,1.7797900000000002,0.22568000000000002,0.0,1.0,9,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,28Na
12,28,Mg,1.7797900000000002,0.22568000000000002,1.17451,0.53156,25,15,7,8,5.9169,5.1713,  4.322E-02,  ,  ,0,            ,1.5490000000000002,28Mg
13,28,Al,1.7797900000000002,0.22568000000000002,-1.87611,0.71199,120,33,16,13,4.385,2.6563,  5.114E-03, *,  ,0,            ,2.0869999999999997,28Al
14,28,Si,1.7797900000000002,0.22568000000000002,3.5945300000000002,0.635,300,31,7,17,9.9292,8.58871,  5.773E-03, *,  ,0,            ,2.3280000000000003,28Si
15,28,P,1.7797900000000002,0.22568000000000002,-1.8706099999999999,0.6572600000000001,33,24,14,1,3.911,0.0,  7.218E-03, *,  ,0,            ,1.943,28P
16,28,S,1.7797900000000002,0.22568000000000002,0.0,1.0,2,1,1,2,0.0,1.507,           ,  ,  ,0,            ,0.0,28S
17,28,Cl,1.7797900000000002,0.22568000000000002,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,28Cl
9,29,F,1.7307700000000001,0.21309,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,29F
10,29,Ne,1.7307700000000001,0.21309,0.0,1.0,4,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,29Ne
11,29,Na,1.7307700000000001,0.21309,0.0,1.0,7,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,29Na
12,29,Mg,1.7307700000000001,0.21309,0.0,1.0,14,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,29Mg
13,29,Al,1.7307700000000001,0.21309,-0.32041,0.62617,50,30,11,5,5.66,2.8657,  5.899E-03, *,  ,0,            ,2.104,29Al
14,29,Si,1.7307700000000001,0.21309,1.07176,0.61341,99,35,7,7,7.197,4.0799,  6.216E-03, *,  ,0,            ,2.338,29Si
15,29,P,1.7307700000000001,0.21309,0.81897,0.51505,67,17,7,8,5.74,4.343,  5.821E-03, *,  ,0,            ,2.156,29P
16,29,S,1.7307700000000001,0.21309,0.0,1.0,6,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,29S
17,29,Cl,1.7307700000000001,0.21309,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,29Cl
9,30,F,1.68609,0.20638,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,30F
10,30,Ne,1.68609,0.20638,0.0,1.0,3,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,30Ne
11,30,Na,1.68609,0.20638,0.0,1.0,7,1,1,2,0.0,0.15062,           ,  ,  ,0,            ,0.0,30Na
12,30,Mg,1.68609,0.20638,0.0,1.0,18,1,1,3,0.0,1.7882,           ,  ,  ,0,            ,0.0,30Mg
13,30,Al,1.68609,0.20638,-1.37198,0.6057100000000001,34,26,14,3,4.814,0.68752,  4.041E-02, *,  ,0,            ,2.865,30Al
14,30,Si,1.68609,0.20638,1.7451400000000001,0.54865,151,25,7,19,7.2558,6.8652,  1.031E-02, *,  ,0,            ,2.193,30Si
15,30,P,1.68609,0.20638,-0.58392,0.63272,156,31,14,5,5.2301,1.97327,  4.862E-03, *,  ,0,            ,2.122,30P
16,30,S,1.68609,0.20638,1.5356,0.5592600000000001,31,27,7,3,7.352,3.4026,  7.884E-03, *,  ,0,            ,1.837,30S
17,30,Cl,1.68609,0.20638,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,30Cl
18,30,Ar,1.68609,0.20638,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,30Ar
9,31,F,1.6447,0.20504,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,31F
10,31,Ne,1.6447,0.20504,0.0,1.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,31Ne
11,31,Na,1.6447,0.20504,0.0,1.0,3,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,31Na
12,31,Mg,1.6447,0.20504,0.0,1.0,13,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,31Mg
13,31,Al,1.6447,0.20504,0.0,1.0,17,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,31Al
14,31,Si,1.6447,0.20504,0.60537,0.6419699999999999,97,50,7,4,7.008,2.3169299999999997,  3.112E-03, *,  ,0,            ,1.619,31Si
15,31,P,1.6447,0.20504,0.6563399999999999,0.58936,506,35,7,13,6.5018,4.7834,  5.363E-03, *,  ,0,            ,2.226,31P
