  1H |    1|    1|    1|    0|    1|    1|    0.000000|    0.000000
  2H |    2|    1|    1|    0|    1|    1|    2.224570|    2.224570
  3H |    3|    1|    1|    0|    1|    1|    6.257230|    0.000000
  3He|    3|    2|    1|    0|    1|    1|    0.000000|    5.493480
  4He|    4|    2|   16|    0|    1|   16|   20.577620|   19.813860
  6Li|    6|    3|   14|    4|    1|   13|    5.663320|    4.433320
  7Li|    7|    3|   10|    2|    1|    8|    7.251090|    9.973960
  8Li|    8|    3|   11|    2|    1|    5|    2.032620|   12.416290
  7Be|    7|    4|    9|    1|    1|    9|   10.677350|    5.606850
  9Be|    9|    4|   33|   22|   31|    5|    1.664540|   16.886320
 10Be|   10|    4|   41|   13|   17|    8|    6.812280|   19.636390
 10B |   10|    5|   41|   44|   24|   12|    8.437110|    6.586730
 11B |   11|    5|   41|   27|   23|    8|   11.454120|   11.228580
 12C |   12|    6|   56|   14|   19|    4|   18.721610|   15.956850
 13C |   13|    6|   73|   14|   30|    5|    4.946310|   17.533380
 14C |   14|    6|   46|   12|   26|   12|    8.176430|   20.831200
 14N |   14|    7|  120|   69|   64|   23|   10.553380|    7.550560
 15N |   15|    7|  113|  136|   56|   39|   10.833300|   10.207420
 16O |   16|    8|  134|   45|   29|   12|   15.663920|   12.127410
 17O |   17|    8|  118|    6|   47|    9|    4.143080|   13.781640
 18O |   18|    8|  119|   73|   32|   12|    8.045370|   15.941860
 19F |   19|    9|  191|  357|   67|   47|   10.431870|    7.993600
 20Ne|   20|   10|  233|   95|   49|    6|   16.865300|   12.843460
 21Ne|   21|   10|  117|  126|   71|   14|    6.761160|   13.003280
 22Ne|   22|   10|  104|  148|   50|    7|   10.364260|   15.266080
 25Ne|   25|   10|    9|    8|    1|    1|    4.179480|   16.908300
 22Na|   22|   11|  152|  324|   42|   16|   11.068200|    6.738710
 23Na|   23|   11|  227|  705|   66|   16|   12.419650|    8.794110
 24Mg|   24|   12|  186|  536|   28|   21|   16.531620|   11.692690
 25Mg|   25|   12|  135|  306|   33|   16|    7.330520|   12.063780
 26Mg|   26|   12|  200|  256|   41|   18|   11.093090|   14.145700
 27Mg|   27|   12|   55|  103|   31|    4|    6.443390|   15.014810
 26Al|   26|   13|  172|  524|   61|   54|   11.365260|    6.306310
 27Al|   27|   13|  246|  357|   24|    3|   13.057950|    8.271170
 28Si|   28|   14|  300|  216|   31|   17|   17.179720|   11.585020
 29Si|   29|   14|   99|  251|   35|    7|    8.473600|   12.333520
 30Si|   30|   14|  151|  505|   25|   19|   10.609200|   13.517270
 31Si|   31|   14|   97|   42|   50|    4|    6.587390|   14.365550
 32Si|   32|   14|   57|   29|   17|    4|    9.199970|   16.411680
 31P |   31|   15|  506| 1528|   35|   13|   12.311250|    7.296550
 32S |   32|   16|  457|  972|  171|   12|   15.044330|    8.863960
 33S |   33|   16|  319|  267|   37|    8|    8.641640|    9.569950
 34S |   34|   16|  267|  491|   35|   25|   11.417160|   10.883320
 36S |   36|   16|   26|   39|   16|    9|    9.889220|   13.095300
 35Cl|   35|   17|  352| 1136|   38|   10|   12.644770|    6.370820
 36Cl|   36|   17|  422|  417|   39|   11|    8.579790|    7.964770
 37Cl|   37|   17|  333| 1105|   60|    4|   10.310820|    8.386370
 36Ar|   36|   18|  267| 1019|   24|    3|   15.255450|    8.506970
 37Ar|   37|   18|  110|  107|   41|   13|    8.787430|    8.714600
 38Ar|   38|   18|  632| 1887|   70|   10|   11.838490|   10.242270
 39Ar|   39|   18|  116|   46|   35|    4|    6.598690|   10.733070
 40Ar|   40|   18|  172|  272|   73|   11|    9.869020|   12.528670
 41Ar|   41|   18|  124|   29|   30|    7|    6.098930|   12.798660
 39K |   39|   19|  234|  521|   64|   11|   13.077750|    6.381340
 40K |   40|   19|  100|  330|   58|   15|    7.799620|    7.582270
 41K |   41|   19|  205|  490|   60|   11|   10.095370|    7.808620
 40Ca|   40|   20|  578|  599|   29|    8|   15.635000|    8.328170
 41Ca|   41|   20|  252|  121|   48|   10|    8.362820|    8.891370
 42Ca|   42|   20|  186|  286|   84|   11|   11.480670|   10.276670
