epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.15282071239443956,0.24232687,0.1528211,0.13088780574515252,0.22208843,0.13088787
1,0.12601753224316292,0.21736151,0.12601744,0.11993084931304863,0.20906937,0.119930826
2,0.11950180735431346,0.20997901,0.1195017,0.11698032306618407,0.20591934,0.1169803
3,0.11624711627150752,0.20589882,0.11624722,0.11347630523537382,0.20147826,0.11347633
4,0.11331336254838562,0.20290709,0.11331332,0.11157974917476106,0.19947448,0.111579746
5,0.11227924341219682,0.20131187,0.112279445,0.11023218716982909,0.19799264,0.11023223
6,0.10990313007433423,0.19878747,0.10990329,0.10869531254342232,0.19692874,0.1086954
7,0.1081996991562077,0.19690534,0.108199745,0.10735876231098243,0.1968332,0.10735871
8,0.10734970003956372,0.19605023,0.107349746,0.1083769722517662,0.1965757,0.10837694
9,0.10792854618614227,0.19615032,0.107928716,0.1071678935464739,0.19460823,0.10716789
10,0.10907661263478419,0.19686851,0.10907683,0.10784992137700702,0.19655462,0.107849926
11,0.10888690535685633,0.19681023,0.10888674,0.10857197966934312,0.19533591,0.10857196
12,0.10774112920116077,0.19536467,0.10774094,0.10765998958321593,0.19518238,0.107659966
13,0.10588320450376824,0.19362383,0.10588309,0.10382751263123854,0.19059901,0.10382747
14,0.10476521516754762,0.1925054,0.10476528,0.10665087045697376,0.19435306,0.10665075
15,0.10496331116365706,0.19250797,0.10496315,0.103998539834554,0.19171971,0.103998505
16,0.10449001612331192,0.1922087,0.10448978,0.10556256548153384,0.19502616,0.1055626
17,0.10407949726756612,0.19206855,0.10407955,0.1010671639351454,0.1874171,0.10106713
18,0.10360449424509703,0.19137028,0.1036043,0.10184931294729813,0.18822657,0.10184934
19,0.10571978725798076,0.19280675,0.105719835,0.10801904877441762,0.19456056,0.10801897
20,0.10567104249318673,0.19290763,0.10567114,0.1096248130097094,0.19591579,0.1096248
21,0.10684205208500024,0.19416468,0.10684221,0.10488559252338155,0.19186224,0.10488562
22,0.10704878218807282,0.19453591,0.107048854,0.10329166330900601,0.18975505,0.10329175
23,0.10516867765782079,0.19264206,0.10516876,0.1042584250543382,0.19144815,0.104258396
24,0.10623734245862948,0.19371986,0.10623716,0.10438038338911236,0.19111396,0.10438036
25,0.10942587556693152,0.19649456,0.10942567,0.1070368027323113,0.19393063,0.10703681
26,0.10715764962735036,0.19496983,0.10715752,0.10440133760016673,0.19122937,0.104401365
27,0.11016395560230491,0.19826502,0.11016374,0.10925719682468894,0.19808777,0.109257154
28,0.10944732826345538,0.19844688,0.10944744,0.11107654895865163,0.19921407,0.11107652
