epoch,accuracy,loss,val_accuracy,val_loss
0,0.82158333,0.49748150451580686,0.8539,0.40767093234062196
1,0.8602667,0.38371419081290564,0.8609,0.3838843330860138
2,0.87151664,0.34967007951140405,0.8578,0.38691436878442764
3,0.8785667,0.32934273541768394,0.8701,0.3589490982651711
4,0.8842,0.31343539287249245,0.8661,0.36622665672302246
