S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
17632.33,2.0,20717.74,3.64,-7516.26,2.23,-377.05,3.45,-12821.58,2.8,-9792.68,2.97,85Kr
19239.34,2.33,17731.56,3.79,-6615.21,0.98,-4325.21,18.97,-11673.22,25.73,-9589.08,1.24,85Rb
20448.31,7.39,15690.59,2.81,-5832.01,3.01,-7928.09,7.02,-5952.92,2.81,-15280.17,5.13,85Sr
21779.09,26.59,13349.43,19.11,-4810.37,19.59,-11562.45,19.4,-5372.13,19.09,-14491.75,19.75,85Y
23406.17,9.09,10955.52,9.38,-4071.98,7.15,-15665.44,17.09,185.41,6.55,-20027.79,14.54,85Zr
24866.23,150.96,8651.95,19.08,-2991.68,6.78,-20430.0,400.0,325.78,5.94,-20181.0,298.0,85Nb
27312.0,401.0,6176.04,17.09,-2474.53,95.4,-26560.0,500.0,6622.96,16.76,-27881.0,400.0,85Mo
30673.0,640.0,2872.0,427.0,-1914.0,565.0,,,8080.0,400.0,,,85Tc
,,-812.0,641.0,-1625.0,707.0,,,15931.0,582.0,,,85Ru
6135.0,447.0,,,-11185.0,721.0,24883.0,400.0,,,10972.0,400.0,86Ga
7394.13,437.81,32048.0,593.0,-9510.88,437.81,21103.25,437.81,-31458.0,665.0,5717.91,437.81,86Ge
9251.22,4.68,29452.0,200.0,-8456.34,4.21,16670.11,4.62,-26402.0,298.0,5380.18,4.32,86As
10698.08,3.19,26932.68,4.04,-7513.02,3.37,12762.5,2.52,-24668.72,4.5,0.99,3.97,86Se
13991.8,25.91,24356.63,4.41,-7951.75,4.83,7114.74,3.08,-19732.08,4.35,-2223.24,3.67,86Br
16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,86Kr
19130.66,2.2,19541.85,25.73,-7673.25,0.99,-3463.9,14.14,-11460.49,3.08,-9715.03,2.82,86Rb
20016.15,1.24,16661.7,0.0,-6356.22,0.01,-6554.07,3.57,-10331.73,2.0,-14752.28,18.97,86Sr
21531.29,14.78,14102.07,14.31,-5520.2,14.46,-10149.03,15.17,-4404.73,14.14,-14179.22,15.54,86Y
22689.96,6.55,11897.39,3.78,-4383.88,6.97,-13858.77,5.16,-4154.71,4.54,-19760.66,5.43,86Zr
24057.97,14.15,9817.56,6.98,-3494.88,7.77,-17564.0,300.0,1419.1,19.75,-19695.62,16.76,86Nb
26083.0,298.0,7266.5,6.64,-2903.87,11.78,-24340.0,400.0,1775.97,7.43,-26332.0,400.0,86Mo
30013.0,500.0,4930.0,300.0,-1905.0,424.0,,,7420.0,300.0,-28692.0,583.0,86Tc
,,178.0,499.0,-1825.0,565.0,,,10451.0,400.0,,,86Ru
5543.0,582.0,,,,,26368.0,500.0,,,12079.0,665.0,87Ga
7098.0,300.0,33426.0,583.0,-10213.0,424.0,22348.0,300.0,,,6813.0,300.0,87Ge
8571.4,4.28,30347.0,298.0,-8785.7,3.96,18273.77,4.35,-28827.0,400.0,6813.94,3.9,87As
10155.12,3.44,27880.65,4.35,-7874.61,3.3,14283.4,2.25,-24315.17,437.81,1134.81,3.8,87Se
11458.84,4.41,25280.47,4.41,-6647.27,4.22,10706.11,3.17,-22218.5,4.68,1302.67,3.17,87Br
15371.83,2.02,22873.83,2.62,-7793.91,3.05,4170.54,0.25,-17495.33,2.53,-6033.85,0.32,87Kr
18573.09,0.01,20600.26,3.08,-8009.0,3.79,-1579.41,1.13,-16254.51,3.08,-8146.02,0.01,87Rb
19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,87Sr
21318.89,19.0,15428.99,1.13,-6372.66,2.59,-9143.89,6.9,-7560.35,1.15,-13120.68,3.74,87Y
22314.58,7.65,12821.8,5.01,-4974.45,7.99,-12462.33,5.03,-2113.02,4.15,-18284.4,6.88,87Zr
23737.44,7.94,10610.3,20.15,-4093.74,19.83,-16184.44,7.99,-1880.37,15.69,-17835.56,7.76,87Nb
25517.69,16.09,8287.56,7.04,-3398.07,7.04,-21365.0,400.0,3795.24,4.57,-23386.0,300.0,87Mo
27983.0,400.0,5988.31,5.86,-2558.88,150.96,,,4155.04,6.91,-25991.0,400.0,87Tc
30713.0,640.0,2588.0,400.0,-1605.0,566.0,,,11301.0,400.0,,,87Ru
6881.0,593.0,,,-10633.0,565.0,23746.0,400.0,,,7409.0,400.0,88Ge
7900.0,196.0,31218.0,445.0,-9057.0,280.0,19996.0,196.0,-28759.0,537.0,7635.0,196.0,88As
9523.66,4.19,29062.22,437.82,-8160.68,4.61,15807.09,4.25,-27095.0,300.0,1936.16,4.61,88Se
11226.34,4.41,26331.76,4.68,-7287.31,4.48,11893.04,3.17,-22387.02,4.35,1922.25,3.18,88Br
12568.25,2.61,23766.06,3.63,-6168.48,3.26,8230.33,2.61,-20554.13,3.44,-3164.81,2.61,88Kr
16004.64,0.26,21554.68,3.07,-7250.83,25.73,1690.02,1.51,-16006.29,3.17,-5800.25,0.16,88Rb
19541.16,0.01,19233.89,0.0,-7907.2,0.0,-4292.75,5.4,-14501.07,0.25,-12974.56,1.13,88Sr
21158.56,14.22,16129.97,1.51,-6964.97,2.66,-8125.43,58.83,-6990.2,1.5,-13023.2,4.41,88Y
21802.49,6.47,13683.72,5.4,-5404.22,5.54,-10942.33,6.62,-6037.78,5.4,-17825.7,8.68,88Zr
23182.17,59.07,11468.44,60.49,-4704.07,58.97,-14492.27,160.22,-444.18,58.82,-17360.1,58.88,88Nb
24718.93,5.34,9295.47,5.22,-3689.77,6.69,-18347.0,300.0,-628.38,5.64,-23067.82,5.67,88Mo
26254.0,335.0,7125.2,149.14,-2887.51,149.61,-24821.0,426.0,4904.2,149.19,-24232.0,426.0,88Tc
30712.0,500.0,4807.0,300.0,-2594.0,423.0,,,5256.0,300.0,,,88Ru
,,-132.0,500.0,-1585.0,565.0,,,13541.0,400.0,,,88Rh
5794.0,500.0,,,-10924.0,640.0,25263.0,400.0,,,8919.0,445.0,89Ge
7323.0,298.0,32126.0,582.0,-9374.0,422.0,21476.0,298.0,,,9015.0,298.0,89As
8708.9,4.35,29492.0,300.0,-8293.89,5.27,17543.39,4.3,-26143.0,400.0,3652.25,4.89,89Se
10525.22,4.55,27234.3,4.42,-7510.03,4.48,13438.13,6.33,-24843.0,196.0,3345.71,4.18,89Br
11968.9,2.16,24687.6,3.1,-6547.06,3.38,9673.23,2.14,-19940.56,3.98,-1998.11,2.15,89Kr
13257.23,5.43,22398.65,6.29,-5561.84,6.24,5995.96,5.66,-18285.4,6.29,-1862.09,5.43,89Rb
17471.58,0.09,20077.44,0.26,-7153.6,2.0,-1333.46,3.08,-13806.7,2.61,-9981.32,1.5,89Sr
20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,89Y
21671.06,5.17,14573.44,3.08,-6197.2,4.17,-9860.63,4.98,-4242.91,3.08,-16773.29,58.89,89Zr
22893.36,24.59,12184.77,23.66,-5208.0,30.3,-13230.36,23.94,-3615.16,23.68,-16009.98,23.94,89Nb
24272.76,4.84,10245.74,5.7,-4264.66,7.53,-16755.0,298.0,1324.97,6.67,-21404.94,149.09,89Mo
25847.44,5.67,8098.3,7.8,-3540.09,5.6,-21534.0,361.0,1489.77,58.93,-21127.0,300.0,89Tc
28883.0,499.0,5953.0,298.0,-3175.0,298.0,,,7137.0,298.0,-29471.0,499.0,89Ru
,,2749.0,361.0,-2436.0,538.0,,,8532.0,390.0,,,89Rh
5226.0,640.0,,,,,26579.0,599.0,,,9506.0,582.0,90Ge
6753.0,445.0,,,-9676.0,565.0,22670.0,400.0,,,9591.0,400.0,90As
8058.66,329.77,30240.0,518.0,-8825.21,548.09,19159.03,329.75,-29360.0,518.0,4402.73,329.77,90Se
9426.97,4.61,27858.0,196.0,-7463.07,4.81,15364.11,7.3,-24491.0,298.0,4464.17,3.98,90Br
11410.6,3.21,25653.0,3.84,-6881.0,3.13,10988.88,2.83,-23255.83,4.17,-1318.18,5.74,90Kr
12898.04,6.49,23226.39,7.22,-6157.07,7.18,7129.66,6.52,-18379.11,7.26,-1226.7,6.48,90Rb
14169.14,2.12,20834.78,3.36,-5107.38,2.12,2824.41,2.12,-16701.31,3.02,-6311.09,1.41,90Sr
18337.68,2.2,18463.01,1.62,-6171.98,1.62,-3832.54,3.69,-12070.64,5.66,-9689.82,2.78,90Y
21286.3,5.4,15428.86,0.12,-6674.36,0.12,-8600.03,3.46,-9852.49,0.15,-16218.64,23.63,90Zr
22630.57,58.9,12940.44,3.64,-5803.35,14.53,-11936.83,3.47,-2242.14,3.69,-15717.9,5.13,90Nb
23628.59,5.16,11121.57,6.42,-4628.4,4.97,-15288.71,5.09,-2585.91,4.64,-20848.97,5.16,90Mo
25186.01,149.04,9129.04,58.82,-4015.55,5.59,-19025.0,300.0,2611.55,23.65,-20536.0,298.0,90Tc
26687.0,300.0,6775.19,5.34,-3198.46,5.27,-25174.0,400.0,2842.17,5.41,-27094.0,361.0,90Ru
30982.0,500.0,4596.0,335.0,-2554.0,424.0,,,8406.0,300.0,,,90Rh
,,-52.0,500.0,-2364.0,565.0,,,11262.0,499.0,,,90Pd
6241.0,499.0,,,-10072.0,640.0,24211.0,400.0,,,10832.0,518.0,91As
7730.37,433.16,31429.0,589.0,-8927.0,527.0,20393.84,433.15,-28648.0,662.0,5348.86,433.16,91Se
8975.66,4.81,28887.0,298.0,-7914.3,4.63,16637.74,8.57,-27066.0,400.0,5780.64,4.0,91Br
10580.81,3.1,26559.51,4.35,-6972.76,3.17,12677.96,5.89,-22462.72,329.76,319.12,6.86,91Kr
12175.28,9.32,24048.71,8.46,-6278.28,8.42,8606.26,7.95,-21033.71,8.49,131.77,8.09,91Rb
13585.54,5.45,21694.08,5.86,-5367.32,5.46,4243.64,5.45,-15981.65,5.76,-5229.18,5.69,91Sr
14785.58,2.45,19216.85,5.73,-4178.42,1.84,286.71,3.46,-14275.86,6.74,-5650.08,1.85,91Y
19162.64,3.08,16264.49,0.14,-5440.42,0.1,-5686.74,6.24,-9236.41,2.13,-13305.36,3.32,91Zr
22155.43,23.81,13507.59,3.34,-6044.54,3.14,-10651.35,3.76,-7432.91,3.34,-14536.82,4.53,91Nb
23336.52,7.36,11911.2,6.96,-5286.6,7.49,-13969.0,6.62,-725.26,6.24,-19555.45,6.32,91Mo
24734.43,4.49,9939.38,23.75,-4537.08,7.2,-17417.0,298.0,-614.1,4.07,-19174.17,4.42,91Tc
26122.0,298.0,7802.83,4.5,-3779.93,3.62,-22310.0,401.0,4643.71,4.11,-24611.0,300.0,91Ru
28852.0,468.0,5753.0,298.0,-3304.0,298.0,,,4866.0,298.0,-26931.0,499.0,91Rh
,,2248.0,499.0,-2835.0,566.0,,,11665.0,401.0,,,91Pd
5794.0,640.0,,,,,25251.0,500.0,,,11527.0,662.0,92As
7066.0,518.0,32081.0,640.0,-9011.0,565.0,22046.0,400.0,,,6312.0,400.0,92Se
8375.14,7.5,29480.0,400.0,-7938.0,196.0,18539.63,9.08,-26625.0,400.0,6669.84,7.07,92Br
9952.7,3.28,27547.04,329.76,-7310.04,4.31,14098.04,4.36,-25478.17,433.15,904.4,8.26,92Kr
11550.67,8.92,25350.08,6.98,-6481.39,6.9,10044.05,10.88,-20954.11,7.07,808.17,7.58,92Rb
13061.87,4.03,22486.05,3.9,-5600.99,4.3,5591.67,3.42,-19182.37,4.09,-4587.38,3.88,92Sr
14465.06,9.27,20030.03,11.2,-4632.41,9.13,1636.8,9.3,-14360.43,12.0,-4992.24,9.13,92Y
15829.13,0.15,17088.84,2.13,-2962.33,0.1,-1650.45,0.19,-12096.07,5.45,-9892.34,2.93,92Zr
19934.41,3.77,14537.17,2.4,-4579.19,2.33,-7527.6,3.58,-7390.97,2.56,-12315.79,6.49,92Nb
22778.71,3.47,12613.98,0.2,-5604.62,5.41,-12507.38,2.72,-6201.98,0.19,-18893.25,2.37,92Mo
24343.64,3.27,10842.11,4.54,-5177.02,58.89,-15926.61,5.37,423.34,4.26,-18757.19,3.82,92Tc
25560.04,4.62,8706.64,4.4,-4039.57,4.69,-19721.0,300.0,618.65,6.8,-23803.0,298.0,92Ru
27442.0,300.0,6852.34,4.5,-3742.69,149.1,-25869.0,500.0,5698.59,4.97,-25140.0,401.0,92Rh
31013.0,500.0,4274.0,300.0,-2665.0,424.0,,,6371.0,300.0,,,92Pd
,,8.0,583.0,-2695.0,640.0,,,14150.0,582.0,,,92Ag
6278.0,589.0,,,-9411.0,565.0,23420.0,400.0,,,7446.0,400.0,93Se
7925.57,430.83,30572.0,588.0,-8517.0,524.0,19729.67,430.89,-29198.0,660.0,7807.77,430.82,93Br
9304.66,3.37,28133.81,433.15,-7568.52,4.5,15949.84,7.96,-24701.0,400.0,2565.13,6.62,93Kr
11017.5,10.73,26090.55,8.59,-6770.55,8.48,11607.26,12.68,-23676.07,10.31,2176.14,8.55,93Rb
12576.55,9.3,23689.81,7.88,-5974.97,7.85,7036.19,7.57,-18605.49,8.02,-3340.66,11.85,93Sr
14018.5,10.65,21060.06,13.05,-4939.68,11.81,2985.68,10.59,-16743.69,12.14,-3839.45,10.49,93Y
15369.1,0.46,18048.05,5.47,-3337.93,0.47,-314.96,0.49,-11543.64,3.45,-8740.06,1.82,93Zr
16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,93Nb
20740.88,6.24,13489.44,0.21,-4356.42,3.09,-9590.36,2.07,-5637.01,0.21,-15952.69,3.11,93Mo
23762.09,2.57,11546.05,3.1,-5405.81,23.65,-14594.31,2.82,-4441.78,2.05,-17376.22,2.9,93Tc
25119.52,3.03,9585.83,6.57,-4626.69,4.42,-18216.0,300.0,2302.89,2.07,-22288.94,4.84,93Ru
26585.0,298.0,7603.09,3.53,-4041.87,4.64,-22744.0,401.0,2624.92,4.07,-22503.0,300.0,93Rh
29213.0,501.0,5339.0,300.0,-3166.0,423.0,,,8011.0,301.0,-29942.0,584.0,93Pd
,,2276.0,499.0,-2832.0,539.0,,,9443.0,401.0,,,93Ag
6222.0,640.0,,,-10007.0,707.0,24544.0,500.0,,,8016.0,660.0,94Se
7310.0,300.0,30996.0,583.0,-8495.0,500.0,21163.0,300.0,,,8665.0,300.0,94Br
8721.09,12.41,29202.0,400.0,-7972.47,329.97,17497.94,12.22,-27921.0,400.0,3200.81,14.42,94Kr
9932.98,6.44,26907.92,7.01,-6987.4,3.92,13788.68,6.69,-22961.53,430.82,3451.74,7.82,94Rb
12120.98,3.81,24654.33,3.17,-6311.38,2.5,8423.61,1.67,-21998.69,3.02,-2689.87,10.62,94Sr
13677.6,11.14,22156.97,8.84,-5411.97,9.1,4017.6,6.55,-17020.53,10.1,-3300.75,6.4,94Y
14952.93,0.19,18979.9,3.43,-3746.11,2.13,1144.74,0.22,-14472.45,7.56,-8127.8,1.5,94Zr
16058.4,1.99,16130.51,9.25,-2299.92,2.2,-2210.75,4.33,-9430.88,10.59,-7633.31,1.5,94Nb
17748.12,0.21,14532.98,0.17,-2066.45,0.18,-5830.47,3.15,-8581.0,0.48,-12879.28,1.02,94Mo
21375.26,5.12,12282.97,4.44,-3921.71,5.25,-11250.7,5.29,-4234.45,4.33,-15012.92,4.56,94Tc
24425.02,4.16,10352.96,3.15,-4836.0,4.68,-16481.32,5.32,-3065.49,3.15,-21643.11,4.1,94Ru
26051.16,5.53,8559.86,4.59,-4607.84,3.53,-20498.0,400.0,3409.52,3.53,-21978.0,301.0,94Rh
27665.0,300.0,6379.01,5.08,-3643.39,5.68,-25962.0,500.0,3825.47,4.76,-27906.0,401.0,94Pd
31422.0,640.0,3988.0,400.0,-3135.0,500.0,,,9313.0,400.0,,,94Ag
,,138.0,583.0,-2855.0,640.0,,,11572.0,584.0,,,94Cd
5887.0,640.0,,,,,25699.0,501.0,,,8869.0,583.0,95Se
7023.0,524.0,,,-9299.0,499.0,22121.0,299.0,,,9506.0,298.0,95Br
8165.55,18.8,30021.0,400.0,-8003.7,433.55,18960.64,19.52,-26645.0,501.0,4332.55,18.74,95Kr
9414.23,21.55,27579.2,431.29,-7209.11,20.55,15317.35,21.01,-25780.0,301.0,4882.9,20.31,95Rb
11176.35,9.53,25561.5,6.33,-6570.5,6.23,10540.39,5.85,-21060.75,13.43,-839.41,8.63,95Sr
13124.32,12.49,23166.89,10.35,-5888.73,10.33,5577.41,6.8,-19935.03,7.07,-2010.84,6.78,95Y
14680.54,0.98,20152.04,7.6,-4432.93,5.52,2051.92,0.88,-14103.2,1.88,-7362.19,1.73,95Zr
15716.05,1.57,17137.04,10.5,-2859.88,1.91,-764.92,5.1,-11723.77,6.4,-6443.51,0.5,95Nb
17047.42,0.22,15167.77,0.47,-2241.21,0.16,-4254.11,9.5,-7731.51,0.2,-11624.86,4.07,95Mo
18557.87,5.18,13386.44,5.29,-1808.25,5.86,-7680.73,6.4,-6941.25,5.29,-11509.07,5.97,95Tc
22383.67,9.72,11228.62,9.5,-3673.84,11.37,-13491.84,9.97,-2332.65,9.5,-18621.45,10.08,95Ru
25471.44,4.69,9312.44,4.02,-4778.88,4.55,-18744.0,298.0,-1471.26,5.63,-20309.66,5.79,95Rh
27108.0,301.0,7327.13,3.67,-4150.99,3.76,-23335.0,401.0,5328.72,4.37,-25628.0,400.0,95Pd
29472.0,499.0,5163.0,298.0,-3452.0,422.0,,,6022.0,298.0,-27528.0,582.0,95Ag
,,2208.0,501.0,-3125.0,566.0,,,12183.0,401.0,,,95Cd
6906.0,423.0,,,-9607.0,582.0,23191.0,298.0,,,9924.0,299.0,96Br
7874.54,23.8,30854.0,501.0,-8781.0,400.0,19844.48,22.18,-29909.0,501.0,4740.5,28.81,96Kr
8934.2,3.92,28532.0,300.0,-7546.46,7.5,16981.55,6.95,-24872.0,298.0,5693.88,6.7,96Rb
10221.08,8.64,26154.33,14.78,-6579.75,8.9,12514.69,8.47,-24054.21,20.47,213.37,10.85,96Sr
12127.07,8.82,24351.05,6.42,-5988.37,8.63,7266.92,6.09,-19733.37,21.14,-747.27,6.15,96Y
14312.16,0.2,21171.08,1.67,-4996.4,3.43,3356.03,0.07,-17608.26,5.81,-6723.91,0.5,96Zr
15376.39,1.5,17829.3,6.38,-3211.24,9.13,218.82,5.15,-11682.94,6.78,-5962.28,0.12,96Nb
16523.45,0.1,16103.49,0.2,-2760.76,0.16,-2714.5,0.12,-10423.91,0.88,-10844.85,5.08,96Mo
17805.95,6.56,14030.51,5.36,-1793.26,5.45,-6133.92,11.25,-6324.35,5.17,-10435.21,10.8,96Tc
19639.41,3.15,12244.25,0.16,-1696.71,0.23,-9896.97,4.19,-5657.48,0.13,-15811.08,3.89,96Ru
22922.74,10.56,10107.34,10.8,-3186.94,10.47,-15176.08,90.64,-955.35,11.22,-17793.14,10.45,96Rh
26223.77,5.99,8177.76,5.24,-4307.12,5.0,-20610.0,401.0,-14.63,10.39,-24658.0,298.0,96Pd
28245.0,410.0,6181.96,90.15,-3937.46,90.19,-26621.0,508.0,6540.0,90.0,-25952.0,411.0,96Ag
31576.0,641.0,4049.0,401.0,-3418.0,500.0,,,7104.0,401.0,,,96Cd
,,59.0,640.0,-3185.0,707.0,,,14418.0,582.0,,,96In
6427.0,499.0,,,,,24464.0,401.0,,,10953.0,401.0,97Br
7407.21,131.73,31542.0,517.0,-9133.0,420.0,21157.96,130.45,,,5859.54,130.45,97Kr
8770.28,20.33,29326.0,298.0,-8053.82,430.82,17602.29,6.99,-27645.0,298.0,6333.7,8.69,97Rb
9604.54,6.72,27000.48,18.93,-6870.38,4.22,14361.21,3.4,-22790.75,20.77,1683.12,6.96,97Sr
11055.21,9.54,24807.87,21.33,-5926.44,10.32,9484.35,7.94,-22056.04,7.51,1246.11,6.72,97Y
13425.36,0.96,22401.05,5.82,-5281.74,7.57,4602.03,0.43,-17307.47,8.47,-5411.16,0.41,97Zr
14962.15,4.28,18974.87,8.0,-3803.53,11.32,1618.65,5.91,-14558.85,7.41,-4882.22,4.25,97Nb
15975.47,0.17,16462.69,0.88,-2847.57,0.49,-1424.14,2.76,-9394.82,0.17,-9794.37,5.15,97Mo
17345.72,6.54,15016.11,4.15,-2436.5,4.38,-4626.87,35.7,-8910.58,4.12,-9215.37,4.12,97Tc
18805.44,9.89,12986.63,2.76,-1738.4,2.77,-8314.71,5.58,-4614.65,2.76,-14504.15,10.37,97Ru
20399.58,35.68,11154.15,35.82,-1416.36,35.48,-11771.71,115.68,-4064.89,35.83,-14485.46,35.71,97Rh
23982.58,5.71,8926.04,10.67,-3014.05,5.27,-17352.0,298.0,985.56,4.85,-21365.52,90.21,97Pd
27371.0,318.0,7063.18,110.18,-4238.96,110.14,-23636.0,415.0,1572.91,110.56,-23324.0,415.0,97Ag
29966.0,499.0,5066.0,298.0,-3878.0,423.0,,,8440.0,298.0,-30635.0,582.0,97Cd
,,2170.0,499.0,-3347.0,566.0,,,10033.0,411.0,,,97In
6230.0,499.0,,,,,26119.0,400.0,,,11102.0,420.0,98Br
7374.0,299.0,,,-9933.0,582.0,22112.0,298.0,,,6137.0,298.0,98Kr
9157.43,16.43,30784.0,299.0,-9394.0,300.0,17925.63,17.93,-27603.0,401.0,6140.99,16.43,98Rb
9641.58,9.07,27921.37,20.75,-7500.25,12.53,14863.6,9.04,-26288.58,130.45,1627.0,7.45,98Sr
10101.52,9.98,25518.37,8.61,-6156.91,8.18,11229.82,9.37,-21064.61,8.16,2576.57,7.92,98Y
11990.5,8.45,22940.49,11.96,-4865.91,8.61,6829.26,8.45,-19994.22,9.1,-3752.25,9.45,98Zr
14064.42,5.0,19766.64,7.88,-3598.05,8.11,2907.61,6.04,-14692.15,8.37,-4051.22,5.0,98Nb
15463.73,0.17,17255.07,0.18,-3271.57,0.24,108.89,6.46,-12462.28,0.44,-8962.86,4.12,98Mo
16753.21,6.16,15407.33,3.38,-2488.06,3.69,-3257.0,12.3,-8115.4,5.43,-8382.97,4.36,98Tc
18287.12,6.46,14007.92,6.46,-2235.71,6.46,-6903.88,8.02,-7969.14,6.46,-13698.62,36.05,98Ru
19630.12,15.55,11931.51,12.97,-1441.8,12.58,-10108.79,35.0,-3239.75,12.6,-13440.68,12.85,98Rh
21280.2,6.33,9818.54,4.75,-1162.3,5.69,-13684.56,51.92,-2489.39,5.49,-18566.45,110.21,98Pd
24697.41,95.91,7956.64,34.39,-2583.72,33.08,-19170.0,300.0,2242.17,48.38,-20684.0,300.0,98Ag
28206.0,404.0,6030.95,51.97,-3959.06,51.97,,,2880.46,52.02,-28518.0,404.0,98Cd
32148.0,582.0,3963.0,311.0,-3912.0,499.0,,,9641.0,318.0,,,98In
7479.0,421.0,,,-10725.0,641.0,23762.0,401.0,,,7538.0,401.0,99Kr
8744.64,4.46,31644.0,401.0,-9775.0,298.0,19528.68,7.76,-30160.0,400.0,7230.64,5.16,99Rb
10082.58,5.82,29675.85,130.5,-8787.4,19.22,15099.22,11.52,-25499.0,298.0,1702.06,9.23,99Sr
10671.04,9.42,26708.63,6.9,-7183.25,21.3,11685.52,13.71,-23569.65,17.39,2565.57,10.73,99Y
10820.59,10.5,23617.1,11.03,-4925.98,12.0,8349.48,10.5,-18486.48,10.99,-2167.34,11.63,99Zr
12872.2,12.73,20791.86,13.76,-3551.41,13.79,4992.52,12.04,-17329.53,14.39,-2290.69,12.01,99Nb
14568.04,0.16,17605.38,0.46,-2735.07,0.9,1655.28,0.41,-11972.36,8.45,-7609.21,3.38,99Mo
16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,99Tc
17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,99Ru
19126.38,36.09,12934.82,7.86,-1984.88,8.41,-8868.83,9.17,-6438.07,7.5,-12331.64,8.21,99Rh
20519.44,6.95,10640.04,5.69,-1149.82,10.73,-12251.53,5.23,-1246.76,8.16,-17187.55,33.28,99Pd
22029.26,110.28,8692.86,36.01,-796.78,7.37,-15336.0,298.0,-826.24,13.45,-17147.38,52.17,99Ag
25620.0,298.0,6703.22,5.1,-2390.14,3.42,-21987.0,503.0,4100.88,5.0,-24106.0,298.0,99Cd
30329.0,499.0,5128.0,318.0,-4204.0,422.0,,,4401.0,300.0,,,99In
,,2068.0,585.0,-3738.0,643.0,,,12403.0,506.0,,,99Sn
6884.0,499.0,,,,,24769.0,401.0,,,7998.0,401.0,100Kr
8020.55,25.32,32575.0,400.0,-10509.0,299.0,21080.33,22.53,,,8203.02,20.13,100Rb
9540.43,7.85,30088.0,298.0,-9166.14,21.71,16556.53,10.84,-28350.0,401.0,2757.61,9.75,100Sr
11175.25,13.7,27536.19,19.59,-8397.96,11.68,12470.0,13.73,-23495.22,11.89,2221.9,15.34,100Y
11233.36,11.73,24532.27,8.76,-5878.2,11.75,9815.59,8.15,-21145.01,9.42,-2113.41,14.51,100Zr
12415.44,9.42,22080.56,11.24,-3886.42,10.02,6223.55,8.1,-16436.54,10.36,-1898.62,7.99,100Nb
14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,100Mo
15731.37,3.5,17074.29,5.18,-2843.04,1.35,-429.82,18.17,-10974.58,12.08,-6466.88,1.38,100Tc
17145.16,6.47,15689.36,0.38,-2857.43,0.36,-4014.61,17.64,-10546.26,0.41,-11717.41,6.69,100Ru
18558.56,21.69,13736.86,18.44,-2194.41,18.84,-7453.17,18.8,-5552.23,18.15,-11479.79,18.8,100Rh
20034.44,18.26,11565.86,18.78,-1557.32,17.64,-11018.18,17.72,-4876.37,17.64,-16571.62,18.72,100Pd
21214.18,33.28,9540.7,12.91,-875.16,11.18,-13824.99,182.59,154.37,8.36,-16278.15,5.24,100Ag
22700.82,51.82,7451.56,5.03,-436.11,4.52,-16911.62,301.52,699.08,5.26,-20890.0,298.0,100Cd
26559.0,350.0,5824.5,185.46,-2226.25,203.54,,,5110.53,182.63,-24440.0,535.0,100In
,,4224.5,305.93,-4135.0,501.0,,,5359.18,301.52,,,100Sn
6511.0,643.0,,,,,26197.0,503.0,,,9048.0,503.0,101Kr
7866.0,200.0,,,-11214.0,448.0,22216.0,200.0,,,8905.0,200.0,101Rb
8946.14,9.72,31143.0,401.0,-10326.33,130.68,17841.05,11.89,-27562.0,401.0,3931.17,14.04,101Sr
10553.81,9.69,28517.8,8.16,-8966.78,7.35,13830.49,8.02,-26102.91,20.81,3245.12,10.79,101Y
11687.97,13.4,25222.5,9.59,-7009.42,9.0,10353.99,8.34,-20634.02,10.98,-1439.87,11.53,101Zr
12698.78,12.57,22819.61,7.61,-5194.98,7.69,7453.1,24.29,-18853.07,11.8,-769.78,3.74,101Nb
13692.48,0.38,20477.27,10.51,-3002.2,0.52,4438.16,0.3,-14431.48,8.16,-5570.32,1.37,101Mo
15159.37,24.02,18587.19,26.83,-3163.73,24.38,1067.82,24.7,-13836.16,25.3,-5188.52,24.0,101Tc
16475.37,0.24,16565.96,0.47,-2838.34,0.45,-2525.98,4.6,-9054.06,0.29,-10438.3,18.12,101Ru
17973.75,8.88,14662.5,5.91,-2612.91,7.14,-6078.04,7.58,-8680.44,5.99,-10270.96,18.58,101Rh
19392.12,6.77,12384.69,4.6,-1736.5,5.35,-9595.68,4.82,-3493.71,4.6,-15365.49,6.79,101Pd
20764.54,7.92,10331.01,8.26,-1161.74,35.79,-12721.0,196.0,-3032.22,18.76,-15211.09,5.12,101Ag
22047.97,2.17,8231.75,5.2,-455.53,5.07,-15530.83,300.01,2087.35,17.7,-19594.8,182.53,101Cd
