S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,9Be
31402.7,25.17,17068.56,0.9,-1687.31,50.01,,,-15818.29,0.9,-30719.1,18.27,9B
,,1435.97,2.14,-10653.0,2003.0,,,16680.33,2.14,,,9C
-1444.83,92.85,,,,,36589.66,92.85,,,16170.92,92.85,10He
4035.81,12.72,,,-11248.01,254.45,21002.01,12.72,,,13632.85,12.72,10Li
8476.82,0.09,33580.13,0.12,-7409.52,0.1,-3091.18,0.11,-35617.31,46.82,-7880.32,0.9,10Be
27013.59,1.0,23473.14,0.05,-4461.19,0.01,-26749.42,400.0,-20193.26,0.19,-24931.68,2.14,10B
35508.23,18.24,3820.94,0.08,-5101.28,5.45,,,-2938.75,0.1,,,10C
,,-1300.52,400.0,-10945.0,2042.0,,,19094.57,400.0,,,10N
369.28,0.64,,,-10832.0,1004.0,32060.55,0.61,,,20049.45,0.62,11Li
7313.92,0.25,35336.6,46.82,-8320.87,7.56,9527.77,0.25,-36308.95,92.85,55.24,0.24,11Be
19891.42,0.9,30865.14,0.19,-8664.31,0.01,-15635.85,46.15,-31673.89,12.72,-15102.28,0.07,11B
34404.21,2.14,15277.0,0.1,-7544.52,0.09,,,-9247.06,0.1,-36221.95,400.0,11C
,,2690.87,46.16,-5797.91,52.56,,,4963.98,46.15,,,11N
185.69,32.59,,,,,35640.17,30.04,,,20761.09,30.01,12Li
3672.36,1.91,38697.32,92.87,-8956.84,1.91,25077.76,1.91,,,8338.74,1.91,12Be
14823.85,1.32,34261.17,12.79,-10001.32,1.32,-3968.67,1.66,-34647.83,1.46,-5351.32,1.32,12B
31841.31,0.07,27185.43,0.08,-7366.59,0.04,-31914.61,24.0,-27466.14,0.24,-32374.88,46.15,12C
37604.59,400.0,9290.48,1.0,-8008.41,1.41,,,1381.39,1.0,,,12N
,,-1638.0,24.0,-5574.57,30.15,,,13976.25,24.0,,,12O
-110.0,70.0,,,,,40418.94,70.01,,,23831.81,70.03,13Li
2660.72,10.18,,,-9701.66,47.91,30534.07,10.18,,,12218.36,10.27,13Be
8248.39,1.0,38744.25,1.17,-10817.87,1.02,11216.47,1.04,-39736.6,30.02,8490.63,1.0,13B
23667.02,0.06,31630.1,0.24,-10648.36,0.08,-19990.42,9.53,-29241.72,1.91,-22284.38,1.0,13C
35100.71,46.15,17900.17,0.27,-9495.92,0.94,,,-15312.89,1.35,-34640.45,24.0,13N
