N,Z,A,EL,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,Element_w_A
5,2,7,He,-n,26073.126,7.559,4123.057,1.08,11166.021,7.559,7027990.654,8.115,7He
4,3,7,Li,,14907.105290000001,0.004229999999999999,5606.439,0.001,-861.893,0.071,7016003.43666,0.00454,7Li
3,4,7,Be,,15768.999,0.071,5371.548000000001,0.01,-11907.551,25.15,7016928.717,0.076,7Be
2,5,7,B,p4n,27676.55,25.15,3558.705,3.593,,,7029712.0,27.0,7B
6,2,8,He,,31609.681,0.08900000000000001,3924.52,0.011000000000000001,10663.878,0.1,8033934.39,0.095,8He
5,3,8,Li,,20945.804,0.047,5159.712,0.006,16004.133,0.059000000000000004,8022486.246,0.05,8Li
4,4,8,Be,-a,4941.670999999999,0.035,7062.435,0.004,-17979.896,1.0,8005305.102,0.037000000000000005,8Be
3,5,8,B,,22921.567000000003,1.0,4717.155,0.125,-12142.701,18.27,8024607.316,1.073,8B
2,6,8,C,,35064.268,18.243,3101.5240000000003,2.28,,,8037643.042,19.584,8C
7,2,9,He,,40935.826,46.816,3349.0370000000003,5.202000000000001,15980.924,46.817,9043946.419,50.25899999999999,9He
6,3,9,Li,-3n,24954.902000000002,0.18600000000000003,5037.768,0.021,13606.449,0.201,9026790.191,0.2,9Li
5,4,9,Be,,11348.453000000001,0.077,6462.668000000001,0.009000000000000001,-1068.035,0.899,9012183.066,0.08199999999999999,9Be
4,5,9,B,-,12416.488000000001,0.903,6257.07,0.1,-16494.484,2.319,9013329.649,0.9690000000000001,9B
3,6,9,C,-pp,28910.972,2.137,4337.423,0.237,,,9031037.207,2.293,9C
8,2,10,He,-nn,49197.143,92.848,2995.134,9.285,16144.519,93.715,10052815.308,99.676,10He
7,3,10,Li,-n,33052.623999999996,12.720999999999998,4531.351,1.272,20445.136,12.722000000000001,10035483.453,13.655999999999999,10Li
6,4,10,Be,,12607.488000000001,0.081,6497.63,0.008,556.878,0.08199999999999999,10013534.695,0.086,10Be
5,5,10,B,,12050.608999999999,0.015,6475.0830000000005,0.002,-3648.062,0.069,10012936.862,0.016,10B
4,6,10,C,,15698.671999999999,0.07,6032.0419999999995,0.006999999999999999,-23101.355,400.0,10016853.218,0.075,10C
3,7,10,N,--,38800.026,400.0,3643.672,40.0,,,10041653.543,429.417,10N
8,3,11,Li,x,40728.254,0.615,4155.380999999999,0.055999999999999994,20551.087,0.659,11043723.581,0.66,11Li
7,4,11,Be,,20177.167,0.23800000000000002,5952.54,0.022000000000000002,11509.46,0.23800000000000002,11021661.081,0.255,11Be
6,5,11,B,,8667.707,0.012,6927.732,0.001,-1981.689,0.061,11009305.166,0.013000000000000001,11B
5,6,11,C,,10649.396,0.06,6676.456,0.005,-13654.163,46.153999999999996,11011432.597,0.064,11C
4,7,11,N,-p,24303.558999999997,46.153999999999996,5364.045999999999,4.196000000000001,,,11026090.945,49.548,11N
