 Z= 107 A= 247  Bh beta2= 0.36 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.410197E-02  -4.189276E-16  -7.285839E-16  -5.629171E-16  -1.258831E-15   6.411646E-02  -3.568643E-16  -4.579670E-16  -8.381210E-16   1.173002E-15
   0.100   8.410186E-02  -1.384629E-05   2.298201E-08   1.930762E-11   3.876627E-15   6.408778E-02   2.299408E-05   8.504722E-09  -6.512888E-12  -3.204297E-15
   0.200   8.410123E-02  -5.407079E-05   3.656949E-07   1.227375E-09   7.384617E-13   6.400296E-02   9.062366E-05   1.347048E-07  -4.153364E-10  -1.932305E-13
   0.300   8.409919E-02  -1.168416E-04   1.834239E-06   1.382481E-08   1.874747E-11   6.386564E-02   1.988953E-04   6.704746E-07  -4.707671E-09  -5.029401E-12
   0.400   8.409446E-02  -1.961326E-04   5.721049E-06   7.646317E-08   1.840644E-10   6.368167E-02   3.413662E-04   2.068933E-06  -2.626579E-08  -5.078317E-11
   0.500   8.408557E-02  -2.842308E-04   1.372718E-05   2.858059E-07   1.072748E-09   6.345888E-02   5.094559E-04   4.896557E-06  -9.927741E-08  -3.063114E-10
   0.600   8.407119E-02  -3.723823E-04   2.785212E-05   8.323024E-07   4.487499E-09   6.320671E-02   6.928659E-04   9.770373E-06  -2.930405E-07  -1.333948E-09
   0.700   8.405040E-02  -4.515218E-04   5.025174E-05   2.037075E-06   1.490802E-08   6.293576E-02   8.800931E-04   1.728441E-05  -7.286500E-07  -4.636886E-09
   0.800   8.402298E-02  -5.130235E-04   8.306710E-05   4.384088E-06   4.177947E-08   6.265736E-02   1.059013E-03   2.793068E-05  -1.596702E-06  -1.365488E-08
   0.900   8.398965E-02  -5.494110E-04   1.282304E-04   8.541574E-06   1.026920E-07   6.238299E-02   1.217512E-03   4.202078E-05  -3.174306E-06  -3.539002E-08
   1.000   8.395215E-02  -5.549707E-04   1.872579E-04   1.536709E-05   2.273400E-07   6.212380E-02   1.344131E-03   5.961486E-05  -5.839387E-06  -8.283606E-08
   1.100   8.391327E-02  -5.262212E-04   2.610435E-04   2.589166E-05   4.619582E-07   6.189011E-02   1.428704E-03   8.046477E-05  -1.008005E-05  -1.783351E-07
   1.200   8.387677E-02  -4.622069E-04   3.496691E-04   4.128004E-05   8.737412E-07   6.169092E-02   1.462934E-03   1.039779E-04  -1.649670E-05  -3.578869E-07
