 97In   97   49    1    0    1    1    0.000000   -1.094000
  1   0.000000   4.5  1  5.000E-02  0                     9/2+#  3 =  1.0000E+02 %EC+%B+ ?  0.0000E+00 %B+P    ?  0.0000E+00 %P                                                                                                                                                                 0.000000       
 98In   98   49    2    0    1    1   14.778000    0.731000
  1   0.000000   0.0  1  3.700E-02  0   X                   0+#  2 =  1.0000E+02 %EC+%B+ =  5.6000E+00 %B+P                                                                                                                                                                                     0.000000       
  2   0.500000  -1.0  0  1.200E+00  0   Y                        1 ?  0.0000E+00 %EC+B+                                                                                                                                                                                                         0.500000       
 99In   99   49    1    0    1    1   15.551000    1.029000
  1   0.000000   4.5  1  3.100E+00  0                     9/2+#  2 =  1.0000E+02 %EC+%B+ =  9.0000E-01 %B+P                                                                                                                                                                                     0.000000       
100In  100   49    2    0    1    1   11.008000    1.670820
  1   0.000000   6.0  1  5.850E+00  0                       6+#  2 =  1.0000E+02 %EC+%B+ =  1.6400E+00 %B+P                                                                                                                                                                                     0.000000       
  2   2.760000   1.0  1             0                      (1+)  0                                                                                                                                                                                                                              0.000000       
101In  101   49    9    8    1    1   12.372000    1.708000
  1   0.000000   4.5  1  1.510E+01  0                     9/2+#  2 =  1.0000E+02 %EC+%B+ ?  0.0000E+00 %B+P                                                                                                                                                                                     0.000000       
  2   1.309700   6.5  1             1                   (13/2+)  0                                                                                                                                                                                                                              0.000000  0    
                                          1      1.310  9.993E-01  1.000E+00  7.300E-04
  3   1.651500   8.5  1             1                   (17/2+)  0                                                                                                                                                                                                                              0.000000  0    
                                          2      0.342  9.756E-01  1.000E+00  2.500E-02
  4   2.010900   9.5  1             1                   (19/2+)  0                                                                                                                                                                                                                              0.000000  0    
                                          3      0.359  9.826E-01  1.000E+00  1.770E-02
  5   3.258800  10.5  1             1                   (21/2+)  0                                                                                                                                                                                                                              0.000000  1    
                                          4      1.248  9.992E-01  1.000E+00  8.300E-04
  6   4.394800  11.5 -1             1                   (23/2-)  0                                                                                                                                                                                                                              0.000000  1    
                                          5      1.136  9.996E-01  1.000E+00  4.380E-04
  7   4.781600  12.5 -1             1                   (25/2-)  0                                                                                                                                                                                                                              0.000000  1    
                                          6      0.387  9.858E-01  1.000E+00  1.440E-02
  8   4.934600  11.5  1             1                   (23/2+)  0                                                                                                                                                                                                                              0.000000  0    
                                          4      2.924  9.991E-01  1.000E+00  8.870E-04
  9   6.074200  -1.0  0             1                            0                                                                                                                                                                                                                              0.000000  0    
                                          8      1.140  1.000E+00  1.000E+00  0.000E+00
102In  102   49   52   85    9    1   10.151000    2.146260
  1   0.000000   6.0  1  2.330E+01  0 u                    (6+)  2 =  1.0000E+02 %EC+%B+ =  9.3000E-03 %B+P                                                                                                                                                                                     0.000000  0    
  2   0.094000   4.0  1             1 u                    (4+)  0                                                                                                                                                                                                                              0.000000       
                                          1      0.094  2.857E-01  1.000E+00  2.500E+00
  3   0.144940   7.0  1             1 u                    (7+)  0                                                                                                                                                                                                                              0.000000  0    
                                          1      0.145  7.692E-01  1.000E+00  3.000E-01
  4   0.163000   3.0  1             1 u                    (3+)  0                                                                                                                                                                                                                              0.000000       
                                          2      0.069  2.174E-01  1.000E+00  3.600E+00
  5   0.352010   7.0  1             1 u                    (7+)  0                                                                                                                                                                                                                              0.000000       
                                          1      0.352  9.815E-01  1.000E+00  1.880E-02
