id,max_depth,mss,mslmt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,mt_strategy,msl
1,60,2,,standard,0.02730935577914758,0.011718880049612893,0.9847782237164552,0.0,0.9847782237164552,0.13410174047848167,0.07973117976001366,0.8976384948367406,0.047422775038332136,0.8976377579475882,0.1350831583917333,0.07896692786233955,0.8972198497801056,0.047695971305482726,0.8972196810515114,E:\ML_Models_EXFOR\DT_B2\DT60_MSS2_MSL1_standard_one_hot_B2_v5\DT60_MSS2_MSL1_standard_one_hot_B2_v5.joblib,165.40681576728818,E:\ML_Models_EXFOR\DT_B2\DT60_MSS2_MSL1_standard_one_hot_B2_v5\scaler.pkl,one_hot,1.0
6,60,5,,standard,0.05303206434482303,0.0172906918373151,0.9773772113458572,0.014160798117723415,0.9773772113458572,0.1294248999034233,0.07292520211643559,0.9053827969154956,0.04636405348885808,0.905382762878302,0.13016597859318854,0.07301929312855601,0.904288970388996,0.04666402477184234,0.9042888996960884,E:\ML_Models_EXFOR\DT_B2\DT60_MSS5_MSL1_standard_one_hot_B2_v5\DT60_MSS5_MSL1_standard_one_hot_B2_v5.joblib,157.4601125717163,E:\ML_Models_EXFOR\DT_B2\DT60_MSS5_MSL1_standard_one_hot_B2_v5\scaler.pkl,one_hot,1.0
7,60,5,,standard,0.07797805995820717,0.028505675258979124,0.9621483410646721,0.026764750319583475,0.9621483410646721,0.1221393301868186,0.06154430920692721,0.9187889520117192,0.04590352597321157,0.9187883833716004,0.12268048489822707,0.06217363934909855,0.917121296609767,0.046068735375849656,0.9171208315446032,E:\ML_Models_EXFOR\DT_B2\DT60_MSS5_MSL3_standard_one_hot_B2_v5\DT60_MSS5_MSL3_standard_one_hot_B2_v5.joblib,164.20847868919373,E:\ML_Models_EXFOR\DT_B2\DT60_MSS5_MSL3_standard_one_hot_B2_v5\scaler.pkl,one_hot,3.0
11,60,10,,standard,0.0709264816966161,0.024051992580840075,0.968249991687868,0.024369300304226682,0.968249991687868,0.12419648294589455,0.06608076767375436,0.9133950632805172,0.0457761852098828,0.9133949358674154,0.12456011079487413,0.06609820644257162,0.912555632373824,0.04599258138191237,0.9125555531057786,E:\ML_Models_EXFOR\DT_B2\DT60_MSS10_MSL1_standard_one_hot_B2_v5\DT60_MSS10_MSL1_standard_one_hot_B2_v5.joblib,160.58385562896729,E:\ML_Models_EXFOR\DT_B2\DT60_MSS10_MSL1_standard_one_hot_B2_v5\scaler.pkl,one_hot,1.0
12,60,10,,standard,0.08269552969178147,0.03065651498130796,0.959175723451077,0.029732237032468745,0.959175723451077,0.12089487156725627,0.05989752828082698,0.9207481941071612,0.04605256682159295,0.9207478563861738,0.12133391127771072,0.060428876442372575,0.9192015140298856,0.04620995296747743,0.9192011367769968,E:\ML_Models_EXFOR\DT_B2\DT60_MSS10_MSL3_standard_one_hot_B2_v5\DT60_MSS10_MSL3_standard_one_hot_B2_v5.joblib,156.50739741325378,E:\ML_Models_EXFOR\DT_B2\DT60_MSS10_MSL3_standard_one_hot_B2_v5\scaler.pkl,one_hot,3.0
13,60,10,,standard,0.08856934228587937,0.034278083304426395,0.9541317898626078,0.03276296828750125,0.9541317898626078,0.11873204292447755,0.057325101982485575,0.9237287144100016,0.04620572979806775,0.9237284592967356,0.1193150836196889,0.058081350580248825,0.9220179633079064,0.04629626543383775,0.9220179228118308,E:\ML_Models_EXFOR\DT_B2\DT60_MSS10_MSL5_standard_one_hot_B2_v5\DT60_MSS10_MSL5_standard_one_hot_B2_v5.joblib,156.6334369182587,E:\ML_Models_EXFOR\DT_B2\DT60_MSS10_MSL5_standard_one_hot_B2_v5\scaler.pkl,one_hot,5.0
14,60,10,,standard,0.09461977790244762,0.03812703033875653,0.9487173103873899,0.03611249297206188,0.9487173103873899,0.11828477902455535,0.05649535376940409,0.9244320746946572,0.046813919746912236,0.924431680992417,0.11884446335142453,0.057434053459706425,0.9224748497629832,0.04690204755104027,0.9224748445848172,E:\ML_Models_EXFOR\DT_B2\DT60_MSS10_MSL7_standard_one_hot_B2_v5\DT60_MSS10_MSL7_standard_one_hot_B2_v5.joblib,152.76181006431582,E:\ML_Models_EXFOR\DT_B2\DT60_MSS10_MSL7_standard_one_hot_B2_v5\scaler.pkl,one_hot,7.0
16,60,15,,standard,0.0802740946178981,0.02849715248779972,0.9621600863827484,0.029491315054290368,0.9621600863827484,0.1218032284645453,0.06266419467583892,0.9174118772773364,0.04597590561316134,0.9174116334716242,0.12225909174726868,0.06277602098608899,0.9164393407502543,0.04621139324326329,0.9164391700683114,E:\ML_Models_EXFOR\DT_B2\DT60_MSS15_MSL1_standard_one_hot_B2_v5\DT60_MSS15_MSL1_standard_one_hot_B2_v5.joblib,155.66877031326294,E:\ML_Models_EXFOR\DT_B2\DT60_MSS15_MSL1_standard_one_hot_B2_v5\scaler.pkl,one_hot,1.0
17,60,15,,standard,0.08825013094784971,0.03344660170806402,0.9552941532717284,0.033019664035685466,0.9552941532717284,0.11985324692669184,0.0583435876643978,0.9224775648617032,0.04647672859157037,0.9224773761555084,0.12035781266621001,0.05879369461920157,0.9210801040070392,0.04661822491070677,0.9210799269973606,E:\ML_Models_EXFOR\DT_B2\DT60_MSS15_MSL3_standard_one_hot_B2_v5\DT60_MSS15_MSL3_standard_one_hot_B2_v5.joblib,157.20906138420102,E:\ML_Models_EXFOR\DT_B2\DT60_MSS15_MSL3_standard_one_hot_B2_v5\scaler.pkl,one_hot,3.0
18,60,15,,standard,0.09173273898790027,0.035902647331321674,0.9518532628447272,0.034741341563513495,0.9518532628447272,0.11857847054999544,0.05671205103131755,0.9243326048352696,0.046611118501646336,0.9243323130656842,0.11919115996312593,0.057517651331529286,0.9225603987984368,0.04670686333357305,0.9225603888563664,E:\ML_Models_EXFOR\DT_B2\DT60_MSS15_MSL5_standard_one_hot_B2_v5\DT60_MSS15_MSL5_standard_one_hot_B2_v5.joblib,159.32127737998962,E:\ML_Models_EXFOR\DT_B2\DT60_MSS15_MSL5_standard_one_hot_B2_v5\scaler.pkl,one_hot,5.0
