#       Excited-level deformation parameters
#  Z   A El        Ex     J  P L       beta  Reference   
#                [MeV]
#------------------------------------------------------  
  12  26 Mg   6.876000  3.0 -1 3   0.212763  Kibedi      
  12  28 Mg   1.473400  2.0  1 2   0.491000  Raman2      
  12  30 Mg   1.482200  2.0  1 2   0.431000  Raman2      
  12  32 Mg   0.885500  2.0  1 2   0.473000  Raman2      
  14  26 Si   1.795900  2.0  1 2   0.446000  Raman2      
  14  28 Si   1.778800  2.0  1 2   0.470000  JENDL-3.2   
  14  28 Si   1.779030  2.0  1 2   0.407000  Raman2      
  14  28 Si   4.616900  4.0  1 2   0.200000  JENDL-3.2   
  14  28 Si   6.691400  0.0  1 2   0.080000  JENDL-3.2   
  14  28 Si   6.879000  3.0 -1 3   0.400736  Kibedi      
  14  29 Si   1.273300  1.5  1 2   0.410000  JENDL-3.2   
  14  29 Si   2.028200  2.5  1 2   0.410000  JENDL-3.2   
  14  29 Si   4.080200  3.5  1 2   0.200000  JENDL-3.2   
  14  29 Si   4.741000  4.5  1 2   0.200000  JENDL-3.2   
  14  30 Si   2.235330  2.0  1 2   0.315000  Raman2      
  14  30 Si   2.235400  2.0  1 2   0.320000  JENDL-3.2   
  14  30 Si   5.279500  4.0  1 2   0.200000  JENDL-3.2   
  14  30 Si   5.488000  3.0 -1 3   0.276780  Kibedi      
  14  30 Si   6.641100  0.0  1 2   0.080000  JENDL-3.2   
  14  32 Si   1.941500  2.0  1 2   0.217000  Raman2      
  14  34 Si   3.327500  2.0  1 2   0.179000  Raman2      
  14  36 Si   1.399000  2.0  1 2   0.259000  Raman2      
  14  38 Si   1.084000  2.0  1 2   0.249000  Raman2      
  16  30 S    2.210600  2.0  1 2   0.338000  Raman2      
  16  32 S    2.230300  2.0  1 2   0.283787  ENSDF(Q)    
  16  32 S    2.230300  2.0  1 2   0.312000  Raman2      
  16  32 S    5.006000  3.0 -1 3   0.533522  Kibedi      
  16  34 S    2.127564  2.0  1 2  -0.097120  ENSDF(Q)    
  16  34 S    2.217564  2.0  1 2   0.252000  Raman2      
  16  34 S    4.624000  3.0 -1 3   0.398535  Kibedi      
  16  36 S    3.290900  2.0  1 2   0.168000  Raman2      
  16  36 S    4.193000  3.0 -1 3   0.376394  Kibedi      
  16  38 S    1.292000  2.0  1 2   0.246000  Raman2      
  16  40 S    0.900000  2.0  1 2   0.284000  Raman2      
  16  42 S    0.890000  2.0  1 2   0.300000  Raman2      
  16  44 S    1.297000  2.0  1 2   0.256834  ENSDF(BE2)  
  16  44 S    1.315000  2.0  1 2   0.254000  Raman2      
  18  34 Ar   2.090900  2.0  1 2   0.238000  Raman2      
  18  36 Ar   1.970390  2.0  1 2  -0.185487  ENSDF(Q)    
  18  36 Ar   1.970390  2.0  1 2   0.256000  Raman2      
  18  36 Ar   4.178000  3.0 -1 3   0.394100  Kibedi      
  18  38 Ar   2.167472  2.0  1 2   0.163000  Raman2      
  18  38 Ar   3.810000  3.0 -1 3   0.354376  Kibedi      
  18  40 Ar   1.460859  2.0  1 2  -0.015290  ENSDF(Q)    
  18  40 Ar   1.460859  2.0  1 2   0.251000  Raman2      
  18  40 Ar   3.681000  3.0 -1 3   0.314013  Kibedi      
  18  42 Ar   1.208200  2.0  1 2   0.275000  Raman2      
  18  44 Ar   1.144000  2.0  1 2   0.240000  Raman2      
  18  44 Ar   1.158000  2.0  1 2   0.222327  ENSDF(BE2)  
  18  46 Ar   1.550000  2.0  1 2   0.175000  Raman2      
  20  38 Ca   2.206000  2.0  1 2   0.125000  Raman2      
  20  40 Ca   3.737000  3.0 -1 3   0.410997  Kibedi      
  20  40 Ca   3.904380  2.0  1 2   0.123000  Raman2      
  20  42 Ca   1.524730  2.0  1 2   0.243016  ENSDF(Q)    
  20  42 Ca   1.524730  2.0  1 2   0.247000  Raman2      
  20  42 Ca   3.447000  3.0 -1 3   0.302648  Kibedi      
  20  44 Ca   1.157030  2.0  1 2   0.175423  ENSDF(Q)    
  20  44 Ca   1.157030  2.0  1 2   0.253800  ENSDF(BE2)  
  20  44 Ca   1.157047  2.0  1 2   0.253000  Raman2      
  20  44 Ca   3.308000  3.0 -1 3   0.240129  Kibedi      
  20  46 Ca   1.346000  2.0  1 2   0.151147  ENSDF(BE2)  
  20  46 Ca   1.346000  2.0  1 2   0.153000  Raman2      
  20  46 Ca   3.614000  3.0 -1 3   0.204084  Kibedi      
  20  48 Ca   3.831720  2.0  1 2   0.106000  Raman2      
